date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,60.5965,61.3763,60.2653,61.2172,79589930,11369990,0.90108,1.494,60.9707,"Aug 5, 13",0
2013-08-06,61.4337,61.9417,60.6658,61.0701,83715443,11959349,-0.147131,-0.24,61.2522,"Aug 6, 13",-0.002402919440941464
2013-08-07,60.8797,61.2998,60.6133,61.0346,74663176,10666168,-0.03544,-0.058,60.8512,"Aug 7, 13",-0.002982821821318204
2013-08-08,60.887,60.9191,60.1118,60.5135,63946841,9135263,-0.521114,-0.854,60.5005,"Aug 8, 13",-0.011495135354116127
2013-08-09,60.2024,60.4413,59.5474,59.6524,66772986,9538998,-0.861084,-1.423,59.8672,"Aug 9, 13",-0.025561443515874596
2013-08-12,59.9688,61.5164,59.9386,61.347,91008477,13001211,1.6946,2.841,61.0111,"Aug 12, 13",0.0021203191259973183
2013-08-13,61.817,64.9305,61.4376,64.2624,219634975,31376425,2.9154,4.752,63.3341,"Aug 13, 13",0.04974418954150143
2013-08-14,65.3532,66.1893,64.7651,65.4346,188602792,26943256,1.1722,1.824,65.5,"Aug 14, 13",0.0688924027887588
2013-08-15,65.1615,65.9464,64.1985,65.3571,122441893,17491699,-0.077448,-0.118,65.3823,"Aug 15, 13",0.06762641871892221
2013-08-16,65.6511,66.0174,65.4818,65.9373,90461889,12923127,0.580183,0.888,65.795,"Aug 16, 13",0.07710414720045992
2013-08-19,66.2011,67.435,66.1565,66.6474,127478547,18211221,0.710132,1.077,66.9823,"Aug 19, 13",0.0887038283358273
2013-08-20,66.906,67.0189,65.7391,65.7719,89531771,12790253,-0.875523,-1.314,66.1714,"Aug 20, 13",0.07440229216625399
2013-08-21,66.1027,66.57,65.789,65.9412,83809726,11972818,0.16933,0.257,66.1498,"Aug 21, 13",0.07716785478590979
2013-08-22,66.2851,66.3652,65.3952,66.02,60877852,8696836,0.078757,0.119,65.9251,"Aug 22, 13",0.07845507471756301
2013-08-23,66.0607,66.0712,65.5461,65.7653,55587686,7941098,-0.25465,-0.386,65.7737,"Aug 23, 13",0.07429447932933879
2013-08-26,65.7299,66.9703,65.6971,66.0213,82398085,11771155,0.255962,0.389,66.3663,"Aug 26, 13",0.07847631057937962
2013-08-27,65.3689,65.9609,63.8332,64.1337,105930335,15132905,-1.8876,-2.859,64.8127,"Aug 27, 13",0.04764183922165676
2013-08-28,63.7938,65.0802,63.7938,64.4364,76793066,10970438,0.302694,0.472,64.5817,"Aug 28, 13",0.05258652796926367
2013-08-29,64.5354,65.172,64.4672,64.542,59807748,8543964,0.105534,0.164,64.8656,"Aug 29, 13",0.05431153335990544
2013-08-30,64.5814,64.7061,63.8594,63.9534,68078395,9725485,-0.588582,-0.912,64.1184,"Aug 30, 13",0.04469658854047562
2013-09-03,64.7257,65.7102,63.971,64.1324,83000148,11857164,0.179044,0.28,64.6578,"Sep 3, 13",0.04762060335984014
2013-09-04,65.5737,65.9255,65.1432,65.4596,86049453,12292779,1.3272,2.069,65.5132,"Sep 4, 13",0.06930078474677046
2013-09-05,65.6643,65.7207,64.7966,65.0106,58913211,8416173,-0.44905,-0.686,65.1869,"Sep 5, 13",0.06196624478087855
2013-09-06,65.4267,65.5501,64.3123,65.3978,89551595,12793085,0.387224,0.596,65.1361,"Sep 6, 13",0.06829126454656544
2013-09-09,66.2878,66.6711,66.0882,66.4413,84887432,12126776,1.0435,1.596,66.3945,"Sep 9, 13",0.0853371274739779
2013-09-10,66.4453,66.6094,64.2532,64.9279,185494435,26499205,-1.5135,-2.278,65.5844,"Sep 10, 13",0.06061531726377547
2013-09-11,61.3011,62.1779,61.0123,61.393,224250866,32035838,-3.5349,-5.444,61.5267,"Sep 11, 13",0.002871741928739021
2013-09-12,61.4967,62.4024,61.1698,62.0467,100874816,14410688,0.65369,1.065,61.8826,"Sep 12, 13",0.013550113366831594
2013-09-13,61.607,61.9337,60.9979,61.0241,74578903,10654129,-1.0225,-1.648,61.3218,"Sep 13, 13",-0.003154342243683167
2013-09-16,60.5122,60.5923,58.7034,59.0841,136823442,19546206,-1.9401,-3.179,59.5463,"Sep 16, 13",-0.03484478218539886
2013-09-17,58.8005,60.3429,58.7402,59.7666,99756489,14250927,0.682565,1.155,59.8025,"Sep 17, 13",-0.023695954731676742
2013-09-18,60.7984,61.2145,60.4676,60.9952,113743049,16249007,1.2286,2.056,60.8563,"Sep 18, 13",-0.003626431787144811
2013-09-19,61.7855,62.4588,61.5951,61.9955,100918377,14416911,1.0002,1.64,62.1225,"Sep 19, 13",0.012713747116823403
2013-09-20,62.7437,62.8159,61.1685,61.3536,174570949,24938707,-0.641876,-1.035,61.8915,"Sep 20, 13",0.0022281319629124142
2013-09-23,65.1195,65.2259,63.3475,64.4028,190021706,27145958,3.0492,4.97,64.2272,"Sep 23, 13",0.0520376626176957
2013-09-24,64.9594,65.0368,64.0327,64.2007,90602953,12943279,-0.202143,-0.314,64.5068,"Sep 24, 13",0.04873630286912828
2013-09-25,64.2138,64.2716,63.1939,63.207,79110192,11301456,-0.993662,-1.548,63.4912,"Sep 25, 13",0.03250393680207527
2013-09-26,63.7938,64.1298,63.5181,63.8227,59086559,8440937,0.615625,0.974,63.8899,"Sep 26, 13",0.04256156766398985
2013-09-27,63.5024,63.6192,63.1007,63.3672,56816676,8116668,-0.455485,-0.714,63.3409,"Sep 27, 13",0.03512084838901483
2013-09-30,62.6452,63.2241,62.2726,62.5796,64852879,9264697,-0.787576,-1.243,63.8511,"Sep 30, 13",0.022255183183811103
2013-10-01,62.8027,64.2059,62.7937,64.051,88255013,12607859,1.4715,2.351,63.6393,"Oct 1, 13",0.04629091170455368
2013-10-02,63.7452,64.5551,63.4984,64.2611,71849680,10264240,0.210019,0.328,64.129,"Oct 2, 13",0.04972295367968481
2013-10-03,64.3858,64.6273,63.1032,63.4538,80629248,11518464,-0.807265,-1.256,63.7013,"Oct 3, 13",0.03653548349156777
2013-10-04,63.5129,63.61,62.8224,63.4039,64673329,9239047,-0.049879,-0.079,63.2446,"Oct 4, 13",0.03572035310337621
2013-10-07,63.8673,64.6667,63.7084,64.0235,77919884,11131412,0.619561,0.977,64.2867,"Oct 7, 13",0.045841691550740644
2013-10-08,64.3109,64.4028,63.0771,63.1296,72418815,10345545,-0.893901,-1.396,63.6411,"Oct 8, 13",0.031239586260070784
2013-10-09,63.6153,64.0287,62.7804,63.871,75311488,10758784,0.741375,1.174,63.5138,"Oct 9, 13",0.043350561606868725
2013-10-10,64.4921,64.6312,63.9303,64.2713,69650490,9950070,0.400351,0.627,64.3062,"Oct 10, 13",0.04988957351855358
2013-10-11,63.9237,64.8229,63.6835,64.6879,66934938,9562134,0.416629,0.648,64.3382,"Oct 11, 13",0.05669485046686227
2013-10-14,64.2965,65.3138,64.2335,65.1117,65474542,9353506,0.423715,0.655,65.0058,"Oct 14, 13",0.0636177414190783
2013-10-15,65.304,65.894,65.0434,65.4582,80018603,11431229,0.346534,0.532,65.5434,"Oct 15, 13",0.06927791535712197
2013-10-16,65.7352,65.9635,65.5304,65.7777,62775013,8967859,0.319495,0.488,65.7423,"Oct 16, 13",0.07449703678051263
2013-10-17,65.6288,66.2589,65.5894,66.2221,63398335,9056905,0.444454,0.676,67.1845,"Oct 17, 13",0.08175643446613043
2013-10-18,66.4177,66.8469,66.381,66.7984,72635570,10376510,0.576245,0.87,66.6856,"Oct 18, 13",0.0911704553622185
2013-10-21,67.1764,68.8211,67.1436,68.4355,99526945,14218135,1.6371,2.451,68.3051,"Oct 21, 13",0.11791293950066332
2013-10-22,69.0975,69.3658,66.6855,68.2393,133515753,19073679,-0.196174,-0.287,68.2367,"Oct 22, 13",0.11470795789418663
2013-10-23,68.1254,69.001,68.1254,68.9078,78431122,11204446,0.668458,0.98,68.6892,"Oct 23, 13",0.1256280914514221
2013-10-24,68.913,69.8936,68.5783,69.8201,96191095,13741585,0.912277,1.324,69.4686,"Oct 24, 13",0.14053076586318874
2013-10-25,69.742,69.9933,68.9275,69.0388,84448133,12064019,-0.781276,-1.119,69.4935,"Oct 25, 13",0.12776801291140394
2013-10-28,69.4433,69.7006,68.6781,69.5531,137610123,19658589,0.514289,0.745,69.0697,"Oct 28, 13",0.1361692465516228
2013-10-29,70.3924,70.7835,67.54,67.8207,158952115,22707445,-1.7324,-2.491,69.1324,"Oct 29, 13",0.10787001038923708
2013-10-30,68.2055,69.2438,67.8655,68.8994,88540697,12648671,1.0787,1.591,68.7395,"Oct 30, 13",0.12549087511353021
2013-10-31,68.913,69.2399,68.4234,68.6114,68923785,9846255,-0.287991,-0.418,70.5084,"Oct 31, 13",0.12078631495723433
2013-11-01,68.7844,68.8868,67.7107,68.2607,68722304,9817472,-0.350732,-0.511,69.4648,"Nov 1, 13",0.11505753285024473
2013-11-04,68.4011,69.1519,68.1005,69.1427,61157033,8736719,0.882085,1.292,68.6815,"Nov 4, 13",0.12946524832890113
2013-11-05,68.8579,69.423,68.6505,68.972,66368071,9481153,-0.170775,-0.247,71.2716,"Nov 5, 13",0.1266768163195964
2013-11-06,69.2032,69.2969,68.4176,68.7767,55844152,7977736,-0.195239,-0.283,68.808,"Nov 6, 13",0.12348653646360838
2013-11-07,68.5998,69.0764,67.6492,67.664,65655100,9379300,-1.1127,-1.618,68.3325,"Nov 7, 13",0.1053102722764191
2013-11-08,67.9397,68.8045,67.6769,68.7292,69829543,9975649,1.0652,1.574,68.4501,"Nov 8, 13",0.12271061074338598
2013-11-11,68.6539,68.8757,67.9172,68.5296,56863303,8123329,-0.199631,-0.29,68.5087,"Nov 11, 13",0.1194500891906197
2013-11-12,68.3476,69.1728,68.2592,68.6566,51114651,7302093,0.127011,0.185,68.9028,"Nov 12, 13",0.12152466953731957
2013-11-13,68.3912,68.9523,68.2539,68.739,49304927,7043561,0.082391,0.12,68.67,"Nov 13, 13",0.12287069647092658
2013-11-14,69.0263,69.8805,68.9022,69.7326,70605087,10086441,0.993649,1.446,69.5459,"Nov 14, 13",0.13910142901014758
2013-11-15,69.524,69.8554,69.2481,69.3142,79479764,11354252,-0.418398,-0.6,69.4909,"Nov 15, 13",0.132266748560862
2013-11-18,69.3141,69.6045,68.4176,68.4742,61236224,8748032,-0.839973,-1.212,68.9872,"Nov 18, 13",0.11854511477166545
2013-11-19,68.5272,69.1015,68.3872,68.5958,52234707,7462101,0.121599,0.178,68.7014,"Nov 19, 13",0.12053148461543486
2013-11-20,68.5536,68.7107,67.9066,67.9951,48545798,6935114,-0.600731,-0.876,68.3186,"Nov 20, 13",0.11071888292832727
2013-11-21,68.3384,68.815,67.8195,68.8052,65506861,9358123,0.81013,1.191,68.3881,"Nov 21, 13",0.12395209189574175
2013-11-22,68.5919,68.9404,68.4612,68.6288,55931232,7990176,-0.176391,-0.256,76.9037,"Nov 22, 13",0.12107054880001046
2013-11-25,68.7899,69.4303,68.7873,69.149,57348403,8192629,0.520195,0.758,69.2337,"Nov 25, 13",0.12956816058232004
2013-11-26,69.1992,70.7862,69.1834,70.4244,100345728,14335104,1.2754,1.844,70.234,"Nov 26, 13",0.15040217455225013
2013-11-27,70.8086,72.088,70.4244,72.0827,90861841,12980263,1.6583,2.355,71.9996,"Nov 27, 13",0.17749096659108884
2013-11-29,72.5475,73.7159,72.327,73.4176,79532215,11361745,1.3348,1.852,73.0963,"Nov 29, 13",0.1992969296210868
2013-12-02,73.6724,74.5081,72.7244,72.7785,118135885,16876555,-0.639023,-0.87,73.4667,"Dec 2, 13",0.18885705324647314
2013-12-03,73.712,74.7788,73.6301,74.7711,112741734,16105962,1.9926,2.738,74.1811,"Dec 3, 13",0.22140672882784587
2013-12-04,74.6626,75.1498,74.0447,74.5966,94452666,13493238,-0.17454,-0.233,76.3489,"Dec 4, 13",0.21855622276092335
2013-12-05,75.6066,75.9348,74.7827,74.9796,111895315,15985045,0.383016,0.513,75.365,"Dec 5, 13",0.2248126343576643
2013-12-06,74.7009,74.8276,73.8797,73.9391,86088352,12298336,-1.0405,-1.388,74.4766,"Dec 6, 13",0.20781577726521303
2013-12-09,74.0553,75.2013,74.0553,74.7854,80123533,11446219,0.846307,1.145,74.7931,"Dec 9, 13",0.22164032330782849
2013-12-10,74.4091,74.9768,74.0949,74.6692,69567610,9938230,-0.116184,-0.155,78.0874,"Dec 10, 13",0.21974216396698976
2013-12-11,74.8606,75.3848,73.8955,74.116,89929693,12847099,-0.553206,-0.741,74.6168,"Dec 11, 13",0.21070548800010458
2013-12-12,74.2192,74.6415,73.9404,74.0077,65572318,9367474,-0.108263,-0.146,74.2263,"Dec 12, 13",0.20893637735799744
2013-12-13,74.3127,74.3167,73.1007,73.201,83205283,11886469,-0.806699,-1.09,73.4759,"Dec 13, 13",0.19575870833687256
2013-12-16,73.2789,74.2848,73.2776,73.6064,70648452,10092636,0.40533,0.554,74.1446,"Dec 16, 13",0.20238103016799194
2013-12-17,73.3832,73.8625,73.0617,73.275,57475649,8210807,-0.331393,-0.45,74.9204,"Dec 17, 13",0.1969675189325877
2013-12-18,72.5765,72.8076,71.1374,72.7178,141465807,20209401,-0.557163,-0.76,72.023,"Dec 18, 13",0.18786550185242054
2013-12-19,72.5501,72.6161,71.7883,71.8847,80239369,11462767,-0.833107,-1.146,72.111,"Dec 19, 13",0.17425658148363526
2013-12-20,72.0128,72.8287,71.9319,72.4867,109103435,15586205,0.602054,0.838,72.4854,"Dec 20, 13",0.1840904190325595
2013-12-23,74.9927,75.3518,74.3008,75.2686,125326831,17903833,2.7819,3.838,74.9242,"Dec 23, 13",0.22953352979228073
2013-12-24,75.2422,75.5049,74.7326,74.9491,41888735,5984105,-0.319512,-0.424,75.0944,"Dec 24, 13",0.22431440836888986
2013-12-26,75.0059,75.1907,74.3822,74.4513,51002035,7286005,-0.497748,-0.664,74.6482,"Dec 26, 13",0.21618270682095891
2013-12-27,74.4408,74.5187,73.8704,73.9483,56471317,8067331,-0.503034,-0.676,74.0528,"Dec 27, 13",0.20796606182576147
2013-12-30,73.6011,73.9483,72.9226,73.2129,63407722,9058246,-0.735404,-0.994,73.2287,"Dec 30, 13",0.19595309814888637
2013-12-31,73.1667,74.1054,73.1443,74.0711,55819372,7974196,0.858193,1.172,73.8976,"Dec 31, 13",0.2099720340035154
2014-01-02,73.3661,73.5443,72.883,73.0294,58791957,8398851,-1.0417,-1.406,72.7021,"Jan 2, 14",0.1929555745770796
2014-01-03,72.9937,73.1046,71.3526,71.4252,98303870,14043410,-1.6042,-2.197,72.002,"Jan 3, 14",0.16675052109537852
2014-01-06,70.9592,72.1936,70.4509,71.8147,103359151,14765593,0.389487,0.545,71.4275,"Jan 6, 14",0.17311311200120233
2014-01-07,71.8662,72.0827,71.0219,71.3008,79432766,11347538,-0.513923,-0.716,72.2815,"Jan 7, 14",0.16471841247231167
2014-01-08,71.1387,72.0299,71.1229,71.7527,64686685,9240955,0.451869,0.634,71.7525,"Jan 8, 14",0.17210032474533313
2014-01-09,72.1936,72.2016,70.6819,70.8362,69905199,9986457,-0.916417,-1.277,71.3279,"Jan 9, 14",0.1571290421646205
2014-01-10,71.2734,71.4015,70.1221,70.3637,76320664,10902952,-0.472532,-0.667,70.4835,"Jan 10, 14",0.1494106231581973
2014-01-13,69.9637,71.6259,69.9597,70.7321,94860843,13551549,0.368364,0.524,70.437,"Jan 13, 14",0.15542853969145934
2014-01-14,71.0608,72.1844,70.9869,72.1395,83734371,11962053,1.4074,1.99,76.8469,"Jan 14, 14",0.1784188103996916
2014-01-15,73.0809,73.9628,72.8353,73.5879,98472619,14067517,1.4484,2.008,73.6115,"Jan 15, 14",0.2020788275190634
2014-01-16,73.2631,73.5205,72.8379,73.1773,57471330,8210190,-0.41061,-0.558,73.2397,"Jan 16, 14",0.19537156224067753
2014-01-17,72.8115,72.8894,71.2826,71.3843,108426689,15489527,-1.793,-2.45,72.0848,"Jan 17, 14",0.1660824082120711
2014-01-21,71.4266,72.6254,71.3513,72.4933,82255544,11750792,1.109,1.554,72.17,"Jan 21, 14",0.1841982318694747
2014-01-22,72.7369,73.5786,72.327,72.8155,95219334,13602762,0.322153,0.444,73.0801,"Jan 22, 14",0.18946145854433072
