date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,23.05,23.18,22.43,22.64,755673,755673,-0.39,-1.693,22.7105,"Aug 5, 13",0
2013-08-06,22.53,22.53,22.06,22.49,289997,289997,-0.15,-0.663,22.3685,"Aug 6, 13",-0.006625441696113168
2013-08-07,22.3,22.3,21.85,22.05,295990,295990,-0.44,-1.956,22.0824,"Aug 7, 13",-0.026060070671378086
2013-08-08,22.19,22.66,21.79,22.3,511547,511547,0.25,1.134,22.2357,"Aug 8, 13",-0.015017667844522962
2013-08-09,22.32,22.43,22.08,22.29,199032,199032,-0.01,-0.045,22.2626,"Aug 9, 13",-0.015459363957597236
2013-08-12,22.11,22.65,22.05,22.62,393761,393761,0.33,1.48,22.3568,"Aug 12, 13",-0.000883392226148391
2013-08-13,22.6,23.2,22.38,23.12,274608,274608,0.5,2.21,22.9081,"Aug 13, 13",0.021201413427561856
2013-08-14,23.19,23.82,22.899,23.48,406741,406741,0.36,1.557,23.5184,"Aug 14, 13",0.03710247349823321
2013-08-15,23.12,23.14,22.56,22.76,349814,349814,-0.72,-3.066,22.7631,"Aug 15, 13",0.005300353356890503
2013-08-16,22.54,22.65,22.38,22.43,346766,346766,-0.33,-1.45,22.4826,"Aug 16, 13",-0.009275618374558342
2013-08-19,22.3,22.86,22.15,22.57,299897,299897,0.14,0.624,22.6152,"Aug 19, 13",-0.003091872791519447
2013-08-20,22.53,22.75,22.23,22.38,390290,390290,-0.19,-0.842,22.5509,"Aug 20, 13",-0.011484098939929398
2013-08-21,22.27,22.5,22.11,22.23,199169,199169,-0.15,-0.67,22.2596,"Aug 21, 13",-0.01810954063604241
2013-08-22,22.3,22.57,22.22,22.44,102091,102091,0.21,0.945,22.4472,"Aug 22, 13",-0.008833922261484068
2013-08-23,22.53,22.53,22.29,22.43,100569,100569,-0.01,-0.045,22.3971,"Aug 23, 13",-0.009275618374558342
2013-08-26,22.41,23.44,22.26,23.19,256293,256293,0.76,3.388,23.1872,"Aug 26, 13",0.024293286219081302
2013-08-27,22.96,23.14,22.1,22.43,285936,285936,-0.76,-3.277,22.4524,"Aug 27, 13",-0.009275618374558342
2013-08-28,22.39,22.67,22.28,22.62,210416,210416,0.19,0.847,22.5393,"Aug 28, 13",-0.000883392226148391
2013-08-29,22.61,23.735,22.61,23.64,308619,308619,1.02,4.509,23.3514,"Aug 29, 13",0.044169611307420496
2013-08-30,23.71,23.86,23.39,23.55,244167,244167,-0.09,-0.381,23.6194,"Aug 30, 13",0.04019434628975266
2013-09-03,23.8,24.07,23.55,24.01,274880,274880,0.46,1.953,23.9349,"Sep 3, 13",0.06051236749116612
2013-09-04,24.11,24.48,23.96,24.07,323524,323524,0.06,0.25,24.1661,"Sep 4, 13",0.0631625441696113
2013-09-05,24.05,24.285,23.886,24.01,186977,186977,-0.06,-0.249,24.0658,"Sep 5, 13",0.06051236749116612
2013-09-06,24.04,24.15,23.24,23.86,106625,106625,-0.15,-0.625,23.8557,"Sep 6, 13",0.05388692579505295
2013-09-09,23.88,24,23.43,23.62,260987,260987,-0.24,-1.006,23.6217,"Sep 9, 13",0.0432862190812721
2013-09-10,23.62,23.85,23.46,23.57,512522,512522,-0.05,-0.212,23.5679,"Sep 10, 13",0.04107773851590105
2013-09-11,23.43,23.43,22.85,23.06,385673,385673,-0.51,-2.164,23.1713,"Sep 11, 13",0.018551236749116524
2013-09-12,23.01,23.21,22.62,22.68,404646,404646,-0.38,-1.648,22.8112,"Sep 12, 13",0.001766784452296782
2013-09-13,22.66,23.04,22.64,23.01,230049,230049,0.33,1.455,22.9492,"Sep 13, 13",0.016342756183745626
2013-09-16,23.25,23.59,22.96,23.42,228204,228204,0.41,1.782,23.2992,"Sep 16, 13",0.034452296819788036
2013-09-17,23.42,23.8,23.36,23.62,164983,164983,0.2,0.854,23.6316,"Sep 17, 13",0.0432862190812721
2013-09-18,23.56,23.67,22.92,23.19,288802,288802,-0.43,-1.82,23.193,"Sep 18, 13",0.024293286219081302
2013-09-19,23.17,23.17,22,22.04,511821,511821,-1.15,-4.959,22.3478,"Sep 19, 13",-0.02650176678445236
2013-09-20,22.04,22.37,21.29,21.39,644301,644301,-0.65,-2.949,21.5579,"Sep 20, 13",-0.055212014134275615
2013-09-23,21.33,21.4,18.75,18.88,1514943,1514943,-2.51,-11.734,19.6659,"Sep 23, 13",-0.16607773851590113
2013-09-24,19.2,20.78,18.79,20.45,1473323,1473323,1.57,8.316,20.0233,"Sep 24, 13",-0.09673144876325093
2013-09-25,20.35,20.9,18.875,18.93,869030,869030,-1.52,-7.433,19.4797,"Sep 25, 13",-0.16386925795053006
2013-09-26,18.93,19.279,18.36,18.64,636559,636559,-0.29,-1.532,18.7703,"Sep 26, 13",-0.17667844522968199
2013-09-27,18.64,18.8,18.15,18.75,398089,398089,0.11,0.59,18.6079,"Sep 27, 13",-0.17181978798586575
2013-09-30,18.64,19.14,18.501,19.06,442705,442705,0.31,1.653,19.0073,"Sep 30, 13",-0.15812720848056544
2013-10-01,19.4,19.7,18.92,19.14,565960,565960,0.08,0.42,19.3035,"Oct 1, 13",-0.15459363957597172
2013-10-02,19.07,19.15,18.795,18.89,269837,269837,-0.25,-1.306,18.9024,"Oct 2, 13",-0.16563604240282684
2013-10-03,18.82,19.11,18.54,19.1,431014,431014,0.21,1.112,18.8802,"Oct 3, 13",-0.1563604240282685
2013-10-04,19.15,19.48,18.98,19.23,309211,309211,0.13,0.681,19.2557,"Oct 4, 13",-0.1506183745583039
2013-10-07,19.16,19.95,19.16,19.68,511132,511132,0.45,2.34,19.6473,"Oct 7, 13",-0.1307420494699647
2013-10-08,20.89,20.89,19.69,19.75,660104,660104,0.07,0.356,20.0343,"Oct 8, 13",-0.12765017667844525
2013-10-09,19.75,19.95,19.32,19.57,363431,363431,-0.18,-0.911,19.5703,"Oct 9, 13",-0.13560070671378094
2013-10-10,19.73,19.9,19.56,19.74,189534,189534,0.17,0.869,19.736,"Oct 10, 13",-0.1280918727915195
2013-10-11,19.64,19.84,19.324,19.83,254900,254900,0.09,0.456,19.6195,"Oct 11, 13",-0.12411660777385168
2013-10-14,19.69,20.57,19.69,20.3,293985,293985,0.47,2.37,20.24,"Oct 14, 13",-0.10335689045936394
2013-10-15,20.28,20.28,19.8,20.06,198275,198275,-0.24,-1.182,20.0354,"Oct 15, 13",-0.11395759717314495
2013-10-16,20.25,20.45,20.04,20.29,253865,253865,0.23,1.147,20.2486,"Oct 16, 13",-0.10379858657243822
2013-10-17,20.27,20.53,20.12,20.42,295994,295994,0.13,0.641,20.3693,"Oct 17, 13",-0.09805653710247345
2013-10-18,20.62,20.75,20.073,20.16,291552,291552,-0.26,-1.273,20.2988,"Oct 18, 13",-0.10954063604240284
2013-10-21,20.18,20.52,20.18,20.33,209838,209838,0.17,0.843,20.3365,"Oct 21, 13",-0.10203180212014144
2013-10-22,20.35,20.61,20.15,20.18,295358,295358,-0.15,-0.738,20.3047,"Oct 22, 13",-0.10865724381625445
2013-10-23,20.14,20.87,20.1,20.59,225529,225529,0.41,2.032,20.584,"Oct 23, 13",-0.09054770318021205
2013-10-24,20.64,21.05,20.6,20.97,198038,198038,0.38,1.846,20.9072,"Oct 24, 13",-0.0737632508833923
2013-10-25,21.06,21.58,21.045,21.42,304285,304285,0.45,2.146,21.2956,"Oct 25, 13",-0.05388692579505295
2013-10-28,21.45,21.61,21.14,21.61,244028,244028,0.19,0.887,21.4531,"Oct 28, 13",-0.045494699646643155
2013-10-29,21.67,21.78,21.41,21.75,224854,224854,0.14,0.648,21.6465,"Oct 29, 13",-0.03931095406360426
2013-10-30,21.73,22,21.55,21.68,446632,446632,-0.07,-0.322,21.8102,"Oct 30, 13",-0.04240282685512371
2013-10-31,21.63,24.13,21.446,24.01,1213516,1213516,2.33,10.747,23.6186,"Oct 31, 13",0.06051236749116612
2013-11-01,23.92,24.43,23.29,24.36,829733,829733,0.35,1.458,24.1913,"Nov 1, 13",0.0759717314487632
2013-11-04,24.37,25,23.56,24.85,639567,639567,0.49,2.011,24.7425,"Nov 4, 13",0.09761484098939933
2013-11-05,24.86,24.97,24.11,24.42,452166,452166,-0.43,-1.73,24.4326,"Nov 5, 13",0.07862190812720853
2013-11-06,24.62,26.48,24.315,25.84,1325759,1325759,1.42,5.815,25.533,"Nov 6, 13",0.14134275618374556
2013-11-07,25.99,26.32,25.12,26.15,897104,897104,0.31,1.2,25.9272,"Nov 7, 13",0.15503533568904584
2013-11-08,25.72,27.24,25.71,27.19,734513,734513,1.04,3.977,26.8087,"Nov 8, 13",0.2009717314487633
2013-11-11,27,27.45,26.35,27.14,682715,682715,-0.05,-0.184,27.001,"Nov 11, 13",0.19876325088339222
2013-11-12,27.16,27.48,26.83,27.42,419082,419082,0.28,1.032,27.2415,"Nov 12, 13",0.21113074204947002
2013-11-13,27.31,27.68,26.91,27.68,325382,325382,0.26,0.948,27.4266,"Nov 13, 13",0.22261484098939924
2013-11-14,27.59,27.63,27.0501,27.29,154597,154597,-0.39,-1.409,27.6082,"Nov 14, 13",0.20538869257950523
2013-11-15,27.32,27.68,27.23,27.57,245294,245294,0.28,1.026,27.4656,"Nov 15, 13",0.21775618374558303
2013-11-18,27.59,27.75,26.71,26.99,264802,264802,-0.58,-2.104,27.2451,"Nov 18, 13",0.19213780918727905
2013-11-19,26.94,27.49,26.7,27.26,231048,231048,0.27,1,27.2334,"Nov 19, 13",0.20406360424028272
2013-11-20,27.26,27.5,27.03,27.27,281293,281293,0.01,0.037,27.2906,"Nov 20, 13",0.20450530035335684
2013-11-21,27.43,28.5,27.25,28.37,415066,415066,1.1,4.034,28.1188,"Nov 21, 13",0.25309187279151946
2013-11-22,28.5,29.24,28.46,28.77,492221,492221,0.4,1.41,28.9118,"Nov 22, 13",0.27075971731448756
2013-11-25,28.91,29.1,28.11,28.23,237619,237619,-0.54,-1.877,28.3643,"Nov 25, 13",0.24690812720848054
2013-11-26,28.18,28.63,28.16,28.21,359459,359459,-0.02,-0.071,28.3149,"Nov 26, 13",0.24602473498233215
2013-11-27,28.3,28.99,27.81,28.55,299720,299720,0.34,1.205,28.2288,"Nov 27, 13",0.26104240282685515
2013-11-29,28.7,28.889,28.52,28.59,111565,111565,0.04,0.14,28.6225,"Nov 29, 13",0.2628091872791519
2013-12-02,28.59,28.71,27.95,28.06,359349,359349,-0.53,-1.854,28.185,"Dec 2, 13",0.239399293286219
2013-12-03,28.03,28.27,27.67,28.07,327857,327857,0.01,0.036,27.9498,"Dec 3, 13",0.23984098939929327
2013-12-04,28.03,28.03,26.8239,27.44,304495,304495,-0.63,-2.244,27.3809,"Dec 4, 13",0.2120141342756184
2013-12-05,27.38,28,27.18,27.71,487048,487048,0.27,0.984,27.6871,"Dec 5, 13",0.22393992932862192
2013-12-06,27.99,28.25,27.6196,27.68,223313,223313,-0.03,-0.108,27.8501,"Dec 6, 13",0.22261484098939924
2013-12-09,27.75,27.97,27.07,27.88,326103,326103,0.2,0.723,27.6179,"Dec 9, 13",0.23144876325088332
2013-12-10,27.76,27.968,27.16,27.4,353838,353838,-0.48,-1.722,27.4616,"Dec 10, 13",0.21024734982332147
2013-12-11,27.47,27.62,26.55,26.6,564412,564412,-0.8,-2.92,26.9025,"Dec 11, 13",0.17491166077738518
2013-12-12,26.62,27.01,26.061,26.6,239841,239841,0,0,26.7715,"Dec 12, 13",0.17491166077738518
2013-12-13,26.69,26.91,26.52,26.7,240280,240280,0.1,0.376,26.6911,"Dec 13, 13",0.17932862190812715
2013-12-16,26.75,26.86,26.22,26.64,268473,268473,-0.06,-0.225,26.1001,"Dec 16, 13",0.17667844522968199
2013-12-17,26.65,26.65,26.09,26.42,160232,160232,-0.22,-0.826,26.3975,"Dec 17, 13",0.16696113074204952
2013-12-18,26.51,27.34,26.2,27.3,397251,397251,0.88,3.331,26.678,"Dec 18, 13",0.2058303886925795
2013-12-19,27.33,27.542,25.91,26.38,405479,405479,-0.92,-3.37,26.5265,"Dec 19, 13",0.16519434628975257
2013-12-20,26.41,27.13,26.1,27.02,752587,752587,0.64,2.426,26.8546,"Dec 20, 13",0.19346289752650173
2013-12-23,27.09,27.51,26.85,27.47,279469,279469,0.45,1.665,27.2865,"Dec 23, 13",0.2133392226148409
2013-12-24,27.41,27.57,26.85,27.12,138486,138486,-0.35,-1.274,27.2486,"Dec 24, 13",0.19787985865724383
2013-12-26,27.17,27.18,26.58,26.95,259377,259377,-0.17,-0.627,26.9866,"Dec 26, 13",0.19037102473498227
2013-12-27,27.06,27.86,26.67,27.04,127592,127592,0.09,0.334,26.9683,"Dec 27, 13",0.19434628975265011
2013-12-30,26.91,27.78,26.67,27.46,326469,326469,0.42,1.553,27.4971,"Dec 30, 13",0.2128975265017668
2013-12-31,27.47,27.47,26.69,26.74,368865,368865,-0.72,-2.622,26.9707,"Dec 31, 13",0.18109540636042393
2014-01-02,26.66,27.25,26.27,26.85,232832,232832,0.11,0.411,26.6569,"Jan 2, 14",0.18595406360424033
2014-01-03,26.84,27.15,26.5,27.06,209528,209528,0.21,0.782,26.9247,"Jan 3, 14",0.1952296819787985
2014-01-06,27.23,27.94,27.06,27.3,241620,241620,0.24,0.887,27.2733,"Jan 6, 14",0.2058303886925795
2014-01-07,27.36,27.69,27.215,27.62,304149,304149,0.32,1.172,27.5268,"Jan 7, 14",0.21996466431095407
2014-01-08,27.54,28.3373,27.25,28.23,404553,404553,0.61,2.209,28.1433,"Jan 8, 14",0.24690812720848054
2014-01-09,28.22,29.72,27.84,29.55,433226,433226,1.32,4.676,29.0845,"Jan 9, 14",0.3052120141342756
2014-01-10,29.67,30.77,29.32,30.03,434250,434250,0.48,1.624,30.1809,"Jan 10, 14",0.3264134275618375
2014-01-13,30.01,30.035,28.84,29.25,326101,326101,-0.78,-2.597,29.0219,"Jan 13, 14",0.29196113074204944
2014-01-14,29.4,29.74,29.25,29.55,192784,192784,0.3,1.026,29.5252,"Jan 14, 14",0.3052120141342756
2014-01-15,29.42,29.545,27.91,28.42,517693,517693,-1.13,-3.824,28.3113,"Jan 15, 14",0.2553003533568905
2014-01-16,28.29,28.48,27.9,27.99,318403,318403,-0.43,-1.513,28.078,"Jan 16, 14",0.23630742049469955
2014-01-17,27.82,28,27.51,27.76,2005892,2005892,-0.23,-0.822,27.7636,"Jan 17, 14",0.22614840989399296
2014-01-21,27.98,28.17,27.57,27.69,327536,327536,-0.07,-0.252,27.814,"Jan 21, 14",0.22305653710247353
2014-01-22,27.8,27.89,27.52,27.57,197074,197074,-0.12,-0.433,27.631,"Jan 22, 14",0.21775618374558303
2014-01-23,27.4,27.57,26.84,27.25,256398,256398,-0.32,-1.161,27.163,"Jan 23, 14",0.20362190812720846
2014-01-24,26.93,27.53,26.02,26.42,348607,348607,-0.83,-3.046,26.7195,"Jan 24, 14",0.16696113074204952
2014-01-27,26.54,27.01,26.34,26.55,300626,300626,0.13,0.492,25.8768,"Jan 27, 14",0.17270318021201414
2014-01-28,26.49,27.08,26.26,26.56,321779,321779,0.01,0.038,26.66,"Jan 28, 14",0.17314487632508826
2014-01-29,26.35,26.526,25.92,26.21,325039,325039,-0.35,-1.318,26.135,"Jan 29, 14",0.15768551236749118
2014-01-30,29.49,29.49,26.57,26.93,585114,585114,0.72,2.747,26.9831,"Jan 30, 14",0.18948763250883388
2014-01-31,26.7,28.02,25.77,27.49,604238,604238,0.56,2.079,27.3947,"Jan 31, 14",0.2142226148409893
2014-02-03,27.1,27.15,25.96,26.43,761889,761889,-1.06,-3.856,26.5003,"Feb 3, 14",0.16740282685512364
2014-02-04,26.59,26.59,25.97,26.32,444410,444410,-0.11,-0.416,26.1845,"Feb 4, 14",0.1625441696113074
2014-02-05,26.26,26.7,25.32,26.08,392904,392904,-0.24,-0.912,26.4103,"Feb 5, 14",0.1519434628975264
2014-02-06,26.2,26.58,26.0001,26.51,279131,279131,0.43,1.649,26.4266,"Feb 6, 14",0.17093639575971736
2014-02-07,26.56,27.21,26.41,27.09,273832,273832,0.58,2.188,26.9616,"Feb 7, 14",0.19655477031802115
2014-02-10,27.1,27.1,26.51,26.97,241473,241473,-0.12,-0.443,26.9291,"Feb 10, 14",0.19125441696113066
2014-02-11,26.94,27.33,26.58,27.18,245337,245337,0.21,0.779,27.0294,"Feb 11, 14",0.200530035335689
2014-02-12,27.12,27.36,26.85,27.35,203937,203937,0.17,0.625,27.1993,"Feb 12, 14",0.20803886925795056
2014-02-13,27.24,28.37,26.76,28.19,521213,521213,0.84,3.071,28.0806,"Feb 13, 14",0.24514134275618377
2014-02-14,28.13,28.65,27.89,28.14,302166,302166,-0.05,-0.177,28.1643,"Feb 14, 14",0.24293286219081273
2014-02-18,28.18,28.98,28.018,28.77,450955,450955,0.63,2.239,28.6466,"Feb 18, 14",0.27075971731448756
2014-02-19,28.74,29,28.6,28.7,332131,332131,-0.07,-0.243,28.7562,"Feb 19, 14",0.26766784452296816
2014-02-20,28.4,28.85,27.79,28.58,544838,544838,-0.12,-0.418,28.4994,"Feb 20, 14",0.2623674911660776
2014-02-21,28.73,28.894,28.05,28.72,348342,348342,0.14,0.49,28.6135,"Feb 21, 14",0.2685512367491165
