date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,20.69,21.7465,20.61,21.59,3081655,3081655,1.18,5.781,21.2803,"Aug 5, 13",0
2013-08-06,21.85,21.85,20.51,20.68,2509433,2509433,-0.91,-4.215,20.7579,"Aug 6, 13",-0.04214914312181566
2013-08-07,19.95,20.58,19.55,20.39,3332223,3332223,-0.29,-1.402,20.0702,"Aug 7, 13",-0.055581287633163466
2013-08-08,20.29,20.8,19.66,19.78,1742646,1742646,-0.61,-2.992,19.997,"Aug 8, 13",-0.08383510884668822
2013-08-09,19.61,20.89,19.58,20.76,2409773,2409773,0.98,4.954,20.3788,"Aug 9, 13",-0.038443723946271345
2013-08-12,20.67,20.89,19.976,20.17,1696491,1696491,-0.59,-2.842,20.3668,"Aug 12, 13",-0.06577119036591006
2013-08-13,20.23,20.51,19.66,20.12,1986893,1986893,-0.05,-0.248,20.0123,"Aug 13, 13",-0.06808707735062523
2013-08-14,20.12,20.4,19.93,20.05,949146,949146,-0.07,-0.348,20.0931,"Aug 14, 13",-0.07132931912922645
2013-08-15,19.97,20.06,19.52,19.62,1516148,1516148,-0.43,-2.145,19.7274,"Aug 15, 13",-0.09124594719777669
2013-08-16,19.53,20.25,19.27,19.7,1488855,1488855,0.08,0.408,19.8675,"Aug 16, 13",-0.08754052802223254
2013-08-19,19.71,20.0537,19.53,19.61,1044909,1044909,-0.09,-0.457,19.6382,"Aug 19, 13",-0.0917091245947198
2013-08-20,19.7,20.17,19.61,19.86,895522,895522,0.25,1.275,19.9192,"Aug 20, 13",-0.08012968967114407
2013-08-21,19.87,20.74,19.86,20.18,2229881,2229881,0.32,1.611,20.2459,"Aug 21, 13",-0.06530801296896713
2013-08-22,20.23,20.56,20.2,20.47,757112,757112,0.29,1.437,20.4156,"Aug 22, 13",-0.051875868457619316
2013-08-23,20.53,20.8101,20.3401,20.63,942277,942277,0.16,0.782,20.5913,"Aug 23, 13",-0.04446503010653084
2013-08-26,20.58,21.4499,20.51,20.9,2106713,2106713,0.27,1.309,21.0542,"Aug 26, 13",-0.031959240389069075
2013-08-27,20.71,20.74,19.9,19.96,1844318,1844318,-0.94,-4.498,20.149,"Aug 27, 13",-0.07549791570171371
2013-08-28,19.96,20.32,19.83,20.11,1641390,1641390,0.15,0.752,20.071,"Aug 28, 13",-0.06855025474756835
2013-08-29,20.1,20.75,20.1,20.47,980649,980649,0.36,1.79,20.4508,"Aug 29, 13",-0.051875868457619316
2013-08-30,20.5,20.61,19.88,19.96,851477,851477,-0.51,-2.491,20.0362,"Aug 30, 13",-0.07549791570171371
2013-09-03,20.3,20.57,20.1,20.53,886827,886827,0.57,2.856,20.3428,"Sep 3, 13",-0.04909680407596104
2013-09-04,20.04,20.5,20.01,20.49,1317924,1317924,-0.04,-0.195,20.3152,"Sep 4, 13",-0.05094951366373328
2013-09-05,20.47,21.36,20.4001,21.2,2181176,2181176,0.71,3.465,20.9936,"Sep 5, 13",-0.018063918480778166
2013-09-06,21.37,21.7,20.6,21.41,1454895,1454895,0.21,0.991,21.3772,"Sep 6, 13",-0.008337193144974513
2013-09-09,21.55,23.49,21.55,22.79,4312545,4312545,1.38,6.446,22.9628,"Sep 9, 13",0.055581287633163466
2013-09-10,23.1,23.21,22.3,22.93,1734049,1734049,0.14,0.614,22.7374,"Sep 10, 13",0.0620657711903659
2013-09-11,22.81,23.02,22.37,23,1150069,1150069,0.07,0.305,22.7632,"Sep 11, 13",0.06530801296896713
2013-09-12,22.94,23.35,22.64,22.71,1258874,1258874,-0.29,-1.261,22.9267,"Sep 12, 13",0.051875868457619316
2013-09-13,22.84,23.22,22.4,23.12,2247053,2247053,0.41,1.805,22.8139,"Sep 13, 13",0.07086614173228352
2013-09-16,23.5,23.92,23,23.29,2041885,2041885,0.17,0.735,23.4927,"Sep 16, 13",0.07874015748031493
2013-09-17,23.26,23.87,22.84,23.76,1898772,1898772,0.47,2.018,23.4877,"Sep 17, 13",0.10050949513663741
2013-09-18,23.76,24.0997,23.4,23.72,1330484,1330484,-0.04,-0.168,23.7453,"Sep 18, 13",0.09865678554886517
2013-09-19,23.92,24.5,23.65,24.5,1689545,1689545,0.78,3.288,24.1718,"Sep 19, 13",0.1347846225104215
