date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,36.34,37.01,36.26,36.73,485952,485952,-0.75,-2.001,36.7047,"Aug 5, 13",0
2013-08-06,36.66,36.92,36.27,36.38,256939,256939,-0.35,-0.953,36.5394,"Aug 6, 13",-0.009528995371630666
2013-08-07,36.05,36.43,34.73,34.95,589104,589104,-1.43,-3.931,35.2379,"Aug 7, 13",-0.04846174789000801
2013-08-08,35.24,35.4,34.49,35.39,300655,300655,0.44,1.259,34.9894,"Aug 8, 13",-0.03648243942281504
2013-08-09,35.2,35.66,34.48,34.49,160941,160941,-0.9,-2.543,34.7601,"Aug 9, 13",-0.06098557037843711
2013-08-12,34.48,35.54,34.2,35.45,293159,293159,0.96,2.783,35.1215,"Aug 12, 13",-0.03484889735910684
2013-08-13,35.58,35.58,34.22,34.39,259831,259831,-1.06,-2.99,34.5739,"Aug 13, 13",-0.06370814048461738
2013-08-14,34.3,34.82,34.16,34.42,261752,261752,0.03,0.087,34.475,"Aug 14, 13",-0.06289136945276329
2013-08-15,34.21,34.79,33.67,34.49,256250,256250,0.07,0.203,34.4354,"Aug 15, 13",-0.06098557037843711
2013-08-16,34.27,34.64,33.67,34.05,408545,408545,-0.44,-1.276,34.0446,"Aug 16, 13",-0.07296487884563027
2013-08-19,34.12,34.54,33.52,33.97,343600,343600,-0.08,-0.235,34.0273,"Aug 19, 13",-0.07514293493057442
2013-08-20,34.05,34.95,33.76,34.91,478596,478596,0.94,2.767,34.3959,"Aug 20, 13",-0.04955077593248027
2013-08-21,34.92,35.03,33.5,33.76,327149,327149,-1.15,-3.294,34.0089,"Aug 21, 13",-0.08086033215355293
2013-08-22,33.79,35.36,33.79,34.54,194090,194090,0.78,2.31,34.5735,"Aug 22, 13",-0.05962428532534707
2013-08-23,34.52,35.3799,34.26,34.36,148651,148651,-0.18,-0.521,34.444,"Aug 23, 13",-0.06452491151647148
2013-08-26,34.36,35.51,33.8925,34.66,241041,241041,0.3,0.873,34.7869,"Aug 26, 13",-0.05635720119793086
2013-08-27,34.23,34.3295,33.22,33.48,243366,243366,-1.18,-3.405,33.6,"Aug 27, 13",-0.08848352845085762
2013-08-28,33.45,34.23,33.19,34.05,184812,184812,0.57,1.703,33.827,"Aug 28, 13",-0.07296487884563027
2013-08-29,34.12,34.83,33.9762,34.51,175306,175306,0.46,1.351,34.4263,"Aug 29, 13",-0.06044105635720117
2013-08-30,34.46,34.64,33.72,33.79,178853,178853,-0.72,-2.086,33.9194,"Aug 30, 13",-0.08004356112169883
2013-09-03,34.26,35.38,34.26,34.93,392914,392914,1.14,3.374,34.9608,"Sep 3, 13",-0.04900626191124414
2013-09-04,35.07,35.96,34.675,35.88,257747,257747,0.95,2.72,35.6724,"Sep 4, 13",-0.02314184590253184
2013-09-05,35.9,36.25,35.34,35.91,140456,140456,0.03,0.084,35.6765,"Sep 5, 13",-0.02232507487067793
2013-09-06,35.61,36.02,34.38,35.69,243950,243950,-0.22,-0.613,35.6642,"Sep 6, 13",-0.028314729104274416
2013-09-09,35.84,37.17,35.53,37.04,256677,256677,1.35,3.783,36.6555,"Sep 9, 13",0.008439967329158788
2013-09-10,37.31,37.31,36.33,36.92,201926,201926,-0.12,-0.324,36.6851,"Sep 10, 13",0.005172883201742577
2013-09-11,36.8,37.17,36.31,37.11,199552,199552,0.19,0.515,36.9296,"Sep 11, 13",0.01034576640348496
2013-09-12,37.19,37.37,36.51,37.15,182853,182853,0.04,0.108,37.1363,"Sep 12, 13",0.011434794445957032
