date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,22.15,22.29,22.035,22.15,6118,6118,-0.08,-0.36,22.1943,"Aug 5, 13",0
2013-08-06,22.25,22.29,22.1926,22.28,4062,4062,0.13,0.587,22.2806,"Aug 6, 13",0.005869074492099439
2013-08-07,21.8,22.03,19.1,20.06,28450,28450,-2.22,-9.964,20.5386,"Aug 7, 13",-0.0943566591422122
2013-08-08,19.8,19.9799,19.17,19.3,4677,4677,-0.76,-3.789,19.4693,"Aug 8, 13",-0.128668171557562
2013-08-09,19.34,19.969,19.153,19.86,2052,2052,0.56,2.902,19.639,"Aug 9, 13",-0.10338600451467266
2013-08-12,19.95,22.3,19.95,21,11780,11780,1.14,5.74,21.093,"Aug 12, 13",-0.0519187358916478
2013-08-13,21,21,20.5,20.69,2720,2720,-0.31,-1.476,20.733,"Aug 13, 13",-0.06591422121896151
2013-08-14,19.9801,21,19.98,20.1,4699,4699,-0.59,-2.852,20.5903,"Aug 14, 13",-0.09255079006771996
2013-08-15,20.969,20.99,20.22,20.99,2798,2798,0.89,4.428,20.9174,"Aug 15, 13",-0.05237020316027089
2013-08-16,20.99,20.99,20.71,20.95,7124,7124,-0.04,-0.191,20.9224,"Aug 16, 13",-0.05417607223476295
2013-08-19,21,21,20.1801,20.74,4151,4151,-0.21,-1.002,20.7409,"Aug 19, 13",-0.06365688487584652
2013-08-20,20.9,20.9,20.34,20.5,3196,3196,-0.24,-1.157,20.6256,"Aug 20, 13",-0.07449209932279904
2013-08-21,20.6,20.8899,20.36,20.79,3485,3485,0.29,1.415,20.7012,"Aug 21, 13",-0.06139954853273136
2013-08-22,20.3815,20.8975,20.3815,20.88,649,649,0.09,0.433,20.6998,"Aug 22, 13",-0.05733634311512414
2013-08-23,20.81,20.889,20,20.16,11525,11525,-0.72,-3.448,20.2921,"Aug 23, 13",-0.08984198645598188
2013-08-26,20.38,20.8799,20.18,20.68,2282,2282,0.52,2.579,20.5233,"Aug 26, 13",-0.0663656884875846
2013-08-27,20.6,20.62,20.3141,20.48,2004,2004,-0.2,-0.967,20.4883,"Aug 27, 13",-0.07539503386004506
2013-08-28,20.5,20.5,20.46,20.46,1179,1179,-0.02,-0.098,20.48,"Aug 28, 13",-0.0762979683972911
2013-08-29,20.54,20.989,20.5,20.5,2164,2164,0.04,0.196,20.7601,"Aug 29, 13",-0.07449209932279904
2013-08-30,20.52,20.97,20.175,20.19,500,500,-0.31,-1.512,20.565,"Aug 30, 13",-0.08848758465011275
2013-09-03,20.35,20.39,20.13,20.39,4531,4531,0.2,0.991,20.2243,"Sep 3, 13",-0.07945823927765229
