date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-10-17,0.8,1.02,0.7999,0.92,487437,487437,0.92,0,0.925742,"Oct 17, 13",0
2013-10-18,0.87,1.08,0.87,1.03,124925,124925,0.11,11.957,0.989285,"Oct 18, 13",0.11956521739130432
2013-10-21,1.08,1.3,1.07,1.2,148725,148725,0.17,16.505,1.1731,"Oct 21, 13",0.30434782608695643
2013-10-22,1.2,1.2,1,1.1,95742,95742,-0.1,-8.333,1.0866,"Oct 22, 13",0.19565217391304351
2013-10-23,1,1.1,0.9901,1.04,99559,99559,-0.06,-5.455,1.0222,"Oct 23, 13",0.13043478260869565
2013-10-24,1.04,1.0999,1.04,1.05,75900,75900,0.01,0.962,1.0546,"Oct 24, 13",0.14130434782608695
2013-10-25,1.05,1.05,1,1.05,17355,17355,0,0,1.0263,"Oct 25, 13",0.14130434782608695
2013-10-28,1.15,1.15,1.04,1.07,27450,27450,0.02,1.905,1.0963,"Oct 28, 13",0.1630434782608696
2013-10-29,2.5,2.5,1.15,1.28,93045,93045,0.21,19.626,1.2406,"Oct 29, 13",0.3913043478260869
2013-10-30,1.4,1.4,1.3,1.34,49223,49223,0.06,4.688,1.3418,"Oct 30, 13",0.4565217391304348
2013-10-31,1.3,1.34,1.25,1.2936,24269,24269,-0.0464,-3.463,1.2765,"Oct 31, 13",0.40608695652173915
2013-11-01,1.2952,1.34,1.26,1.31,23110,23110,0.0164,1.268,1.3025,"Nov 1, 13",0.42391304347826086
2013-11-04,1.49,1.49,1.36,1.44,49550,49550,0.13,9.924,1.4049,"Nov 4, 13",0.5652173913043477
2013-11-05,1.457,1.47,1.4,1.47,23575,23575,0.03,2.083,1.4341,"Nov 5, 13",0.5978260869565216
2013-11-06,1.4001,1.45,1.4,1.42,13894,13894,-0.05,-3.401,1.416,"Nov 6, 13",0.5434782608695651
2013-11-07,1.3976,1.3976,1.3,1.3,1968,1968,-0.12,-8.451,1.3277,"Nov 7, 13",0.41304347826086957
2013-11-08,1.32,1.35,1.17,1.25,32622,32622,-0.05,-3.846,1.2422,"Nov 8, 13",0.35869565217391297
2013-11-11,1.25,1.25,1,1.12,32832,32832,-0.13,-10.4,1.1769,"Nov 11, 13",0.21739130434782614
2013-11-12,1.119,1.119,1.07,1.07,2392,2392,-0.05,-4.464,1.0933,"Nov 12, 13",0.1630434782608696
2013-11-13,1.0592,1.07,1,1.02,23914,23914,-0.05,-4.673,1.0239,"Nov 13, 13",0.10869565217391301
2013-11-14,1.0554,1.07,0.9956,1,36806,36806,-0.02,-1.961,1.0039,"Nov 14, 13",0.08695652173913039
2013-11-15,1.05,1.0501,0.9835,1,57930,57930,0,0,1.0131,"Nov 15, 13",0.08695652173913039
2013-11-18,1.09,1.17,1.087,1.1165,56810,56810,0.1165,11.65,1.1212,"Nov 18, 13",0.21358695652173912
2013-11-19,1.1414,1.17,1.1414,1.16,14400,14400,0.0435,3.896,1.1579,"Nov 19, 13",0.2608695652173912
2013-11-20,1.1701,1.2001,1.1701,1.2,5100,5100,0.04,3.448,1.1948,"Nov 20, 13",0.30434782608695643
2013-11-21,1.2799,1.4,1.15,1.21,11950,11950,0.01,0.833,1.222,"Nov 21, 13",0.3152173913043477
2013-11-22,1.2001,1.49,1.2001,1.28,55829,55829,0.07,5.785,1.2766,"Nov 22, 13",0.3913043478260869
2013-11-25,1.3101,1.39,1.2999,1.39,37110,37110,0.11,8.594,1.3571,"Nov 25, 13",0.5108695652173911
2013-11-26,1.4,1.5,1.3999,1.4,33020,33020,0.01,0.719,1.4443,"Nov 26, 13",0.5217391304347825
2013-11-27,1.4807,1.4807,1.3,1.47,19300,19300,0.07,5,1.3826,"Nov 27, 13",0.5978260869565216
2013-11-29,1.478,1.499,1.4501,1.475,2531,2531,0.005,0.34,1.4646,"Nov 29, 13",0.6032608695652174
2013-12-02,1.45,1.5,1.45,1.46,10050,10050,-0.015,-1.017,1.4638,"Dec 2, 13",0.5869565217391304
2013-12-03,1.45,1.48,1.31,1.4775,19505,19505,0.0175,1.199,1.3835,"Dec 3, 13",0.6059782608695652
2013-12-04,1.36,1.48,1.3,1.4,10420,10420,-0.0775,-5.245,1.3725,"Dec 4, 13",0.5217391304347825
2013-12-05,1.4201,1.45,1.4201,1.4465,2900,2900,0.0465,3.321,1.438,"Dec 5, 13",0.572282608695652
2013-12-06,1.439,1.44,1.3,1.4,4240,4240,-0.0465,-3.215,1.3578,"Dec 6, 13",0.5217391304347825
2013-12-09,1.64,1.9755,1.3,1.52,121627,121627,0.12,8.571,1.6231,"Dec 9, 13",0.6521739130434782
2013-12-10,1.4,1.53,1.3999,1.4701,31364,31364,-0.0499,-3.283,1.4757,"Dec 10, 13",0.5979347826086956
2013-12-11,1.5,1.5,1.4499,1.4499,8547,8547,-0.0202,-1.374,1.4545,"Dec 11, 13",0.5759782608695652
2013-12-12,1.3999,1.5,1.3601,1.5,13810,13810,0.0501,3.455,1.432,"Dec 12, 13",0.6304347826086956
2013-12-13,1.42,1.59,1.42,1.55,10586,10586,0.05,3.333,1.5408,"Dec 13, 13",0.6847826086956521
2013-12-16,1.56,1.59,1.55,1.55,9250,9250,0,0,1.5643,"Dec 16, 13",0.6847826086956521
2013-12-17,1.6,1.65,1.5301,1.6,18625,18625,0.05,3.226,1.5951,"Dec 17, 13",0.7391304347826088
2013-12-18,1.58,1.6481,1.58,1.6481,2250,2250,0.0481,3.006,1.5953,"Dec 18, 13",0.7914130434782607
2013-12-19,1.55,1.551,1.518,1.55,6544,6544,-0.0981,-5.952,1.5354,"Dec 19, 13",0.6847826086956521
2013-12-20,1.4,1.55,1.3965,1.55,20874,20874,0,0,1.4545,"Dec 20, 13",0.6847826086956521
2013-12-23,1.41,1.55,1.41,1.5,9354,9354,-0.05,-3.226,1.4793,"Dec 23, 13",0.6304347826086956
2013-12-24,1.55,1.65,1.55,1.615,32680,32680,0.115,7.667,1.5613,"Dec 24, 13",0.7554347826086956
2013-12-26,1.41,1.7,1.3,1.7,18589,18589,0.085,5.263,1.6392,"Dec 26, 13",0.8478260869565216
2013-12-27,1.73,1.74,1.65,1.74,12779,12779,0.04,2.353,1.7333,"Dec 27, 13",0.8913043478260869
2013-12-30,1.78,1.78,1.6,1.73,15652,15652,-0.01,-0.575,1.6512,"Dec 30, 13",0.8804347826086956
2013-12-31,1.7,1.7,1.6,1.65,11677,11677,-0.08,-4.624,1.689,"Dec 31, 13",0.7934782608695651
2014-01-02,1.6899,1.6899,1.66,1.66,2375,2375,0.01,0.606,1.6822,"Jan 2, 14",0.8043478260869563
2014-01-03,1.61,1.65,1.48,1.55,24485,24485,-0.11,-6.627,1.5481,"Jan 3, 14",0.6847826086956521
2014-01-06,1.5,1.5,1.45,1.45,27665,27665,-0.1,-6.452,1.4856,"Jan 6, 14",0.576086956521739
2014-01-07,1.3501,1.6,1.3501,1.6,15410,15410,0.15,10.345,1.5946,"Jan 7, 14",0.7391304347826088
2014-01-08,1.48,1.5,1.41,1.49,13650,13650,-0.11,-6.875,1.4649,"Jan 8, 14",0.6195652173913042
2014-01-09,1.41,1.551,1.4001,1.55,13955,13955,0.06,4.027,1.5261,"Jan 9, 14",0.6847826086956521
2014-01-10,1.55,1.7,1.55,1.665,15377,15377,0.115,7.419,1.5784,"Jan 10, 14",0.8097826086956521
2014-01-13,1.68,2.11,1.67,1.89,41766,41766,0.225,13.514,1.8306,"Jan 13, 14",1.0543478260869563
2014-01-14,2.49,2.49,1.73,2,66225,66225,0.11,5.82,1.857,"Jan 14, 14",1.173913043478261
2014-01-15,2.0999,2.2182,1.988,2.1601,50063,50063,0.1601,8.005,2.1489,"Jan 15, 14",1.3479347826086956
2014-01-16,2.2886,2.29,2.1,2.13,41161,41161,-0.0301,-1.393,2.1826,"Jan 16, 14",1.3152173913043477
2014-01-17,2,2.24,2,2.2,64814,64814,0.07,3.286,2.0675,"Jan 17, 14",1.3913043478260871
2014-01-21,2.44,2.44,2.154,2.2608,37906,37906,0.0608,2.764,2.2508,"Jan 21, 14",1.4573913043478262
2014-01-22,2.3875,2.39,2.3,2.314,41200,41200,0.0532,2.353,2.3452,"Jan 22, 14",1.5152173913043478
2014-01-23,2.35,2.35,2.0319,2.3385,86874,86874,0.0245,1.059,2.2695,"Jan 23, 14",1.5418478260869564
2014-01-24,2.15,2.2008,2.15,2.2,9775,9775,-0.1385,-5.923,2.194,"Jan 24, 14",1.3913043478260871
2014-01-27,2.21,2.21,1.87,1.9049,41744,41744,-0.2951,-13.414,1.9958,"Jan 27, 14",1.0705434782608696
2014-01-28,2.0501,2.0501,1.87,1.9,26137,26137,-0.0049,-0.257,1.9767,"Jan 28, 14",1.0652173913043477
2014-01-29,1.95,2,1.74,1.8,20082,20082,-0.1,-5.263,1.8166,"Jan 29, 14",0.9565217391304347
2014-01-30,1.8,1.8,1.72,1.7278,21453,21453,-0.0722,-4.011,1.7592,"Jan 30, 14",0.8780434782608695
2014-01-31,1.69,1.8,1.69,1.78,20965,20965,0.0522,3.021,1.7785,"Jan 31, 14",0.9347826086956521
2014-02-03,1.83,1.83,1.6972,1.7,7369,7369,-0.08,-4.494,1.7565,"Feb 3, 14",0.8478260869565216
2014-02-04,1.81,1.81,1.584,1.584,23800,23800,-0.116,-6.824,1.639,"Feb 4, 14",0.7217391304347827
2014-02-05,1.509,1.65,1.4999,1.65,18376,18376,0.066,4.167,1.56,"Feb 5, 14",0.7934782608695651
2014-02-06,1.68,1.775,1.64,1.75,90556,90556,0.1,6.061,1.7359,"Feb 6, 14",0.9021739130434782
2014-02-07,1.98,1.98,1.81,1.85,19727,19727,0.1,5.714,1.8879,"Feb 7, 14",1.0108695652173914
2014-02-10,1.99,2.005,1.8944,2.005,25368,25368,0.155,8.378,1.9766,"Feb 10, 14",1.1793478260869565
2014-02-11,2.149,2.244,2.0401,2.11,25765,25765,0.105,5.237,2.1366,"Feb 11, 14",1.2934782608695652
2014-02-12,2.21,2.249,1.9001,2.213,9151,9151,0.103,4.882,2.1027,"Feb 12, 14",1.4054347826086957
2014-02-13,2.2,2.25,2.14,2.21,8416,8416,-0.003,-0.136,2.212,"Feb 13, 14",1.4021739130434783
2014-02-14,2.1585,2.25,2,2.1,10726,10726,-0.11,-4.977,2.1452,"Feb 14, 14",1.282608695652174
2014-02-18,2.3,2.63,2.254,2.34,68617,68617,0.24,11.429,2.3502,"Feb 18, 14",1.543478260869565
2014-02-19,2.25,2.3501,2.22,2.287,13824,13824,-0.053,-2.265,2.2775,"Feb 19, 14",1.4858695652173912
2014-02-20,2.2999,2.2999,2.22,2.22,4053,4053,-0.067,-2.93,2.2867,"Feb 20, 14",1.4130434782608698
2014-02-21,2.25,2.25,2.1101,2.1274,7725,7725,-0.0926,-4.171,2.1922,"Feb 21, 14",1.3123913043478264
2014-02-24,2.1,2.1,2.0999,2.0999,3000,3000,-0.0275,-1.293,2.1,"Feb 24, 14",1.2825
2014-02-25,2.14,2.14,1.9499,1.9499,1338,1338,-0.15,-7.143,2.0216,"Feb 25, 14",1.1194565217391304
2014-02-26,1.95,2.15,1.95,2.0799,11484,11484,0.13,6.667,2.0397,"Feb 26, 14",1.2607608695652173
2014-02-27,2.03,2.12,2,2,17750,17750,-0.0799,-3.842,2.0791,"Feb 27, 14",1.173913043478261
2014-02-28,2,2.15,1.9709,2.15,12951,12951,0.15,7.5,2.0738,"Feb 28, 14",1.3369565217391304
2014-03-03,2.1,2.15,2.0982,2.0982,9800,9800,-0.0518,-2.409,2.0998,"Mar 3, 14",1.2806521739130434
2014-03-04,2.1,2.1807,2.1,2.15,21513,21513,0.0518,2.469,2.1512,"Mar 4, 14",1.3369565217391304
2014-03-06,2.1,2.1,2.1,2.1,4000,4000,-0.05,-2.326,2.1,"Mar 6, 14",1.282608695652174
2014-03-07,2.1,2.1,1.89,1.8999,17305,17305,-0.2001,-9.529,2.0269,"Mar 7, 14",1.0651086956521738
2014-03-10,1.9,1.9,1.8599,1.8904,5339,5339,-0.0095,-0.5,1.8782,"Mar 10, 14",1.0547826086956522
2014-03-11,1.95,1.95,1.7015,1.7015,4354,4354,-0.1889,-9.993,1.8388,"Mar 11, 14",0.8494565217391303
2014-03-12,1.81,2,1.81,1.95,3350,3350,0.2485,14.605,1.8466,"Mar 12, 14",1.119565217391304
2014-03-13,1.81,1.8997,1.7701,1.7701,4880,4880,-0.1799,-9.226,1.825,"Mar 13, 14",0.9240217391304347
2014-03-14,1.7,1.799,1.7,1.75,5270,5270,-0.0201,-1.136,1.7438,"Mar 14, 14",0.9021739130434782
2014-03-17,1.8,1.8895,1.72,1.75,20500,20500,0,0,1.7595,"Mar 17, 14",0.9021739130434782
2014-03-18,1.93,1.93,1.77,1.9,6407,6407,0.15,8.571,1.9027,"Mar 18, 14",1.0652173913043477
2014-03-19,1.808,1.899,1.7,1.8599,7650,7650,-0.0401,-2.111,1.7844,"Mar 19, 14",1.0216304347826086
2014-03-20,1.8484,1.9201,1.8484,1.9,53498,53498,0.0401,2.156,1.8641,"Mar 20, 14",1.0652173913043477
2014-03-21,1.81,1.82,1.78,1.78,17930,17930,-0.12,-6.316,1.7949,"Mar 21, 14",0.9347826086956521
2014-03-24,1.819,1.88,1.819,1.82,3600,3600,0.04,2.247,1.8299,"Mar 24, 14",0.9782608695652174
2014-03-25,1.8201,1.8201,1.65,1.65,2650,2650,-0.17,-9.341,1.7513,"Mar 25, 14",0.7934782608695651
2014-03-26,1.6,1.76,1.5,1.55,42640,42640,-0.1,-6.061,1.6448,"Mar 26, 14",0.6847826086956521
2014-03-27,1.58,1.58,0.95,1.15,210138,210138,-0.4,-25.806,1.0738,"Mar 27, 14",0.24999999999999986
2014-03-28,1.19,1.26,1.19,1.24,41674,41674,0.09,7.826,1.2342,"Mar 28, 14",0.3478260869565217
2014-03-31,1.25,1.25,1.21,1.25,15773,15773,0.01,0.806,1.2337,"Mar 31, 14",0.35869565217391297
2014-04-01,1.25,1.28,1.2001,1.23,55960,55960,-0.02,-1.6,1.2385,"Apr 1, 14",0.3369565217391304
2014-04-02,1.2,1.21,1.19,1.2,21200,21200,-0.03,-2.439,1.1994,"Apr 2, 14",0.30434782608695643
2014-04-03,1.1999,1.1999,1.11,1.18,1300,1300,-0.02,-1.667,1.1727,"Apr 3, 14",0.2826086956521738
2014-04-04,1.15,1.1899,1.06,1.16,13440,13440,-0.02,-1.695,1.1387,"Apr 4, 14",0.2608695652173912
2014-04-07,1.17,1.17,1.12,1.15,6525,6525,-0.01,-0.862,1.1628,"Apr 7, 14",0.24999999999999986
2014-04-08,1.1199,1.12,1.051,1.051,1678,1678,-0.099,-8.609,1.1073,"Apr 8, 14",0.14239130434782596
2014-04-09,1.11,1.15,1.11,1.1201,17384,17384,0.0691,6.575,1.1395,"Apr 9, 14",0.21750000000000005
2014-04-10,1.08,1.0801,1.0799,1.08,3900,3900,-0.0401,-3.58,1.08,"Apr 10, 14",0.1739130434782609
2014-04-11,1.05,1.1,1.05,1.05,7500,7500,-0.03,-2.778,1.0633,"Apr 11, 14",0.14130434782608695
2014-04-14,1.0501,1.11,0.94,0.9999,19426,19426,-0.0501,-4.771,1.0001,"Apr 14, 14",0.08684782608695649
2014-04-15,1,1,0.85,0.85,13278,13278,-0.1499,-14.991,0.910776,"Apr 15, 14",-0.07608695652173919
2014-04-16,1,1,0.97,0.9701,12250,12250,0.1201,14.129,0.997813,"Apr 16, 14",0.05445652173913035
2014-04-17,1.0399,1.04,1.0382,1.04,8904,8904,0.0699,7.205,1.0391,"Apr 17, 14",0.13043478260869565
2014-04-21,0.95,0.95,0.95,0.95,5320,5320,-0.09,-8.654,0.95,"Apr 21, 14",0.03260869565217382
2014-04-22,1.05,1.05,0.96,0.96,9850,9850,0.01,1.053,1.0061,"Apr 22, 14",0.04347826086956513
2014-04-23,1.02,1.05,1.02,1.0499,3185,3185,0.0899,9.365,1.0442,"Apr 23, 14",0.14119565217391306
2014-04-24,1.0499,1.05,1.0499,1.05,5965,5965,0.0001,0.01,1.05,"Apr 24, 14",0.14130434782608695
2014-04-25,1.05,1.05,0.95,1.05,5050,5050,0,0,1.0302,"Apr 25, 14",0.14130434782608695
2014-04-28,0.82,0.95,0.8,0.9325,7487,7487,-0.1175,-11.19,0.896474,"Apr 28, 14",0.013586956521739081
2014-04-29,0.95,0.95,0.9499,0.95,7300,7300,0.0175,1.877,0.949951,"Apr 29, 14",0.03260869565217382
2014-04-30,1.0399,1.04,0.8,1.03,25834,25834,0.08,8.421,0.987887,"Apr 30, 14",0.11956521739130432
2014-05-01,1.15,1.15,0.9,1.08,33662,33662,0.05,4.854,0.966559,"May 1, 14",0.1739130434782609
2014-05-02,1.017,1.0799,0.91,0.95,34253,34253,-0.13,-12.037,0.952569,"May 2, 14",0.03260869565217382
2014-05-05,0.96,1,0.9499,0.965,97332,97332,0.015,1.579,0.951393,"May 5, 14",0.04891304347826079
2014-05-06,0.97,1.0799,0.92,0.92,6428,6428,-0.045,-4.663,0.967689,"May 6, 14",0
2014-05-07,0.95,0.95,0.9001,0.9001,11550,11550,-0.0199,-2.163,0.911215,"May 7, 14",-0.021630434782608725
2014-05-09,0.907,0.9075,0.9,0.9,1000,1000,-0.0001,-0.011,0.90375,"May 9, 14",-0.021739130434782625
2014-05-12,0.94,0.94,0.91,0.94,1810,1810,0.04,4.444,0.91511,"May 12, 14",0.021739130434782507
2014-05-13,0.937,0.937,0.92,0.92,1405,1405,-0.02,-2.128,0.931392,"May 13, 14",0
2014-05-14,0.85,0.9044,0.82,0.9044,9625,9625,-0.0156,-1.696,0.840514,"May 14, 14",-0.0169565217391305
2014-05-15,0.9,0.9,0.8,0.85,7537,7537,-0.0544,-6.015,0.852642,"May 15, 14",-0.07608695652173919
2014-05-16,0.85,0.85,0.8,0.85,18800,18800,0,0,0.80133,"May 16, 14",-0.07608695652173919
2014-05-19,0.8899,0.8899,0.8001,0.83,2350,2350,-0.02,-2.353,0.849574,"May 19, 14",-0.09782608695652183
2014-05-20,0.75,0.8,0.75,0.75,16487,16487,-0.08,-9.639,0.764371,"May 20, 14",-0.18478260869565222
2014-05-22,0.784,0.7899,0.75,0.784,11170,11170,0.034,4.533,0.765218,"May 22, 14",-0.14782608695652175
2014-05-23,0.75,0.75,0.75,0.75,479,479,-0.034,-4.337,0.75,"May 23, 14",-0.18478260869565222
2014-05-27,0.8,0.9,0.7999,0.8001,8600,8600,0.0501,6.68,0.806974,"May 27, 14",-0.13032608695652173
2014-05-28,,,,0.8001,98,98,0,0,0.7301,"May 28, 14",-0.13032608695652173
2014-05-29,0.818,0.818,0.818,0.818,1062,1062,0.0179,2.237,0.822787,"May 29, 14",-0.1108695652173914
2014-05-30,0.8497,0.9,0.8497,0.9,2650,2650,0.082,10.024,0.887694,"May 30, 14",-0.021739130434782625
2014-06-02,0.889,0.988,0.8683,0.988,17062,17062,0.088,9.778,0.897854,"Jun 2, 14",0.07391304347826082
2014-06-03,0.998,1.03,0.98,1.03,8521,8521,0.042,4.251,1.0196,"Jun 3, 14",0.11956521739130432
2014-06-04,1.07,1.2199,0.918,1.2,32785,32785,0.17,16.505,1.1618,"Jun 4, 14",0.30434782608695643
2014-06-05,1.22,1.27,1.11,1.21,37895,37895,0.01,0.833,1.2199,"Jun 5, 14",0.3152173913043477
2014-06-06,1.28,1.28,1.15,1.2,6482,6482,-0.01,-0.826,1.2082,"Jun 6, 14",0.30434782608695643
2014-06-09,1.168,1.3,1.168,1.28,4785,4785,0.08,6.667,1.2071,"Jun 9, 14",0.3913043478260869
2014-06-10,1.45,1.45,1.2342,1.28,6392,6392,0,0,1.3336,"Jun 10, 14",0.3913043478260869
2014-06-11,1.0601,1.2278,1.0601,1.2,4208,4208,-0.08,-6.25,1.1893,"Jun 11, 14",0.30434782608695643
2014-06-12,1.2,1.2,1.2,1.2,9795,9795,0,0,1.2,"Jun 12, 14",0.30434782608695643
2014-06-13,1.168,1.168,1.168,1.168,450,450,-0.032,-2.667,1.168,"Jun 13, 14",0.26956521739130423
2014-06-17,1.11,1.11,1.1,1.1001,19095,19095,-0.0679,-5.813,1.1002,"Jun 17, 14",0.19576086956521743
2014-06-18,1.15,1.15,1.15,1.15,550,550,0.0499,4.536,1.15,"Jun 18, 14",0.24999999999999986
2014-06-19,1.2,1.2,1.15,1.15,1800,1800,0,0,1.1806,"Jun 19, 14",0.24999999999999986
