date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,18.0781,18.193,18.0015,18.1738,644063,644063,0.076601,0.423,18.112,"Aug 5, 13",0
2013-08-06,18.1738,18.327,18.0493,18.3079,881470,881470,0.134054,0.738,18.2022,"Aug 6, 13",0.007378754030527469
2013-08-07,18.2504,18.4707,18.1642,18.394,907842,907842,0.086178,0.471,18.3292,"Aug 7, 13",0.012116343307398475
2013-08-08,18.5185,18.6717,18.3462,18.5951,1200579,1200579,0.20108,1.093,18.5195,"Aug 8, 13",0.023181723139904624
2013-08-09,18.5281,18.7771,18.4419,18.6334,720779,720779,0.0383,0.206,18.6434,"Aug 9, 13",0.02528915251625977
2013-08-12,18.5377,18.7388,18.4994,18.576,736212,736212,-0.057451,-0.308,18.6089,"Aug 12, 13",0.022130759665012302
2013-08-13,18.6239,18.71,18.394,18.6813,1321392,1321392,0.105327,0.567,18.5328,"Aug 13, 13",0.02792481484334593
2013-08-14,18.7675,19.0547,18.6813,18.7196,765613,765613,0.038302,0.205,18.8695,"Aug 14, 13",0.03003224421970088
2013-08-15,18.6239,18.6717,18.4314,18.4515,942726,942726,-0.268107,-1.432,18.5209,"Aug 15, 13",0.015280238585216047
2013-08-16,18.4228,18.6334,18.3557,18.576,1069354,1069354,0.124478,0.675,18.556,"Aug 16, 13",0.022130759665012302
2013-08-19,18.5568,18.5856,18.2791,18.3366,797157,797157,-0.23938,-1.289,18.3503,"Aug 19, 13",0.008957950456151203
2013-08-20,18.3366,18.5951,18.2025,18.5281,1210685,1210685,0.191504,1.044,18.4739,"Aug 20, 13",0.019495097337925944
2013-08-21,18.4994,18.9973,18.418,18.7866,1606160,1606160,0.258532,1.395,18.7583,"Aug 21, 13",0.03371887002167956
2013-08-22,18.7866,19.1601,18.7866,18.9973,548664,548664,0.210655,1.121,19.0135,"Aug 22, 13",0.045312482804916926
2013-08-23,19.0356,19.0929,18.8058,18.9973,457529,457529,0,0,18.954,"Aug 23, 13",0.045312482804916926
2013-08-26,19.0069,19.4569,18.509,18.5856,10505618,10505618,-0.411735,-2.167,19.1315,"Aug 26, 13",0.022658992615743515
2013-08-27,18.3653,18.5568,18.2408,18.2983,2345829,2345829,-0.287258,-1.546,18.391,"Aug 27, 13",0.006850521079796254
2013-08-28,18.3079,18.6909,18.2224,18.6622,2131974,2131974,0.36386,1.988,18.6044,"Aug 28, 13",0.02687385136845341
2013-08-29,18.6717,19.1696,18.6622,19.1601,1654445,1654445,0.497911,2.668,19.0005,"Aug 29, 13",0.054270433261068125
2013-08-30,19.1888,19.275,18.9111,18.9686,1291484,1291484,-0.191502,-0.999,19.0425,"Aug 30, 13",0.04373328637929319
2013-09-03,19.1505,19.5431,18.9494,19.342,1810294,1810294,0.373433,1.969,19.244,"Sep 3, 13",0.06427934719211166
2013-09-04,19.3516,19.7298,19.342,19.4282,1800507,1800507,0.086177,0.446,19.4959,"Sep 4, 13",0.06902243889555296
2013-09-05,19.4186,19.6101,19.2654,19.3899,1069319,1069319,-0.0383,-0.197,19.4036,"Sep 5, 13",0.06691500951919802
2013-09-06,19.5239,19.6293,19.2462,19.5431,1587130,1587130,0.153203,0.79,19.4811,"Sep 6, 13",0.07534472702461781
2013-09-09,19.6005,19.8878,19.5527,19.8878,972188,972188,0.344708,1.764,19.7797,"Sep 9, 13",0.09431159141181253
2013-09-10,20.041,20.2325,19.9357,20.2229,1760004,1760004,0.335135,1.685,20.0963,"Sep 10, 13",0.11275022284827604
2013-09-11,20.1655,20.3282,20.0487,20.0984,1132739,1132739,-0.124478,-0.616,20.1215,"Sep 11, 13",0.10589970176847999
2013-09-12,20.108,20.175,19.8734,20.0314,1266368,1266368,-0.067026,-0.333,20.016,"Sep 12, 13",0.10221307596650131
2013-09-13,20.0984,20.1463,19.7298,19.7729,1348816,1348816,-0.258532,-1.291,19.9175,"Sep 13, 13",0.08798930328274769
2013-09-16,20.0601,20.2899,19.9165,20.1655,1699766,1699766,0.392585,1.985,20.1889,"Sep 16, 13",0.10959182999702878
2013-09-17,20.1367,20.3474,20.0123,20.2804,718249,718249,0.114903,0.57,20.2263,"Sep 17, 13",0.11591411812609362
2013-09-18,20.2516,20.4432,20.1655,20.2133,860801,860801,-0.067027,-0.331,20.2638,"Sep 18, 13",0.11222198989754484
2013-09-19,20.2038,20.2804,19.725,19.9548,1350370,1350370,-0.258531,-1.279,19.8752,"Sep 19, 13",0.09799821721379122
2013-09-20,19.9644,20.108,19.8878,19.8878,1294554,1294554,-0.067029,-0.336,19.9606,"Sep 20, 13",0.09431159141181253
2013-09-23,19.8399,20.0314,19.8208,19.9165,1163565,1163565,0.028727,0.144,19.931,"Sep 23, 13",0.09589078783743626
2013-09-24,19.9165,20.1942,19.8399,20.0697,1149846,1149846,0.153204,0.769,20.007,"Sep 24, 13",0.10432050534285625
2013-09-25,20.0697,20.4336,20.041,20.3187,897005,897005,0.248956,1.24,20.3107,"Sep 25, 13",0.11802154750244857
2013-09-26,20.3761,20.5102,20.2421,20.3282,746407,746407,0.009576,0.047,20.3216,"Sep 26, 13",0.11854427802660968
2013-09-27,20.2708,20.4216,20.2133,20.2421,750174,750174,-0.086177,-0.424,20.2825,"Sep 27, 13",0.11380668874973868
2013-09-30,20.0218,20.357,19.974,20.3187,759088,759088,0.076601,0.378,20.2671,"Sep 30, 13",0.11802154750244857
2013-10-01,20.3665,20.4527,20.3187,20.424,1075657,1075657,0.105328,0.518,20.3978,"Oct 1, 13",0.1238156026807822
2013-10-02,20.3474,20.491,20.2995,20.4336,617575,617575,0.009576,0.047,20.4183,"Oct 2, 13",0.12434383563151341
2013-10-03,20.4623,20.5102,20.199,20.3091,975158,975158,-0.12448,-0.609,20.3196,"Oct 3, 13",0.11749331455171735
2013-10-04,20.3187,20.5676,20.3091,20.5293,764197,764197,0.220231,1.084,20.5254,"Oct 4, 13",0.12960965785911582
2013-10-07,20.3857,20.5293,20.3857,20.3953,639500,639500,-0.134053,-0.653,20.4675,"Oct 7, 13",0.12223640625515847
2013-10-08,20.3953,20.5485,20.2995,20.3091,892708,892708,-0.086178,-0.423,20.3918,"Oct 8, 13",0.11749331455171735
2013-10-09,20.0123,20.3187,19.9491,20.2995,964880,964880,-0.009575,-0.047,19.8361,"Oct 9, 13",0.11696508160098594
2013-10-10,20.4527,20.5581,20.3857,20.5389,935102,935102,0.239382,1.179,20.5004,"Oct 10, 13",0.13013789080984725
2013-10-11,20.4623,20.5868,20.357,20.5772,997864,997864,0.038301,0.186,20.4853,"Oct 11, 13",0.1322453201862022
2013-10-14,20.5389,20.6347,20.4336,20.5964,1019588,1019588,0.019152,0.093,20.4022,"Oct 14, 13",0.1333017860876646
2013-10-15,20.5676,20.6825,20.4527,20.5006,1290421,1290421,-0.095754,-0.465,22.3735,"Oct 15, 13",0.1280304614334921
2013-10-16,20.4623,20.6251,20.4623,20.5293,1120029,1120029,0.028725,0.14,20.5625,"Oct 16, 13",0.12960965785911582
2013-10-17,20.5102,20.5868,20.4192,20.5485,1383495,1383495,0.019151,0.093,20.5074,"Oct 17, 13",0.13066612376057846
2013-10-18,20.5676,20.6155,20.4384,20.5485,1139784,1139784,0,0,20.5454,"Oct 18, 13",0.13066612376057846
2013-10-21,20.5485,20.5485,20.4565,20.5006,2243770,2243770,-0.047876,-0.233,20.4972,"Oct 21, 13",0.1280304614334921
2013-10-22,20.5772,20.7208,20.2899,20.491,1855150,1855150,-0.009574,-0.047,20.47,"Oct 22, 13",0.12750222848276088
2013-10-23,20.2038,20.2038,19.6771,20.0027,1899365,1899365,-0.488339,-2.383,19.8871,"Oct 23, 13",0.10063387954087757
