date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,8.1895,8.2918,8.0939,8.1144,1477968,1477968,-0.129664,-1.573,8.1448,"Aug 5, 13",0
2013-08-06,8.1212,8.1826,8.0393,8.0598,610705,610705,-0.0546,-0.673,8.1087,"Aug 6, 13",-0.006728778467908983
2013-08-07,8.0461,8.0666,7.9506,8.0052,417675,417675,-0.054595,-0.677,8.0005,"Aug 7, 13",-0.013457556935817747
2013-08-08,8.053,8.1485,8.0052,8.1007,319696,319696,0.095543,1.194,8.0904,"Aug 8, 13",-0.001688356502021104
2013-08-09,8.0734,8.2986,8.0461,8.2099,587297,587297,0.109192,1.348,8.2316,"Aug 9, 13",0.011769200433796643
2013-08-12,8.1826,8.3055,8.128,8.3055,382934,382934,0.095545,1.164,8.2673,"Aug 12, 13",0.02355072463768122
2013-08-13,8.3396,8.4488,8.2372,8.4078,729034,729034,0.102366,1.233,8.3663,"Aug 13, 13",0.03615794143744456
2013-08-14,8.3805,8.4556,8.3328,8.3805,490366,490366,-0.027297,-0.325,8.3917,"Aug 14, 13",0.03279355220349007
2013-08-15,8.2645,8.2645,8.1212,8.169,401380,401380,-0.211562,-2.524,8.1775,"Aug 15, 13",0.006728778467908983
2013-08-16,8.1349,8.1349,8.0052,8.0803,784630,784630,-0.088718,-1.086,8.0719,"Aug 16, 13",-0.004202405599921185
2013-08-19,8.0461,8.0871,7.8277,7.8414,384832,384832,-0.238858,-2.956,7.9301,"Aug 19, 13",-0.03364389233954448
2013-08-20,7.8687,8.0324,7.8209,7.9779,412946,412946,0.136489,1.741,7.9697,"Aug 20, 13",-0.01682194616977224
2013-08-21,7.9165,8.1212,7.8551,8.0052,246033,246033,0.0273,0.342,8.0032,"Aug 21, 13",-0.013457556935817747
2013-08-22,8.0325,8.0871,7.9711,8.0803,230624,230624,0.075069,0.938,8.0377,"Aug 22, 13",-0.004202405599921185
2013-08-23,8.1007,8.2713,8.1007,8.2713,348581,348581,0.191086,2.365,8.2299,"Aug 23, 13",0.01933599526767232
2013-08-26,8.2782,8.2986,8.0461,8.1144,446494,446494,-0.15696,-1.898,8.1512,"Aug 26, 13",0
2013-08-27,8.0257,8.1485,7.9165,7.9369,381639,381639,-0.177441,-2.187,7.9787,"Aug 27, 13",-0.021874691905747833
2013-08-28,7.9233,7.9984,7.8755,7.9847,258089,258089,0.047772,0.602,7.9507,"Aug 28, 13",-0.015983929803805544
2013-08-29,7.9574,8.1076,7.9574,8.0257,434476,434476,0.040946,0.513,8.0542,"Aug 29, 13",-0.010931184067829948
2013-08-30,8.0052,8.053,7.78,7.8687,530251,530251,-0.156962,-1.956,7.8676,"Aug 30, 13",-0.030279503105590095
2013-09-03,7.9711,7.9915,7.78,7.8619,549492,549492,-0.006825,-0.087,7.8609,"Sep 3, 13",-0.03111751947155668
2013-09-04,8.0257,8.1144,7.9642,8.0734,1200309,1200309,0.21156,2.691,8.0547,"Sep 4, 13",-0.0050527457359755956
2013-09-05,8.0939,8.1144,7.9438,7.9506,372836,372836,-0.122842,-1.522,8.0128,"Sep 5, 13",-0.02018633540372673
2013-09-06,8.0188,8.0598,7.8823,7.9984,474107,474107,0.047771,0.601,7.9859,"Sep 6, 13",-0.01429557330178444
2013-09-09,8.0325,8.2168,8.0257,8.2031,597493,597493,0.204738,2.56,8.139,"Sep 9, 13",0.010931184067829948
2013-09-10,8.2577,8.3805,8.2236,8.3532,562918,562918,0.150139,1.83,8.3184,"Sep 10, 13",0.029429162969535575
2013-09-11,8.3532,8.4624,8.2236,8.4556,314256,314256,0.102369,1.226,8.4238,"Sep 11, 13",0.04204870353938685
2013-09-12,8.4488,8.4966,8.3123,8.3396,251459,251459,-0.116018,-1.372,8.3764,"Sep 12, 13",0.027753130237602404
2013-09-13,8.3737,8.4078,8.285,8.3942,258123,258123,0.054597,0.655,8.3642,"Sep 13, 13",0.03448190870551117
2013-09-16,8.5307,8.5307,8.2577,8.3123,347037,347037,-0.081893,-0.976,8.3299,"Sep 16, 13",0.024388741003647914
2013-09-17,8.3055,8.4078,8.2713,8.3328,249720,249720,0.020472,0.246,8.3183,"Sep 17, 13",0.026915113871635712
2013-09-18,8.3191,8.5853,8.2577,8.5716,520021,520021,0.238857,2.866,8.4664,"Sep 18, 13",0.056344276841171284
2013-09-19,8.5989,8.7149,8.4829,8.5716,359102,359102,0,0,8.5473,"Sep 19, 13",0.056344276841171284
2013-09-20,8.6058,8.6262,8.4966,8.5512,1070333,1070333,-0.020473,-0.239,8.5596,"Sep 20, 13",0.0538302277432712
2013-09-23,8.5307,8.6126,8.3805,8.5375,481450,481450,-0.013648,-0.16,8.5021,"Sep 23, 13",0.0521418712412501
2013-09-24,8.5239,8.6303,8.4488,8.517,397987,397987,-0.020474,-0.24,8.559,"Sep 24, 13",0.049615498373262304
2013-09-25,8.5102,8.6467,8.4215,8.4897,319001,319001,-0.027299,-0.321,8.5133,"Sep 25, 13",0.046251109139307814
2013-09-26,8.4966,8.6413,8.4277,8.5793,925601,925601,0.089582,1.055,8.5252,"Sep 26, 13",0.05729320713792765
2013-09-27,8.4966,8.6138,8.4966,8.5724,978170,978170,-0.00689,-0.08,8.5607,"Sep 27, 13",0.05644286700187324
2013-09-30,8.4966,8.5724,8.4292,8.5035,2409272,2409272,-0.068912,-0.804,8.4853,"Sep 30, 13",0.047951789411416854
2013-10-01,8.5242,8.9239,8.5242,8.6758,648415,648415,0.172276,2.026,8.8541,"Oct 1, 13",0.06918564527260189
2013-10-02,8.6344,8.7585,8.6,8.6965,343591,343591,0.020671,0.238,8.6892,"Oct 2, 13",0.07173666568076513
2013-10-03,8.662,8.7378,8.5111,8.5862,397561,397561,-0.110255,-1.268,8.595,"Oct 3, 13",0.058143547273982056
2013-10-04,8.5724,8.6482,8.4966,8.5586,357533,357533,-0.027566,-0.321,8.5738,"Oct 4, 13",0.054742186729764414
2013-10-07,8.4966,8.6413,8.4828,8.6,267422,267422,0.041348,0.483,8.5985,"Oct 7, 13",0.05984422754609088
2013-10-08,8.5724,8.6275,8.3106,8.3312,378413,378413,-0.268748,-3.125,8.3989,"Oct 8, 13",0.02671793355023181
2013-10-09,8.345,8.5345,8.3071,8.4001,350098,350098,0.068911,0.827,8.0331,"Oct 9, 13",0.035209011140688196
2013-10-10,8.4691,8.6344,8.4346,8.5931,324922,324922,0.192949,2.297,8.5747,"Oct 10, 13",0.058993887410036465
2013-10-11,8.5724,8.8618,8.4966,8.855,362096,362096,0.261857,3.047,8.7859,"Oct 11, 13",0.09126984126984135
2013-10-14,8.8343,9.1444,8.7723,9.1444,629530,629530,0.289423,3.268,9.0298,"Oct 14, 13",0.1269348319037759
2013-10-15,9.1237,9.1444,9.0272,9.0617,475901,475901,-0.082695,-0.904,9.0912,"Oct 15, 13",0.11674307404121072
2013-10-16,9.1237,9.1926,9.0272,9.103,410456,410456,0.041347,0.456,9.1068,"Oct 16, 13",0.12183279108744946
2013-10-17,9.0341,9.3029,8.9859,9.3029,303290,303290,0.199838,2.195,9.2324,"Oct 17, 13",0.14646800749285216
2013-10-18,9.3787,9.4407,9.2891,9.3993,305469,305469,0.096477,1.037,9.3805,"Oct 18, 13",0.15834812185743868
2013-10-21,9.3718,9.3718,9.1203,9.1651,417321,417321,-0.234295,-2.493,9.2075,"Oct 21, 13",0.12948585231193938
2013-10-22,9.1788,9.3597,9.1651,9.3235,371208,371208,0.158493,1.729,9.3048,"Oct 22, 13",0.14900670413092768
2013-10-23,9.2546,9.3511,9.234,9.2546,469459,469459,-0.06891,-0.739,9.2901,"Oct 23, 13",0.14051562654047128
2013-10-24,9.2891,9.358,9.2202,9.2684,483778,483778,0.013782,0.149,9.2865,"Oct 24, 13",0.1422163068125801
2013-10-25,9.2615,9.2615,8.8343,9.0203,643200,643200,-0.248076,-2.677,8.9756,"Oct 25, 13",0.11164103322488426
2013-10-28,9.0203,9.0203,8.8894,8.9308,397022,397022,-0.089582,-0.993,8.9449,"Oct 28, 13",0.10061125899635213
2013-10-29,8.9514,9.0203,8.786,8.786,641487,641487,-0.144714,-1.62,8.8167,"Oct 29, 13",0.08276643990929702
2013-10-30,8.8205,8.917,8.7378,8.8343,934531,934531,0.048238,0.549,8.8247,"Oct 30, 13",0.08871882086167811
2013-10-31,8.8481,9.0341,8.6965,8.9997,490658,490658,0.165385,1.872,8.9348,"Oct 31, 13",0.10910233658680875
2013-11-01,8.9859,9.0824,8.7964,8.8963,641459,641459,-0.103365,-1.149,8.9265,"Nov 1, 13",0.09635955831608009
