date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,45.0824,45.0824,44.505,44.7071,5027,5027,0.384909,0.868,44.6831,"Aug 5, 13",0
2013-08-06,44.3992,45.8041,44.1875,45.1882,31926,31926,0.481137,1.076,45.1629,"Aug 6, 13",0.01076115426856148
2013-08-07,45.0439,45.3422,40.5982,41.878,22872,22872,-3.3102,-7.325,43.4262,"Aug 7, 13",-0.06328077643148397
2013-08-08,42.1667,42.1956,41.1784,42.0801,8734,8734,0.202077,0.483,41.7077,"Aug 8, 13",-0.058760241661838845
2013-08-09,42.0993,42.3495,41.4546,42.1378,16555,16555,0.057737,0.137,41.9342,"Aug 9, 13",-0.05746961891958992
2013-08-12,42.0224,42.9461,41.8588,42.0416,14202,14202,-0.096228,-0.228,42.2234,"Aug 12, 13",-0.05962140241706562
2013-08-13,42.8788,42.8788,41.0312,41.6567,10589,10589,-0.384907,-0.916,41.776,"Aug 13, 13",-0.06823077318815124
2013-08-14,41.6662,42.1571,41.5797,41.6471,4175,4175,-0.009622,-0.023,41.7312,"Aug 14, 13",-0.06844550418166231
2013-08-15,40.9927,41.6759,40.5693,41.0505,11645,11645,-0.59661,-1.433,41.026,"Aug 15, 13",-0.08179014071590414
2013-08-16,41.0601,41.5605,40.9157,41.089,4414,4414,0.038493,0.094,41.1341,"Aug 16, 13",-0.08092897996067736
2013-08-19,40.859,41.0505,40.1748,40.2229,9600,9600,-0.866045,-2.108,40.5959,"Aug 19, 13",-0.10030174178150662
2013-08-20,40.1748,40.3769,39.3761,40.2999,4505,4505,0.076982,0.191,40.0904,"Aug 20, 13",-0.09857942027105306
2013-08-21,40.1267,40.6487,39.7706,40.0208,11105,11105,-0.279058,-0.692,40.0595,"Aug 21, 13",-0.10482227655115174
2013-08-22,40.0208,40.5934,39.3857,39.9535,8386,8386,-0.06736,-0.168,39.8492,"Aug 22, 13",-0.1063276302869119
2013-08-23,39.8765,40.3865,39.5878,39.7129,20018,20018,-0.240567,-0.602,40.0058,"Aug 23, 13",-0.1117093258117838
2013-08-26,39.8573,40.2422,39.5012,39.6456,19141,19141,-0.067358,-0.17,39.7527,"Aug 26, 13",-0.1132146795475438
2013-08-27,39.5012,39.838,38.9527,38.9816,14208,14208,-0.663968,-1.675,39.317,"Aug 27, 13",-0.1280669065987281
2013-08-28,38.9335,39.1644,38.8276,38.8854,7143,7143,-0.096225,-0.247,38.9129,"Aug 28, 13",-0.13021869009620396
2013-08-29,39.2222,39.3088,38.8372,39.1259,10300,10300,0.240563,0.619,39.1167,"Aug 29, 13",-0.12483923135251439
2013-08-30,39.0008,39.1933,38.664,38.741,8128,8128,-0.384905,-0.984,38.8171,"Aug 30, 13",-0.1334486021236
2013-09-03,39.1355,39.3088,38.4908,38.7218,8396,8396,-0.019247,-0.05,38.88,"Sep 3, 13",-0.13387806411062214
2013-09-04,38.741,38.8276,37.7114,38.2599,6326,6326,-0.46189,-1.193,38.534,"Sep 4, 13",-0.14420975639216133
2013-09-05,38.308,39.0297,38.308,38.8084,3980,3980,0.548496,1.434,38.7243,"Sep 5, 13",-0.13194101160665753
2013-09-06,39.0201,39.251,38.5004,39.0682,2881,2881,0.259812,0.669,39.0353,"Sep 6, 13",-0.12612985409476346
2013-09-09,39.2606,39.6071,38.8084,39.5301,7197,7197,0.46189,1.182,39.3071,"Sep 9, 13",-0.11579816181322429
2013-09-10,39.5974,40.0401,39.3088,39.6456,9707,9707,0.115474,0.292,39.6823,"Sep 10, 13",-0.1132146795475438
2013-09-11,40.4057,43.0039,38.6833,40.4731,16566,16566,0.827552,2.087,40.0198,"Sep 11, 13",-0.09470531526312365
2013-09-12,40.425,40.8003,40.425,40.5308,7620,7620,0.057736,0.143,40.5559,"Sep 12, 13",-0.09341469252087471
2013-09-13,40.5597,41.1082,40.4154,40.7907,3236,3236,0.259815,0.641,40.6949,"Sep 13, 13",-0.08760129822779818
2013-09-16,41.1852,41.1852,40.4731,40.9831,3332,3332,0.192451,0.472,40.9132,"Sep 16, 13",-0.08329773123284662
2013-09-17,41.0216,41.7491,40.9831,41.3776,2683,2683,0.394533,0.963,41.3926,"Sep 17, 13",-0.07447362946824992
2013-09-18,41.5124,42.0031,41.1467,42.0031,7728,7728,0.625473,1.512,41.4671,"Sep 18, 13",-0.060482563172292406
2013-09-19,42.1859,42.1859,41.3776,41.4065,2482,2482,-0.596607,-1.42,41.5309,"Sep 19, 13",-0.07382719970653422
2013-09-20,41.3969,41.7529,41.2429,41.5508,17060,17060,0.144343,0.349,41.4947,"Sep 20, 13",-0.0705995244603205
2013-09-23,41.6278,42.0416,41.1082,41.9358,3525,3525,0.384907,0.926,41.559,"Sep 23, 13",-0.06198791690805256
2013-09-24,41.7144,41.9839,41.3401,41.4931,7178,7178,-0.442643,-1.056,41.5844,"Sep 24, 13",-0.07189014720256959
2013-09-25,41.6663,41.6663,40.5886,40.8195,7768,7768,-0.673591,-1.623,40.9788,"Sep 25, 13",-0.08695710524726497
