date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-05-02,7.5,7.69,6.01,7.2,579860,579860,7.2,0,6.8731,"May 2, 14",0
2014-05-05,6.8,7,6.3,6.7,41045,41045,-0.5,-6.944,6.6645,"May 5, 14",-0.06944444444444445
2014-05-06,6.65,6.8499,6.1,6.1,24840,24840,-0.6,-8.955,6.3553,"May 6, 14",-0.15277777777777785
2014-05-07,6.12,6.24,6.05,6.05,12670,12670,-0.05,-0.82,6.1083,"May 7, 14",-0.15972222222222227
2014-05-08,6.5001,6.99,6.49,6.99,24183,24183,0.94,15.537,6.7717,"May 8, 14",-0.02916666666666666
2014-05-09,6.9799,6.9799,6.55,6.55,1260,1260,-0.44,-6.295,6.8636,"May 9, 14",-0.09027777777777783
2014-05-12,6.98,6.98,6.7,6.93,3060,3060,0.38,5.802,6.8803,"May 12, 14",-0.03750000000000006
2014-05-13,6.5,6.98,6.5,6.9796,1428,1428,0.0496,0.716,6.9125,"May 13, 14",-0.030611111111111193
2014-05-14,6.954,6.954,6.52,6.52,225,225,-0.4596,-6.585,6.764,"May 14, 14",-0.09444444444444453
2014-05-15,6.95,7.44,6.851,7.44,4266,4266,0.92,14.11,7.1851,"May 15, 14",0.03333333333333336
2014-05-16,6.92,7.4399,6.92,7.22,1398,1398,-0.22,-2.957,7.1538,"May 16, 14",0.0027777777777777185
2014-05-19,7.44,7.44,7.05,7.41,5978,5978,0.19,2.632,7.3021,"May 19, 14",0.02916666666666666
2014-05-20,7.34,7.34,7.34,7.34,600,600,-0.07,-0.945,7.34,"May 20, 14",0.0194444444444444
2014-05-21,7.78,7.78,6.72,6.7301,29866,29866,-0.6099,-8.309,6.7849,"May 21, 14",-0.06526388888888889
2014-05-22,7.11,7.11,6.5501,6.7,3400,3400,-0.0301,-0.447,6.718,"May 22, 14",-0.06944444444444445
2014-05-23,6.75,7.08,6.6,6.74,7786,7786,0.04,0.597,6.7102,"May 23, 14",-0.06388888888888888
2014-05-27,6.72,6.72,6.11,6.36,12550,12550,-0.38,-5.638,6.3214,"May 27, 14",-0.11666666666666664
2014-05-28,6.29,6.29,6.16,6.16,1931,1931,-0.2,-3.145,6.2642,"May 28, 14",-0.14444444444444446
2014-05-29,6.0201,6.3,6.0201,6.25,2151,2151,0.09,1.461,6.1813,"May 29, 14",-0.13194444444444448
2014-05-30,6.06,6.2599,6.01,6.1028,3091,3091,-0.1472,-2.355,6.0938,"May 30, 14",-0.15238888888888888
2014-06-02,6.09,6.0901,6.0801,6.0901,1751,1751,-0.0127,-0.208,6.0858,"Jun 2, 14",-0.15415277777777786
2014-06-03,6.09,6.28,6.09,6.2799,4500,4500,0.1898,3.117,6.2369,"Jun 3, 14",-0.12779166666666675
2014-06-04,6.14,6.149,6.01,6.09,5794,5794,-0.1899,-3.024,6.0821,"Jun 4, 14",-0.1541666666666667
2014-06-05,6,6.55,6,6.55,10930,10930,0.46,7.553,6.2503,"Jun 5, 14",-0.09027777777777783
2014-06-06,6.01,6.6399,6,6.58,5550,5550,0.03,0.458,6.3208,"Jun 6, 14",-0.08611111111111112
2014-06-09,6,6.65,6,6.57,5334,5334,-0.01,-0.152,6.4324,"Jun 9, 14",-0.08749999999999998
2014-06-10,6.0301,6.99,6.0301,6.99,12082,12082,0.42,6.393,6.4465,"Jun 10, 14",-0.02916666666666666
2014-06-11,6.9897,6.99,6.42,6.51,5925,5925,-0.48,-6.867,6.8487,"Jun 11, 14",-0.09583333333333338
2014-06-12,6.54,6.98,6.13,6.67,11117,11117,0.16,2.458,6.5925,"Jun 12, 14",-0.07361111111111114
2014-06-13,6.8,6.8,6.52,6.79,3063,3063,0.12,1.799,6.7779,"Jun 13, 14",-0.056944444444444464
2014-06-16,6.51,7,6.51,6.92,6784,6784,0.13,1.915,6.8262,"Jun 16, 14",-0.038888888888888924
2014-06-17,6.51,7.2,6.51,7.2,7299,7299,0.28,4.046,6.9242,"Jun 17, 14",0
2014-06-18,7,7,6.5,6.69,26246,26246,-0.51,-7.083,6.7212,"Jun 18, 14",-0.0708333333333333
2014-06-19,7.65,8.2223,7.3201,7.51,134905,134905,0.82,12.257,7.6797,"Jun 19, 14",0.0430555555555555
2014-06-20,7.87,7.87,6.95,6.95,50598,50598,-0.56,-7.457,7.3041,"Jun 20, 14",-0.034722222222222224
2014-06-23,6.95,7.25,6.79,7.2,15764,15764,0.25,3.597,7.051,"Jun 23, 14",0
2014-06-24,7.05,7.191,6.59,6.65,28976,28976,-0.55,-7.639,6.8334,"Jun 24, 14",-0.07638888888888887
2014-06-25,6.75,6.9699,6.7,6.7,2102,2102,0.05,0.752,6.8407,"Jun 25, 14",-0.06944444444444445
2014-06-26,6.72,6.72,6.57,6.65,6618,6618,-0.05,-0.746,6.611,"Jun 26, 14",-0.07638888888888887
2014-06-27,6.7,6.95,6.69,6.72,16273,16273,0.07,1.053,6.827,"Jun 27, 14",-0.06666666666666672
2014-06-30,7,7,6.5,6.56,9185,9185,-0.16,-2.381,6.722,"Jun 30, 14",-0.08888888888888896
2014-07-01,6.76,6.76,6.58,6.66,975,975,0.1,1.524,6.727,"Jul 1, 14",-0.075
2014-07-02,6.62,7.01,6.5501,6.59,4702,4702,-0.07,-1.051,6.6551,"Jul 2, 14",-0.08472222222222227
2014-07-03,,,,6.59,29,29,0,0,6.56,"Jul 3, 14",-0.08472222222222227
2014-07-07,6.51,6.7,6.51,6.594,4663,4663,0.004,0.061,6.5868,"Jul 7, 14",-0.08416666666666665
2014-07-08,6.74,6.75,6.5,6.5,18507,18507,-0.094,-1.426,6.6464,"Jul 8, 14",-0.09722222222222224
2014-07-09,6.5001,7,6.5001,6.7,1716,1716,0.2,3.077,6.6349,"Jul 9, 14",-0.06944444444444445
2014-07-10,6.6,6.6,6.31,6.31,6155,6155,-0.39,-5.821,6.4523,"Jul 10, 14",-0.12361111111111119
2014-07-11,6.54,6.9001,6.54,6.54,1000,1000,0.23,3.645,6.576,"Jul 11, 14",-0.09166666666666669
2014-07-14,6.5001,6.5001,6.098,6.1,35351,35351,-0.44,-6.728,6.3138,"Jul 14, 14",-0.15277777777777785
2014-07-15,6.4,6.4,6,6,7690,7690,-0.1,-1.639,6.108,"Jul 15, 14",-0.16666666666666669
