date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-04-28,9.9,9.9,9.85,9.85,610100,610100,9.85,0,9.8546,"Apr 28, 17",0
2017-05-01,9.82,9.82,9.82,9.82,10300,10300,-0.03,-0.305,9.82,"May 1, 17",-0.0030456852791877526
2017-05-03,9.81,9.85,9.8,9.81,1352665,1352665,-0.01,-0.102,9.8065,"May 3, 17",-0.00406091370558367
2017-05-04,9.87,9.9,9.81,9.85,73513,73513,0.04,0.408,9.8525,"May 4, 17",0
2017-05-05,9.85,9.8952,9.8398,9.88,34811,34811,0.03,0.305,9.8769,"May 5, 17",0.003045685279187933
2017-05-08,9.9,9.97,9.87,9.97,57530,57530,0.09,0.911,9.9144,"May 8, 17",0.012182741116751371
2017-05-09,9.96,9.96,9.8979,9.91,61174,61174,-0.06,-0.602,9.9071,"May 9, 17",0.0060913705583756856
2017-05-10,9.9,9.92,9.8932,9.9,39987,39987,-0.01,-0.101,9.9021,"May 10, 17",0.005076142131979768
2017-05-11,9.9,9.92,9.88,9.9,118837,118837,0,0,9.9038,"May 11, 17",0.005076142131979768
2017-05-12,9.92,9.93,9.9,9.9,27061,27061,0,0,9.9111,"May 12, 17",0.005076142131979768
2017-05-15,9.94,9.94,9.9,9.92,147692,147692,0.02,0.202,9.9104,"May 15, 17",0.007106598984771602
2017-05-16,9.9173,9.92,9.85,9.92,808651,808651,0,0,9.8557,"May 16, 17",0.007106598984771602
2017-05-17,9.92,9.92,9.86,9.9,33988,33988,-0.02,-0.202,9.9016,"May 17, 17",0.005076142131979768
2017-05-18,9.91,9.92,9.89,9.92,101336,101336,0.02,0.202,9.9027,"May 18, 17",0.007106598984771602
2017-05-19,9.92,9.92,9.8939,9.91,15947,15947,-0.01,-0.101,9.9136,"May 19, 17",0.0060913705583756856
2017-05-22,9.9164,9.93,9.91,9.91,21912,21912,0,0,9.9145,"May 22, 17",0.0060913705583756856
2017-05-23,9.92,9.92,9.9001,9.91,17392,17392,0,0,9.9155,"May 23, 17",0.0060913705583756856
2017-05-24,9.916,9.92,9.86,9.86,19721,19721,-0.05,-0.505,9.9018,"May 24, 17",0.0010152284263959175
2017-05-25,9.88,9.91,9.88,9.91,16992,16992,0.05,0.507,9.8973,"May 25, 17",0.0060913705583756856
2017-05-26,9.88,9.93,9.88,9.9,20692,20692,-0.01,-0.101,9.9189,"May 26, 17",0.005076142131979768
2017-05-30,9.92,9.97,9.92,9.95,23592,23592,0.05,0.505,9.9548,"May 30, 17",0.010152284263959355
2017-05-31,9.9,9.94,9.8799,9.89,32970,32970,-0.06,-0.603,9.9009,"May 31, 17",0.00406091370558385
2017-06-01,9.925,9.98,9.925,9.98,118102,118102,0.09,0.91,9.9302,"Jun 1, 17",0.013197969543147288
2017-06-02,9.92,10.01,9.92,9.98,20192,20192,0,0,9.9721,"Jun 2, 17",0.013197969543147288
2017-06-05,9.93,10,9.93,9.96,34392,34392,-0.02,-0.2,9.9594,"Jun 5, 17",0.011167512690355453
2017-06-06,9.95,9.96,9.935,9.96,18804,18804,0,0,9.9595,"Jun 6, 17",0.011167512690355453
2017-06-07,9.98,10,9.92,9.98,93937,93937,0.02,0.201,9.9714,"Jun 7, 17",0.013197969543147288
2017-06-08,9.98,9.98,9.92,9.98,52279,52279,0,0,9.9622,"Jun 8, 17",0.013197969543147288
2017-06-09,9.98,10,9.98,10,16092,16092,0.02,0.2,9.987,"Jun 9, 17",0.015228426395939123
2017-06-12,9.98,9.98,9.98,9.98,1212,1212,-0.02,-0.2,9.98,"Jun 12, 17",0.013197969543147288
