date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-04-28,2,2.25,1.75,1.75,13600,13600,1.75,0,2.0506,"Apr 28, 17",0
2017-05-01,1.75,1.75,1.55,1.75,7300,7300,0,0,1.6089,"May 1, 17",0
2017-05-02,1.75,1.75,1.6866,1.6866,1600,1600,-0.0634,-3.623,1.7131,"May 2, 17",-0.036228571428571374
2017-05-03,1.65,1.75,1.61,1.61,1353,1353,-0.0766,-4.542,1.6676,"May 3, 17",-0.07999999999999995
2017-05-04,1.6,1.62,1.55,1.55,8000,8000,-0.06,-3.727,1.5939,"May 4, 17",-0.11428571428571425
2017-05-05,1.54,1.72,1.54,1.61,1233,1233,0.06,3.871,1.6146,"May 5, 17",-0.07999999999999995
2017-05-08,1.51,1.55,1.48,1.5,57731,57731,-0.11,-6.832,1.5068,"May 8, 17",-0.14285714285714285
2017-05-09,1.5,1.5,1.45,1.49,35200,35200,-0.01,-0.667,1.4672,"May 9, 17",-0.14857142857142858
2017-05-11,1.4867,1.5,1.469,1.5,100283,100283,0.01,0.671,1.4892,"May 11, 17",-0.14285714285714285
2017-05-12,1.51,1.51,1.418,1.5,9364,9364,0,0,1.4567,"May 12, 17",-0.14285714285714285
2017-05-15,1.467,1.6,1.46,1.6,54233,54233,0.1,6.667,1.5012,"May 15, 17",-0.08571428571428566
2017-05-16,1.541,1.55,1.3966,1.5,39791,39791,-0.1,-6.25,1.5079,"May 16, 17",-0.14285714285714285
2017-05-17,1.5,1.55,1.495,1.55,36142,36142,0.05,3.333,1.5103,"May 17, 17",-0.11428571428571425
2017-05-18,1.51,1.55,1.5,1.5499,52682,52682,-0.0001,-0.006,1.5209,"May 18, 17",-0.11434285714285711
2017-05-19,1.55,1.55,1.5,1.55,41357,41357,0.0001,0.006,1.5176,"May 19, 17",-0.11428571428571425
2017-05-22,1.55,1.55,1.49,1.53,16300,16300,-0.02,-1.29,1.5165,"May 22, 17",-0.1257142857142857
2017-05-23,1.54,1.55,1.4744,1.53,13500,13500,0,0,1.5294,"May 23, 17",-0.1257142857142857
2017-05-24,1.5,1.53,1.5,1.5,8906,8906,-0.03,-1.961,1.5015,"May 24, 17",-0.14285714285714285
2017-05-25,1.55,1.66,1.55,1.65,11146,11146,0.15,10,1.5571,"May 25, 17",-0.0571428571428572
2017-05-26,1.55,1.6,1.55,1.6,4000,4000,-0.05,-3.03,1.5548,"May 26, 17",-0.08571428571428566
2017-05-30,1.55,1.6,1.45,1.6,48880,48880,0,0,1.5046,"May 30, 17",-0.08571428571428566
2017-05-31,1.5,1.52,1.45,1.52,26411,26411,-0.08,-5,1.464,"May 31, 17",-0.13142857142857142
2017-06-01,1.5,1.55,1.5,1.55,6267,6267,0.03,1.974,1.5016,"Jun 1, 17",-0.11428571428571425
2017-06-02,1.5,1.57,1.46,1.48,9667,9667,-0.07,-4.516,1.503,"Jun 2, 17",-0.1542857142857143
2017-06-05,1.49,1.49,1.45,1.45,17133,17133,-0.03,-2.027,1.4654,"Jun 5, 17",-0.17142857142857146
2017-06-06,1.6,1.6,1.6,1.6,531,531,0.15,10.345,1.6,"Jun 6, 17",-0.08571428571428566
2017-06-07,1.5,1.61,1.45,1.53,63051,63051,-0.07,-4.375,1.4978,"Jun 7, 17",-0.1257142857142857
2017-06-08,1.57,1.57,1.52,1.535,4241,4241,0.005,0.327,1.5599,"Jun 8, 17",-0.1228571428571429
2017-06-09,1.56,1.56,1.55,1.55,300,300,0.015,0.977,1.5533,"Jun 9, 17",-0.11428571428571425
2017-06-13,1.46,1.5,1.457,1.5,8800,8800,-0.05,-3.226,1.4599,"Jun 13, 17",-0.14285714285714285
2017-06-14,1.44,1.5,1.4,1.5,12200,12200,0,0,1.4241,"Jun 14, 17",-0.14285714285714285
2017-06-15,1.42,1.5,1.42,1.5,3867,3867,0,0,1.4241,"Jun 15, 17",-0.14285714285714285
2017-06-19,1.41,1.59,1.4,1.45,6482,6482,-0.05,-3.333,1.4439,"Jun 19, 17",-0.17142857142857146
2017-06-20,1.45,1.4669,1.45,1.4669,6000,6000,0.0169,1.166,1.4641,"Jun 20, 17",-0.1617714285714285
2017-06-21,1.49,1.6,1.4499,1.5,101536,101536,0.0331,2.256,1.5266,"Jun 21, 17",-0.14285714285714285
2017-06-22,1.6,1.7,1.55,1.6933,85733,85733,0.1933,12.887,1.6693,"Jun 22, 17",-0.032399999999999984
2017-06-23,1.6,1.85,1.6,1.8,110067,110067,0.1067,6.301,1.6539,"Jun 23, 17",0.0285714285714286
2017-06-26,1.85,1.85,1.85,1.85,450,450,0.05,2.778,1.85,"Jun 26, 17",0.0571428571428572
2017-06-28,1.7,1.81,1.7,1.81,8081,8081,-0.04,-2.162,1.7398,"Jun 28, 17",0.034285714285714315
2017-06-29,1.8,1.81,1.8,1.8,12200,12200,-0.01,-0.552,1.8001,"Jun 29, 17",0.0285714285714286
2017-06-30,1.8,1.8,1.7924,1.7924,1000,1000,-0.0076,-0.422,1.7949,"Jun 30, 17",0.024228571428571426
2017-07-05,1.8,1.8,1.8,1.8,2400,2400,0.0076,0.424,1.8,"Jul 5, 17",0.0285714285714286
2017-07-06,1.8,1.8,1.65,1.79,9420,9420,-0.01,-0.556,1.7258,"Jul 6, 17",0.022857142857142878
2017-07-07,1.75,1.8,1.75,1.8,13025,13025,0.01,0.559,1.7596,"Jul 7, 17",0.0285714285714286
2017-07-10,1.8,1.8,1.8,1.8,2067,2067,0,0,1.8,"Jul 10, 17",0.0285714285714286
2017-07-11,1.7999,1.8,1.66,1.8,12167,12167,0,0,1.7042,"Jul 11, 17",0.0285714285714286
2017-07-13,1.7088,1.79,1.68,1.79,6599,6599,-0.01,-0.556,1.6965,"Jul 13, 17",0.022857142857142878
2017-07-14,1.68,1.82,1.6791,1.72,46750,46750,-0.07,-3.911,1.7842,"Jul 14, 17",-0.017142857142857158
2017-07-17,1.88,1.9,1.86,1.86,12600,12600,0.14,8.14,1.8991,"Jul 17, 17",0.06285714285714292
2017-07-18,1.95,2,1.8,1.89,17304,17304,0.03,1.613,1.9398,"Jul 18, 17",0.07999999999999995
2017-07-20,1.75,1.9,1.75,1.9,900,900,0.01,0.529,1.88,"Jul 20, 17",0.08571428571428566
2017-07-21,1.9,1.9,1.9,1.9,5750,5750,0,0,1.9,"Jul 21, 17",0.08571428571428566
2017-07-25,1.784,1.9,1.778,1.86,47673,47673,-0.04,-2.105,1.8343,"Jul 25, 17",0.06285714285714292
2017-07-26,,,,1.86,40,40,0,0,,"Jul 26, 17",0.06285714285714292
2017-07-27,1.8,1.9,1.78,1.9,10500,10500,0.04,2.151,1.7832,"Jul 27, 17",0.08571428571428566
2017-07-28,1.99,1.99,1.8,1.88,949,949,-0.02,-1.053,1.8974,"Jul 28, 17",0.07428571428571422
2017-07-31,1.58,1.95,1.58,1.89,911,911,0.01,0.532,1.8838,"Jul 31, 17",0.07999999999999995
2017-08-01,,,,1.89,40,40,0,0,,"Aug 1, 17",0.07999999999999995
2017-08-02,1.96,1.99,1.83,1.9,6820,6820,0.01,0.529,1.8978,"Aug 2, 17",0.08571428571428566
2017-08-03,1.85,1.85,1.8,1.8,56909,56909,-0.1,-5.263,1.8001,"Aug 3, 17",0.0285714285714286
2017-08-04,1.8,1.8,1.7,1.7,50100,50100,-0.1,-5.556,1.7998,"Aug 4, 17",-0.0285714285714286
2017-08-07,1.8,1.8001,1.7,1.7,2000,2000,0,0,1.75,"Aug 7, 17",-0.0285714285714286
2017-08-08,1.7,1.71,1.7,1.71,8676,8676,0.01,0.588,1.7001,"Aug 8, 17",-0.022857142857142878
2017-08-09,1.6858,1.8,1.68,1.74,1500,1500,0.03,1.754,1.7323,"Aug 9, 17",-0.0057142857142857195
2017-08-10,1.61,1.74,1.6,1.74,7350,7350,0,0,1.6065,"Aug 10, 17",-0.0057142857142857195
2017-08-11,1.6,1.7,1.5,1.7,202200,202200,-0.04,-2.299,1.5083,"Aug 11, 17",-0.0285714285714286
2017-08-14,1.575,1.74,1.575,1.72,3500,3500,0.02,1.176,1.6616,"Aug 14, 17",-0.017142857142857158
2017-08-15,1.68,1.7,1.68,1.7,8200,8200,-0.02,-1.163,1.6802,"Aug 15, 17",-0.0285714285714286
2017-08-16,1.69,1.7,1.69,1.7,3600,3600,0,0,1.6992,"Aug 16, 17",-0.0285714285714286
2017-08-17,2,2.0681,1.511,1.64,2884877,2884877,-0.06,-3.529,1.7663,"Aug 17, 17",-0.06285714285714292
2017-08-18,1.65,1.69,1.6,1.68,349550,349550,0.04,2.439,1.6494,"Aug 18, 17",-0.040000000000000036
2017-08-21,1.7,1.7,1.6506,1.68,11072,11072,0,0,1.6881,"Aug 21, 17",-0.040000000000000036
2017-08-22,1.69,1.69,1.65,1.68,24460,24460,0,0,1.6568,"Aug 22, 17",-0.040000000000000036
2017-08-23,1.67,1.7,1.6094,1.68,38481,38481,0,0,1.6411,"Aug 23, 17",-0.040000000000000036
2017-08-24,1.68,1.7,1.61,1.61,234100,234100,-0.07,-4.167,1.657,"Aug 24, 17",-0.07999999999999995
2017-08-25,1.6,1.65,1.6,1.64,7500,7500,0.03,1.863,1.6186,"Aug 25, 17",-0.06285714285714292
2017-08-28,1.58,1.7,1.58,1.66,333549,333549,0.02,1.22,1.6535,"Aug 28, 17",-0.051428571428571476
2017-08-29,1.6,1.65,1.582,1.65,10434,10434,-0.01,-0.602,1.6021,"Aug 29, 17",-0.0571428571428572
2017-08-30,1.57,1.64,1.57,1.64,4200,4200,-0.01,-0.606,1.5876,"Aug 30, 17",-0.06285714285714292
2017-08-31,1.6544,1.6544,1.58,1.64,39593,39593,0,0,1.6131,"Aug 31, 17",-0.06285714285714292
2017-09-01,1.5716,1.659,1.5716,1.65,23100,23100,0.01,0.61,1.6362,"Sep 1, 17",-0.0571428571428572
2017-09-05,1.63,1.69,1.5,1.61,216452,216452,-0.04,-2.424,1.5157,"Sep 5, 17",-0.07999999999999995
2017-09-06,1.57,1.59,1.4893,1.54,95105,95105,-0.07,-4.348,1.5155,"Sep 6, 17",-0.11999999999999998
2017-09-07,1.53,1.57,1.48,1.49,313970,313970,-0.05,-3.247,1.5081,"Sep 7, 17",-0.14857142857142858
