date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,2.89,3,2.8,3,12475,12475,0.0601,2.044,2.8935,"Aug 5, 13",0
2013-08-06,2.95,2.959,2.82,2.95,5505,5505,-0.05,-1.667,2.9059,"Aug 6, 13",-0.016666666666666607
2013-08-07,2.91,2.9699,2.901,2.9699,3400,3400,0.0199,0.675,2.9265,"Aug 7, 13",-0.010033333333333339
2013-08-08,2.9131,2.9131,2.9131,2.9131,1000,1000,-0.0568,-1.913,2.9131,"Aug 8, 13",-0.028966666666666658
2013-08-09,2.89,2.89,2.75,2.84,12850,12850,-0.0731,-2.509,2.8327,"Aug 9, 13",-0.05333333333333338
2013-08-12,2.64,2.77,2.64,2.77,4853,4853,-0.07,-2.465,2.6725,"Aug 12, 13",-0.07666666666666666
2013-08-13,,,,2.72,0,0,-0.05,-1.805,,"Aug 13, 13",-0.09333333333333327
2013-08-14,2.78,3.239,2.78,2.9899,37087,37087,0.2699,9.923,3.0434,"Aug 14, 13",-0.003366666666666666
2013-08-15,2.93,3.029,2.91,2.98,4980,4980,-0.0099,-0.331,2.9372,"Aug 15, 13",-0.006666666666666672
2013-08-19,2.98,2.98,2.88,2.88,1700,1700,-0.1,-3.356,2.9447,"Aug 19, 13",-0.040000000000000036
2013-08-20,2.96,2.96,2.88,2.88,2400,2400,0,0,2.897,"Aug 20, 13",-0.040000000000000036
2013-08-21,2.95,2.95,2.9399,2.94,2100,2100,0.06,2.083,2.9404,"Aug 21, 13",-0.020000000000000018
2013-08-26,2.94,2.94,2.89,2.91,1212,1212,-0.03,-1.02,2.9138,"Aug 26, 13",-0.029999999999999954
2013-08-27,,,,2.91,200,200,0,0,2.9,"Aug 27, 13",-0.029999999999999954
2013-08-28,2.8523,2.86,2.84,2.86,4092,4092,-0.05,-1.718,2.8534,"Aug 28, 13",-0.04666666666666671
2013-08-30,2.85,2.89,2.7601,2.89,2900,2900,0.03,1.049,2.8302,"Aug 30, 13",-0.036666666666666625
2013-09-03,2.9,2.9,2.8613,2.8613,1566,1566,-0.0287,-0.993,2.8934,"Sep 3, 13",-0.04623333333333335
2013-09-04,2.9,3.46,2.52,2.65,81444,81444,-0.2113,-7.385,2.9837,"Sep 4, 13",-0.1166666666666667
2013-09-05,2.6,2.61,2.55,2.57,4900,4900,-0.08,-3.019,2.5798,"Sep 5, 13",-0.1433333333333334
2013-09-06,2.61,3,2.61,2.71,17490,17490,0.14,5.447,2.7529,"Sep 6, 13",-0.09666666666666668
2013-09-09,2.81,2.81,2.7,2.7,4893,4893,-0.01,-0.369,2.7419,"Sep 9, 13",-0.09999999999999994
2013-09-10,2.71,2.7599,2.6,2.7,27187,27187,0,0,2.6588,"Sep 10, 13",-0.09999999999999994
2013-09-11,2.7199,2.7199,2.7,2.71,1400,1400,0.01,0.37,2.7131,"Sep 11, 13",-0.09666666666666668
2013-09-12,2.6999,2.6999,2.6496,2.6496,712,712,-0.0604,-2.229,2.6774,"Sep 12, 13",-0.11680000000000001
2013-09-13,2.6101,2.7,2.6099,2.7,10198,10198,0.0504,1.902,2.6373,"Sep 13, 13",-0.09999999999999994
2013-09-17,2.6363,2.6363,2.59,2.61,1791,1791,-0.09,-3.333,2.6168,"Sep 17, 13",-0.13000000000000003
2013-09-18,2.62,2.6899,2.6099,2.6899,10032,10032,0.0799,3.061,2.6428,"Sep 18, 13",-0.1033666666666666
2013-09-19,2.69,2.69,2.6399,2.65,2471,2471,-0.0399,-1.483,2.67,"Sep 19, 13",-0.1166666666666667
2013-09-20,2.6014,2.65,2.6014,2.65,558,558,0,0,2.6325,"Sep 20, 13",-0.1166666666666667
2013-09-23,2.63,2.7606,2.61,2.7606,9193,9193,0.1106,4.174,2.6726,"Sep 23, 13",-0.07979999999999994
2013-09-24,2.75,2.831,2.75,2.831,600,600,0.0704,2.55,2.7852,"Sep 24, 13",-0.056333333333333346
2013-09-26,2.7636,2.8083,2.7636,2.8083,2150,2150,-0.0227,-0.802,2.8052,"Sep 26, 13",-0.0639
2013-09-27,2.76,2.76,2.55,2.63,7800,7800,-0.1783,-6.349,2.6541,"Sep 27, 13",-0.12333333333333336
2013-09-30,2.53,2.56,2.52,2.56,1600,1600,-0.07,-2.662,2.5377,"Sep 30, 13",-0.14666666666666664
2013-10-01,2.54,2.64,2.52,2.5201,5453,5453,-0.0399,-1.559,2.5632,"Oct 1, 13",-0.15996666666666673
2013-10-02,2.55,2.6,2.52,2.537,4100,4100,0.0169,0.671,2.5371,"Oct 2, 13",-0.15433333333333335
2013-10-03,2.531,2.536,2.52,2.527,800,800,-0.01,-0.394,2.5301,"Oct 3, 13",-0.15766666666666662
2013-10-04,2.59,2.6,2.59,2.6,1500,1500,0.073,2.889,2.5952,"Oct 4, 13",-0.1333333333333333
2013-10-08,2.55,2.55,2.52,2.52,498,498,-0.08,-3.077,2.5336,"Oct 8, 13",-0.16
2013-10-09,2.55,2.55,2.53,2.53,700,700,0.01,0.397,2.5457,"Oct 9, 13",-0.15666666666666673
2013-10-10,2.54,2.5747,2.5301,2.5301,2100,2100,0.0001,0.004,2.5518,"Oct 10, 13",-0.15663333333333332
2013-10-11,2.52,2.54,2.41,2.46,8177,8177,-0.0701,-2.771,2.4868,"Oct 11, 13",-0.18000000000000002
2013-10-14,2.47,2.47,2.47,2.47,515,515,0.01,0.407,2.47,"Oct 14, 13",-0.1766666666666666
2013-10-15,2.41,2.46,2.26,2.43,4850,4850,-0.04,-1.619,2.4103,"Oct 15, 13",-0.18999999999999995
2013-10-16,2.4601,2.56,2.46,2.5401,3000,3000,0.1101,4.531,2.5214,"Oct 16, 13",-0.15330000000000008
2013-10-17,2.5004,2.5004,2.42,2.42,1800,1800,-0.1201,-4.728,2.4751,"Oct 17, 13",-0.19333333333333336
2013-10-18,2.459,2.46,2.4099,2.4099,3795,3795,-0.0101,-0.417,2.4188,"Oct 18, 13",-0.1967
2013-10-21,2.44,2.4601,2.44,2.4501,4047,4047,0.0402,1.668,2.4545,"Oct 21, 13",-0.18330000000000002
2013-10-22,2.4399,2.46,2.31,2.43,8793,8793,-0.0201,-0.82,2.3915,"Oct 22, 13",-0.18999999999999995
2013-10-23,2.4579,2.4579,2.44,2.4401,1700,1700,0.0101,0.416,2.4411,"Oct 23, 13",-0.1866333333333333
2013-10-24,2.42,2.42,2.28,2.4116,1600,1600,-0.0285,-1.168,2.3264,"Oct 24, 13",-0.19613333333333335
2013-10-25,2.37,2.47,2.37,2.4599,5780,5780,0.0483,2.003,2.4462,"Oct 25, 13",-0.18003333333333327
2013-10-28,2.44,2.45,2.41,2.42,800,800,-0.0399,-1.622,2.435,"Oct 28, 13",-0.19333333333333336
2013-10-29,2.42,2.4501,2.3299,2.43,21454,21454,0.01,0.413,2.3933,"Oct 29, 13",-0.18999999999999995
2013-10-30,2.3729,2.46,2.3729,2.46,2100,2100,0.03,1.235,2.4431,"Oct 30, 13",-0.18000000000000002
2013-10-31,2.4443,2.4443,2.4443,2.4443,1000,1000,-0.0157,-0.638,2.4443,"Oct 31, 13",-0.18523333333333328
2013-11-01,2.4001,2.46,2.4001,2.4105,768,768,-0.0338,-1.383,2.4125,"Nov 1, 13",-0.19650000000000004
2013-11-05,2.47,2.47,2.47,2.47,100,100,0.0595,2.468,2.47,"Nov 5, 13",-0.1766666666666666
2013-11-06,2.46,2.46,2.46,2.46,600,600,-0.01,-0.405,2.46,"Nov 6, 13",-0.18000000000000002
2013-11-07,2.4,2.4,2.29,2.35,2600,2600,-0.11,-4.472,2.3572,"Nov 7, 13",-0.21666666666666665
2013-11-08,2.369,2.37,2.369,2.37,1500,1500,0.02,0.851,2.3697,"Nov 8, 13",-0.20999999999999996
2013-11-11,2.36,2.36,2.36,2.36,100,100,-0.01,-0.422,2.36,"Nov 11, 13",-0.21333333333333337
2013-11-12,2.37,2.39,2.345,2.36,2156,2156,0,0,2.3637,"Nov 12, 13",-0.21333333333333337
2013-11-13,2.37,2.45,2.35,2.45,4417,4417,0.09,3.814,2.381,"Nov 13, 13",-0.18333333333333326
2013-11-14,2.4144,2.45,2.4144,2.45,1100,1100,0,0,2.4176,"Nov 14, 13",-0.18333333333333326
2013-11-15,2.39,2.39,2.35,2.38,5051,5051,-0.07,-2.857,2.373,"Nov 15, 13",-0.2066666666666667
2013-11-18,2.43,2.43,2.35,2.35,610,610,-0.03,-1.261,2.3893,"Nov 18, 13",-0.21666666666666665
2013-11-19,2.35,2.4,2.3,2.31,7159,7159,-0.04,-1.702,2.3343,"Nov 19, 13",-0.22999999999999998
2013-11-20,2.35,2.45,2.35,2.37,4999,4999,0.06,2.597,2.3996,"Nov 20, 13",-0.20999999999999996
2013-11-21,2.344,2.344,2.342,2.342,200,200,-0.028,-1.181,2.343,"Nov 21, 13",-0.2193333333333333
2013-11-22,2.35,2.35,2.3499,2.3499,500,500,0.0079,0.337,2.3499,"Nov 22, 13",-0.21670000000000003
2013-11-25,2.4,2.45,2.3601,2.4399,11100,11100,0.09,3.83,2.4166,"Nov 25, 13",-0.18669999999999995
2013-11-26,2.44,2.549,2.36,2.5,12208,12208,0.0601,2.463,2.4721,"Nov 26, 13",-0.16666666666666666
2013-11-27,2.55,2.75,2.52,2.7,15988,15988,0.2,8,2.6519,"Nov 27, 13",-0.09999999999999994
2013-11-29,2.7,2.711,2.699,2.71,3200,3200,0.01,0.37,2.7022,"Nov 29, 13",-0.09666666666666668
2013-12-02,2.71,2.72,2.6999,2.6999,2200,2200,-0.0101,-0.373,2.7037,"Dec 2, 13",-0.10003333333333335
2013-12-03,2.74,2.8,2.5,2.5,14067,14067,-0.1999,-7.404,2.7402,"Dec 3, 13",-0.16666666666666666
2013-12-04,2.56,2.699,2.32,2.56,21692,21692,0.06,2.4,2.4759,"Dec 4, 13",-0.14666666666666664
2013-12-05,2.563,2.6,2.56,2.59,1200,1200,0.03,1.172,2.5742,"Dec 5, 13",-0.13666666666666671
