date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,305,330,305,330,95,47617,25,8.197,318.21,"Aug 5, 13",0
2013-08-06,305,335,305,335,561,280500,5,1.515,329.1675,"Aug 6, 13",0.015151515151515152
2013-08-07,305,320,255,300,410,204929,-35,-10.448,282.156,"Aug 7, 13",-0.09090909090909091
2013-08-08,325,325,255,290,364,182152,-10,-3.333,283.9005,"Aug 8, 13",-0.12121212121212122
2013-08-09,275,285,275,275,42,20875,-15,-5.172,282.461,"Aug 9, 13",-0.16666666666666666
2013-08-12,260,280,255,272.5,138,69240,-2.5,-0.909,269.681,"Aug 12, 13",-0.17424242424242425
2013-08-13,255,267.5,255,267.5,67,33575,-5,-1.835,256.342,"Aug 13, 13",-0.1893939393939394
2013-08-14,275,312,260,305,110,54858,37.5,14.019,285.5545,"Aug 14, 13",-0.07575757575757576
2013-08-15,305,305,260,270.05,73,36640,-34.95,-11.459,282.4175,"Aug 15, 13",-0.18166666666666664
2013-08-16,297.5,297.5,272.5,283.5,58,29135,13.45,4.981,283.593,"Aug 16, 13",-0.1409090909090909
2013-08-19,283.5,283.5,260.5,265,30,15063,-18.5,-6.526,268.549,"Aug 19, 13",-0.19696969696969696
2013-08-20,279.5,279.5,260.5,270,29,14616,5,1.887,269.2645,"Aug 20, 13",-0.18181818181818182
2013-08-21,265,275,257.5,275,36,17839,5,1.852,266.4395,"Aug 21, 13",-0.16666666666666666
2013-08-22,265,275,265,275,11,5420,0,0,270.8255,"Aug 22, 13",-0.16666666666666666
2013-08-23,270,272.5,243.5,272.5,178,89061,-2.5,-0.909,256.188,"Aug 23, 13",-0.17424242424242425
2013-08-26,272.5,272.5,245,272.5,24,12040,0,0,257.633,"Aug 26, 13",-0.17424242424242425
2013-08-27,270,270,245,270,21,10300,-2.5,-0.917,250.5825,"Aug 27, 13",-0.18181818181818182
2013-08-28,242.5,269.5,230,240,157,78553,-30,-11.111,249.5545,"Aug 28, 13",-0.2727272727272727
2013-08-29,240,249.5,225,249.5,218,108928,9.5,3.958,237.0015,"Aug 29, 13",-0.24393939393939393
2013-08-30,245,249.5,230.5,245,40,19900,-4.5,-1.804,245.1735,"Aug 30, 13",-0.25757575757575757
2013-09-03,245,245,225,230,93,46372,-15,-6.122,232.2915,"Sep 3, 13",-0.30303030303030304
2013-09-04,225,235,199.75,230,367,183260,0,0,211.9135,"Sep 4, 13",-0.30303030303030304
2013-09-05,210,241.25,178,241.25,67,33406,11.25,4.891,222.2265,"Sep 5, 13",-0.2689393939393939
2013-09-06,240,250,230,242.5,35,17530,1.25,0.518,244.89,"Sep 6, 13",-0.26515151515151514
2013-09-09,230,248.75,230,248.75,18,9071,6.25,2.577,245.944,"Sep 9, 13",-0.24621212121212122
