date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-01-09,0.0072,0.0072,0.0072,0.0072,166,166,0.0072,0,0.0072,"Jan 9, 17",0
2017-01-10,0.1,0.1664,0.1,0.1664,1380,1380,0.1592,2211.111,0.144267,"Jan 10, 17",22.11111111111111
2017-01-11,5.2,26.49,5.2,26.49,2856,2856,26.3236,15819.472,14.6098,"Jan 11, 17",3678.1666666666665
2017-01-12,30.5,30.5,14.01,17.21,2598,2598,-9.28,-35.032,18.5451,"Jan 12, 17",2389.277777777778
2017-01-13,17.15,17.15,14.1,15.6,1918,1918,-1.61,-9.355,15.3074,"Jan 13, 17",2165.666666666667
2017-01-17,17.67,19.72,17.03,17.03,1666,1666,1.43,9.167,17.9535,"Jan 17, 17",2364.277777777778
2017-01-18,16.43,16.93,16.06,16.06,995,995,-0.97,-5.696,16.6281,"Jan 18, 17",2229.555555555555
2017-01-19,17.77,24.778,16.4,24.2,57316,57316,8.14,50.685,22.0017,"Jan 19, 17",3360.111111111111
2017-01-20,22,24,19.36,23.29,116972,116972,-0.91,-3.76,22.6243,"Jan 20, 17",3233.722222222222
2017-01-23,23.1,23.1,20.05,20.34,48297,48297,-2.95,-12.666,21.0991,"Jan 23, 17",2824
2017-01-24,19,19.94,14.78,15.18,82442,82442,-5.16,-25.369,16.2794,"Jan 24, 17",2107.3333333333335
2017-01-25,15.3,16.61,14.98,15.12,104263,104263,-0.06,-0.395,15.3409,"Jan 25, 17",2099
2017-01-26,15,15.1,14.3,14.66,77365,77365,-0.46,-3.042,14.7613,"Jan 26, 17",2035.1111111111113
2017-01-27,14.85,15.09,11.5,11.95,80050,80050,-2.71,-18.486,12.2285,"Jan 27, 17",1658.7222222222222
2017-01-30,11.54,14,11.54,13.07,29990,29990,1.12,9.372,12.5437,"Jan 30, 17",1814.277777777778
2017-01-31,12.8,14.5399,12.8,13.8,56202,56202,0.73,5.585,13.8112,"Jan 31, 17",1915.666666666667
2017-02-01,13.75,13.75,12.5245,12.61,34756,34756,-1.19,-8.623,12.823,"Feb 1, 17",1750.388888888889
2017-02-02,12.5927,13,12.54,12.65,19774,19774,0.04,0.317,12.7402,"Feb 2, 17",1755.9444444444446
2017-02-03,12.97,13.78,12.61,13.15,29757,29757,0.5,3.953,13.0808,"Feb 3, 17",1825.3888888888891
2017-02-06,12.89,16.4,12.88,15.76,56156,56156,2.61,19.848,15.1029,"Feb 6, 17",2187.888888888889
2017-02-07,16.5,17.4033,15.54,16.91,52439,52439,1.15,7.297,16.637,"Feb 7, 17",2347.611111111111
2017-02-08,18,18.4999,17.545,18.01,48216,48216,1.1,6.505,18.1313,"Feb 8, 17",2500.388888888889
2017-02-09,18.55,18.81,17.15,17.55,34197,34197,-0.46,-2.554,17.9059,"Feb 9, 17",2436.5
2017-02-10,16.13,16.17,14.44,15.21,47568,47568,-2.34,-13.333,15.4333,"Feb 10, 17",2111.5000000000005
2017-02-13,16,16.032,15,15.01,24207,24207,-0.2,-1.315,15.514,"Feb 13, 17",2083.722222222222
2017-02-14,14,15.5,13.75,14.1,27423,27423,-0.91,-6.063,14.098,"Feb 14, 17",1957.3333333333335
2017-02-15,15.25,18.5624,14.55,16.75,118456,118456,2.65,18.794,16.6026,"Feb 15, 17",2325.3888888888887
2017-02-16,18.25,18.25,15.27,15.49,44713,44713,-1.26,-7.522,16.1341,"Feb 16, 17",2150.388888888889
2017-02-17,15.17,17.51,14.75,15.3,77028,77028,-0.19,-1.227,16.3791,"Feb 17, 17",2124.0000000000005
2017-02-21,15.28,16.26,15.25,15.26,62760,62760,-0.04,-0.261,15.6755,"Feb 21, 17",2118.444444444445
2017-02-22,15.3,16.14,15,15.12,83797,83797,-0.14,-0.917,15.6114,"Feb 22, 17",2099
