date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-04-21,26.5,27.4,26,26.5,4996106,4996106,26.5,0,26.5581,"Apr 21, 16",0
2016-04-22,26.43,27.2499,26.25,26.6,469044,469044,0.1,0.377,26.7757,"Apr 22, 16",0.003773584905660431
2016-04-25,26.8,27,26.66,26.89,169857,169857,0.29,1.09,26.8477,"Apr 25, 16",0.014716981132075493
2016-04-26,26.9,28.25,26.8001,28.14,174269,174269,1.25,4.649,27.6622,"Apr 26, 16",0.06188679245283021
2016-04-27,27.55,28.95,27.25,27.5,218621,218621,-0.64,-2.274,28.0441,"Apr 27, 16",0.03773584905660377
2016-04-28,27.92,27.94,27.35,27.5,131232,131232,0,0,27.5952,"Apr 28, 16",0.03773584905660377
2016-04-29,27.4,28.3,27.03,28.12,165497,165497,0.62,2.255,27.5927,"Apr 29, 16",0.061132075471698154
2016-05-02,28.26,28.4339,27.67,27.8,72656,72656,-0.32,-1.138,27.9466,"May 2, 16",0.04905660377358493
2016-05-03,27.5,27.76,27.2501,27.76,90681,90681,-0.04,-0.144,27.5323,"May 3, 16",0.047547169811320816
2016-05-04,27.75,27.94,27.41,27.8,163665,163665,0.04,0.144,27.5555,"May 4, 16",0.04905660377358493
2016-05-05,27.78,28,27.4,27.53,82754,82754,-0.27,-0.971,27.7071,"May 5, 16",0.03886792452830193
2016-05-06,27.6,27.91,27.05,27.27,167686,167686,-0.26,-0.944,27.5315,"May 6, 16",0.02905660377358489
2016-05-09,27.07,28.72,27.07,27.59,288876,288876,0.32,1.173,27.6252,"May 9, 16",0.04113207547169811
2016-05-10,27.89,27.98,27.3801,27.58,38545,38545,-0.01,-0.036,27.6744,"May 10, 16",0.04075471698113201
2016-05-11,27.9,28,27.6,27.9,47409,47409,0.32,1.16,27.8699,"May 11, 16",0.05283018867924523
2016-05-12,28,28,27,27.23,92842,92842,-0.67,-2.401,27.4233,"May 12, 16",0.02754716981132077
2016-05-13,27.45,28.075,27.15,27.71,264694,264694,0.48,1.763,27.7513,"May 13, 16",0.0456603773584906
2016-05-16,27.72,28.49,27.43,28.35,214955,214955,0.64,2.31,27.6568,"May 16, 16",0.06981132075471704
2016-05-17,28.47,28.47,27.3,27.6,246501,246501,-0.75,-2.646,27.5995,"May 17, 16",0.041509433962264204
2016-05-18,27.7,27.72,27.42,27.52,147349,147349,-0.08,-0.29,27.5182,"May 18, 16",0.03849056603773583
2016-05-19,27.32,27.78,27.08,27.65,183083,183083,0.13,0.472,27.3743,"May 19, 16",0.04339622641509429
2016-05-20,27.5,27.98,27.43,27.61,95291,95291,-0.04,-0.145,27.6162,"May 20, 16",0.04188679245283017
2016-05-23,27.5,27.6,27.27,27.48,209676,209676,-0.13,-0.471,27.4812,"May 23, 16",0.03698113207547171
2016-05-24,27.12,27.51,27,27.33,205350,205350,-0.15,-0.546,27.3672,"May 24, 16",0.03132075471698107
2016-05-25,27.39,27.5,26.9297,27.06,153608,153608,-0.27,-0.988,27.1408,"May 25, 16",0.021132075471698066
2016-05-26,27.02,27.449,27.02,27.29,62796,62796,0.23,0.85,27.253,"May 26, 16",0.029811320754716947
2016-05-27,27.03,27.38,26.95,27.2,144483,144483,-0.09,-0.33,27.086,"May 27, 16",0.026415094339622615
2016-05-31,27.23,28.09,26.86,27.99,108678,108678,0.79,2.904,27.6852,"May 31, 16",0.056226415094339566
2016-06-01,27.91,28.36,27.775,28.03,106136,106136,0.04,0.143,28.0211,"Jun 1, 16",0.05773584905660382
