date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,4.92,4.92,4.825,4.87,129597,129597,-0.07,-1.417,4.8672,"Aug 5, 13",0
2013-08-06,4.87,4.9,4.72,4.86,151421,151421,-0.01,-0.205,4.822,"Aug 6, 13",-0.0020533880903490323
2013-08-07,4.88,5.07,4.8,4.81,251557,251557,-0.05,-1.029,4.9391,"Aug 7, 13",-0.012320328542094557
2013-08-08,4.86,5.15,4.86,5.15,206273,206273,0.34,7.069,5.1083,"Aug 8, 13",0.057494866529774175
2013-08-09,5.15,5.19,5.07,5.14,106466,106466,-0.01,-0.194,5.1376,"Aug 9, 13",0.055441478439424964
2013-08-12,5.14,5.18,5.09,5.15,610552,610552,0.01,0.195,5.1499,"Aug 12, 13",0.057494866529774175
2013-08-13,5.15,5.17,5.111,5.16,261355,261355,0.01,0.194,5.16,"Aug 13, 13",0.05954825462012321
2013-08-14,5.16,5.22,5.14,5.17,231728,231728,0.01,0.194,5.168,"Aug 14, 13",0.06160164271047224
2013-08-15,5.1,5.11,4.871,5.06,186990,186990,-0.11,-2.128,5.011,"Aug 15, 13",0.03901437371663234
2013-08-16,5.02,5.17,4.95,5.14,158155,158155,0.08,1.581,5.0781,"Aug 16, 13",0.055441478439424964
2013-08-19,5.18,5.18,5.07,5.13,221624,221624,-0.01,-0.195,5.1428,"Aug 19, 13",0.05338809034907593
2013-08-20,5.12,5.24,5.03,5.08,107858,107858,-0.05,-0.975,5.139,"Aug 20, 13",0.04312114989733059
2013-08-21,5.05,5.06,4.92,4.98,83220,83220,-0.1,-1.969,4.9931,"Aug 21, 13",0.0225872689938399
2013-08-22,5.01,5.1599,5.01,5.1,80197,80197,0.12,2.41,5.1105,"Aug 22, 13",0.04722792607802865
2013-08-23,5.1,5.1,4.98,4.99,58786,58786,-0.11,-2.157,5.0406,"Aug 23, 13",0.024640657084188933
2013-08-26,4.99,5.1,4.94,4.94,99173,99173,-0.05,-1.002,5.0016,"Aug 26, 13",0.01437371663244359
2013-08-27,4.88,4.93,4.47,4.49,299044,299044,-0.45,-9.109,4.6135,"Aug 27, 13",-0.07802874743326486
2013-08-28,4.5,4.705,4.42,4.58,160978,160978,0.09,2.004,4.5552,"Aug 28, 13",-0.05954825462012321
2013-08-29,4.59,4.61,4.51,4.57,83080,83080,-0.01,-0.218,4.5588,"Aug 29, 13",-0.06160164271047224
2013-08-30,4.55,4.57,4.22,4.27,263517,263517,-0.3,-6.565,4.3414,"Aug 30, 13",-0.12320328542094466
2013-09-03,4.31,4.46,4.3,4.4,212035,212035,0.13,3.044,4.3871,"Sep 3, 13",-0.09650924024640652
2013-09-04,4.39,4.6701,4.375,4.52,114275,114275,0.12,2.727,4.5382,"Sep 4, 13",-0.07186858316221777
2013-09-05,4.52,4.6,4.44,4.57,114787,114787,0.05,1.106,4.5428,"Sep 5, 13",-0.06160164271047224
2013-09-06,4.6,4.63,4.47,4.53,46309,46309,-0.04,-0.875,4.5736,"Sep 6, 13",-0.06981519507186855
2013-09-09,4.54,4.73,4.5,4.73,126279,126279,0.2,4.415,4.6181,"Sep 9, 13",-0.028747433264886997
2013-09-10,4.77,4.8498,4.66,4.67,86242,86242,-0.06,-1.268,4.7465,"Sep 10, 13",-0.04106776180698155
2013-09-11,4.65,4.65,4.42,4.42,118033,118033,-0.25,-5.353,4.5272,"Sep 11, 13",-0.09240246406570846
2013-09-12,4.44,4.49,4.36,4.41,112794,112794,-0.01,-0.226,4.4177,"Sep 12, 13",-0.09445585215605748
2013-09-13,4.44,4.54,4.32,4.53,65669,65669,0.12,2.721,4.4763,"Sep 13, 13",-0.06981519507186855
2013-09-16,4.58,4.58,4.4,4.49,124949,124949,-0.04,-0.883,4.4517,"Sep 16, 13",-0.07802874743326486
2013-09-17,4.45,4.62,4.45,4.61,172793,172793,0.12,2.673,4.5959,"Sep 17, 13",-0.05338809034907593
2013-09-18,4.6,4.95,4.59,4.87,206888,206888,0.26,5.64,4.7663,"Sep 18, 13",0
2013-09-19,4.9,4.9,4.74,4.78,181007,181007,-0.09,-1.848,4.8004,"Sep 19, 13",-0.018480492813141656
2013-09-20,4.82,4.82,4.64,4.76,272878,272878,-0.02,-0.418,4.7447,"Sep 20, 13",-0.0225872689938399
2013-09-23,4.77,4.77,4.57,4.63,141073,141073,-0.13,-2.731,4.6496,"Sep 23, 13",-0.04928131416837787
2013-09-24,4.65,4.8139,4.51,4.75,81875,81875,0.12,2.592,4.7174,"Sep 24, 13",-0.024640657084188933
2013-09-25,4.79,4.92,4.74,4.76,104087,104087,0.01,0.211,4.7894,"Sep 25, 13",-0.0225872689938399
2013-09-26,4.79,4.81,4.63,4.71,89761,89761,-0.05,-1.05,4.6859,"Sep 26, 13",-0.032854209445585245
2013-09-27,4.66,4.67,4.57,4.61,64693,64693,-0.1,-2.123,4.6095,"Sep 27, 13",-0.05338809034907593
2013-09-30,4.55,4.61,4.45,4.59,154703,154703,-0.02,-0.434,4.5593,"Sep 30, 13",-0.057494866529774175
2013-10-01,4.58,4.88,4.58,4.85,203917,203917,0.26,5.664,4.7582,"Oct 1, 13",-0.004106776180698247
2013-10-02,4.84,4.87,4.73,4.8,155393,155393,-0.05,-1.031,4.7977,"Oct 2, 13",-0.01437371663244359
2013-10-03,4.8,4.89,4.74,4.88,158166,158166,0.08,1.667,4.8249,"Oct 3, 13",0.0020533880903490323
2013-10-04,4.86,5.1,4.85,5.01,307359,307359,0.13,2.664,5.0043,"Oct 4, 13",0.028747433264886997
2013-10-07,4.96,5.1,4.9,5.08,206526,206526,0.07,1.397,5.0268,"Oct 7, 13",0.04312114989733059
2013-10-08,5.05,5.1,5.01,5.03,213257,213257,-0.05,-0.984,5.06,"Oct 8, 13",0.032854209445585245
2013-10-09,5.04,5.0999,4.93,5.03,208184,208184,0,0,4.9303,"Oct 9, 13",0.032854209445585245
2013-10-10,5.09,5.1,4.97,5.07,119956,119956,0.04,0.795,5.0601,"Oct 10, 13",0.04106776180698155
2013-10-11,5,5.04,4.96,5.03,144131,144131,-0.04,-0.789,5.0111,"Oct 11, 13",0.032854209445585245
2013-10-14,4.99,5.05,4.96,5.03,194972,194972,0,0,4.9932,"Oct 14, 13",0.032854209445585245
2013-10-15,5.03,5.06,4.99,5.03,184873,184873,0,0,5.0149,"Oct 15, 13",0.032854209445585245
2013-10-16,5.06,5.25,5.02,5.23,661568,661568,0.2,3.976,5.1845,"Oct 16, 13",0.0739219712525668
2013-10-17,5.25,5.705,5.2399,5.7,492227,492227,0.47,8.987,5.5622,"Oct 17, 13",0.1704312114989733
