date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,12.4093,12.4158,12.3311,12.3962,41076,41076,-0.019555,-0.158,12.3839,"Aug 5, 13",0
2013-08-06,12.4158,12.4158,12.1297,12.3115,51327,51327,-0.084726,-0.683,12.2662,"Aug 6, 13",-0.0068327390651973805
2013-08-07,12.3441,12.3702,12.0769,12.3702,69915,69915,0.058656,0.476,12.2681,"Aug 7, 13",-0.002097416950355738
2013-08-08,12.4223,12.4223,12.1877,12.3832,45415,45415,0.013034,0.105,12.3116,"Aug 8, 13",-0.001048708475177869
2013-08-09,12.3636,12.4614,12.3245,12.3962,48006,48006,0.013036,0.105,12.4025,"Aug 9, 13",0
2013-08-12,12.4744,12.5396,12.2789,12.4679,27411,27411,0.071693,0.578,12.4127,"Aug 12, 13",0.0057840305900195114
2013-08-13,12.4288,12.4614,12.2463,12.4353,37914,37914,-0.032583,-0.261,12.3612,"Aug 13, 13",0.003154192413804187
2013-08-14,12.3245,12.4021,12.1746,12.3376,56016,56016,-0.097768,-0.786,12.312,"Aug 14, 13",-0.004727255126571062
2013-08-15,12.2897,12.4012,11.9953,12.0799,48650,48650,-0.257723,-2.089,12.2081,"Aug 15, 13",-0.02551588389990481
2013-08-16,12.0471,12.0995,11.7585,12.0864,64053,64053,0.006556,0.054,12.009,"Aug 16, 13",-0.024991529662315947
2013-08-19,12.1717,12.2366,11.9684,12.0012,64254,64254,-0.085251,-0.705,12.0622,"Aug 19, 13",-0.03186460366886623
2013-08-20,11.9093,12.093,11.811,12.093,85164,85164,0.091811,0.765,11.974,"Aug 20, 13",-0.02445910843645636
2013-08-21,12.152,12.2256,11.9028,12.0733,49945,49945,-0.019674,-0.163,12.0469,"Aug 21, 13",-0.026048305125764396
2013-08-22,12.1258,12.1913,11.9028,12.0143,74107,74107,-0.05902,-0.489,11.9971,"Aug 22, 13",-0.030807828205417782
2013-08-23,12.0602,12.0602,11.8634,11.9421,53375,53375,-0.072143,-0.6,11.9401,"Aug 23, 13",-0.03663219373679034
2013-08-26,11.9421,12.034,11.8766,11.9421,100360,100360,0,0,11.9355,"Aug 26, 13",-0.03663219373679034
2013-08-27,11.9815,12.0864,11.9028,12.0799,89405,89405,0.137721,1.153,11.9561,"Aug 27, 13",-0.02551588389990481
2013-08-28,12.1454,12.1454,11.9225,12.0799,57619,57619,0,0,12.0336,"Aug 28, 13",-0.02551588389990481
2013-08-29,12.0405,12.1913,11.9887,12.1717,39471,39471,0.091813,0.76,12.0771,"Aug 29, 13",-0.018110388667494943
2013-08-30,12.1389,12.3028,12.1133,12.2832,35242,35242,0.111486,0.916,12.2123,"Aug 30, 13",-0.009115696745776895
2013-09-03,12.3225,12.3225,12.1395,12.3028,32649,32649,0.019674,0.16,12.2307,"Sep 3, 13",-0.0075345670447395825
2013-09-04,12.2635,12.3094,12.1323,12.2897,30928,30928,-0.013117,-0.107,12.2333,"Sep 4, 13",-0.008591342508188032
2013-09-05,12.2176,12.2963,12.2176,12.2569,20731,20731,-0.032788,-0.267,12.2399,"Sep 5, 13",-0.011237314660944516
2013-09-06,12.3028,12.3487,12.1585,12.2438,30343,30343,-0.013115,-0.107,12.2524,"Sep 6, 13",-0.012294090124392967
2013-09-09,12.2897,12.3225,12.2635,12.3028,42912,42912,0.05902,0.482,12.2824,"Sep 9, 13",-0.0075345670447395825
2013-09-10,12.2963,12.3159,12.2176,12.3159,38628,38628,0.013116,0.107,12.2666,"Sep 10, 13",-0.006477791581291133
2013-09-11,12.3159,12.3356,12.2569,12.3225,45218,45218,0.006561,0.053,12.3085,"Sep 11, 13",-0.005945370355431547
2013-09-12,12.3159,12.3291,12.1913,12.3225,83138,83138,0,0,12.275,"Sep 12, 13",-0.005945370355431547
2013-09-13,12.2766,12.3553,12.2635,12.3356,25427,25427,0.01311,0.106,12.3006,"Sep 13, 13",-0.004888594891983097
2013-09-16,12.3881,12.3881,12.3356,12.3684,28092,28092,0.032792,0.266,12.3633,"Sep 16, 13",-0.0022426227392266128
2013-09-17,12.3684,12.3684,12.0012,12.1651,81879,81879,-0.203293,-1.644,12.2026,"Sep 17, 13",-0.018642809893354387
2013-09-18,12.1848,12.2635,12.0471,12.1717,34717,34717,0.006554,0.054,12.1461,"Sep 18, 13",-0.018110388667494943
2013-09-19,12.2423,12.2885,11.9849,12.1301,42865,42865,-0.041576,-0.342,12.1449,"Sep 19, 13",-0.021466255788064065
2013-09-20,12.0839,12.1367,12.0113,12.0707,34840,34840,-0.059397,-0.49,12.0796,"Sep 20, 13",-0.026258046820799914
2013-09-23,12.0905,12.1301,12.0113,12.0509,44365,44365,-0.019802,-0.164,12.067,"Sep 23, 13",-0.02785531049837853
2013-09-24,12.0377,12.1103,11.9783,12.0839,43352,43352,0.033,0.274,12.0156,"Sep 24, 13",-0.025193204369080884
2013-09-25,12.1103,12.1103,11.9123,11.9651,60345,60345,-0.118794,-0.983,11.9799,"Sep 25, 13",-0.03477678643455258
2013-09-26,11.8859,11.9849,11.7671,11.8463,81054,81054,-0.118792,-0.993,11.8605,"Sep 26, 13",-0.044360368500024276
2013-09-27,11.8265,11.9717,11.7671,11.9717,58419,58419,0.125392,1.058,11.8412,"Sep 27, 13",-0.03424436520869299
2013-09-30,11.9717,12.0377,11.8463,11.9519,53989,53989,-0.019796,-0.165,11.9431,"Sep 30, 13",-0.03584162888627161
2013-10-01,11.9717,12.1301,11.9519,12.1301,40949,40949,0.178189,1.491,12.0141,"Oct 1, 13",-0.021466255788064065
2013-10-02,12.1697,12.1895,11.9915,12.1235,30700,30700,-0.0066,-0.054,12.0878,"Oct 2, 13",-0.02199867701392365
2013-10-03,12.1235,12.1235,11.8001,12.0047,36368,36368,-0.118795,-0.98,11.9463,"Oct 3, 13",-0.031582259079395346
2013-10-04,11.9519,12.0113,11.8991,11.9585,26184,26184,-0.046198,-0.385,11.949,"Oct 4, 13",-0.035309207660412026
