date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,3.9,3.99,3.799,3.8,15782,15782,-0.23,-5.707,3.8662,"Aug 5, 13",0
2013-08-06,3.8,3.93,3.68,3.93,14496,14496,0.13,3.421,3.8135,"Aug 6, 13",0.034210526315789566
2013-08-07,3.8,4.06,3.8,4.044,13987,13987,0.114,2.901,3.8992,"Aug 7, 13",0.06421052631578941
2013-08-08,4.09,4.09,3.91,3.91,10244,10244,-0.134,-3.314,4.008,"Aug 8, 13",0.028947368421052718
2013-08-09,4.01,4.05,4,4.05,12800,12800,0.14,3.581,4.0394,"Aug 9, 13",0.06578947368421052
2013-08-12,4.05,4.31,4.05,4.31,3062,3062,0.26,6.42,4.1228,"Aug 12, 13",0.13421052631578942
2013-08-13,4.236,4.28,3.75,3.77,18688,18688,-0.54,-12.529,3.9544,"Aug 13, 13",-0.007894736842105211
2013-08-14,3.76,3.91,3.635,3.66,10356,10356,-0.11,-2.918,3.8157,"Aug 14, 13",-0.036842105263157815
2013-08-15,3.59,3.795,3.51,3.79,19601,19601,0.13,3.552,3.61,"Aug 15, 13",-0.002631578947368365
2013-08-16,3.79,3.79,3.709,3.72,1670,1670,-0.07,-1.847,3.7255,"Aug 16, 13",-0.02105263157894727
2013-08-19,3.64,3.72,3.505,3.62,14003,14003,-0.1,-2.688,3.6018,"Aug 19, 13",-0.047368421052631504
2013-08-20,3.62,3.63,3.4,3.47,14387,14387,-0.15,-4.144,3.4741,"Aug 20, 13",-0.0868421052631578
2013-08-21,3.47,3.98,3.47,3.98,7273,7273,0.51,14.697,3.8063,"Aug 21, 13",0.04736842105263162
2013-08-22,3.99,4.168,3.99,4.1,4581,4581,0.12,3.015,4.1207,"Aug 22, 13",0.07894736842105259
2013-08-23,4.2,4.2,4.11,4.19,1780,1780,0.09,2.195,4.1361,"Aug 23, 13",0.10263157894736857
2013-08-26,4.2,4.3,4.2,4.29,2676,2676,0.1,2.387,4.246,"Aug 26, 13",0.1289473684210527
2013-08-27,4.15,4.29,4.12,4.14,900,900,-0.15,-3.497,4.1956,"Aug 27, 13",0.08947368421052629
2013-08-28,4.14,4.3,4.14,4.29,800,800,0.15,3.623,4.255,"Aug 28, 13",0.1289473684210527
2013-08-29,4.3,4.3,4.27,4.289,5357,5357,-0.001,-0.023,4.2865,"Aug 29, 13",0.12868421052631576
2013-08-30,4.22,4.23,4.216,4.216,305,305,-0.073,-1.702,4.2219,"Aug 30, 13",0.10947368421052642
2013-09-03,4.45,4.97,4.45,4.97,1948,1948,0.754,17.884,4.6115,"Sep 3, 13",0.3078947368421053
2013-09-04,4.57,4.74,4.4,4.4,8225,8225,-0.57,-11.469,4.5676,"Sep 4, 13",0.15789473684210542
2013-09-05,4.8,4.8,4.36,4.59,13553,13553,0.19,4.318,4.5436,"Sep 5, 13",0.20789473684210527
2013-09-06,5.03,6.49,4.43,4.4776,57205,57205,-0.1124,-2.449,5.1734,"Sep 6, 13",0.1783157894736842
2013-09-09,4.709,4.78,4.61,4.78,6159,6159,0.3024,6.754,4.6705,"Sep 9, 13",0.2578947368421054
2013-09-10,4.61,4.7299,4.45,4.45,4314,4314,-0.33,-6.904,4.6282,"Sep 10, 13",0.17105263157894746
2013-09-11,4.26,4.769,4.15,4.65,37466,37466,0.2,4.494,4.5001,"Sep 11, 13",0.22368421052631593
2013-09-12,4.64,4.73,4.375,4.476,30400,30400,-0.174,-3.742,4.5755,"Sep 12, 13",0.1778947368421053
2013-09-13,4.57,4.7407,4.51,4.55,21570,21570,0.074,1.653,4.6023,"Sep 13, 13",0.19736842105263158
