date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,1.59,1.59,1.52,1.57,112113,112113,0.06,3.974,1.5671,"Aug 5, 13",0
2013-08-06,1.6,1.6799,1.57,1.5801,103946,103946,0.0101,0.643,1.6335,"Aug 6, 13",0.006433121019108278
2013-08-07,1.58,1.67,1.58,1.62,119103,119103,0.0399,2.525,1.6388,"Aug 7, 13",0.03184713375796181
2013-08-08,1.65,1.74,1.621,1.719,83801,83801,0.099,6.111,1.6854,"Aug 8, 13",0.09490445859872612
2013-08-09,1.68,1.7396,1.65,1.71,65420,65420,-0.009,-0.524,1.7,"Aug 9, 13",0.08917197452229293
2013-08-12,1.71,1.82,1.71,1.79,177758,177758,0.08,4.678,1.8553,"Aug 12, 13",0.14012738853503182
2013-08-13,2.38,2.71,2.19,2.26,4051081,4051081,0.47,26.257,2.4399,"Aug 13, 13",0.4394904458598724
2013-08-14,2.26,2.3,2.02,2.05,584674,584674,-0.21,-9.292,2.1261,"Aug 14, 13",0.30573248407643294
2013-08-15,2.02,2.1799,1.95,2.0985,302498,302498,0.0485,2.366,2.0487,"Aug 15, 13",0.33662420382165603
2013-08-16,2.12,2.1599,1.93,2,138422,138422,-0.0985,-4.694,2.0168,"Aug 16, 13",0.2738853503184713
2013-08-19,2,2,1.941,1.98,189721,189721,-0.02,-1,1.9733,"Aug 19, 13",0.26114649681528657
2013-08-20,1.9601,2.07,1.96,2.01,113674,113674,0.03,1.515,2.0049,"Aug 20, 13",0.2802547770700635
2013-08-21,2.03,2.08,2.01,2.04,106938,106938,0.03,1.493,2.0443,"Aug 21, 13",0.29936305732484075
2013-08-22,2.02,2.06,1.96,1.97,98450,98450,-0.07,-3.431,2.0052,"Aug 22, 13",0.2547770700636942
2013-08-23,2.01,2.079,2.001,2.06,90291,90291,0.09,4.569,2.0452,"Aug 23, 13",0.31210191082802546
2013-08-26,2.09,2.09,1.96,2.02,218918,218918,-0.04,-1.942,1.9963,"Aug 26, 13",0.286624203821656
2013-08-27,2.01,2.01,1.95,2.01,61742,61742,-0.01,-0.495,1.9773,"Aug 27, 13",0.2802547770700635
2013-08-28,1.98,1.9899,1.85,1.94,194948,194948,-0.07,-3.483,1.8929,"Aug 28, 13",0.23566878980891712
2013-08-29,1.94,1.94,1.87,1.93,50732,50732,-0.01,-0.515,1.905,"Aug 29, 13",0.22929936305732476
2013-08-30,1.91,1.91,1.87,1.87,48692,48692,-0.06,-3.109,1.8733,"Aug 30, 13",0.1910828025477707
2013-09-03,1.88,1.9,1.81,1.81,75071,75071,-0.06,-3.209,1.8498,"Sep 3, 13",0.15286624203821655
2013-09-04,1.81,1.86,1.81,1.83,48891,48891,0.02,1.105,1.8432,"Sep 4, 13",0.16560509554140126
2013-09-05,1.85,2.02,1.85,1.979,316209,316209,0.149,8.142,1.956,"Sep 5, 13",0.2605095541401274
2013-09-06,2.02,2.05,1.87,1.9701,58473,58473,-0.0089,-0.45,1.976,"Sep 6, 13",0.2548407643312101
2013-09-09,2.01,2.02,1.8528,1.95,100918,100918,-0.0201,-1.02,1.9795,"Sep 9, 13",0.24203821656050947
2013-09-10,1.95,2.051,1.923,2.03,105133,105133,0.08,4.103,2.0037,"Sep 10, 13",0.29299363057324823
