date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,12.8159,12.8841,12.6602,12.7089,34528,34528,-0.126503,-0.986,12.7708,"Aug 5, 13",0
2013-08-06,12.5435,12.6408,12.2613,12.3099,93355,93355,-0.398979,-3.139,12.3394,"Aug 6, 13",-0.031395321388947836
2013-08-07,12.3878,12.4364,12.1542,12.2613,120822,120822,-0.048658,-0.395,12.2573,"Aug 7, 13",-0.03521941316715054
2013-08-08,12.3099,12.8549,12.2807,12.7867,147144,147144,0.525486,4.286,12.7066,"Aug 8, 13",0.006121694245764769
2013-08-09,12.8159,13.0884,12.7692,13.0787,126915,126915,0.291933,2.283,12.9698,"Aug 9, 13",0.029097718921385775
2013-08-12,13.3609,13.7209,13.1371,13.682,162803,162803,0.603332,4.613,13.5131,"Aug 12, 13",0.07656838908166722
2013-08-13,13.5166,13.7599,13.4485,13.6528,100024,100024,-0.029192,-0.213,13.5596,"Aug 13, 13",0.07427078661410502
2013-08-14,13.7988,14.153,13.7793,14.1491,150520,150520,0.496288,3.635,13.9882,"Aug 14, 13",0.11332216006105963
2013-08-15,13.9448,14.6454,13.8095,14.6357,130609,130609,0.486557,3.439,14.3554,"Aug 15, 13",0.1516102888526938
2013-08-16,14.6551,14.8011,14.3632,14.5189,68371,68371,-0.116771,-0.798,14.6237,"Aug 16, 13",0.1424198789824454
2013-08-19,14.3924,14.3924,14.1297,14.1394,49470,49470,-0.379516,-2.614,14.2774,"Aug 19, 13",0.11255891540573931
2013-08-20,14.1102,14.5967,14.1102,14.5286,51480,51480,0.389247,2.753,14.4745,"Aug 20, 13",0.14318312363776575
2013-08-21,14.3437,14.48,14.1588,14.1588,20568,20568,-0.369784,-2.545,14.3575,"Aug 21, 13",0.11408540471637982
2013-08-22,14.3048,14.4021,14.1442,14.2562,26009,26009,0.097309,0.687,14.2665,"Aug 22, 13",0.12174932527598768
2013-08-23,14.188,14.5277,14.188,14.3827,61181,61181,0.126506,0.887,14.4022,"Aug 23, 13",0.13170297980155637
2013-08-26,14.4605,14.5967,14.3729,14.5092,41652,41652,0.126506,0.88,14.5032,"Aug 26, 13",0.14165663432712508
2013-08-27,14.6551,14.84,14.227,14.2562,163333,163333,-0.253012,-1.744,14.6814,"Aug 27, 13",0.12174932527598768
