date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-06-10,15.75,16.47,15.75,16,6091428,6091428,16,0,15.9835,"Jun 10, 16",0
2016-06-13,16,16.48,15.875,16.25,698666,698666,0.25,1.562,16.1939,"Jun 13, 16",0.015625
2016-06-14,16.11,16.345,15.8001,16.07,295866,295866,-0.18,-1.108,16.0796,"Jun 14, 16",0.004375000000000018
2016-06-15,16.19,16.39,16.11,16.13,201569,201569,0.06,0.373,16.2272,"Jun 15, 16",0.008124999999999938
2016-06-16,16.18,16.18,15.56,16.1,205038,205038,-0.03,-0.186,16.0074,"Jun 16, 16",0.006250000000000089
2016-06-17,16.1,16.25,15.99,16,167742,167742,-0.1,-0.621,16.0725,"Jun 17, 16",0
2016-06-20,16.08,16.85,16.06,16.52,526292,526292,0.52,3.25,16.3477,"Jun 20, 16",0.03249999999999997
2016-06-21,16.45,16.45,16.06,16.16,134480,134480,-0.36,-2.179,16.282,"Jun 21, 16",0.010000000000000009
2016-06-22,16.17,16.44,16.07,16.4,191215,191215,0.24,1.485,16.2851,"Jun 22, 16",0.02499999999999991
2016-06-23,16.45,16.85,16.45,16.75,285744,285744,0.35,2.134,16.73,"Jun 23, 16",0.046875
2016-06-24,16.4,16.431,16.03,16.07,379884,379884,-0.68,-4.06,16.1699,"Jun 24, 16",0.004375000000000018
2016-06-27,16,16.37,15.42,15.83,342378,342378,-0.24,-1.493,15.9507,"Jun 27, 16",-0.010624999999999996
2016-06-28,16,16.195,15.775,16.04,255988,255988,0.21,1.327,15.9947,"Jun 28, 16",0.0024999999999999467
2016-06-29,16.1,16.15,15.85,16.05,108430,108430,0.01,0.062,16.0278,"Jun 29, 16",0.0031250000000000444
2016-06-30,16.09,16.19,15.94,16,126203,126203,-0.05,-0.312,16.0282,"Jun 30, 16",0
2016-07-01,16.09,16.88,16,16.85,77077,77077,0.85,5.312,16.3572,"Jul 1, 16",0.05312500000000009
2016-07-05,16.94,16.94,16.14,16.39,324097,324097,-0.46,-2.73,16.4645,"Jul 5, 16",0.024375000000000036
2016-07-06,16.39,16.64,15.98,15.98,262746,262746,-0.41,-2.502,16.1817,"Jul 6, 16",-0.0012499999999999734
2016-07-07,16.13,16.19,15.6,16,578366,578366,0.02,0.125,15.9979,"Jul 7, 16",0
2016-07-08,16,16.13,16,16,324511,324511,0,0,16.0204,"Jul 8, 16",0
2016-07-11,16.1,16.7699,15.89,16.68,470304,470304,0.68,4.25,16.3436,"Jul 11, 16",0.04249999999999998
2016-07-12,16.86,17.225,16.26,16.93,414982,414982,0.25,1.499,16.8808,"Jul 12, 16",0.05812499999999998
2016-07-13,17,17.1,16.25,16.38,199737,199737,-0.55,-3.249,16.5343,"Jul 13, 16",0.023749999999999938
2016-07-14,16.49,16.805,16.125,16.55,162197,162197,0.17,1.038,16.5362,"Jul 14, 16",0.034375000000000044
2016-07-15,16.57,16.79,16.505,16.79,40459,40459,0.24,1.45,16.7022,"Jul 15, 16",0.04937499999999995
2016-07-18,16.7,17.1,16.7,17.01,54266,54266,0.22,1.31,17.0203,"Jul 18, 16",0.0631250000000001
2016-07-19,17.19,17.19,16.9,16.95,55369,55369,-0.06,-0.353,17.0534,"Jul 19, 16",0.059374999999999956
2016-07-20,17.11,17.13,16.34,16.59,89323,89323,-0.36,-2.124,16.6261,"Jul 20, 16",0.03687499999999999
2016-07-21,16.75,16.77,16.4,16.59,29993,29993,0,0,16.6013,"Jul 21, 16",0.03687499999999999
2016-07-22,16.68,16.79,16.49,16.7,41708,41708,0.11,0.663,16.6631,"Jul 22, 16",0.043749999999999956
2016-07-25,16.55,16.85,16.5,16.54,37660,37660,-0.16,-0.958,16.7066,"Jul 25, 16",0.03374999999999995
2016-07-26,16.5,16.54,16.15,16.22,59725,59725,-0.32,-1.935,16.3045,"Jul 26, 16",0.013749999999999929
2016-07-27,16.25,16.505,16.03,16.2,71599,71599,-0.02,-0.123,16.1943,"Jul 27, 16",0.012499999999999956
2016-07-28,16.24,16.24,15.21,15.82,200369,200369,-0.38,-2.346,15.6689,"Jul 28, 16",-0.011249999999999982
2016-07-29,15.8,15.92,15.62,15.73,153587,153587,-0.09,-0.569,15.7585,"Jul 29, 16",-0.016874999999999973
2016-08-01,15.78,15.795,14.17,15.3,196155,196155,-0.43,-2.734,15.0572,"Aug 1, 16",-0.043749999999999956
2016-08-02,16.16,17.16,15.275,15.52,713708,713708,0.22,1.438,15.984,"Aug 2, 16",-0.030000000000000027
2016-08-03,15.47,16.21,15.47,16.15,139214,139214,0.63,4.059,16.0106,"Aug 3, 16",0.009374999999999911
2016-08-04,16.31,16.8,16.13,16.41,220141,220141,0.26,1.61,16.4885,"Aug 4, 16",0.02562500000000001
2016-08-05,16.58,16.86,16.54,16.63,110372,110372,0.22,1.341,16.7015,"Aug 5, 16",0.03937499999999994
2016-08-08,16.64,17.74,16.64,17.36,156173,156173,0.73,4.39,17.1946,"Aug 8, 16",0.08499999999999996
2016-08-09,17.39,17.83,17.27,17.67,132825,132825,0.31,1.786,17.6566,"Aug 9, 16",0.1043750000000001
2016-08-10,17.77,17.77,17.21,17.5,138222,138222,-0.17,-0.962,17.5108,"Aug 10, 16",0.09375
2016-08-11,17.51,17.62,17.4,17.52,49818,49818,0.02,0.114,17.515,"Aug 11, 16",0.09499999999999997
2016-08-12,17.59,17.66,17.45,17.47,114295,114295,-0.05,-0.285,17.5282,"Aug 12, 16",0.09187499999999993
2016-08-15,17.38,17.65,16.78,17.65,123507,123507,0.18,1.03,17.4089,"Aug 15, 16",0.10312499999999991
2016-08-16,17.65,17.89,17.31,17.79,72588,72588,0.14,0.793,17.636,"Aug 16, 16",0.11187499999999995
2016-08-17,17.77,17.81,17.29,17.55,112305,112305,-0.24,-1.349,17.6228,"Aug 17, 16",0.09687500000000004
2016-08-18,17.68,17.68,17.27,17.43,43328,43328,-0.12,-0.684,17.4407,"Aug 18, 16",0.08937499999999998
2016-08-19,17.55,17.55,16.88,17.35,46108,46108,-0.08,-0.459,17.1683,"Aug 19, 16",0.08437500000000009
2016-08-22,17.5,18.17,17.1646,18.06,66257,66257,0.71,4.092,17.7523,"Aug 22, 16",0.12874999999999992
2016-08-23,18.1,18.2199,17.655,17.81,89444,89444,-0.25,-1.384,17.9119,"Aug 23, 16",0.11312499999999992
2016-08-24,17.67,17.92,17.32,17.39,58292,58292,-0.42,-2.358,17.5237,"Aug 24, 16",0.08687500000000004
2016-08-25,17.29,17.62,17.29,17.5,69399,69399,0.11,0.633,17.4932,"Aug 25, 16",0.09375
2016-08-26,17.46,17.91,17.2,17.41,110602,110602,-0.09,-0.514,17.4955,"Aug 26, 16",0.08812500000000001
2016-08-29,17.36,17.79,17.15,17.48,43989,43989,0.07,0.402,17.5148,"Aug 29, 16",0.09250000000000003
2016-08-30,17.57,18.01,17.45,17.87,73412,73412,0.39,2.231,17.7641,"Aug 30, 16",0.11687500000000006
2016-08-31,17.88,18.05,17.56,17.88,92161,92161,0.01,0.056,17.8147,"Aug 31, 16",0.11749999999999994
2016-09-01,17.98,17.99,17.59,17.94,94897,94897,0.06,0.336,17.8233,"Sep 1, 16",0.12125000000000008
2016-09-02,17.94,18.178,17.78,18.09,109872,109872,0.15,0.836,18.0131,"Sep 2, 16",0.130625
2016-09-06,18.16,18.36,17.82,18.15,190108,190108,0.06,0.332,18.0652,"Sep 6, 16",0.1343749999999999
2016-09-07,18.18,18.24,17.63,18.04,100931,100931,-0.11,-0.606,18.0128,"Sep 7, 16",0.12749999999999995
2016-09-08,17.815,18.16,17.81,18.01,86179,86179,-0.03,-0.166,17.9925,"Sep 8, 16",0.1256250000000001
2016-09-09,17.79,17.89,17.055,17.7,135597,135597,-0.31,-1.721,17.4707,"Sep 9, 16",0.10624999999999996
2016-09-12,17.51,17.9,17.02,17.86,140426,140426,0.16,0.904,17.5253,"Sep 12, 16",0.11624999999999996
2016-09-13,17.72,17.89,17.38,17.62,52609,52609,-0.24,-1.344,17.5282,"Sep 13, 16",0.10125000000000006
2016-09-14,17.7499,18,17.44,17.87,148853,148853,0.25,1.419,17.727,"Sep 14, 16",0.11687500000000006
