date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,38.4712,38.5773,38.0821,38.1087,824517,824517,-0.30947,-0.806,38.2676,"Aug 5, 13",0
2013-08-06,38.1352,38.1352,37.4013,37.5782,1959628,1959628,-0.530512,-1.392,37.6195,"Aug 6, 13",-0.013920705770598221
2013-08-07,37.5428,37.7417,37.2333,37.3925,1267993,1267993,-0.185681,-0.494,37.4966,"Aug 7, 13",-0.01879360880848732
2013-08-08,37.5516,37.839,37.4632,37.7108,653428,653428,0.318307,0.851,37.7219,"Aug 8, 13",-0.01044118534612831
2013-08-09,37.5782,37.8169,37.5074,37.7108,735722,735722,0,0,37.7051,"Aug 9, 13",-0.01044118534612831
2013-08-12,37.6754,37.9584,37.4278,37.6312,1163167,1163167,-0.079577,-0.211,37.7095,"Aug 12, 13",-0.012529947229897613
2013-08-13,37.7019,37.9053,37.3837,37.7904,444146,444146,0.159155,0.423,37.7037,"Aug 13, 13",-0.008352423462359008
2013-08-14,37.6577,38.0114,37.5251,37.9495,798564,798564,0.159155,0.421,37.7958,"Aug 14, 13",-0.004177523767538605
2013-08-15,37.7196,37.8081,37.4455,37.587,711012,711012,-0.362516,-0.955,37.6881,"Aug 15, 13",-0.013689787371387522
2013-08-16,37.6047,38.0114,37.5163,37.755,556560,556560,0.167995,0.447,37.7838,"Aug 16, 13",-0.009281345204638216
2013-08-19,37.9142,38.1087,37.6622,38.0114,774529,774529,0.256415,0.679,37.9884,"Aug 19, 13",-0.002553222754908907
2013-08-20,38.0026,38.4005,37.8788,38.3032,608466,608466,0.291783,0.768,38.2767,"Aug 20, 13",0.00510382143709961
2013-08-21,38.1794,38.2059,37.5074,37.5428,969886,969886,-0.760404,-1.985,37.767,"Aug 21, 13",-0.014849627512877616
2013-08-22,37.7727,38.3253,37.5693,38.1617,387885,387885,0.618934,1.649,38.1028,"Aug 22, 13",0.0013907585407007949
2013-08-23,38.1794,38.4181,37.9937,38.3474,277547,277547,0.18568,0.487,38.2758,"Aug 23, 13",0.006263661578589704
2013-08-26,38.4005,38.4005,37.9318,37.9318,436003,436003,-0.415569,-1.084,38.1062,"Aug 26, 13",-0.004641984638678209
2013-08-27,37.6931,37.8257,37.419,37.5428,1020213,1020213,-0.389045,-1.026,37.5993,"Aug 27, 13",-0.014849627512877616
2013-08-28,37.6224,37.7373,37.4455,37.5782,590876,590876,0.035368,0.094,37.5926,"Aug 28, 13",-0.013920705770598221
2013-08-29,37.4897,37.9318,37.4897,37.7992,312746,312746,0.221047,0.588,37.7736,"Aug 29, 13",-0.008121505063148307
2013-08-30,37.8611,38.1529,37.7108,38.0114,619078,619078,0.212206,0.561,37.9031,"Aug 30, 13",-0.002553222754908907
2013-09-03,38.2767,38.3386,37.6887,38.1175,893717,893717,0.106104,0.279,37.9882,"Sep 3, 13",0.0002309183992107001
2013-09-04,38.0556,38.2944,37.8169,37.8346,1551278,1551278,-0.282941,-0.742,37.9879,"Sep 4, 13",-0.007192583320868913
2013-09-05,37.8169,37.8876,37.4544,37.4986,1132320,1132320,-0.335991,-0.888,37.5676,"Sep 5, 13",-0.016009467654367525
2013-09-06,37.6401,37.6931,37.0211,37.0388,918573,918573,-0.459782,-1.226,37.2983,"Sep 6, 13",-0.028074954013125535
2013-09-09,37.3748,38.0733,37.366,38.0379,975513,975513,0.999136,2.698,37.7811,"Sep 9, 13",-0.0018578434845586027
2013-09-10,38.2413,38.4447,38.0645,38.3916,615436,615436,0.353676,0.93,38.2807,"Sep 10, 13",0.007423501720079613
2013-09-11,38.4181,38.595,38.175,38.5331,811146,811146,0.141471,0.368,38.4346,"Sep 11, 13",0.011136564616478615
2013-09-12,38.5596,38.6304,38.1264,38.1352,447354,447354,-0.397885,-1.033,38.3077,"Sep 12, 13",0.0006953792703503042
2013-09-13,38.3032,38.5066,38.0291,38.0821,629826,629826,-0.053053,-0.139,38.1495,"Sep 13, 13",-0.0006980033430686944
2013-09-16,38.3474,38.4358,38.1175,38.1264,766093,766093,0.04421,0.116,38.2544,"Sep 16, 13",0.00046446087113960406
2013-09-17,38.312,38.5331,38.1264,38.4447,569306,569306,0.31831,0.835,38.4331,"Sep 17, 13",0.008816884333498611
2013-09-18,38.5242,38.648,38.1264,38.4535,1001425,1001425,0.00884,0.023,38.3621,"Sep 18, 13",0.009047802732709312
2013-09-19,38.6392,38.8868,38.3828,38.5773,902711,902711,0.123787,0.322,38.6372,"Sep 19, 13",0.012296404757968709
2013-09-20,38.5685,38.7276,38.2148,38.3297,1657926,1657926,-0.247572,-0.642,38.3692,"Sep 20, 13",0.0057992007074501
2013-09-23,38.2767,38.5685,38.1883,38.4535,454517,454517,0.123785,0.323,38.4357,"Sep 23, 13",0.009047802732709312
2013-09-24,38.3916,38.6922,38.2678,38.5508,676683,676683,0.097262,0.253,38.5229,"Sep 24, 13",0.011601025487618405
2013-09-25,38.5596,38.6834,38.3386,38.427,837806,837806,-0.123788,-0.321,38.509,"Sep 25, 13",0.008352423462359008
2013-09-26,38.5154,38.595,38.2501,38.3297,585315,585315,-0.097259,-0.253,38.3476,"Sep 26, 13",0.0057992007074501
2013-09-27,38.3119,38.6721,37.8406,38.4631,653636,653636,0.133397,0.348,38.4811,"Sep 27, 13",0.009299713713666388
2013-09-30,38.2408,38.641,38.0096,38.5165,1023537,1023537,0.053358,0.139,38.4309,"Sep 30, 13",0.010700968545240372
2013-10-01,38.6855,39.1212,38.6188,39.1212,853335,853335,0.604738,1.57,39.0101,"Oct 1, 13",0.02656873627281967
2013-10-02,39.0856,39.5036,38.89,39.4858,1391208,1391208,0.364622,0.932,39.2362,"Oct 2, 13",0.036136105403752915
2013-10-03,39.3702,39.4592,39.0323,39.0501,856997,856997,-0.435765,-1.104,39.1811,"Oct 3, 13",0.02470302057010608
2013-10-04,39.059,39.4414,38.9611,39.3436,600569,600569,0.293476,0.752,39.3272,"Oct 4, 13",0.032404673998325924
2013-10-07,39.1568,39.5392,39.0501,39.3436,559110,559110,0,0,39.3794,"Oct 7, 13",0.032404673998325924
2013-10-08,39.3524,39.5125,39.2013,39.3347,868203,868203,-0.008895,-0.023,39.3806,"Oct 8, 13",0.032171131526396834
2013-10-09,39.3436,39.5348,39.2813,39.388,958579,958579,0.05336,0.136,38.5308,"Oct 9, 13",0.03356976228525243
2013-10-10,39.6281,40.1884,39.6281,40.1528,747590,747590,0.764815,1.942,40.0776,"Oct 10, 13",0.0536386704348351
2013-10-11,40.2862,40.5263,40.0595,40.4908,682166,682166,0.33794,0.842,40.3697,"Oct 11, 13",0.06250803622269983
2013-10-14,40.224,40.7487,40.1706,40.7398,463995,463995,0.249014,0.615,40.5512,"Oct 14, 13",0.06904197729127479
2013-10-15,40.7487,40.8643,40.2418,40.2595,919463,919463,-0.480235,-1.179,40.5025,"Oct 15, 13",0.05643855602526467
2013-10-16,40.3218,40.9977,40.2951,40.9977,849524,849524,0.738137,1.833,40.7571,"Oct 16, 13",0.07580946083177866
2013-10-17,40.722,41.5757,40.6953,41.5757,622010,622010,0.578057,1.41,41.3563,"Oct 17, 13",0.09097660114357085
2013-10-18,41.6024,41.6469,41.4335,41.6024,319312,319312,0.02668,0.064,41.563,"Oct 18, 13",0.09167722855935795
2013-10-21,41.6914,41.7758,41.4779,41.6291,438189,438189,0.026681,0.064,41.5767,"Oct 21, 13",0.09237785597514485
2013-10-22,41.9048,42.1983,41.718,42.0293,441554,441554,0.400192,0.961,42.0551,"Oct 22, 13",0.10287939499379407
2013-10-23,41.6558,41.887,41.3534,41.389,491680,491680,-0.640312,-1.523,41.4865,"Oct 23, 13",0.08607745737849898
2013-10-24,41.5224,41.718,41.22,41.718,674195,674195,0.329052,0.795,41.5884,"Oct 24, 13",0.09471065662171642
2013-10-25,41.7714,41.8514,41.5669,41.6469,357717,357717,-0.071146,-0.171,41.6741,"Oct 25, 13",0.09284494091900283
2013-10-28,41.5846,41.9137,41.4957,41.7447,380386,380386,0.097822,0.235,41.7708,"Oct 28, 13",0.09541128403750332
2013-10-29,41.9315,42.1271,41.6469,41.9937,525166,525166,0.249012,0.597,41.98,"Oct 29, 13",0.10194522510607809
2013-10-30,42.0293,42.0649,41.558,41.8959,762993,762993,-0.097825,-0.233,41.8108,"Oct 30, 13",0.0993788819875776
2013-10-31,42.0649,42.6518,41.8425,42.1716,1223956,1223956,0.275688,0.658,42.2518,"Oct 31, 13",0.10661345047193946
2013-11-01,42.1983,42.3672,42.056,42.2872,485975,485975,0.115615,0.274,42.2555,"Nov 1, 13",0.10964687853429794
2013-11-04,41.9848,42.2249,41.7269,42.1805,734499,734499,-0.10672,-0.252,42.0499,"Nov 4, 13",0.10684699294386854
2013-11-05,42.2694,42.4829,41.9848,42.0204,650563,650563,-0.160079,-0.38,42.2035,"Nov 5, 13",0.10264585252186517
