date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,446.99,449.29,446.01,448.25,178867,178867,0.21,0.047,447.8401,"Aug 5, 13",0
2013-08-06,447.15,449.22,439.34,445.01,265676,265676,-3.24,-0.723,442.246,"Aug 6, 13",-0.007228109313998905
2013-08-07,435.18,437.83,432.08,435.04,329024,329024,-9.97,-2.24,435.6946,"Aug 7, 13",-0.029470161740100344
2013-08-08,436.23,437.11,424.43,429.02,407596,407596,-6.02,-1.384,429.0837,"Aug 8, 13",-0.04290016731734527
2013-08-09,428.94,432.04,424.77,429.59,229639,229639,0.57,0.133,430.103,"Aug 9, 13",-0.041628555493586225
2013-08-12,428.22,429.87,424.446,425.6,306315,306315,-3.99,-0.929,426.5269,"Aug 12, 13",-0.05052983825989956
2013-08-13,426.41,436,425.4001,433.8,295185,295185,8.2,1.927,432.9083,"Aug 13, 13",-0.03223647518126043
2013-08-14,432.23,436.31,428.048,428.55,252513,252513,-5.25,-1.21,430.783,"Aug 14, 13",-0.04394868934746233
2013-08-15,427.01,427.99,419.3,420.06,207270,207270,-8.49,-1.981,421.6037,"Aug 15, 13",-0.06288901282766313
2013-08-16,420,421.82,416.27,416.52,304352,304352,-3.54,-0.843,419.3526,"Aug 16, 13",-0.07078639152258788
2013-08-19,417.22,424.754,415.53,420.4,240489,240489,3.88,0.932,421.8723,"Aug 19, 13",-0.062130507529280586
2013-08-20,420.76,426.88,419.594,424.83,229741,229741,4.43,1.054,425.0374,"Aug 20, 13",-0.05224762967094259
2013-08-21,422.83,423.75,419.41,419.96,181336,181336,-4.87,-1.146,421.2444,"Aug 21, 13",-0.06311210262130512
2013-08-22,420.47,423.94,419.18,421.11,111695,111695,1.15,0.274,421.6109,"Aug 22, 13",-0.060546569994422726
2013-08-23,423.34,423.5,418.8,422.35,131347,131347,1.24,0.294,422.1389,"Aug 23, 13",-0.05778025655326264
2013-08-26,422.77,424.21,417.02,421.42,200607,200607,-0.93,-0.22,422.4329,"Aug 26, 13",-0.0598549916341327
2013-08-27,418.79,420.44,418.04,419.12,232131,232131,-2.3,-0.546,418.8616,"Aug 27, 13",-0.06498605688789737
2013-08-28,418.19,421.85,416.05,420.02,148692,148692,0.9,0.215,419.7313,"Aug 28, 13",-0.06297824874511995
2013-08-29,418.01,422.929,417.84,421.52,106441,106441,1.5,0.357,421.7785,"Aug 29, 13",-0.05963190184049084
2013-08-30,419.45,420.82,416.047,419.94,223616,223616,-1.58,-0.375,418.6892,"Aug 30, 13",-0.06315672058003347
2013-09-03,421.45,423.895,419,419.76,161395,161395,-0.18,-0.043,420.9445,"Sep 3, 13",-0.06355828220858897
2013-09-04,419.97,424.16,419.01,422.81,138738,138738,3.05,0.727,422.9392,"Sep 4, 13",-0.05675404350250975
2013-09-05,423.38,423.415,418.005,420.1,182124,182124,-2.71,-0.641,420.1822,"Sep 5, 13",-0.0627997769102063
2013-09-06,420.36,424.27,416,417.53,111253,111253,-2.57,-0.612,419.2192,"Sep 6, 13",-0.0685331846068043
2013-09-09,417.99,421.9,416.44,416.5,157755,157755,-1.03,-0.247,418.0884,"Sep 9, 13",-0.07083100948131622
2013-09-10,417.54,423.36,415.18,419.92,186116,186116,3.42,0.821,420.8004,"Sep 10, 13",-0.06320133853876182
2013-09-11,421.21,425.183,419.22,420.83,212859,212859,0.91,0.217,421.4251,"Sep 11, 13",-0.06117122141662022
2013-09-12,420.6,422.21,415.6,417.06,155452,155452,-3.77,-0.896,417.7443,"Sep 12, 13",-0.06958170663692136
2013-09-13,417.99,418.08,413.58,415.7,273135,273135,-1.36,-0.326,416.3782,"Sep 13, 13",-0.07261572783045178
2013-09-16,418.12,420.97,411.27,411.89,483483,483483,-3.81,-0.917,413.7577,"Sep 16, 13",-0.08111544896820974
2013-09-17,411.29,418.51,409.36,418.51,408334,408334,6.62,1.607,414.9047,"Sep 17, 13",-0.06634690462911323
2013-09-18,419.66,423.5,416.7858,420.62,370477,370477,2.11,0.504,420.2995,"Sep 18, 13",-0.06163970998326825
2013-09-19,421.99,423.42,417.9,422.79,250448,250448,2.17,0.516,421.1139,"Sep 19, 13",-0.056798661461238104
2013-09-20,422.98,423.5,412,420,750864,750864,-2.79,-0.66,419.4945,"Sep 20, 13",-0.0630228667038483
