date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-10-12,16.12,16.39,14.5,14.6,3218415,3218415,14.6,0,15.4495,"Oct 12, 16",0
2016-10-13,14.72,14.72,12.73,13.65,568683,568683,-0.95,-6.507,13.6674,"Oct 13, 16",-0.06506849315068489
2016-10-14,14.16,14.495,13.4,13.7499,401512,401512,0.0999,0.732,13.7498,"Oct 14, 16",-0.05822602739726024
2016-10-17,13.62,14.5,13.62,14.31,221665,221665,0.5601,4.073,14.132,"Oct 17, 16",-0.01986301369863008
2016-10-18,14.99,14.99,14.5,14.9,123599,123599,0.59,4.123,14.7804,"Oct 18, 16",0.020547945205479503
2016-10-19,14.81,15.61,14.7812,15.6,78568,78568,0.7,4.698,15.3198,"Oct 19, 16",0.0684931506849315
2016-10-20,15.49,15.8,15.4,15.8,72934,72934,0.2,1.282,15.5737,"Oct 20, 16",0.08219178082191789
2016-10-21,15.55,15.79,15.5,15.56,147462,147462,-0.24,-1.519,15.6005,"Oct 21, 16",0.06575342465753431
2016-10-24,15.608,15.8,15.5883,15.72,12381,12381,0.16,1.028,15.6646,"Oct 24, 16",0.07671232876712336
2016-10-25,15.54,15.96,15.52,15.96,13384,13384,0.24,1.527,15.7852,"Oct 25, 16",0.09315068493150694
2016-10-26,15.98,15.98,15.8,15.82,29908,29908,-0.14,-0.877,15.9009,"Oct 26, 16",0.08356164383561648
2016-10-27,15.69,15.85,15.5,15.72,12223,12223,-0.1,-0.632,15.6604,"Oct 27, 16",0.07671232876712336
2016-10-28,15.95,15.95,15.5,15.89,18624,18624,0.17,1.081,15.7322,"Oct 28, 16",0.08835616438356171
2016-10-31,15.76,15.95,15.5,15.95,40187,40187,0.06,0.378,15.7034,"Oct 31, 16",0.09246575342465752
2016-11-01,15.95,16,15.87,16,204335,204335,0.05,0.313,15.9475,"Nov 1, 16",0.09589041095890413
2016-11-02,15.8,16.28,15.4442,16.18,50639,50639,0.18,1.125,15.9908,"Nov 2, 16",0.1082191780821918
2016-11-03,16.4,17.04,16.1,16.92,15083,15083,0.74,4.574,16.4195,"Nov 3, 16",0.15890410958904125
2016-11-04,16.81,16.95,16.46,16.95,158691,158691,0.03,0.177,16.5057,"Nov 4, 16",0.16095890410958902
2016-11-07,16.71,16.7522,16.55,16.55,32257,32257,-0.4,-2.36,16.6496,"Nov 7, 16",0.13356164383561653
2016-11-08,16.74,16.8363,16.5292,16.7,22741,22741,0.15,0.906,16.7769,"Nov 8, 16",0.14383561643835616
2016-11-09,16.75,16.95,16.6109,16.95,7128,7128,0.25,1.497,16.7492,"Nov 9, 16",0.16095890410958902
2016-11-10,16.88,17.07,16.51,16.7,81425,81425,-0.25,-1.475,16.917,"Nov 10, 16",0.14383561643835616
2016-11-11,16.75,17.15,16.7,17.15,13129,13129,0.45,2.695,16.9378,"Nov 11, 16",0.17465753424657526
2016-11-14,17.06,17.23,16.747,17.06,4780,4780,-0.09,-0.525,16.959,"Nov 14, 16",0.16849315068493145
2016-11-15,17.24,17.24,16.72,17.0487,26343,26343,-0.0113,-0.066,16.9445,"Nov 15, 16",0.16771917808219183
2016-11-16,17.0321,18.55,16.99,18.55,13688,13688,1.5013,8.806,17.8591,"Nov 16, 16",0.27054794520547953
2016-11-17,18.41,18.5,17,17.4,16793,16793,-1.15,-6.199,17.5779,"Nov 17, 16",0.19178082191780815
2016-11-18,16.9,18.03,16.9,18.03,11201,11201,0.63,3.621,17.47,"Nov 18, 16",0.23493150684931519
2016-11-21,17.6,18,17.6,17.97,2073,2073,-0.06,-0.333,17.9122,"Nov 21, 16",0.23082191780821912
2016-11-22,17.81,17.95,17.6748,17.95,7200,7200,-0.02,-0.111,17.7403,"Nov 22, 16",0.22945205479452052
2016-11-23,17.82,18.01,17.51,17.51,11967,11967,-0.44,-2.451,17.7841,"Nov 23, 16",0.1993150684931508
2016-11-25,17.55,17.98,17.31,17.98,67343,67343,0.47,2.684,17.6305,"Nov 25, 16",0.23150684931506854
2016-11-28,17.71,17.97,17.57,17.9,19749,19749,-0.08,-0.445,17.709,"Nov 28, 16",0.2260273972602739
2016-11-29,17.949,18.05,17.66,17.82,23124,23124,-0.08,-0.447,17.8836,"Nov 29, 16",0.2205479452054795
2016-11-30,17.8253,17.98,17.052,17.5,24242,24242,-0.32,-1.796,17.6471,"Nov 30, 16",0.1986301369863014
2016-12-01,17.4,18.05,17.38,17.85,12705,12705,0.35,2,17.8253,"Dec 1, 16",0.22260273972602754
2016-12-02,17.8565,18.68,17.6,18.35,15331,15331,0.5,2.801,18.2394,"Dec 2, 16",0.2568493150684933
2016-12-05,18.57,18.68,17.74,18,8696,8696,-0.35,-1.907,18.2025,"Dec 5, 16",0.23287671232876717
2016-12-06,17.91,18,17.85,17.85,2413,2413,-0.15,-0.833,17.9313,"Dec 6, 16",0.22260273972602754
2016-12-07,17.7,18.72,17.67,17.77,29768,29768,-0.08,-0.448,18.1094,"Dec 7, 16",0.21712328767123287
2016-12-08,17.72,18.325,17.72,18.01,7184,7184,0.24,1.351,18.1803,"Dec 8, 16",0.2335616438356166
2016-12-09,18.1564,18.34,17.9,18,10903,10903,-0.01,-0.056,18.1864,"Dec 9, 16",0.23287671232876717
2016-12-12,17,18.69,16.73,17.9,63300,63300,-0.1,-0.556,17.9181,"Dec 12, 16",0.2260273972602739
2016-12-13,18.04,18.06,17,17,146235,146235,-0.9,-5.028,17.8079,"Dec 13, 16",0.16438356164383564
2016-12-14,17,17.15,16.2941,16.74,17355,17355,-0.26,-1.529,16.689,"Dec 14, 16",0.14657534246575335
2016-12-15,16.5,16.5,15.5,15.95,14196,14196,-0.79,-4.719,15.8914,"Dec 15, 16",0.09246575342465752
