date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-07-18,9.77,9.78,9.7301,9.78,216303,216303,9.78,0,9.7734,"Jul 18, 17",0
2017-07-19,9.79,9.79,9.79,9.79,361000,361000,0.01,0.102,9.79,"Jul 19, 17",0.0010224948875255406
2017-07-20,9.82,9.84,9.79,9.84,161103,161103,0.05,0.511,9.8306,"Jul 20, 17",0.0061349693251534256
2017-07-21,9.9,9.9,9.81,9.81,204200,204200,-0.03,-0.305,9.8119,"Jul 21, 17",0.0030674846625768034
2017-07-27,9.83,9.87,9.79,9.8,6800,6800,-0.01,-0.102,9.8609,"Jul 27, 17",0.002044989775051263
2017-07-28,9.8,9.8,9.8,9.8,100000,100000,0,0,9.8,"Jul 28, 17",0.002044989775051263
2017-07-31,9.8399,9.8399,9.82,9.82,6550,6550,0.02,0.204,9.8212,"Jul 31, 17",0.004089979550102344
2017-08-04,9.82,9.82,9.81,9.82,9850,9850,0,0,9.8189,"Aug 4, 17",0.004089979550102344
2017-08-07,9.82,9.835,9.82,9.82,4900,4900,0,0,9.8212,"Aug 7, 17",0.004089979550102344
2017-08-10,9.82,9.88,9.79,9.79,67775,67775,-0.03,-0.305,9.82,"Aug 10, 17",0.0010224948875255406
2017-08-11,9.82,9.8201,9.8,9.8201,64925,64925,0.0301,0.307,9.8197,"Aug 11, 17",0.004100204498977576
2017-08-14,9.82,9.84,9.79,9.8,17125,17125,-0.0201,-0.205,9.8197,"Aug 14, 17",0.002044989775051263
2017-08-16,9.84,9.84,9.84,9.84,100,100,0.04,0.408,9.84,"Aug 16, 17",0.0061349693251534256
2017-08-17,9.8,9.85,9.8,9.8,4500,4500,-0.04,-0.407,9.8056,"Aug 17, 17",0.002044989775051263
2017-08-21,9.8,9.8,9.79,9.8,4600,4600,0,0,9.7998,"Aug 21, 17",0.002044989775051263
2017-08-24,9.8,9.8,9.79,9.8,8000,8000,0,0,9.7903,"Aug 24, 17",0.002044989775051263
2017-08-29,9.8393,9.8393,9.8393,9.8393,1400,1400,0.0393,0.401,9.8393,"Aug 29, 17",0.006063394683026621
2017-09-07,9.84,9.84,9.82,9.8208,16800,16800,-0.0185,-0.188,9.8212,"Sep 7, 17",0.00417177914110438
2017-09-11,9.82,9.82,9.82,9.82,15081,15081,-0.0008,-0.008,9.82,"Sep 11, 17",0.004089979550102344
2017-09-12,9.85,9.853,9.85,9.85,49700,49700,0.03,0.305,9.85,"Sep 12, 17",0.007157464212678966
2017-09-25,9.87,9.87,9.87,9.87,100,100,0.02,0.203,9.87,"Sep 25, 17",0.009202453987730048
2017-09-26,9.87,9.87,9.87,9.87,100,100,0,0,9.87,"Sep 26, 17",0.009202453987730048
2017-10-03,9.85,9.85,9.85,9.85,100,100,-0.02,-0.203,9.85,"Oct 3, 17",0.007157464212678966
2017-10-04,9.86,9.86,9.86,9.86,1100,1100,0.01,0.102,9.86,"Oct 4, 17",0.008179959100204507
2017-10-05,9.86,9.89,9.86,9.86,271700,271700,0,0,9.86,"Oct 5, 17",0.008179959100204507
2017-10-10,9.8599,9.8599,9.8599,9.8599,2350,2350,-0.0001,-0.001,9.8599,"Oct 10, 17",0.008169734151329275
2017-10-11,9.86,9.86,9.85,9.86,201100,201100,0.0001,0.001,9.851,"Oct 11, 17",0.008179959100204507
