date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,64.29,64.29,63.4854,63.5147,8924,7950,-0.628999,-0.981,63.7724,"Aug 5, 13",0
2013-08-06,63.3318,63.8731,62.9296,63.3099,19232,17133,-0.204795,-0.322,63.1364,"Aug 6, 13",-0.003224450402820115
2013-08-07,63.1197,63.1197,62.0665,62.9003,30574,27237,-0.409583,-0.647,62.6086,"Aug 7, 13",-0.009673351208460345
2013-08-08,63.4416,65.1091,63.4416,64.3412,75169,66965,1.4409,2.291,64.3981,"Aug 8, 13",0.013012735634427982
2013-08-09,64.5094,64.9044,63.5366,63.9023,51272,45676,-0.438841,-0.682,64.309,"Aug 9, 13",0.00610252429752481
2013-08-12,64.0779,64.9531,64.0779,64.5825,56579,50404,0.6802,1.064,64.4106,"Aug 12, 13",0.01681185615298503
2013-08-13,64.6191,64.6484,63.778,63.8585,37187,33129,-0.724086,-1.121,63.8567,"Aug 13, 13",0.005412920158640467
2013-08-14,64.0559,64.1437,62.7833,64.1437,11782,10496,0.285245,0.447,63.8848,"Aug 14, 13",0.009903219254755164
2013-08-15,63.5586,63.9389,63.1417,63.8658,3155,2811,-0.277931,-0.433,63.5265,"Aug 15, 13",0.005527854181787876
2013-08-16,63.6244,63.6537,62.1177,62.7321,10260,9140,-1.1337,-1.775,62.7995,"Aug 16, 13",-0.012321557056870222
2013-08-19,62.1982,62.2565,61.2181,61.3278,13753,12252,-1.4043,-2.239,61.6895,"Aug 19, 13",-0.034431399345348314
2013-08-20,61.6131,62.03,61.24,61.6204,24751,22050,0.292558,0.477,61.7316,"Aug 20, 13",-0.029824591787413014
2013-08-21,61.2547,61.8983,60.7354,61.518,22668,20194,-0.102396,-0.166,61.341,"Aug 21, 13",-0.031436816988823016
2013-08-22,61.1523,62.4249,61.1523,62.1689,11984,10676,0.650947,1.058,61.6914,"Aug 22, 13",-0.021188795664625622
2013-08-23,62.6882,62.6882,62.147,62.5931,17429,15527,0.424211,0.682,62.3824,"Aug 23, 13",-0.014510026812690573
2013-08-26,62.8857,63.0378,62.3006,62.3152,8519,7589,-0.277931,-0.444,62.6104,"Aug 26, 13",-0.018885391885657972
2013-08-27,61.7374,62.0812,61.24,61.4522,17131,15261,-0.863051,-1.385,61.6493,"Aug 27, 13",-0.03247279763582289
2013-08-28,61.2766,62.0226,61.0001,61.0865,58752,52340,-0.3657,-0.595,61.5011,"Aug 28, 13",-0.03823051986390547
2013-08-29,60.8524,61.7959,60.8086,61.0938,22095,19684,0.007315,0.012,61.0582,"Aug 29, 13",-0.03811558584075806
2013-08-30,61.4375,62.7526,60.4867,60.4867,83525,74409,-0.607063,-0.994,61.1343,"Aug 30, 13",-0.04767400302607111
2013-09-03,62.4395,62.4395,60.75,61.4668,52413,46693,0.980076,1.62,61.5415,"Sep 3, 13",-0.03224292958952807
2013-09-04,61.7813,62.3079,61.2474,62.1324,12089,10770,0.665574,1.083,61.8892,"Sep 4, 13",-0.02176346578036267
2013-09-05,61.9861,64.173,61.9788,64.173,25361,22593,2.0406,3.284,63.4834,"Sep 5, 13",0.010364529786018106
2013-09-06,64.2168,65.175,64.0486,64.9921,30314,27006,0.819165,1.276,64.8715,"Sep 6, 13",0.02326075695862526
2013-09-09,64.9921,65.8259,64.6191,65.2847,44395,39550,0.292562,0.45,64.8984,"Sep 9, 13",0.027867564516560785
2013-09-10,65.5334,66.9962,64.9556,66.7914,10070,8971,1.5067,2.308,66.0329,"Sep 10, 13",0.05158963200644887
2013-09-11,67.2229,67.7495,66.667,67.5081,9838,8764,0.716771,1.073,67.0608,"Sep 11, 13",0.06287363397764614
2013-09-12,67.5081,67.5081,66.2867,66.3013,11414,10168,-1.2068,-1.788,66.4701,"Sep 12, 13",0.04387330806884076
2013-09-13,66.5573,66.5573,65.2262,65.2262,5771,5141,-1.0752,-1.622,65.7119,"Sep 13, 13",0.026946517892708428
2013-09-16,66.1038,67.0474,65.8698,66.689,47747,42536,1.4628,2.243,66.6337,"Sep 16, 13",0.04997740680503876
2013-09-17,67.7276,67.7897,66.7402,66.7475,4489,3999,0.058512,0.088,67.1151,"Sep 17, 13",0.050898453428891335
2013-09-18,67.2887,69.7462,67.0692,69.6292,10988,9789,2.8817,4.317,69.0533,"Sep 18, 13",0.09626905267599468
2013-09-19,69.9144,69.9218,69.2416,69.4683,8049,7171,-0.160908,-0.231,69.5238,"Sep 19, 13",0.09373578085073223
2013-09-20,69.7023,69.7023,68.0201,68.6418,6276,5591,-0.826483,-1.19,68.4748,"Sep 20, 13",0.08072304521630436
2013-09-23,68.3858,70.2509,68.3858,69.5926,13303,11851,0.950819,1.385,69.3068,"Sep 23, 13",0.09569280812158457
2013-09-24,69.812,69.812,68.5321,68.5321,5364,4779,-1.0605,-1.524,68.9658,"Sep 24, 13",0.07899588599174683
2013-09-25,68.3858,68.5102,67.5959,67.7861,5381,4794,-0.746028,-1.089,67.8661,"Sep 25, 13",0.06725057348928684
2013-09-26,67.9397,67.9397,66.0234,66.4037,15422,13739,-1.3823,-2.039,66.8518,"Sep 26, 13",0.04548553327025087
2013-09-27,66.5573,66.5573,65.1018,65.9722,24156,21520,-0.431525,-0.65,65.4166,"Sep 27, 13",0.038691830395168415
2013-09-30,64.8166,67.0693,64.5533,67.0693,78657,70073,1.0971,1.663,66.2496,"Sep 30, 13",0.055964997079416275
2013-10-01,66.8938,66.8938,66.0234,66.4915,26418,23535,-0.577807,-0.862,66.3322,"Oct 1, 13",0.04686789042536617
2013-10-02,66.5573,67.1424,66.3745,67.1059,37310,33238,0.614378,0.924,66.8926,"Oct 2, 13",0.05654124163382662
2013-10-03,67.8885,67.8885,67.2521,67.8519,22013,19611,0.746026,1.112,67.5972,"Oct 3, 13",0.0682865541362866
2013-10-04,68.2395,68.7003,67.691,67.9031,22461,20010,0.051197,0.075,68.0298,"Oct 4, 13",0.06909266673699155
2013-10-07,67.9397,68.459,67.6617,68.1957,31851,28375,0.29256,0.431,67.7094,"Oct 7, 13",0.07369947429492707
2013-10-08,68.6418,68.6418,67.1552,67.6105,29609,26378,-0.58512,-0.858,67.8183,"Oct 8, 13",0.06448585917905625
2013-10-09,68.0201,68.0201,66.3745,66.7402,18007,16042,-0.870365,-1.287,64.6589,"Oct 9, 13",0.05078351940574393
2013-10-10,67.2083,68.5321,67.2083,68.2834,9459,8427,1.5433,2.312,67.6906,"Oct 10, 13",0.07508025701136907
2013-10-11,67.8519,67.9982,67.5154,67.5959,12877,11472,-0.687516,-1.007,67.7816,"Oct 11, 13",0.06425599113276144
2013-10-14,67.6544,68.3931,67.4789,68.0567,12772,11378,0.460781,0.682,65.8539,"Oct 14, 13",0.07151100453910683
2013-10-15,57.6881,58.1699,57.3695,58.0999,45849,40845,-9.9568,-14.63,57.6832,"Oct 15, 13",-0.08525270527925032
2013-10-16,69.6658,70.324,68.3492,68.6199,13875,12361,10.5199,18.107,68.9746,"Oct 16, 13",0.08037824314686212
2013-10-17,68.9709,69.2416,67.8007,68.3419,21375,19042,-0.277931,-0.405,68.386,"Oct 17, 13",0.07600130363522142
2013-10-18,68.7515,68.7515,67.9982,68.2688,28507,25396,-0.07314,-0.107,68.236,"Oct 18, 13",0.07485038896507425
2013-10-21,68.2834,68.554,67.435,67.947,13554,12075,-0.321816,-0.471,67.8013,"Oct 21, 13",0.06978384531454931
2013-10-22,68.203,68.3566,67.7349,68.0201,25934,23104,0.073142,0.108,68.0258,"Oct 22, 13",0.07093475998469649
2013-10-23,67.9616,68.064,67.296,67.7495,24531,21854,-0.270619,-0.398,67.7117,"Oct 23, 13",0.0666743289348765
2013-10-24,67.574,67.6837,67.2887,67.2887,8129,7242,-0.460784,-0.68,67.4604,"Oct 24, 13",0.059419315528531316
