date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,21.51,21.55,21.24,21.3,265771,265771,-0.27,-1.252,21.3617,"Aug 5, 13",0
2013-08-06,21.12,21.22,20.6,20.9,415730,415730,-0.4,-1.878,20.9221,"Aug 6, 13",-0.018779342723004796
2013-08-07,20.8,20.94,20.511,20.85,298214,298214,-0.05,-0.239,20.7848,"Aug 7, 13",-0.021126760563380247
2013-08-08,21,21.24,20.65,21,358954,358954,0.15,0.719,21.059,"Aug 8, 13",-0.014084507042253554
2013-08-09,21,21.14,20.65,20.65,287246,287246,-0.35,-1.667,20.7664,"Aug 9, 13",-0.03051643192488273
2013-08-12,20.62,20.62,20.28,20.46,271935,271935,-0.19,-0.92,20.4589,"Aug 12, 13",-0.03943661971830985
2013-08-13,20.48,20.78,20.44,20.66,316922,316922,0.2,0.978,20.6278,"Aug 13, 13",-0.03004694835680754
2013-08-14,20.6,20.69,20.44,20.5,259368,259368,-0.16,-0.774,20.5589,"Aug 14, 13",-0.037558685446009425
2013-08-15,20.22,20.37,19.97,20.36,349469,349469,-0.14,-0.683,20.2334,"Aug 15, 13",-0.04413145539906109
2013-08-16,20.17,20.22,19.94,20.12,239985,239985,-0.24,-1.179,20.105,"Aug 16, 13",-0.055399061032863836
2013-08-19,19.99,20.11,19.7,19.91,402787,402787,-0.21,-1.044,19.9091,"Aug 19, 13",-0.06525821596244134
2013-08-20,19.91,20.31,19.68,20.23,315552,315552,0.32,1.607,20.1471,"Aug 20, 13",-0.05023474178403757
2013-08-21,20.13,20.29,19.89,20.21,315679,315679,-0.02,-0.099,20.076,"Aug 21, 13",-0.051173708920187785
2013-08-22,20.23,20.41,20.05,20.28,110015,110015,0.07,0.346,20.2528,"Aug 22, 13",-0.04788732394366195
2013-08-23,20.29,20.63,20.1,20.21,268618,268618,-0.07,-0.345,20.2157,"Aug 23, 13",-0.051173708920187785
2013-08-26,20.21,20.48,19.96,20.21,99097,99097,0,0,20.2173,"Aug 26, 13",-0.051173708920187785
