date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,5.4865,5.4865,5.4305,5.4515,438945,438945,-0.035033,-0.639,5.4538,"Aug 5, 13",0
2013-08-06,5.4305,5.4585,5.4094,5.4585,365156,365156,0.007009,0.129,5.4328,"Aug 6, 13",0.001284050261395886
2013-08-07,5.4305,5.4585,5.4164,5.4515,306261,306261,-0.007009,-0.128,5.4315,"Aug 7, 13",0
2013-08-08,5.4655,5.4725,5.4235,5.4655,369222,369222,0.014011,0.257,5.4468,"Aug 8, 13",0.002568100522791772
2013-08-09,5.4515,5.4584,5.4235,5.4375,265720,265720,-0.028026,-0.513,5.4382,"Aug 9, 13",-0.002568100522791935
2013-08-12,5.4024,5.4375,5.4024,5.4375,329213,329213,0,0,5.4268,"Aug 12, 13",-0.002568100522791935
2013-08-13,5.4375,5.4445,5.4094,5.4375,321975,321975,0,0,5.4289,"Aug 13, 13",-0.002568100522791935
2013-08-14,5.4305,5.4375,5.4164,5.4375,263463,263463,0,0,5.4261,"Aug 14, 13",-0.002568100522791935
2013-08-15,5.3954,5.3961,5.3394,5.3394,304565,304565,-0.098097,-1.804,5.3625,"Aug 15, 13",-0.020563147757497912
2013-08-16,5.3394,5.3534,5.3254,5.3324,242139,242139,-0.00701,-0.131,5.3393,"Aug 16, 13",-0.02184719801889396
2013-08-19,5.3464,5.3534,5.2693,5.2693,421005,421005,-0.06306,-1.183,5.3126,"Aug 19, 13",-0.03342199394662018
2013-08-20,5.2693,5.2903,5.2693,5.2763,296322,296322,0.007004,0.133,5.279,"Aug 20, 13",-0.032137943685224296
2013-08-21,5.2763,5.2763,5.2273,5.2343,385669,385669,-0.042037,-0.797,5.2494,"Aug 21, 13",-0.03984224525359994
2013-08-22,5.2343,5.2763,5.2273,5.2763,444345,444345,0.042037,0.803,5.2488,"Aug 22, 13",-0.032137943685224296
2013-08-23,5.2763,5.3113,5.2693,5.3113,299023,299023,0.035037,0.664,5.2851,"Aug 23, 13",-0.025717692378244537
2013-08-26,5.3183,5.3464,5.3043,5.3043,296213,296213,-0.007008,-0.132,5.3262,"Aug 26, 13",-0.027001742639640586
2013-08-27,5.2693,5.2833,5.2132,5.2202,604788,604788,-0.084085,-1.585,5.2416,"Aug 27, 13",-0.042428689351554624
2013-08-28,5.2132,5.2553,5.2132,5.2413,344968,344968,0.021024,0.403,5.2371,"Aug 28, 13",-0.03855819499220405
2013-08-29,5.2413,5.2693,5.2273,5.2623,309014,309014,0.021019,0.401,5.2563,"Aug 29, 13",-0.03470604420801623
2013-08-30,5.2623,5.2693,5.2483,5.2483,260819,260819,-0.014012,-0.266,5.2576,"Aug 30, 13",-0.037274144730808
2013-09-03,5.2763,5.2973,5.2483,5.2763,294352,294352,0.028025,0.534,5.2728,"Sep 3, 13",-0.032137943685224296
