date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,11.0685,11.1497,11.0197,11.1091,764450,764450,0.016253,0.147,11.0997,"Aug 5, 13",0
2013-08-06,11.0766,11.1335,10.9994,11.0441,833889,833889,-0.065012,-0.585,11.0613,"Aug 6, 13",-0.0058510590416865
2013-08-07,11.0197,11.0766,10.971,11.0441,487632,487632,0,0,11.026,"Aug 7, 13",-0.0058510590416865
2013-08-08,11.0522,11.0929,10.9547,11.0197,534057,534057,-0.024379,-0.221,11.0139,"Aug 8, 13",-0.008047456589642678
2013-08-09,10.9872,11.3448,10.9628,11.2635,791193,791193,0.2438,2.212,11.2456,"Aug 9, 13",0.01389851563132934
2013-08-12,11.2066,11.2546,11.0441,11.0522,740216,740216,-0.211294,-1.876,11.0819,"Aug 12, 13",-0.005121927068799509
2013-08-13,11.0441,11.0847,10.8003,10.8003,1136030,1136030,-0.251926,-2.279,10.8663,"Aug 13, 13",-0.02779703126265852
2013-08-14,10.8165,10.8978,10.7759,10.784,1104059,1104059,-0.016252,-0.15,10.8158,"Aug 14, 13",-0.029264296837727546
2013-08-15,10.7434,10.7434,10.5159,10.5809,1145111,1145111,-0.203164,-1.884,10.5809,"Aug 15, 13",-0.047546605935674356
2013-08-16,10.5565,10.6134,10.2071,10.2071,2059270,2059270,-0.373827,-3.533,10.3524,"Aug 16, 13",-0.08119469624001938
2013-08-19,10.2233,10.2802,10.1095,10.1177,2095694,2095694,-0.089394,-0.876,10.1659,"Aug 19, 13",-0.08924215282966222
2013-08-20,10.1664,10.5727,10.1664,10.3533,2093024,2093024,0.235672,2.329,10.4381,"Aug 20, 13",-0.06803431421087207
2013-08-21,10.2721,10.4996,10.1339,10.2802,1310661,1310661,-0.07314,-0.706,10.3295,"Aug 21, 13",-0.07461450522544573
2013-08-22,10.2883,10.4346,10.2071,10.4183,906178,906178,0.138155,1.344,10.3306,"Aug 22, 13",-0.06218325516918557
2013-08-23,10.4265,10.654,10.3533,10.654,840937,840937,0.235673,2.262,10.5545,"Aug 23, 13",-0.0409664149211007
2013-08-26,10.654,10.7028,10.5809,10.6784,757010,757010,0.024377,0.229,10.6622,"Aug 26, 13",-0.038770017373144526
2013-08-27,10.5484,10.7353,10.2802,10.5727,1013422,1013422,-0.105645,-0.989,10.5974,"Aug 27, 13",-0.04828473953785639
2013-08-28,10.5646,10.6134,10.4671,10.5727,1041511,1041511,0,0,10.545,"Aug 28, 13",-0.04828473953785639
2013-08-29,10.5402,10.6296,10.4915,10.5809,803938,803938,0.008129,0.077,10.5751,"Aug 29, 13",-0.047546605935674356
2013-08-30,10.5971,10.6784,10.4102,10.4183,817023,817023,-0.162534,-1.536,10.5057,"Aug 30, 13",-0.06218325516918557
2013-09-03,10.4996,10.5443,10.1502,10.2396,1189863,1189863,-0.178787,-1.716,10.2679,"Sep 3, 13",-0.0782691667191762
2013-09-04,10.2477,10.3777,10.1827,10.3127,1285885,1285885,0.073139,0.714,10.322,"Sep 4, 13",-0.07168897570460256
2013-09-05,10.329,10.329,10.0933,10.1258,812730,812730,-0.18691,-1.812,10.1446,"Sep 5, 13",-0.08851302085677507
2013-09-06,10.3777,10.5809,10.3452,10.3777,2274140,2274140,0.251922,2.488,10.449,"Sep 6, 13",-0.0658379166629159
2013-09-09,10.394,10.6703,10.3533,10.6621,999662,999662,0.284433,2.741,10.5571,"Sep 9, 13",-0.040237282948213556
2013-09-10,10.7028,10.8003,10.5484,10.6703,952765,952765,0.008125,0.076,10.637,"Sep 10, 13",-0.03949914934603168
2013-09-11,10.6459,10.7353,10.5971,10.7272,649138,649138,0.056887,0.533,10.6778,"Sep 11, 13",-0.034377222277232174
2013-09-12,10.7028,10.7922,10.5321,10.5321,561505,561505,-0.195038,-1.818,10.5916,"Sep 12, 13",-0.051939401031586716
2013-09-13,10.5321,10.6459,10.5077,10.5809,634547,634547,0.048763,0.463,10.5829,"Sep 13, 13",-0.047546605935674356
2013-09-16,10.8003,10.8734,10.589,10.6946,1284594,1284594,0.11377,1.075,10.6668,"Sep 16, 13",-0.037311753427370385
2013-09-17,10.6703,10.7759,10.6296,10.6703,1082474,1082474,-0.024382,-0.228,10.7124,"Sep 17, 13",-0.03949914934603168
2013-09-18,10.6296,11.2026,10.5727,11.0929,1224180,1224180,0.422586,3.96,10.8958,"Sep 18, 13",-0.0014582639457741446
2013-09-19,11.0847,11.296,11.0685,11.1335,1449909,1449909,0.040632,0.366,11.1783,"Sep 19, 13",0.002196397547956178
2013-09-20,11.1497,11.1579,10.9222,10.9628,1529269,1529269,-0.170657,-1.533,10.9963,"Sep 20, 13",-0.013169383658442188
2013-09-23,10.9222,11.0522,10.8491,10.8816,1062875,1062875,-0.081266,-0.741,10.9476,"Sep 23, 13",-0.02047870664590283
2013-09-24,10.8409,10.9872,10.7759,10.9141,1432813,1432813,0.032507,0.299,10.916,"Sep 24, 13",-0.01755317712505966
2013-09-25,10.9059,11.0685,10.7922,10.8897,1653650,1653650,-0.024382,-0.223,10.9246,"Sep 25, 13",-0.01974957467301584
2013-09-26,10.8816,10.9547,10.8165,10.8978,670367,670367,0.008131,0.075,10.9018,"Sep 26, 13",-0.019020442700128686
