date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,4.41,4.58,4.36,4.57,279614,279614,0.2,4.577,4.482,"Aug 5, 13",0
2013-08-06,4.59,4.6,4.48,4.5,87857,87857,-0.07,-1.532,4.5128,"Aug 6, 13",-0.015317286652078837
2013-08-07,4.49,4.57,4.45,4.46,136476,136476,-0.04,-0.889,4.5001,"Aug 7, 13",-0.02407002188183814
2013-08-08,4.51,4.6,4.45,4.56,218769,218769,0.1,2.242,4.5385,"Aug 8, 13",-0.0021881838074399723
2013-08-09,4.62,4.79,4.45,4.465,96346,96346,-0.095,-2.083,4.4977,"Aug 9, 13",-0.022975929978118252
2013-08-12,4.59,4.59,4.405,4.43,151638,151638,-0.035,-0.784,4.466,"Aug 12, 13",-0.030634573304157673
2013-08-13,4.43,4.45,4.31,4.4,124059,124059,-0.03,-0.677,4.3851,"Aug 13, 13",-0.037199124726477004
2013-08-14,4.41,4.52,4.41,4.49,100839,100839,0.09,2.045,4.4884,"Aug 14, 13",-0.017505470459518613
2013-08-15,4.46,4.48,4.38,4.42,183657,183657,-0.07,-1.559,4.4325,"Aug 15, 13",-0.03282275711159745
2013-08-16,4.39,4.44,4.37,4.41,125594,125594,-0.01,-0.226,4.4046,"Aug 16, 13",-0.035010940919037226
2013-08-19,4.4,4.48,4.36,4.395,155276,155276,-0.015,-0.34,4.4147,"Aug 19, 13",-0.03829321663019709
2013-08-20,4.44,4.55,4.44,4.53,118468,118468,0.135,3.072,4.5194,"Aug 20, 13",-0.008752735229759306
2013-08-21,4.5,4.59,4.49,4.52,58304,58304,-0.01,-0.221,4.5329,"Aug 21, 13",-0.010940919037199279
2013-08-22,4.54,4.6,4.54,4.58,44307,44307,0.06,1.327,4.5768,"Aug 22, 13",0.002188183807439778
2013-08-23,4.6,4.6,4.48,4.57,91602,91602,-0.01,-0.218,4.5237,"Aug 23, 13",0
2013-08-26,4.56,4.68,4.51,4.63,102326,102326,0.06,1.313,4.6125,"Aug 26, 13",0.013129102844638864
2013-08-27,4.55,4.65,4.55,4.6,194255,194255,-0.03,-0.648,4.6153,"Aug 27, 13",0.006564551422319334
2013-08-28,4.61,4.66,4.51,4.66,127017,127017,0.06,1.304,4.6335,"Aug 28, 13",0.01969365426695839
2013-08-29,4.64,5.04,4.58,5.02,402654,402654,0.36,7.725,4.9082,"Aug 29, 13",0.09846827133479195
2013-08-30,5.01,5.25,4.95,5.24,388777,388777,0.22,4.382,5.1165,"Aug 30, 13",0.14660831509846825
2013-09-03,5.25,5.25,5.05,5.25,464210,464210,0.01,0.191,5.19,"Sep 3, 13",0.14879649890590801
2013-09-04,5.24,5.55,5.15,5.41,742761,742761,0.16,3.048,5.3302,"Sep 4, 13",0.18380743982494524
2013-09-05,5.43,5.51,5.26,5.3,243469,243469,-0.11,-2.033,5.3931,"Sep 5, 13",0.1597374179431071
2013-09-06,5.32,5.32,5.03,5.08,267015,267015,-0.22,-4.151,5.1372,"Sep 6, 13",0.11159737417943102
2013-09-09,5.07,5.26,4.9601,5.23,179661,179661,0.15,2.953,5.1286,"Sep 9, 13",0.14442013129102846
2013-09-10,5.25,5.33,5.14,5.27,324712,324712,0.04,0.765,5.2133,"Sep 10, 13",0.15317286652078757
2013-09-11,5.24,5.4001,5.24,5.29,101446,101446,0.02,0.38,5.3194,"Sep 11, 13",0.15754923413566732
2013-09-12,5.25,5.3,5.12,5.22,135394,135394,-0.07,-1.323,5.21,"Sep 12, 13",0.1422319474835885
2013-09-13,5.24,5.24,5.05,5.22,96567,96567,0,0,5.1539,"Sep 13, 13",0.1422319474835885
2013-09-16,5.25,5.3,5.16,5.24,131136,131136,0.02,0.383,5.2288,"Sep 16, 13",0.14660831509846825
2013-09-17,5.21,5.44,5.195,5.41,178514,178514,0.17,3.244,5.3305,"Sep 17, 13",0.18380743982494524
2013-09-18,5.41,5.52,5.3,5.45,101570,101570,0.04,0.739,5.4162,"Sep 18, 13",0.19256017505470455
2013-09-19,5.45,5.4836,5.3,5.4,226404,226404,-0.05,-0.917,5.3698,"Sep 19, 13",0.18161925601750548
2013-09-20,5.41,5.54,5.35,5.48,176266,176266,0.08,1.481,5.4442,"Sep 20, 13",0.1991247264770241
2013-09-23,5.47,5.52,5.394,5.49,137611,137611,0.01,0.182,5.4482,"Sep 23, 13",0.20131291028446388
2013-09-24,5.47,5.49,5.38,5.41,160116,160116,-0.08,-1.457,5.4192,"Sep 24, 13",0.18380743982494524
2013-09-25,5.4,5.42,5.35,5.41,135991,135991,0,0,5.4046,"Sep 25, 13",0.18380743982494524
2013-09-26,5.41,5.44,5.34,5.41,108716,108716,0,0,5.3888,"Sep 26, 13",0.18380743982494524
2013-09-27,5.36,5.5,5.14,5.4,239842,239842,-0.01,-0.185,5.4065,"Sep 27, 13",0.18161925601750548
2013-09-30,5.32,5.43,5.27,5.43,176551,176551,0.03,0.556,5.3731,"Sep 30, 13",0.1881838074398248
2013-10-01,5.44,5.87,5.39,5.82,388034,388034,0.39,7.182,5.6516,"Oct 1, 13",0.2735229759299781
2013-10-02,5.75,5.92,5.7008,5.83,140419,140419,0.01,0.172,5.8271,"Oct 2, 13",0.2757111597374179
2013-10-03,5.78,5.84,5.592,5.64,494543,494543,-0.19,-3.259,5.7676,"Oct 3, 13",0.23413566739606112
2013-10-04,5.67,5.7,5.5,5.6,147106,147106,-0.04,-0.709,5.6124,"Oct 4, 13",0.2253829321663018
2013-10-07,5.53,5.7248,5.52,5.57,166540,166540,-0.03,-0.536,5.5667,"Oct 7, 13",0.2188183807439825
2013-10-08,5.53,5.55,5.1,5.16,328018,328018,-0.41,-7.361,5.2517,"Oct 8, 13",0.12910284463894964
2013-10-09,5.4,5.4,4.92,4.97,319227,319227,-0.19,-3.682,5.0199,"Oct 9, 13",0.08752735229759287
2013-10-10,4.97,5.08,4.96,5,136232,136232,0.03,0.604,5.0067,"Oct 10, 13",0.0940919037199124
2013-10-11,5,5.21,4.95,5.15,137262,137262,0.15,3,5.1251,"Oct 11, 13",0.12691466083150985
2013-10-14,5.1,5.28,5.08,5.28,173057,173057,0.13,2.524,5.2415,"Oct 14, 13",0.15536105032822756
2013-10-15,5.3,5.35,5.25,5.3,174192,174192,0.02,0.379,5.3002,"Oct 15, 13",0.1597374179431071
2013-10-16,5.36,5.4872,5.27,5.46,213566,213566,0.16,3.019,5.4259,"Oct 16, 13",0.19474835886214434
2013-10-17,5.44,5.65,5.41,5.63,273691,273691,0.17,3.114,5.5373,"Oct 17, 13",0.23194748358862136
2013-10-18,5.7,5.7,5.44,5.62,180210,180210,-0.01,-0.178,5.5684,"Oct 18, 13",0.22975929978118156
2013-10-21,5.54,5.66,5.31,5.38,173584,173584,-0.24,-4.27,5.4153,"Oct 21, 13",0.17724288840262573
2013-10-22,5.4,5.62,5.19,5.29,142348,142348,-0.09,-1.673,5.274,"Oct 22, 13",0.15754923413566732
2013-10-23,5.27,5.33,5.24,5.25,111309,111309,-0.04,-0.756,5.2547,"Oct 23, 13",0.14879649890590801
2013-10-24,5.26,5.33,5.24,5.25,109800,109800,0,0,5.2694,"Oct 24, 13",0.14879649890590801
2013-10-25,5.31,5.41,5.17,5.22,333102,333102,-0.03,-0.571,5.2808,"Oct 25, 13",0.1422319474835885
2013-10-28,5.2,5.28,5.1,5.17,149921,149921,-0.05,-0.958,5.1829,"Oct 28, 13",0.1312910284463894
2013-10-29,5.18,5.2295,5.1,5.14,192886,192886,-0.03,-0.58,5.3647,"Oct 29, 13",0.12472647702406989
2013-10-30,5.16,5.27,5.1,5.14,158432,158432,0,0,5.1539,"Oct 30, 13",0.12472647702406989
2013-10-31,5.14,5.39,5.01,5.25,321654,321654,0.11,2.14,5.262,"Oct 31, 13",0.14879649890590801
2013-11-01,5.22,5.26,5.06,5.11,304835,304835,-0.14,-2.667,5.1538,"Nov 1, 13",0.11816192560175055
2013-11-04,5.13,5.27,5.08,5.2,152615,152615,0.09,1.761,5.2089,"Nov 4, 13",0.13785557986870894
2013-11-05,5.18,5.3399,5.1501,5.22,118215,118215,0.02,0.385,5.2097,"Nov 5, 13",0.1422319474835885
2013-11-06,5.28,5.28,4.73,4.82,676325,676325,-0.4,-7.663,4.8911,"Nov 6, 13",0.05470459518599562
2013-11-07,4.93,4.99,4.8,4.91,284673,284673,0.09,1.867,4.8938,"Nov 7, 13",0.07439824945295401
2013-11-08,4.89,5.04,4.87,4.95,216695,216695,0.04,0.815,4.9603,"Nov 8, 13",0.08315098468271331
2013-11-11,4.9,4.96,4.77,4.8,99772,99772,-0.15,-3.03,4.8431,"Nov 11, 13",0.050328227571115866
2013-11-12,4.77,4.84,4.44,4.64,587303,587303,-0.16,-3.333,4.6259,"Nov 12, 13",0.015317286652078642
2013-11-13,4.53,4.659,4.3301,4.4,362318,362318,-0.24,-5.172,4.4223,"Nov 13, 13",-0.037199124726477004
2013-11-14,4.35,4.49,4.16,4.47,373564,373564,0.07,1.591,4.3652,"Nov 14, 13",-0.021881838074398363
2013-11-15,4.46,4.682,4.395,4.44,129119,129119,-0.03,-0.671,4.4734,"Nov 15, 13",-0.0284463894967177
2013-11-18,4.45,4.51,4.25,4.29,380099,380099,-0.15,-3.378,4.3378,"Nov 18, 13",-0.06126914660831515
2013-11-19,4.29,4.34,4.21,4.24,400980,400980,-0.05,-1.166,4.2664,"Nov 19, 13",-0.07221006564551423
2013-11-20,4.21,4.31,4.21,4.28,579437,579437,0.04,0.943,4.2817,"Nov 20, 13",-0.06345733041575492
2013-11-21,4.3,4.48,4.2911,4.46,1286067,1286067,0.18,4.206,4.3604,"Nov 21, 13",-0.02407002188183814
2013-11-22,4.48,4.68,4.46,4.63,519160,519160,0.17,3.812,4.5794,"Nov 22, 13",0.013129102844638864
2013-11-25,4.64,4.82,4.62,4.66,292580,292580,0.03,0.648,4.6894,"Nov 25, 13",0.01969365426695839
2013-11-26,4.69,4.85,4.64,4.81,344241,344241,0.15,3.219,4.7834,"Nov 26, 13",0.05251641137855565
2013-11-27,4.8,4.86,4.76,4.79,304946,304946,-0.02,-0.416,4.8173,"Nov 27, 13",0.04814004376367609
2013-11-29,4.83,4.83,4.77,4.8,149980,149980,0.01,0.209,4.7957,"Nov 29, 13",0.050328227571115866
2013-12-02,4.83,4.995,4.83,4.95,606081,606081,0.15,3.125,4.8966,"Dec 2, 13",0.08315098468271331
2013-12-03,4.96,5.5,4.92,5.49,762325,762325,0.54,10.909,5.334,"Dec 3, 13",0.20131291028446388
2013-12-04,5.46,5.51,5.2701,5.3,453416,453416,-0.19,-3.461,5.3975,"Dec 4, 13",0.1597374179431071
2013-12-05,5.32,5.41,5.16,5.24,335030,335030,-0.06,-1.132,5.2714,"Dec 5, 13",0.14660831509846825
2013-12-06,5.32,5.32,5.15,5.19,174040,174040,-0.05,-0.954,5.2084,"Dec 6, 13",0.13566739606126915
2013-12-09,5.19,5.215,5,5.05,145514,145514,-0.14,-2.697,5.0935,"Dec 9, 13",0.1050328227571115
2013-12-10,5.03,5.14,4.945,4.99,273198,273198,-0.06,-1.188,4.99,"Dec 10, 13",0.09190371991247262
2013-12-11,5.01,5.08,4.89,4.92,205570,205570,-0.07,-1.403,4.9575,"Dec 11, 13",0.07658643326039379
2013-12-12,4.95,4.95,4.82,4.85,216239,216239,-0.07,-1.423,4.8668,"Dec 12, 13",0.06126914660831496
2013-12-13,4.85,4.92,4.8,4.85,240194,240194,0,0,4.8485,"Dec 13, 13",0.06126914660831496
2013-12-16,4.89,5.05,4.89,4.94,174213,174213,0.09,1.856,4.9818,"Dec 16, 13",0.08096280087527354
2013-12-17,4.95,5.34,4.95,5.08,549513,549513,0.14,2.834,5.0868,"Dec 17, 13",0.11159737417943102
2013-12-18,5.05,5.32,5.05,5.28,647811,647811,0.2,3.937,5.2101,"Dec 18, 13",0.15536105032822756
2013-12-19,5.27,5.49,5.21,5.47,431020,431020,0.19,3.598,5.4034,"Dec 19, 13",0.1969365426695841
2013-12-20,5.5,5.95,5.47,5.72,844167,844167,0.25,4.57,5.7061,"Dec 20, 13",0.25164113785557973
2013-12-23,5.73,6.09,5.51,5.91,606762,606762,0.19,3.322,5.8403,"Dec 23, 13",0.2932166301969365
2013-12-24,5.92,6.015,5.84,5.94,135301,135301,0.03,0.508,5.9497,"Dec 24, 13",0.29978118161925604
2013-12-26,5.98,6.07,5.83,5.9,214964,214964,-0.04,-0.673,5.9381,"Dec 26, 13",0.2910284463894967
2013-12-27,5.94,6.07,5.82,5.98,324371,324371,0.08,1.356,5.9908,"Dec 27, 13",0.3085339168490153
2013-12-30,5.97,6.05,5.87,5.93,213482,213482,-0.05,-0.836,5.9729,"Dec 30, 13",0.29759299781181603
2013-12-31,5.94,5.97,5.87,5.89,207506,207506,-0.04,-0.675,5.9022,"Dec 31, 13",0.28884026258205675
2014-01-02,5.82,5.9277,5.7,5.78,224133,224133,-0.11,-1.868,5.812,"Jan 2, 14",0.2647702407002188
2014-01-03,5.76,5.85,5.69,5.81,314495,314495,0.03,0.519,5.7847,"Jan 3, 14",0.27133479212253814
2014-01-06,5.84,5.89,5.69,5.78,353514,353514,-0.03,-0.516,5.7832,"Jan 6, 14",0.2647702407002188
2014-01-07,5.81,5.94,5.72,5.75,281034,281034,-0.03,-0.519,5.7766,"Jan 7, 14",0.2582056892778993
2014-01-08,5.73,5.89,5.65,5.8,823454,823454,0.05,0.87,5.7985,"Jan 8, 14",0.26914660831509835
2014-01-09,5.79,6.03,5.79,5.95,612719,612719,0.15,2.586,5.9619,"Jan 9, 14",0.3019693654266958
2014-01-10,6.24,6.29,6.06,6.2,1102636,1102636,0.25,4.202,6.2004,"Jan 10, 14",0.3566739606126914
2014-01-13,6.13,6.15,5.8,5.87,448738,448738,-0.33,-5.323,5.988,"Jan 13, 14",0.28446389496717717
2014-01-14,5.88,6.041,5.76,5.92,332838,332838,0.05,0.852,5.8693,"Jan 14, 14",0.2954048140043763
2014-01-15,5.97,6.03,5.75,5.97,378984,378984,0.05,0.845,5.9318,"Jan 15, 14",0.30634573304157536
2014-01-16,5.93,6.068,5.89,6.01,418798,418798,0.04,0.67,5.9642,"Jan 16, 14",0.31509846827133464
2014-01-17,5.99,6.5,5.99,6.47,773828,773828,0.46,7.654,6.3422,"Jan 17, 14",0.4157549234135666
2014-01-21,6.66,6.75,6.4,6.49,817978,817978,0.02,0.309,6.5737,"Jan 21, 14",0.4201312910284464
2014-01-22,6.45,6.64,6.29,6.39,660703,660703,-0.1,-1.541,6.45,"Jan 22, 14",0.39824945295404796
2014-01-23,6.34,6.41,6.21,6.25,671850,671850,-0.14,-2.191,7.0533,"Jan 23, 14",0.3676148796498905
2014-01-24,8.95,9.49,8.18,9.41,14989713,14989713,3.16,50.56,8.8063,"Jan 24, 14",1.0590809628008753
2014-01-27,9.11,9.23,7.93,8.13,2362025,2362025,-1.28,-13.603,8.3394,"Jan 27, 14",0.7789934354485777
2014-01-28,8.18,8.65,7.995,8.06,810711,810711,-0.07,-0.861,8.2267,"Jan 28, 14",0.7636761487964989
2014-01-29,7.92,8,7.5,7.82,1007509,1007509,-0.24,-2.978,7.7488,"Jan 29, 14",0.711159737417943
2014-01-30,7.87,8.28,7.84,8.04,767085,767085,0.22,2.813,8.0521,"Jan 30, 14",0.759299781181619
2014-01-31,7.93,7.96,7.75,7.85,394899,394899,-0.19,-2.363,7.8613,"Jan 31, 14",0.7177242888402624
2014-02-03,7.85,7.85,7.43,7.75,637918,637918,-0.1,-1.274,7.6304,"Feb 3, 14",0.6958424507658643
2014-02-04,7.82,7.91,7.69,7.73,371664,371664,-0.02,-0.258,7.738,"Feb 4, 14",0.6914660831509847
2014-02-05,7.72,7.96,7.53,7.94,387801,387801,0.21,2.717,7.7712,"Feb 5, 14",0.737417943107221
2014-02-06,7.93,8.47,7.79,8.37,780714,780714,0.43,5.416,8.2393,"Feb 6, 14",0.8315098468271332
2014-02-07,8.4,8.47,8.0714,8.26,724757,724757,-0.11,-1.314,8.2887,"Feb 7, 14",0.8074398249452952
2014-02-10,8.46,9.5,8.335,8.96,1515271,1515271,0.7,8.475,9.0016,"Feb 10, 14",0.9606126914660832
2014-02-11,8.98,9.06,8.76,8.86,471632,471632,-0.1,-1.116,8.9233,"Feb 11, 14",0.9387308533916846
2014-02-12,8.83,9,8.72,8.87,430058,430058,0.01,0.113,8.8989,"Feb 12, 14",0.9409190371991244
2014-02-13,9.02,9.03,8.89,8.92,589290,589290,0.05,0.564,8.9807,"Feb 13, 14",0.9518599562363237
2014-02-14,8.92,9,8.74,8.79,282930,282930,-0.13,-1.457,8.8468,"Feb 14, 14",0.9234135667396058
2014-02-18,8.84,9.3601,8.8001,9.17,881431,881431,0.38,4.323,9.1714,"Feb 18, 14",1.0065645514223194
2014-02-19,9.19,9.36,8.89,8.9,422054,422054,-0.27,-2.944,9.0015,"Feb 19, 14",0.9474835886214441
2014-02-20,8.87,9.11,8.73,9.02,572146,572146,0.12,1.348,8.9383,"Feb 20, 14",0.9737417943107218
2014-02-21,9.01,9.09,8.85,8.87,516212,516212,-0.15,-1.663,8.9892,"Feb 21, 14",0.9409190371991244
2014-02-24,8.9,9.0401,8.8,8.9,450923,450923,0.03,0.338,8.9216,"Feb 24, 14",0.9474835886214441
2014-02-25,8.92,8.98,8.58,8.89,386415,386415,-0.01,-0.112,8.8486,"Feb 25, 14",0.9452954048140044
2014-02-26,8.87,8.98,8.64,8.69,413174,413174,-0.2,-2.25,8.7882,"Feb 26, 14",0.9015317286652077
2014-02-27,8.66,9.34,8.66,9.32,956833,956833,0.63,7.25,9.1506,"Feb 27, 14",1.0393873085339167
2014-02-28,9.58,9.92,9.14,9.37,1755795,1755795,0.05,0.536,9.5396,"Feb 28, 14",1.0503282275711157
2014-03-03,9.06,9.37,8.9507,9.12,310260,310260,-0.25,-2.668,9.1249,"Mar 3, 14",0.9956236323851201
2014-03-04,9.25,9.697,9.25,9.53,661079,661079,0.41,4.496,9.6685,"Mar 4, 14",1.085339168490153
2014-03-05,9.51,9.78,9.2508,9.6,452305,452305,0.07,0.735,9.5762,"Mar 5, 14",1.1006564551422318
2014-03-06,9.64,9.9,9.25,9.43,393737,393737,-0.17,-1.771,9.5443,"Mar 6, 14",1.0634573304157546
2014-03-07,9.51,9.51,9.21,9.32,490167,490167,-0.11,-1.166,9.3211,"Mar 7, 14",1.0393873085339167
2014-03-10,9.34,9.94,9.34,9.94,637145,637145,0.62,6.652,9.6723,"Mar 10, 14",1.1750547045951858
2014-03-11,10.2,10.2,9.43,9.45,1414903,1414903,-0.49,-4.93,9.7664,"Mar 11, 14",1.0678336980306342
2014-03-12,9.45,9.61,8.9201,9.51,426744,426744,0.06,0.635,9.3694,"Mar 12, 14",1.0809628008752734
2014-03-13,9.54,9.57,8.86,9.01,513016,513016,-0.5,-5.258,9.1316,"Mar 13, 14",0.9715536105032822
2014-03-14,8.85,9.02,8.71,8.88,477404,477404,-0.13,-1.443,8.862,"Mar 14, 14",0.9431072210065646
2014-03-17,8.91,9.2486,8.8,8.87,371101,371101,-0.01,-0.113,9.0057,"Mar 17, 14",0.9409190371991244
2014-03-18,8.97,9.21,8.91,9.04,363392,363392,0.17,1.917,9.0356,"Mar 18, 14",0.9781181619256014
2014-03-19,9.05,9.167,8.75,9.03,431256,431256,-0.01,-0.111,8.9317,"Mar 19, 14",0.9759299781181616
2014-03-20,9.05,9.188,8.74,8.88,358330,358330,-0.15,-1.661,8.9541,"Mar 20, 14",0.9431072210065646
2014-03-21,8.89,9.07,8.4135,8.63,549381,549381,-0.25,-2.815,7.6224,"Mar 21, 14",0.888402625820569
2014-03-24,8.59,8.628,8.03,8.15,526918,526918,-0.48,-5.562,8.1976,"Mar 24, 14",0.7833698030634573
2014-03-25,8.33,8.839,7.87,8.1,583520,583520,-0.05,-0.613,8.176,"Mar 25, 14",0.772428884026258
2014-03-26,8.14,8.24,7.9,7.95,666365,666365,-0.15,-1.852,8.0234,"Mar 26, 14",0.7396061269146608
2014-03-27,7.97,8.49,7.9,8.05,493495,493495,0.1,1.258,8.114,"Mar 27, 14",0.7614879649890591
2014-03-28,8,8.38,7.85,8.02,582034,582034,-0.03,-0.373,8.0611,"Mar 28, 14",0.7549234135667394
2014-03-31,8.08,8.48,8.03,8.44,505863,505863,0.42,5.237,8.3482,"Mar 31, 14",0.846827133479212
2014-04-01,8.32,8.87,8.32,8.63,423357,423357,0.19,2.251,8.6432,"Apr 1, 14",0.888402625820569
2014-04-02,8.68,8.73,8.38,8.58,426436,426436,-0.05,-0.579,8.5553,"Apr 2, 14",0.8774617067833697
2014-04-03,8.55,8.66,8.04,8.14,480419,480419,-0.44,-5.128,8.2177,"Apr 3, 14",0.7811816192560175
2014-04-04,8.16,8.24,7.82,8.06,1110233,1110233,-0.08,-0.983,8.0678,"Apr 4, 14",0.7636761487964989
