date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,23.25,23.94,23,23.62,650270,650270,0.32,1.373,23.6148,"Aug 5, 13",0
2013-08-06,23.33,23.4,22.95,23.2,578262,578262,-0.42,-1.778,23.1626,"Aug 6, 13",-0.017781541066892535
2013-08-07,23.09,23.27,22.98,23.1,315806,315806,-0.1,-0.431,23.1021,"Aug 7, 13",-0.02201524132091446
2013-08-08,23.18,23.2,22.87,23.13,450766,450766,0.03,0.13,23.0617,"Aug 8, 13",-0.02074513124470796
2013-08-09,23.8,23.8,22.65,23.08,464395,464395,-0.05,-0.216,23.0454,"Aug 9, 13",-0.022861981371718996
2013-08-12,22.83,23.29,22.72,23.25,314784,314784,0.17,0.737,23.1687,"Aug 12, 13",-0.015664690939881497
2013-08-13,23.24,23.24,22.86,22.95,695588,695588,-0.3,-1.29,23.0017,"Aug 13, 13",-0.028365791701947574
2013-08-14,22.98,23.1,22.75,22.95,326342,326342,0,0,22.9865,"Aug 14, 13",-0.028365791701947574
2013-08-15,22.65,22.86,22.08,22.83,637777,637777,-0.12,-0.523,22.6574,"Aug 15, 13",-0.03344623200677403
2013-08-16,22.85,23.035,22.66,23.02,877074,877074,0.19,0.832,22.9589,"Aug 16, 13",-0.02540220152413215
2013-08-19,22.86,23.06,22.8,22.9,542107,542107,-0.12,-0.521,22.9258,"Aug 19, 13",-0.03048264182895861
2013-08-20,22.85,23.45,22.68,23.08,664793,664793,0.18,0.786,23.1578,"Aug 20, 13",-0.022861981371718996
2013-08-21,22.54,23.22,22.54,22.95,223397,223397,-0.13,-0.563,22.9946,"Aug 21, 13",-0.028365791701947574
2013-08-22,23.03,23.12,22.64,22.96,592194,592194,0.01,0.044,23.0062,"Aug 22, 13",-0.027942421676545304
2013-08-23,23,23.4,22.99,23.35,362487,362487,0.39,1.699,23.2416,"Aug 23, 13",-0.011430990685859423
2013-08-26,23.33,23.72,23.15,23.41,406979,406979,0.06,0.257,23.4315,"Aug 26, 13",-0.008890770533446267
2013-08-27,23.15,23.2115,22.84,22.97,297671,297671,-0.44,-1.88,22.971,"Aug 27, 13",-0.027519051651143187
2013-08-28,22.99,23.04,22.53,22.78,388238,388238,-0.19,-0.827,22.7343,"Aug 28, 13",-0.03556308213378492
2013-08-29,22.51,22.84,22.34,22.83,228458,228458,0.05,0.219,22.758,"Aug 29, 13",-0.03344623200677403
2013-08-30,22.41,23.02,22.4,23.01,446998,446998,0.18,0.788,22.7799,"Aug 30, 13",-0.025825571549534267
2013-09-03,23.18,23.34,22.78,22.92,358192,358192,-0.09,-0.391,23.0205,"Sep 3, 13",-0.029635901778154075
2013-09-04,22.8,23.38,22.8,23.13,693003,693003,0.21,0.916,23.1653,"Sep 4, 13",-0.02074513124470796
2013-09-05,23.02,23.4,23.02,23.1,191112,191112,-0.03,-0.13,23.2274,"Sep 5, 13",-0.02201524132091446
2013-09-06,23.28,23.4,22.78,23.21,132787,132787,0.11,0.476,23.2401,"Sep 6, 13",-0.017358171041490268
2013-09-09,23.19,23.81,23.06,23.5,313092,313092,0.29,1.249,23.5457,"Sep 9, 13",-0.00508044030482646
2013-09-10,23.68,24,23.55,23.91,309916,309916,0.41,1.745,23.8405,"Sep 10, 13",0.012277730736663807
2013-09-11,23.83,24.1,23.796,24.04,254331,254331,0.13,0.544,23.9994,"Sep 11, 13",0.017781541066892385
2013-09-12,24.1,24.17,23.8702,24.04,189667,189667,0,0,24.0409,"Sep 12, 13",0.017781541066892385
2013-09-13,24.37,25.25,24.24,24.26,430312,430312,0.22,0.915,24.6045,"Sep 13, 13",0.02709568162574092
2013-09-16,25.32,26.5,24.78,24.99,1389960,1389960,0.73,3.009,25.1431,"Sep 16, 13",0.0580016934801015
2013-09-17,25,25.08,19.8,21.87,7341065,7341065,-3.12,-12.485,21.7827,"Sep 17, 13",-0.07408975444538526
2013-09-18,21.96,22.74,21.01,21.04,2398593,2398593,-0.83,-3.795,21.4581,"Sep 18, 13",-0.10922946655376807
2013-09-19,21.03,21.06,19.54,20.61,5552058,5552058,-0.43,-2.044,20.052,"Sep 19, 13",-0.12743437764606272
2013-09-20,20.69,21.09,20.18,20.79,1691606,1691606,0.18,0.873,20.6987,"Sep 20, 13",-0.11981371718882311
2013-09-23,20.48,20.565,19.58,19.84,1387961,1387961,-0.95,-4.57,19.8509,"Sep 23, 13",-0.16003386960203222
2013-09-24,19.87,20.79,19.41,20.79,1514741,1514741,0.95,4.788,20.4936,"Sep 24, 13",-0.11981371718882311
2013-09-25,21.02,21.41,20.79,20.84,2161933,2161933,0.05,0.241,21.0216,"Sep 25, 13",-0.11769686706181207
2013-09-26,20.54,20.88,19.47,19.71,3148131,3148131,-1.13,-5.422,19.8668,"Sep 26, 13",-0.1655376799322608
2013-09-27,19.62,20.69,19.2,20.48,1917245,1917245,0.77,3.907,19.7663,"Sep 27, 13",-0.13293818797629128
2013-09-30,20.17,20.58,19.83,19.97,735098,735098,-0.51,-2.49,20.1191,"Sep 30, 13",-0.15453005927180363
2013-10-01,19.97,20.41,19.95,20.11,499929,499929,0.14,0.701,20.1624,"Oct 1, 13",-0.1486028789161728
2013-10-02,20.09,20.23,19.7,20,521483,521483,-0.11,-0.547,19.9474,"Oct 2, 13",-0.153259949195597
2013-10-03,20.04,20.12,19.71,19.87,582012,582012,-0.13,-0.65,19.8689,"Oct 3, 13",-0.15876375952582555
2013-10-04,19.93,19.965,19.4,19.45,703400,703400,-0.42,-2.114,19.5649,"Oct 4, 13",-0.1765453005927181
2013-10-07,19.41,19.41,18.79,18.88,657756,657756,-0.57,-2.931,18.9704,"Oct 7, 13",-0.2006773920406436
2013-10-08,18.92,18.96,18.43,18.85,927366,927366,-0.03,-0.159,18.7045,"Oct 8, 13",-0.2019475021168501
2013-10-09,18.92,18.98,18.56,18.67,515730,515730,-0.18,-0.955,18.4514,"Oct 9, 13",-0.20956816257408972
2013-10-10,18.9,18.9991,18.29,18.38,898223,898223,-0.29,-1.553,18.5031,"Oct 10, 13",-0.22184589331075366
2013-10-11,18.37,18.59,18.29,18.42,859939,859939,0.04,0.218,18.4178,"Oct 11, 13",-0.22015241320914475
2013-10-14,18.36,18.85,18.321,18.66,627089,627089,0.24,1.303,18.4388,"Oct 14, 13",-0.209991532599492
2013-10-15,18.59,18.65,18.09,18.12,778932,778932,-0.54,-2.894,18.2539,"Oct 15, 13",-0.23285351397121082
2013-10-16,18.3,19.06,18.19,18.54,687176,687176,0.42,2.318,18.6587,"Oct 16, 13",-0.21507197290431845
2013-10-17,18.5,19.07,18.33,18.94,985469,985469,0.4,2.157,18.8939,"Oct 17, 13",-0.1981371718882303
2013-10-18,19.09,19.21,18.5,18.89,668968,668968,-0.05,-0.264,18.74,"Oct 18, 13",-0.20025402201524134
2013-10-21,18.92,19.24,18.76,19.12,602262,602262,0.23,1.218,19.0216,"Oct 21, 13",-0.1905165114309907
2013-10-22,19.21,19.69,19.06,19.41,1048529,1048529,0.29,1.517,19.3785,"Oct 22, 13",-0.17823878069432686
2013-10-23,19.39,19.92,19.35,19.63,856845,856845,0.22,1.133,19.6442,"Oct 23, 13",-0.16892464013547848
2013-10-24,19.72,19.87,19.47,19.87,714889,714889,0.24,1.223,19.7064,"Oct 24, 13",-0.15876375952582555
2013-10-25,19.94,19.95,19.6,19.73,644095,644095,-0.14,-0.705,19.7408,"Oct 25, 13",-0.16469093988145642
2013-10-28,19.84,20.325,19.79,20.02,627540,627540,0.29,1.47,20.0604,"Oct 28, 13",-0.15241320914479262
2013-10-29,20.02,20.2,19.87,20.03,424564,424564,0.01,0.05,19.9833,"Oct 29, 13",-0.15198983911939035
2013-10-30,20.01,20.175,19.8,19.81,427993,427993,-0.22,-1.098,19.9627,"Oct 30, 13",-0.16130397967823887
2013-10-31,19.82,20.15,19.641,20.08,552999,552999,0.27,1.363,19.992,"Oct 31, 13",-0.14987298899237944
2013-11-01,20.04,20.25,19.79,19.87,489527,489527,-0.21,-1.046,20.012,"Nov 1, 13",-0.15876375952582555
2013-11-04,19.89,20.27,19.855,20.24,595008,595008,0.37,1.862,20.126,"Nov 4, 13",-0.1430990685859442
