date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,38.8175,39.1904,38.6311,38.9955,8677,8677,0.24579,0.634,38.9413,"Aug 5, 13",0
2013-08-06,39.5379,39.5379,38.5633,38.9023,27585,27585,-0.093232,-0.239,39.1159,"Aug 6, 13",-0.002390019361208423
2013-08-07,38.6056,39.4023,38.3514,38.47,19483,19483,-0.432248,-1.111,38.7067,"Aug 7, 13",-0.013475913887499864
2013-08-08,38.5633,38.6395,38.3005,38.4616,13461,13461,-0.008477,-0.022,38.4952,"Aug 8, 13",-0.013691323357823408
2013-08-09,38.3514,39.5803,38.3514,39.3345,12342,12342,0.872973,2.27,39.1656,"Aug 9, 13",0.008693310766626883
2013-08-12,38.9362,39.6583,38.6819,38.8684,22876,22876,-0.46615,-1.185,39.0912,"Aug 12, 13",-0.003259350437871002
2013-08-13,38.2073,38.665,38.2073,38.4361,7177,7177,-0.432247,-1.112,38.4542,"Aug 13, 13",-0.014345244964162444
2013-08-14,38.5633,38.8599,38.3514,38.5972,29171,29171,0.161034,0.419,38.5883,"Aug 14, 13",-0.010213999051172545
2013-08-15,38.3429,38.3768,37.6818,37.97,13364,13364,-0.627184,-1.625,38.0523,"Aug 15, 13",-0.026297906168660512
2013-08-16,37.775,37.8259,36.8173,36.8173,20296,20296,-1.1527,-3.036,37.2981,"Aug 16, 13",-0.05585772717364816
2013-08-19,36.8682,37.3651,36.5122,36.5631,30840,30840,-0.254261,-0.691,36.7083,"Aug 19, 13",-0.062376428049390344
2013-08-20,36.7071,37.3089,36.7071,37.258,28283,28283,0.694985,1.901,37.0877,"Aug 20, 13",-0.04455642317703318
2013-08-21,36.8851,37.1309,36.5461,36.6139,21258,21258,-0.644136,-1.729,36.811,"Aug 21, 13",-0.06107371363362436
2013-08-22,36.4783,37.2919,36.4783,37.0631,17544,17544,0.449198,1.227,37.0016,"Aug 22, 13",-0.049554435768229696
2013-08-23,37.0546,37.8827,37.0462,37.6988,19123,19123,0.635659,1.715,37.6031,"Aug 23, 13",-0.033252554781962054
2013-08-26,37.6564,38.282,37.6182,37.7835,16660,16660,0.084754,0.225,37.9752,"Aug 26, 13",-0.031080509289533494
2013-08-27,37.3513,38.0124,37.3513,37.6055,22068,22068,-0.177982,-0.471,37.7144,"Aug 27, 13",-0.03564513854162661
2013-08-28,37.6988,38.1988,37.4784,37.7327,20590,20590,0.12713,0.338,37.8537,"Aug 28, 13",-0.032383223705299294
2013-08-29,37.5801,38.1141,37.436,37.8005,25434,25434,0.067805,0.18,37.7604,"Aug 29, 13",-0.030644561551973953
2013-08-30,37.8174,38.0971,36.6224,36.7919,31816,31816,-1.0086,-2.668,37.0333,"Aug 30, 13",-0.056509084381531245
2013-09-03,37.3174,37.3174,36.4673,36.9021,21270,21270,0.11018,0.299,36.7564,"Sep 3, 13",-0.05368311728276346
2013-09-04,36.8258,37.1902,36.6478,37.0038,27203,27203,0.101707,0.276,36.9306,"Sep 4, 13",-0.05107512405277536
2013-09-05,37.1479,37.1479,36.419,36.6054,18388,18388,-0.398348,-1.077,36.5754,"Sep 5, 13",-0.06129168750240404
2013-09-06,36.6817,37.097,36.3681,36.5292,38074,38074,-0.076278,-0.208,36.6763,"Sep 6, 13",-0.06324575912605293
2013-09-09,36.6817,37.3852,36.1817,37.3597,20668,20668,0.830593,2.274,37.0583,"Sep 9, 13",-0.04194842994704526
2013-09-10,37.4191,37.4191,36.9665,37.2665,18453,18453,-0.093232,-0.25,37.164,"Sep 10, 13",-0.044338449308253494
2013-09-11,37.0292,37.5038,36.9191,37.5038,22976,22976,0.237316,0.637,37.2354,"Sep 11, 13",-0.03825313177161471
2013-09-12,37.6055,37.6055,37.1479,37.2919,20991,20991,-0.211888,-0.565,37.2858,"Sep 12, 13",-0.0436870921003706
2013-09-13,37.5123,37.8513,36.7114,37.7835,18962,18962,0.491575,1.318,37.4824,"Sep 13, 13",-0.031080509289533494
2013-09-16,38.1395,38.6395,37.4699,37.5716,25451,25451,-0.211885,-0.561,37.9345,"Sep 16, 13",-0.03651446961828937
2013-09-17,37.4699,37.8513,37.2428,37.5971,26556,26556,0.025426,0.068,37.5458,"Sep 17, 13",-0.035860548011950155
2013-09-18,37.7666,38.8938,37.3597,38.7582,27131,27131,1.1611,3.088,38.0733,"Sep 18, 13",-0.006085317536638782
2013-09-19,38.665,39.3515,38.5633,38.8938,31156,31156,0.135607,0.35,38.8839,"Sep 19, 13",-0.0026079932299881013
