date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,12.6656,12.8767,12.6656,12.8767,2538,2302,0.211095,1.667,12.8469,"Aug 5, 13",0
2013-08-06,12.8514,12.8767,12.7079,12.8514,1297,1176,-0.025333,-0.197,12.8278,"Aug 6, 13",-0.0019647891152235943
2013-08-07,12.8514,12.8767,12.8345,12.8345,1241,1126,-0.016886,-0.131,12.8675,"Aug 7, 13",-0.00327723718033342
2013-08-08,12.8767,12.8767,12.6656,12.8176,3308,3000,-0.016887,-0.132,12.7276,"Aug 8, 13",-0.004589685245443246
2013-08-09,12.8345,12.8767,12.7585,12.8767,2507,2274,0.059106,0.461,12.7838,"Aug 9, 13",0
2013-08-12,12.7839,12.8345,12.6665,12.8345,3564,3233,-0.042219,-0.328,12.7849,"Aug 12, 13",-0.00327723718033342
2013-08-13,13.0456,13.0541,12.9021,12.9021,4626,4196,0.06755,0.526,12.9247,"Aug 13, 13",0.001972555080106021
2013-08-14,12.8767,12.8852,12.6741,12.8345,882,800,-0.06755,-0.524,12.8092,"Aug 14, 13",-0.00327723718033342
2013-08-15,12.7247,12.9612,12.7247,12.7923,992,900,-0.04222,-0.329,12.8392,"Aug 15, 13",-0.006554474360666978
2013-08-16,12.919,12.919,12.9105,12.9189,2507,2274,0.126572,0.989,12.9175,"Aug 16, 13",0.003277237180333558
2013-08-19,12.919,12.919,12.2858,12.2858,851,772,-0.633113,-4.901,12.5285,"Aug 19, 13",-0.04588908648955086
2013-08-20,12.3532,12.4609,12.2857,12.4609,1097,995,0.175125,1.425,12.3341,"Aug 20, 13",-0.03229088198063161
2013-08-21,12.4545,12.4545,12.4377,12.4545,1800,1633,-0.006332,-0.051,12.4532,"Aug 21, 13",-0.03278790373309933
2013-08-22,12.4461,12.8261,12.4122,12.4123,5844,5301,-0.042222,-0.339,12.4323,"Aug 22, 13",-0.03606514091343275
2013-08-23,12.9021,12.9105,12.6994,12.8767,2380,2159,0.464409,3.742,12.8753,"Aug 23, 13",0
2013-08-26,12.9104,12.9104,12.7501,12.7501,1337,1213,-0.126656,-0.984,12.7937,"Aug 26, 13",-0.009831711541000399
2013-08-27,12.6479,12.6479,11.8559,12.1084,3252,2950,-0.641725,-5.033,12.1937,"Aug 27, 13",-0.05966590819076316
2013-08-28,12.1421,12.6382,12.1421,12.1928,772,700,0.084435,0.697,12.2971,"Aug 28, 13",-0.053111433830096186
2013-08-29,12.2035,12.2035,11.9901,11.9901,1020,925,-0.20265,-1.662,12.1742,"Aug 29, 13",-0.06885304464653208
2013-08-30,11.8635,11.8635,11.8213,11.8213,805,730,-0.168874,-1.408,11.8369,"Aug 30, 13",-0.0819619933678659
2013-09-03,11.8213,11.8213,11.6102,11.6186,5223,4737,-0.202649,-1.714,11.6766,"Sep 3, 13",-0.0977036041843018
2013-09-04,11.7199,11.7706,11.6271,11.6271,3306,2999,0.008442,0.073,11.7249,"Sep 4, 13",-0.09704349716930574
2013-09-05,11.6695,11.6695,11.6695,11.6695,558,506,0.0424,0.365,11.6695,"Sep 5, 13",-0.09375072805920774
2013-09-06,11.6695,11.6695,11.6695,11.6695,882,800,0,0,11.6695,"Sep 6, 13",-0.09375072805920774
2013-09-09,11.6695,11.7119,11.6101,11.6101,3494,3169,-0.059365,-0.509,11.6705,"Sep 9, 13",-0.09836371119929799
2013-09-10,11.661,11.6695,11.6101,11.6186,1742,1580,0.008481,0.073,11.6491,"Sep 10, 13",-0.0977036041843018
2013-09-11,11.6186,11.6389,11.6186,11.6389,4367,3961,0.020354,0.175,11.6224,"Sep 11, 13",-0.0961271133131936
2013-09-12,11.6186,11.6186,11.6101,11.6101,2890,2621,-0.028835,-0.248,11.6114,"Sep 12, 13",-0.09836371119929799
2013-09-16,11.644,11.644,11.5914,11.6186,1929,1750,0.008481,0.073,11.6199,"Sep 16, 13",-0.0977036041843018
2013-09-17,11.3557,11.6432,11.3557,11.5609,2948,2674,-0.057672,-0.496,11.548,"Sep 17, 13",-0.10218456592139286
2013-09-18,11.449,11.449,11.4066,11.449,11019,9995,-0.111943,-0.968,11.4366,"Sep 18, 13",-0.1108746806246942
2013-09-19,11.4066,11.5677,11.4066,11.466,4100,3719,0.017046,0.149,11.5026,"Sep 19, 13",-0.10955446659470208
2013-09-20,11.4745,11.644,11.4745,11.644,2731,2477,0.178012,1.553,11.5911,"Sep 20, 13",-0.09573104910419591
2013-09-23,11.661,11.661,11.661,11.661,173,157,0.016962,0.146,11.661,"Sep 23, 13",-0.0944108350742038
2013-09-24,11.7881,12.3225,11.7881,12.3225,7304,6625,0.661493,5.673,11.8194,"Sep 24, 13",-0.043038977377744286
2013-09-25,12.1529,12.1529,11.7034,11.7458,1756,1593,-0.576687,-4.68,11.8296,"Sep 25, 13",-0.08782529685400767
2013-09-26,12.085,12.085,11.611,11.6667,5154,4675,-0.079124,-0.674,11.6956,"Sep 26, 13",-0.09396817507591224
2013-09-27,11.7034,11.7034,11.7034,11.7034,772,700,0.03672,0.315,11.7034,"Sep 27, 13",-0.09111806596410567
