date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,13.8568,13.8568,13.8385,13.8385,1213,1213,-0.045612,-0.329,13.8538,"Aug 5, 13",0
2013-08-06,13.8385,13.8386,13.7569,13.7747,18620,18620,-0.063854,-0.461,13.8033,"Aug 6, 13",-0.004610326263684686
2013-08-07,13.7564,13.8112,13.7564,13.7838,1423,1423,0.009126,0.066,13.7627,"Aug 7, 13",-0.003952740542688906
2013-08-08,13.8294,13.8477,13.7564,13.7564,10570,10570,-0.027371,-0.199,13.7712,"Aug 8, 13",-0.0059327239223904695
2013-08-09,13.7656,13.7838,13.7473,13.7656,7307,7307,0.00912,0.066,13.7666,"Aug 9, 13",-0.005267911984680467
2013-08-12,13.7291,13.8294,13.7291,13.7656,13360,13360,0,0,13.7959,"Aug 12, 13",-0.005267911984680467
2013-08-13,13.7704,13.8711,13.7247,13.8162,27850,27850,0.050597,0.368,13.8122,"Aug 13, 13",-0.001611446327275322
2013-08-14,13.8162,13.8162,13.8152,13.8152,6539,6539,-0.000912,-0.007,13.8159,"Aug 14, 13",-0.0016837084944176745
2013-08-15,13.7704,13.8656,13.7704,13.8656,9298,9298,0.050326,0.364,13.8157,"Aug 15, 13",0.0019583047295588965
2013-08-16,13.7796,13.8894,13.7613,13.7613,2056,2056,-0.10431,-0.752,13.7836,"Aug 16, 13",-0.005578639303392672
2013-08-19,13.7613,13.8162,13.7613,13.8052,5386,5386,0.043922,0.319,13.801,"Aug 19, 13",-0.0024063301658417136
2013-08-20,13.807,13.8619,13.7796,13.8345,21046,21046,0.029274,0.212,13.8279,"Aug 20, 13",-0.00028904866856953857
2013-08-21,13.7704,13.8345,13.7613,13.7704,9470,9470,-0.064044,-0.463,13.7899,"Aug 21, 13",-0.004921053582396892
2013-08-22,13.8436,13.8436,13.7613,13.7613,19369,19369,-0.009062,-0.066,13.7984,"Aug 22, 13",-0.005578639303392672
2013-08-23,13.7613,13.8253,13.7521,13.7887,11975,11975,0.027358,0.199,13.7825,"Aug 23, 13",-0.003598655923691108
2013-08-26,13.7521,13.8436,13.7338,13.807,6235,6235,0.0183,0.133,13.7935,"Aug 26, 13",-0.0022762582649853247
2013-08-27,13.8253,13.8253,13.7338,13.7521,3771,3771,-0.054898,-0.398,13.7673,"Aug 27, 13",-0.006243451241102675
2013-08-28,13.807,13.8345,13.7247,13.7338,7025,7025,-0.018302,-0.133,13.7558,"Aug 28, 13",-0.007565848899808459
2013-08-29,13.7979,13.8152,13.7719,13.7719,1939,1939,0.038064,0.277,13.7841,"Aug 29, 13",-0.004812660331683299
2013-08-30,13.7979,13.8162,13.7613,13.8162,2709,2709,0.044284,0.322,13.7754,"Aug 30, 13",-0.001611446327275322
2013-09-03,13.8162,13.8162,13.7613,13.7613,6999,6999,-0.054896,-0.397,13.7736,"Sep 3, 13",-0.005578639303392672
2013-09-04,13.807,13.8162,13.77,13.77,2144,2144,0.008782,0.064,13.7926,"Sep 4, 13",-0.004949958449253909
2013-09-05,13.7338,13.8162,13.7338,13.743,46287,46287,-0.027081,-0.197,13.7738,"Sep 5, 13",-0.006901036962098456
2013-09-06,13.8162,13.8162,13.807,13.8162,2110,2110,0.073195,0.533,13.8145,"Sep 6, 13",-0.001611446327275322
2013-09-09,13.8119,13.8486,13.7752,13.7752,5628,5628,-0.040939,-0.296,13.7914,"Sep 9, 13",-0.0045741951801134455
2013-09-10,13.7752,13.8027,13.7752,13.7752,2400,2400,0,0,13.7854,"Sep 10, 13",-0.0045741951801134455
2013-09-11,13.8395,13.8395,13.7752,13.8303,5305,5305,0.055065,0.4,13.8096,"Sep 11, 13",-0.0005925497705676503
2013-09-12,13.8395,13.8395,13.7202,13.766,15002,15002,-0.064238,-0.464,13.8086,"Sep 12, 13",-0.005239007117823448
2013-09-13,13.766,13.8395,13.766,13.8119,1945,1945,0.045882,0.333,13.8053,"Sep 13, 13",-0.001922173645987656
2013-09-16,13.8303,13.8395,13.8303,13.8395,3590,3590,0.027534,0.199,13.8374,"Sep 16, 13",0.00007226216714235255
2013-09-17,13.8395,14.0872,13.8395,13.9037,9355,9355,0.064242,0.464,13.9204,"Sep 17, 13",0.004711493297684056
2013-09-18,14.0322,14.2341,13.9496,14.179,5271,5271,0.27532,1.98,14.0616,"Sep 18, 13",0.024605267911984714
2013-09-19,14.179,14.4268,14.179,14.3626,26144,26144,0.183548,1.295,14.3554,"Sep 19, 13",0.03787260179932801
2013-09-20,14.3075,14.3167,14.0138,14.28,6653,6653,-0.082596,-0.575,14.2772,"Sep 20, 13",0.0319037467933663
2013-09-23,14.28,14.28,14.2157,14.2616,4767,4767,-0.018355,-0.129,14.2635,"Sep 23, 13",0.030574122917946298
2013-09-24,14.2433,14.6104,14.2433,14.3993,16210,16210,0.13766,0.965,14.3167,"Sep 24, 13",0.0405246233334538
2013-09-25,14.4085,14.4085,14.2524,14.3442,5626,5626,-0.055062,-0.382,14.2973,"Sep 25, 13",0.036542977923908
2013-09-26,14.3993,14.4085,14.3572,14.3572,1642,1642,0.013028,0.091,14.3754,"Sep 26, 13",0.0374823860967591
2013-09-27,14.3259,14.3259,14.224,14.2983,7709,7709,-0.058916,-0.41,14.2714,"Sep 27, 13",0.03322614445207209
2013-09-30,14.3901,14.4268,14.2433,14.4268,15100,15100,0.128484,0.899,14.3771,"Sep 30, 13",0.042511832929869584
2013-10-01,14.335,14.335,14.335,14.335,343,343,-0.091775,-0.636,14.335,"Oct 1, 13",0.035878165986198
2013-10-02,14.2524,14.4085,14.0965,14.3717,4343,4343,0.036711,0.256,14.2424,"Oct 2, 13",0.03853018752032379
2013-10-03,14.2616,14.3259,14.1882,14.1882,1646,1646,-0.183547,-1.277,14.2805,"Oct 3, 13",0.025270079849694718
2013-10-04,14.0782,14.2708,14.0699,14.1607,3303,3303,-0.027536,-0.194,14.1795,"Oct 4, 13",0.02328287025327893
2013-10-07,14.0964,14.2133,14.0781,14.2133,8569,8569,0.052683,0.372,14.1356,"Oct 7, 13",0.02708386024496878
2013-10-08,14.1607,14.3075,14.0964,14.1607,5829,5829,-0.052683,-0.371,14.1753,"Oct 8, 13",0.02328287025327893
2013-10-09,14.0964,14.124,14.0872,14.0872,10648,10648,-0.07342,-0.518,14.099,"Oct 9, 13",0.017971600968313003
2013-10-10,14.3993,14.3993,14.0515,14.135,4723,4723,0.047727,0.339,14.0882,"Oct 10, 13",0.021425732557719405
2013-10-11,14.3313,14.3313,14.1748,14.1748,2325,2325,0.039849,0.282,14.2458,"Oct 11, 13",0.024301766809986605
2013-10-14,14.4418,14.4418,14.2208,14.2208,3004,3004,0.046021,0.325,14.285,"Oct 14, 13",0.027625826498536746
2013-10-15,14.2208,14.2208,14.0736,14.0736,9073,9073,-0.147268,-1.036,14.1523,"Oct 15, 13",0.01698883549517657
2013-10-16,14.0828,14.2024,14.0552,14.0828,10273,10273,0.009204,0.065,14.09,"Oct 16, 13",0.017653647432886575
2013-10-17,14.1748,14.1748,14.046,14.1104,6674,6674,0.027613,0.196,14.0705,"Oct 17, 13",0.019648083246016582
2013-10-18,14.1012,14.1656,14.1012,14.1012,3380,3380,-0.009204,-0.065,14.1187,"Oct 18, 13",0.01898327130830658
2013-10-21,14.1656,14.1656,14.0828,14.0938,1371,1371,-0.007364,-0.052,14.0961,"Oct 21, 13",0.018448531271452837
2013-10-22,14.1196,14.1693,14.1196,14.1656,4589,4589,0.071797,0.509,14.1643,"Oct 22, 13",0.0236369548722766
2013-10-23,14.2024,14.2024,14.0552,14.1288,5721,5721,-0.03682,-0.26,14.1048,"Oct 23, 13",0.020977707121436588
2013-10-24,14.1932,14.1932,14.0644,14.0828,6840,6840,-0.046022,-0.326,14.1052,"Oct 24, 13",0.017653647432886575
2013-10-25,14.1564,14.1564,14.0368,14.0736,13647,13647,-0.009204,-0.065,14.0677,"Oct 25, 13",0.01698883549517657
2013-10-28,14.1288,14.2116,14.1288,14.2024,728,728,0.128862,0.916,14.1819,"Oct 28, 13",0.02629620262311674
2013-10-29,14.2116,14.2116,14.0736,14.1104,15580,15580,-0.092045,-0.648,14.1312,"Oct 29, 13",0.019648083246016582
2013-10-30,14.1656,14.2116,14.1564,14.1748,10620,10620,0.06443,0.457,14.1806,"Oct 30, 13",0.024301766809986605
2013-10-31,14.092,14.1932,14.0828,14.1748,7500,7500,0,0,14.1255,"Oct 31, 13",0.024301766809986605
2013-11-01,14.1748,14.2208,14.138,14.138,2110,2110,-0.036812,-0.26,14.1825,"Nov 1, 13",0.021642519059146593
