date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,22.8245,23.097,22.6977,22.9796,62494,31247,0.122153,0.534,22.9698,"Aug 5, 13",0
2013-08-06,22.7446,22.8762,22.4017,22.6225,44162,22081,-0.357072,-1.554,22.626,"Aug 6, 13",-0.015539870145694556
2013-08-07,22.5238,22.7024,22.2701,22.2889,70678,35339,-0.333581,-1.475,22.3645,"Aug 7, 13",-0.030057094118261397
2013-08-08,22.397,23.0876,22.3124,22.9702,49820,24910,0.681258,3.056,22.7111,"Aug 8, 13",-0.0004090584692511167
2013-08-09,22.9467,23.2333,22.6291,23.0641,44422,22211,0.093968,0.409,23.0079,"Aug 9, 13",0.003677174537415728
2013-08-12,22.9467,23.4588,22.8715,23.3319,51226,25613,0.267804,1.161,23.2658,"Aug 12, 13",0.015330989225225834
2013-08-13,23.2948,23.4118,23.05,23.2568,62426,31213,-0.075173,-0.322,23.2225,"Aug 13, 13",0.012062873157060915
2013-08-14,23.2427,23.3272,22.9091,22.9561,48856,24428,-0.300693,-1.293,23.0564,"Aug 14, 13",-0.00102264617312756
2013-08-15,22.6507,22.7312,22.0023,22.101,93416,46708,-0.855098,-3.725,22.3426,"Aug 15, 13",-0.038233911817438175
2013-08-16,21.9365,22.4368,21.9365,22.3265,73072,36536,0.225521,1.02,22.215,"Aug 16, 13",-0.028420860241257548
2013-08-19,22.2231,22.5638,22.0822,22.0822,67212,33606,-0.244315,-1.094,22.3072,"Aug 19, 13",-0.0390520287559401
2013-08-20,22.2983,22.4909,22.1433,22.2654,101416,50708,0.183237,0.83,22.2621,"Aug 20, 13",-0.031079740291388956
2013-08-21,22.1714,22.4721,21.9271,22.1151,97514,48757,-0.150349,-0.675,22.2008,"Aug 21, 13",-0.03762032411356157
2013-08-22,22.2701,22.4862,22.101,22.4533,83578,41789,0.338282,1.53,22.2915,"Aug 22, 13",-0.022902922592212337
2013-08-23,22.4486,22.6272,22.1987,22.5332,38810,19405,0.079871,0.356,22.3871,"Aug 23, 13",-0.01942592560357885
2013-08-26,22.617,22.7915,22.4708,22.4802,24254,12127,-0.052985,-0.235,22.6235,"Aug 26, 13",-0.02173231910041956
2013-08-27,22.1265,22.2397,21.6477,21.6972,48580,24290,-0.782987,-3.483,21.8185,"Aug 27, 13",-0.05580601925185828
2013-08-28,21.6595,21.8812,21.4095,21.4378,45742,22871,-0.259423,-1.196,21.6058,"Aug 28, 13",-0.06709429232884828
2013-08-29,21.4425,22.0274,21.4142,21.7397,56720,28360,0.301874,1.408,21.7488,"Aug 29, 13",-0.05395655276854263
2013-08-30,21.6737,21.867,21.051,21.2633,56060,28030,-0.476395,-2.191,21.2881,"Aug 30, 13",-0.07468798412505005
2013-09-03,21.4944,21.6501,21.0227,21.1973,59586,29793,-0.066037,-0.311,21.2533,"Sep 3, 13",-0.07756009678149327
2013-09-04,21.2162,21.4756,21.1925,21.3671,67174,33587,0.169806,0.801,21.3393,"Sep 4, 13",-0.07017093421991683
2013-09-05,21.3199,21.6312,21.3105,21.3765,36300,18150,0.009433,0.044,21.4731,"Sep 5, 13",-0.06976187575066586
2013-09-06,21.4661,21.7633,21.037,21.2208,42206,21103,-0.155654,-0.728,21.3459,"Sep 6, 13",-0.07653745060836571
2013-09-09,21.2916,21.9567,21.2539,21.8576,57562,28781,0.636767,3.001,21.6586,"Sep 9, 13",-0.048825915159532794
2013-09-10,22.0416,22.084,21.7397,21.9189,67142,33571,0.061317,0.281,21.9166,"Sep 10, 13",-0.04615833173771522
2013-09-11,21.8435,22.0652,21.301,21.452,83762,41881,-0.46696,-2.13,21.588,"Sep 11, 13",-0.0664763529391286
2013-09-12,21.3907,21.4661,21.0841,21.2539,99656,49828,-0.198107,-0.923,21.2462,"Sep 12, 13",-0.07509704259430101
2013-09-13,21.3907,21.7161,21.3812,21.6784,258384,129192,0.424511,1.997,21.3309,"Sep 13, 13",-0.056624136190360205
2013-09-16,21.9519,21.9519,21.0227,21.051,163558,81779,-0.627334,-2.894,21.3392,"Sep 16, 13",-0.08392661316994215
2013-09-17,21.051,21.4473,21.051,21.4378,68944,34472,0.386779,1.837,21.2647,"Sep 17, 13",-0.06709429232884828
2013-09-18,21.3246,21.7633,21.0935,21.5322,79920,39960,0.094335,0.44,21.4754,"Sep 18, 13",-0.06298630089296602
2013-09-19,21.6171,21.6171,21.0841,21.1124,80268,40134,-0.419795,-1.95,21.2511,"Sep 19, 13",-0.08125467806228134
2013-09-20,21.2822,21.9331,21.0841,21.7821,532778,266389,0.669784,3.172,21.7233,"Sep 20, 13",-0.052111437971070054
2013-09-23,21.834,21.9991,21.7587,21.8812,86778,43389,0.099054,0.455,21.8794,"Sep 23, 13",-0.04779891730056231
2013-09-24,21.9472,22.3482,21.8152,22.1784,81010,40505,0.297158,1.358,22.138,"Sep 24, 13",-0.03486570697488213
2013-09-25,22.2585,22.4661,22.0133,22.0604,69984,34992,-0.11792,-0.532,22.1825,"Sep 25, 13",-0.040000696269734896
2013-09-26,22.1972,22.301,21.8765,22.2444,44088,22044,0.183955,0.834,22.1176,"Sep 26, 13",-0.031993594318439074
2013-09-27,22.018,22.2727,21.9803,22.0038,35630,17815,-0.240556,-1.081,22.0649,"Sep 27, 13",-0.04246375045692714
2013-09-30,21.768,22.0652,21.6218,21.9331,105516,52758,-0.070752,-0.322,21.8862,"Sep 30, 13",-0.04554039234799569
2013-10-01,21.8812,22.6453,21.8812,22.5557,223648,111824,0.622617,2.839,22.125,"Oct 1, 13",-0.0184467962888823
