date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,1.93,1.97,1.73,1.73,9585,9585,-0.2,-10.363,1.926,"Aug 5, 13",0
2013-08-06,1.7301,1.76,1.58,1.59,32415,32415,-0.14,-8.092,1.6831,"Aug 6, 13",-0.08092485549132943
2013-08-07,1.65,1.65,1.64,1.6481,3200,3200,0.0581,3.654,1.6484,"Aug 7, 13",-0.04734104046242779
2013-08-08,1.525,1.64,1.525,1.64,200,200,-0.0081,-0.491,1.5825,"Aug 8, 13",-0.05202312138728328
2013-08-09,1.5101,1.58,1.5101,1.55,10298,10298,-0.09,-5.488,1.5277,"Aug 9, 13",-0.10404624277456644
2013-08-12,1.52,1.52,1.499,1.5,5300,5300,-0.05,-3.226,1.5022,"Aug 12, 13",-0.1329479768786127
2013-08-13,1.49,1.59,1.48,1.5,6666,6666,0,0,1.4984,"Aug 13, 13",-0.1329479768786127
2013-08-14,1.48,1.5,1.48,1.5,7507,7507,0,0,1.4957,"Aug 14, 13",-0.1329479768786127
2013-08-15,1.5,1.58,1.5,1.58,994,994,0.08,5.333,1.5237,"Aug 15, 13",-0.08670520231213867
2013-08-19,1.5,1.5,1.5,1.5,700,700,-0.08,-5.063,1.5,"Aug 19, 13",-0.1329479768786127
2013-08-22,1.54,1.59,1.54,1.59,5200,5200,0.09,6,1.5785,"Aug 22, 13",-0.08092485549132943
2013-08-26,1.59,1.59,1.57,1.59,2599,2599,0,0,1.5892,"Aug 26, 13",-0.08092485549132943
2013-08-28,1.55,1.55,1.5,1.5,400,400,-0.09,-5.66,1.525,"Aug 28, 13",-0.1329479768786127
2013-09-03,1.49,1.4901,1.49,1.49,3000,3000,-0.01,-0.667,1.49,"Sep 3, 13",-0.13872832369942195
2013-09-06,1.54,1.55,1.54,1.55,1000,1000,0.06,4.027,1.549,"Sep 6, 13",-0.10404624277456644
2013-09-09,1.4501,1.46,1.4501,1.4501,628,628,-0.0999,-6.445,1.4517,"Sep 9, 13",-0.16179190751445088
2013-09-11,1.536,1.536,1.536,1.536,132,132,0.0859,5.924,1.536,"Sep 11, 13",-0.1121387283236994
2013-09-16,1.5,1.5,1.4101,1.4101,3999,3999,-0.1259,-8.197,1.4348,"Sep 16, 13",-0.1849132947976879
2013-09-17,1.51,1.51,1.41,1.43,700,700,0.0199,1.411,1.4286,"Sep 17, 13",-0.17341040462427748
2013-09-23,1.43,1.43,1.42,1.42,1300,1300,-0.01,-0.699,1.4223,"Sep 23, 13",-0.17919075144508673
2013-09-24,1.43,1.43,1.36,1.36,7001,7001,-0.06,-4.225,1.3924,"Sep 24, 13",-0.21387283236994215
2013-09-27,1.35,1.35,1.35,1.35,300,300,-0.01,-0.735,1.35,"Sep 27, 13",-0.2196531791907514
2013-09-30,1.41,1.41,1.35,1.35,400,400,0,0,1.38,"Sep 30, 13",-0.2196531791907514
2013-10-01,1.43,1.43,1.35,1.37,900,900,0.02,1.481,1.3622,"Oct 1, 13",-0.20809248554913287
2013-10-02,1.44,1.44,1.382,1.382,900,900,0.012,0.876,1.3949,"Oct 2, 13",-0.20115606936416192
2013-10-03,1.35,1.39,1.35,1.39,200,200,0.008,0.579,1.37,"Oct 3, 13",-0.1965317919075145
2013-10-07,1.37,1.4,1.37,1.4,3020,3020,0.01,0.719,1.3948,"Oct 7, 13",-0.19075144508670525
2013-10-09,1.4,1.4,1.4,1.4,20100,20100,0,0,1.4,"Oct 9, 13",-0.19075144508670525
2013-10-11,1.44,1.45,1.44,1.45,1900,1900,0.05,3.571,1.4471,"Oct 11, 13",-0.161849710982659
2013-10-14,1.45,1.51,1.4,1.51,7632,7632,0.06,4.138,1.469,"Oct 14, 13",-0.12716763005780346
2013-10-15,1.53,1.53,1.53,1.53,580,580,0.02,1.325,1.53,"Oct 15, 13",-0.11560693641618494
2013-10-16,1.53,1.61,1.53,1.61,10020,10020,0.08,5.229,1.5618,"Oct 16, 13",-0.06936416184971092
2013-10-17,1.71,2.02,1.6613,1.999,56744,56744,0.389,24.161,1.9204,"Oct 17, 13",0.15549132947976887
2013-10-18,2.05,2.23,1.64,1.9,78965,78965,-0.099,-4.952,1.9578,"Oct 18, 13",0.09826589595375719
2013-10-21,1.7201,1.95,1.57,1.67,19379,19379,-0.23,-12.105,1.7074,"Oct 21, 13",-0.03468208092485552
2013-10-22,1.68,1.68,1.5,1.59,7799,7799,-0.08,-4.79,1.5741,"Oct 22, 13",-0.08092485549132943
2013-10-23,1.65,1.65,1.51,1.51,1700,1700,-0.08,-5.031,1.5534,"Oct 23, 13",-0.12716763005780346
2013-10-24,1.57,1.59,1.46,1.46,22552,22552,-0.05,-3.311,1.5195,"Oct 24, 13",-0.15606936416184972
2013-10-25,1.48,1.51,1.41,1.41,11134,11134,-0.05,-3.425,1.4479,"Oct 25, 13",-0.184971098265896
2013-10-28,1.45,1.4501,1.45,1.45,3400,3400,0.04,2.837,1.45,"Oct 28, 13",-0.161849710982659
2013-10-29,1.4501,1.4501,1.42,1.44,16801,16801,-0.01,-0.69,1.4495,"Oct 29, 13",-0.16763005780346824
2013-10-30,1.45,1.58,1.44,1.5,3830,3830,0.06,4.167,1.4796,"Oct 30, 13",-0.1329479768786127
2013-10-31,1.56,1.56,1.56,1.56,300,300,0.06,4,1.56,"Oct 31, 13",-0.09826589595375719
2013-11-01,1.58,1.58,1.46,1.46,4403,4403,-0.1,-6.41,1.5039,"Nov 1, 13",-0.15606936416184972
2013-11-04,1.46,1.502,1.42,1.46,12676,12676,0,0,1.4603,"Nov 4, 13",-0.15606936416184972
2013-11-06,1.55,1.62,1.53,1.55,9069,9069,0.09,6.164,1.5512,"Nov 6, 13",-0.10404624277456644
2013-11-07,1.62,1.62,1.53,1.53,1200,1200,-0.02,-1.29,1.605,"Nov 7, 13",-0.11560693641618494
2013-11-08,1.56,1.56,1.44,1.45,1100,1100,-0.08,-5.229,1.4864,"Nov 8, 13",-0.161849710982659
2013-11-11,1.56,1.56,1.56,1.56,940,940,0.11,7.586,1.56,"Nov 11, 13",-0.09826589595375719
2013-11-13,1.46,1.609,1.46,1.609,1800,1800,0.049,3.141,1.5444,"Nov 13, 13",-0.0699421965317919
2013-11-14,1.5,1.5,1.41,1.41,10571,10571,-0.199,-12.368,1.4643,"Nov 14, 13",-0.184971098265896
2013-11-15,1.4599,1.47,1.4599,1.4699,8016,8016,0.0599,4.248,1.4669,"Nov 15, 13",-0.15034682080924855
2013-11-18,1.51,1.51,1.44,1.44,905,905,-0.0299,-2.034,1.4636,"Nov 18, 13",-0.16763005780346824
2013-11-19,1.46,1.52,1.46,1.48,700,700,0.04,2.778,1.4814,"Nov 19, 13",-0.14450867052023122
2013-11-21,,,,1.48,896,896,0,0,1.583,"Nov 21, 13",-0.14450867052023122
2013-11-22,1.4701,1.4701,1.46,1.46,2000,2000,-0.02,-1.351,1.4661,"Nov 22, 13",-0.15606936416184972
2013-11-25,1.54,1.55,1.54,1.55,600,600,0.09,6.164,1.5433,"Nov 25, 13",-0.10404624277456644
2013-11-26,1.55,1.71,1.5499,1.5516,54355,54355,0.0016,0.103,1.6262,"Nov 26, 13",-0.10312138728323693
2013-11-27,1.64,1.66,1.504,1.6101,24575,24575,0.0585,3.77,1.599,"Nov 27, 13",-0.06930635838150283
2013-11-29,1.62,1.66,1.52,1.55,8326,8326,-0.0601,-3.733,1.6092,"Nov 29, 13",-0.10404624277456644
2013-12-02,1.6,1.62,1.51,1.62,21360,21360,0.07,4.516,1.5797,"Dec 2, 13",-0.06358381502890166
2013-12-03,1.62,1.62,1.6,1.6,3904,3904,-0.02,-1.235,1.6096,"Dec 3, 13",-0.07514450867052017
2013-12-04,1.52,1.53,1.49,1.52,7699,7699,-0.08,-5,1.51,"Dec 4, 13",-0.1213872832369942
2013-12-05,1.6,1.6,1.548,1.548,1300,1300,0.028,1.842,1.5905,"Dec 5, 13",-0.10520231213872829
2013-12-06,1.51,1.55,1.5,1.5185,4091,4091,-0.0295,-1.906,1.5317,"Dec 6, 13",-0.12225433526011562
2013-12-09,1.549,1.56,1.5,1.5,20800,20800,-0.0185,-1.218,1.5448,"Dec 9, 13",-0.1329479768786127
2013-12-10,1.47,1.5,1.47,1.5,3101,3101,0,0,1.4986,"Dec 10, 13",-0.1329479768786127
2013-12-11,1.48,1.4801,1.48,1.4801,2200,2200,-0.0199,-1.327,1.4801,"Dec 11, 13",-0.14445086705202312
2013-12-12,1.4801,1.4808,1.47,1.48,5048,5048,-0.0001,-0.007,1.4776,"Dec 12, 13",-0.14450867052023122
2013-12-13,1.47,1.52,1.4149,1.4888,26122,26122,0.0088,0.595,1.4635,"Dec 13, 13",-0.13942196531791912
2013-12-16,1.47,1.52,1.47,1.51,3120,3120,0.0212,1.424,1.5161,"Dec 16, 13",-0.12716763005780346
2013-12-17,1.4845,1.4845,1.4845,1.4845,200,200,-0.0255,-1.689,1.4845,"Dec 17, 13",-0.14190751445086708
2013-12-18,1.449,1.45,1.449,1.449,2110,2110,-0.0355,-2.391,1.4493,"Dec 18, 13",-0.16242774566473983
2013-12-20,1.466,1.48,1.421,1.421,2700,2700,-0.028,-1.932,1.469,"Dec 20, 13",-0.17861271676300575
2013-12-23,1.45,1.45,1.41,1.41,8201,8201,-0.011,-0.774,1.4287,"Dec 23, 13",-0.184971098265896
2013-12-24,1.39,1.44,1.38,1.4,25700,25700,-0.01,-0.709,1.406,"Dec 24, 13",-0.19075144508670525
2013-12-26,1.42,1.6,1.41,1.57,56375,56375,0.17,12.143,1.5128,"Dec 26, 13",-0.09248554913294793
2013-12-27,1.56,1.5699,1.46,1.5,4221,4221,-0.07,-4.459,1.4851,"Dec 27, 13",-0.1329479768786127
2013-12-30,1.57,1.6,1.47,1.5,18698,18698,0,0,1.5273,"Dec 30, 13",-0.1329479768786127
2013-12-31,1.51,1.575,1.504,1.5672,1500,1500,0.0672,4.48,1.5555,"Dec 31, 13",-0.0941040462427746
2014-01-02,1.58,1.58,1.5699,1.5699,1801,1801,0.0027,0.172,1.5744,"Jan 2, 14",-0.09254335260115602
2014-01-03,1.55,1.569,1.48,1.51,7869,7869,-0.0599,-3.816,1.5325,"Jan 3, 14",-0.12716763005780346
2014-01-06,1.47,1.61,1.47,1.55,14029,14029,0.04,2.649,1.5279,"Jan 6, 14",-0.10404624277456644
2014-01-07,1.56,1.61,1.54,1.55,13004,13004,0,0,1.5676,"Jan 7, 14",-0.10404624277456644
2014-01-08,1.501,1.501,1.5,1.5001,2733,2733,-0.0499,-3.219,1.5006,"Jan 8, 14",-0.13289017341040463
2014-01-09,,,,1.55,17,17,0.0499,3.326,1.55,"Jan 9, 14",-0.10404624277456644
2014-01-10,1.57,1.58,1.5099,1.52,7843,7843,-0.03,-1.935,1.568,"Jan 10, 14",-0.1213872832369942
2014-01-13,1.57,1.6101,1.52,1.6001,10899,10899,0.0801,5.27,1.5703,"Jan 13, 14",-0.07508670520231209
