date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,9.9523,10.0051,9.8526,9.8618,28134,28134,-0.045274,-0.457,9.934,"Aug 5, 13",0
2013-08-06,9.8316,9.8693,9.726,9.7637,41411,41411,-0.098092,-0.995,9.7647,"Aug 6, 13",-0.009947474091950811
2013-08-07,9.7788,9.8014,9.7109,9.8014,24619,24619,0.037727,0.386,9.762,"Aug 7, 13",-0.006124642560181847
2013-08-08,9.8467,9.99,9.7712,9.9529,22491,22491,0.151513,1.546,9.9157,"Aug 8, 13",0.009237664523717685
2013-08-09,9.8618,9.9976,9.824,9.9156,40734,40734,-0.037274,-0.375,9.8935,"Aug 9, 13",0.005455393538704796
2013-08-12,9.8844,9.9976,9.8693,9.9976,9904,9904,0.08194,0.826,9.926,"Aug 12, 13",0.013770305623719777
2013-08-13,9.9513,9.9513,9.7845,9.7894,26017,26017,-0.208199,-2.082,9.8721,"Aug 13, 13",-0.007341458962866821
2013-08-14,9.7769,9.8451,9.7769,9.8451,15228,15228,0.055748,0.569,9.8047,"Aug 14, 13",-0.001693402827070125
2013-08-15,9.8603,9.8603,9.7314,9.7769,29714,29714,-0.068264,-0.693,9.7945,"Aug 15, 13",-0.00860897604899725
2013-08-16,9.7465,9.7641,9.556,9.6328,39932,39932,-0.14411,-1.474,9.6629,"Aug 16, 13",-0.02322091301790758
2013-08-19,9.5948,9.6592,9.4659,9.5569,40264,40264,-0.075847,-0.787,9.5404,"Aug 19, 13",-0.030917276764890783
2013-08-20,9.5266,9.6858,9.5114,9.6555,31858,31858,0.098601,1.032,9.562,"Aug 20, 13",-0.020919101989494877
2013-08-21,9.701,9.8603,9.5417,9.8148,70723,70723,0.159283,1.65,9.7161,"Aug 21, 13",-0.004765864243850068
2013-08-22,9.8603,10.012,9.792,9.9134,28304,28304,0.098602,1.005,9.8845,"Aug 22, 13",0.005232310531545839
2013-08-23,9.8224,9.9343,9.7238,9.7465,35734,35734,-0.166869,-1.683,9.8027,"Aug 23, 13",-0.011691577602466212
2013-08-26,9.7465,9.7541,9.7086,9.7086,18238,18238,-0.037921,-0.389,9.7182,"Aug 26, 13",-0.015534689407613215
2013-08-27,9.7465,9.7845,9.6252,9.6934,126073,126073,-0.015171,-0.156,9.7302,"Aug 27, 13",-0.017075990184347696
2013-08-28,9.7693,9.7693,9.6328,9.6707,25522,25522,-0.022751,-0.235,9.6971,"Aug 28, 13",-0.019377801212760396
2013-08-29,9.6328,9.6862,9.6328,9.6862,16835,16835,0.015549,0.161,9.6544,"Aug 29, 13",-0.01780608002595886
2013-08-30,9.6479,9.7086,9.6252,9.701,13189,13189,0.014785,0.153,9.6722,"Aug 30, 13",-0.016305339795980454
2013-09-03,9.6631,9.7389,9.5645,9.5645,11685,11685,-0.136523,-1.407,9.6496,"Sep 3, 13",-0.030146626376523544
2013-09-04,9.6024,9.8603,9.5569,9.5645,28832,28832,0,0,9.6453,"Sep 4, 13",-0.030146626376523544
2013-09-05,9.6403,9.6681,9.4811,9.4962,33524,33524,-0.068265,-0.714,9.5583,"Sep 5, 13",-0.03707233973513969
2013-09-06,9.4962,9.5493,9.4811,9.4962,47308,47308,0,0,9.5063,"Sep 6, 13",-0.03707233973513969
2013-09-09,9.625,9.625,9.5411,9.5793,27085,27085,0.083045,0.875,9.5762,"Sep 9, 13",-0.02864588614654532
2013-09-10,9.6327,9.6327,9.5335,9.5411,30671,30671,-0.03813,-0.398,9.551,"Sep 10, 13",-0.03251941836175956
2013-09-11,9.5335,9.6022,9.5335,9.564,26980,26980,0.022878,0.24,9.559,"Sep 11, 13",-0.030197327059968818
2013-09-12,9.5411,9.6022,9.5411,9.5869,16523,16523,0.022879,0.239,9.5799,"Sep 12, 13",-0.027875235758178078
2013-09-13,9.5183,9.5259,9.4801,9.5183,33017,33017,-0.068643,-0.716,9.5072,"Sep 13, 13",-0.03483136952686128
2013-09-16,9.6098,9.6708,9.6022,9.6022,11864,11864,0.083899,0.881,9.6226,"Sep 16, 13",-0.02632379484475458
2013-09-17,9.6555,9.8996,9.625,9.8691,35625,35625,0.266933,2.78,9.7806,"Sep 17, 13",0.0007402299783000034
2013-09-18,9.9149,10.1283,9.7547,10.0369,50177,50177,0.167794,1.7,9.9432,"Sep 18, 13",0.017755379342513405
2013-09-19,10.1742,10.1894,10.0369,10.1055,37957,37957,0.068641,0.684,10.1314,"Sep 19, 13",0.024711513111196605
2013-09-20,10.2123,10.2428,10.1665,10.1894,16843,16843,0.083893,0.83,10.2107,"Sep 20, 13",0.033219087793303306
2013-09-23,10.2428,10.2428,10.014,10.1513,17874,17874,-0.038135,-0.374,10.14,"Sep 23, 13",0.029355695714778265
2013-09-24,10.0826,10.1811,10.0446,10.1589,27560,27560,0.007629,0.075,10.1042,"Sep 24, 13",0.030126346103145324
2013-09-25,10.2352,10.2352,10.0064,10.1055,34946,34946,-0.053387,-0.526,10.1081,"Sep 25, 13",0.024711513111196605
2013-09-26,10.1589,10.1589,10.0293,10.0628,12340,12340,-0.042711,-0.423,10.0899,"Sep 26, 13",0.020381674744975434
2013-09-27,10.1284,10.1452,9.953,9.9835,8783,8783,-0.079321,-0.788,10.0377,"Sep 27, 13",0.012340546350564684
2013-09-30,9.9835,10.0079,9.953,9.9987,2651,2651,0.015253,0.153,9.9854,"Sep 30, 13",0.013881847127299165
2013-10-01,10.014,10.1055,9.9911,10.0521,28242,28242,0.053389,0.534,10.0382,"Oct 1, 13",0.019296680119247886
2013-10-02,10.0826,10.1055,9.9301,10.0369,11582,11582,-0.015251,-0.152,10.0321,"Oct 2, 13",0.017755379342513405
2013-10-03,10.014,10.1055,9.9454,9.9454,20618,20618,-0.091519,-0.912,10.0453,"Oct 3, 13",0.008477154272039463
2013-10-04,9.892,9.994,9.8615,9.9225,8253,8253,-0.022884,-0.23,9.9328,"Oct 4, 13",0.006155062970248724
2013-10-07,9.9149,9.9149,9.8386,9.8615,5372,5372,-0.061016,-0.615,9.885,"Oct 7, 13",-0.00003042041006723693
2013-10-08,9.8157,9.8691,9.8157,9.8157,14900,14900,-0.04576,-0.464,9.8361,"Oct 8, 13",-0.004674603013648717
2013-10-09,9.8767,9.8864,9.8463,9.8691,5684,5684,0.053385,0.544,9.6955,"Oct 9, 13",0.0007402299783000034
