date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,16.76,17.04,16.6,16.76,386501,386501,0.17,1.025,16.7744,"Aug 5, 13",0
2013-08-06,16.59,16.92,15.79,16.35,700094,700094,-0.41,-2.446,16.3103,"Aug 6, 13",-0.02446300715990454
2013-08-07,16.66,17.75,16.64,17.16,569735,569735,0.81,4.954,17.2265,"Aug 7, 13",0.023866348448687263
2013-08-08,17.23,17.23,16.65,16.78,333388,333388,-0.38,-2.214,16.8932,"Aug 8, 13",0.001193317422434342
2013-08-09,16.71,16.74,16.47,16.61,346060,346060,-0.17,-1.013,16.5769,"Aug 9, 13",-0.008949880668257883
2013-08-12,16.5,16.87,16.47,16.71,218220,218220,0.1,0.602,16.6704,"Aug 12, 13",-0.002983293556085961
2013-08-13,16.65,16.76,16.5,16.64,149971,149971,-0.07,-0.419,16.6169,"Aug 13, 13",-0.007159904534606264
2013-08-14,16.64,17.06,16.64,16.86,335168,335168,0.22,1.322,16.8452,"Aug 14, 13",0.00596658711217171
2013-08-15,16.69,16.9,16.45,16.47,206987,206987,-0.39,-2.313,16.5805,"Aug 15, 13",-0.017303102625298487
2013-08-16,16.43,16.68,16.42,16.61,204822,204822,0.14,0.85,16.5474,"Aug 16, 13",-0.008949880668257883
2013-08-19,16.53,16.61,16.18,16.27,233152,233152,-0.34,-2.047,16.3767,"Aug 19, 13",-0.02923627684964212
2013-08-20,16.37,16.4699,16.21,16.36,177346,177346,0.09,0.553,16.3701,"Aug 20, 13",-0.023866348448687475
2013-08-21,16.34,16.44,16.04,16.15,163450,163450,-0.21,-1.284,16.2044,"Aug 21, 13",-0.03639618138424838
2013-08-22,16.15,16.37,16.07,16.3,157853,157853,0.15,0.929,16.2793,"Aug 22, 13",-0.027446300715990503
2013-08-23,16.3,16.34,16.19,16.31,159658,159658,0.01,0.061,16.2852,"Aug 23, 13",-0.026849642004773435
2013-08-26,16.23,16.51,16.15,16.33,214603,214603,0.02,0.123,16.378,"Aug 26, 13",-0.025656324582339095
2013-08-27,16.16,16.3,16.02,16.09,175707,175707,-0.24,-1.47,16.1141,"Aug 27, 13",-0.039976133651551414
2013-08-28,16.06,16.43,16.04,16.42,208445,208445,0.33,2.051,16.3315,"Aug 28, 13",-0.02028639618138424
2013-08-29,16.45,16.84,16.43,16.71,246122,246122,0.29,1.766,16.696,"Aug 29, 13",-0.002983293556085961
2013-08-30,16.69,16.69,16.2,16.52,166038,166038,-0.19,-1.137,16.4678,"Aug 30, 13",-0.014319809069212527
2013-09-03,16.6,16.96,16.52,16.71,190346,190346,0.19,1.15,16.7189,"Sep 3, 13",-0.002983293556085961
2013-09-04,16.7,17.12,16.66,17.05,314652,314652,0.34,2.035,16.9771,"Sep 4, 13",0.017303102625298276
2013-09-05,17.05,17.58,16.96,17.15,371567,371567,0.1,0.587,17.2143,"Sep 5, 13",0.023269689737469988
2013-09-06,17.33,17.33,16.81,17.12,141450,141450,-0.03,-0.175,17.0967,"Sep 6, 13",0.02147971360381858
2013-09-09,17.21,17.4,17.13,17.32,552652,552652,0.2,1.168,17.2222,"Sep 9, 13",0.033412887828162215
2013-09-10,17.35,17.57,17.35,17.43,379489,379489,0.11,0.635,17.456,"Sep 10, 13",0.0399761336515512
2013-09-11,17.43,17.55,17.3,17.47,368554,368554,0.04,0.229,17.4154,"Sep 11, 13",0.04236276849641988
2013-09-12,17.52,17.68,17.33,17.48,453775,453775,0.01,0.057,17.5116,"Sep 12, 13",0.04295942720763716
2013-09-13,17.53,17.53,17.16,17.41,332987,332987,-0.07,-0.4,17.3569,"Sep 13, 13",0.038782816229116855
2013-09-16,17.56,17.6,17.27,17.32,247764,247764,-0.09,-0.517,17.3966,"Sep 16, 13",0.033412887828162215
