date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,9.3777,9.469,9.2711,9.4468,13253,13253,-0.014609,-0.154,9.3713,"Aug 5, 13",0
2013-08-06,9.4081,9.4081,9.2921,9.3472,8874,8874,-0.099563,-1.054,9.3417,"Aug 6, 13",-0.01054325274166901
2013-08-07,9.2559,9.4005,9.2559,9.3168,10825,10825,-0.030448,-0.326,9.3145,"Aug 7, 13",-0.013761273658804992
2013-08-08,9.2255,9.3168,9.2102,9.2863,14443,14443,-0.030447,-0.327,9.2507,"Aug 8, 13",-0.01698988017106311
2013-08-09,9.2178,9.2619,9.157,9.2483,26610,26610,-0.038059,-0.41,9.1988,"Aug 9, 13",-0.02101240631748309
2013-08-12,9.2483,9.3092,9.1874,9.3016,14482,14482,0.053285,0.576,9.2576,"Aug 12, 13",-0.015370284117372984
2013-08-13,9.2537,9.3149,9.1757,9.2002,28819,28819,-0.101415,-1.09,9.2427,"Aug 13, 13",-0.026104077571240954
2013-08-14,9.1619,9.2308,9.1619,9.1619,11522,11522,-0.038268,-0.416,9.1972,"Aug 14, 13",-0.03015836050302752
2013-08-15,9.1619,9.162,9.093,9.1083,22452,22452,-0.053582,-0.585,9.1261,"Aug 15, 13",-0.035832239488504024
2013-08-16,9.07,9.1542,9.0394,9.0777,18677,18677,-0.030616,-0.336,9.0849,"Aug 16, 13",-0.039071431595884276
2013-08-19,9.07,9.2155,8.9705,9.1619,26515,26515,0.084198,0.928,9.0996,"Aug 19, 13",-0.03015836050302752
2013-08-20,9.093,9.1849,9.093,9.1849,16524,16524,0.022962,0.251,9.1466,"Aug 20, 13",-0.02772367362493108
2013-08-21,9.116,9.1849,9.116,9.1772,13424,13424,-0.007654,-0.083,9.1481,"Aug 21, 13",-0.028538764449337395
2013-08-22,9.2384,9.4068,9.116,9.3609,22028,22028,0.183697,2.002,9.2888,"Aug 22, 13",-0.00909302620993339
2013-08-23,9.269,9.3609,9.2308,9.269,18031,18031,-0.091852,-0.981,9.2846,"Aug 23, 13",-0.01882118812719646
2013-08-26,9.2231,9.2739,9.2231,9.269,2830,2830,0,0,9.2427,"Aug 26, 13",-0.01882118812719646
2013-08-27,9.2231,9.2997,9.1695,9.269,10948,10948,0,0,9.2423,"Aug 27, 13",-0.01882118812719646
2013-08-28,9.3379,9.3609,9.1849,9.2844,21098,21098,0.01531,0.165,9.2858,"Aug 28, 13",-0.017191006478384202
2013-08-29,9.2002,9.2997,9.1542,9.2767,10737,10737,-0.007656,-0.082,9.1982,"Aug 29, 13",-0.01800609730279033
2013-08-30,9.3073,9.3073,9.2155,9.2231,6841,6841,-0.053579,-0.578,9.2363,"Aug 30, 13",-0.023679976288266836
2013-09-03,9.2155,9.2567,9.0624,9.1619,24742,24742,-0.061228,-0.664,9.1471,"Sep 3, 13",-0.03015836050302752
2013-09-04,9.1849,9.1849,9.116,9.1313,10644,10644,-0.030617,-0.334,9.1516,"Sep 4, 13",-0.03339755261040777
2013-09-05,9.1849,9.1849,9.0318,9.0471,17069,17069,-0.084193,-0.922,9.1098,"Sep 5, 13",-0.04231062370326452
