date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-06-30,20.35,20.48,19.84,20.05,3492724,3492724,20.05,0,20.0675,"Jun 30, 17",0
2017-07-03,20.1,20.35,19.9525,20.1,96378,96378,0.05,0.249,20.0317,"Jul 3, 17",0.0024937655860349482
2017-07-05,20.02,20.28,20,20.2,165540,165540,0.1,0.498,20.1125,"Jul 5, 17",0.007481296758104667
2017-07-06,20.14,20.29,20.01,20.18,73490,73490,-0.02,-0.099,20.1441,"Jul 6, 17",0.006483790523690723
2017-07-07,20.26,20.61,20.2,20.27,111348,111348,0.09,0.446,20.3448,"Jul 7, 17",0.01097256857855356
2017-07-10,20.42,20.61,20.3,20.35,55371,55371,0.08,0.395,20.4103,"Jul 10, 17",0.01496259351620951
2017-07-11,20.28,20.45,20.0701,20.26,106836,106836,-0.09,-0.442,20.2937,"Jul 11, 17",0.010473815461346675
2017-07-12,20.19,21,20.12,20.86,157625,157625,0.6,2.962,20.5822,"Jul 12, 17",0.04039900249376552
2017-07-13,21.1,21.1,20.6601,20.8,35058,35058,-0.06,-0.288,20.8543,"Jul 13, 17",0.03740648379052369
2017-07-14,20.77,20.95,20.75,20.78,39942,39942,-0.02,-0.096,20.8402,"Jul 14, 17",0.036408977556109744
2017-07-17,20.78,20.96,20.78,20.85,34166,34166,0.07,0.337,20.8826,"Jul 17, 17",0.03990024937655864
2017-07-18,21,21.295,20.851,21.13,102692,102692,0.28,1.343,21.0824,"Jul 18, 17",0.05386533665835403
2017-07-19,21.29,21.3696,21.07,21.07,31392,31392,-0.06,-0.284,21.1702,"Jul 19, 17",0.0508728179551122
2017-07-20,21.06,21.39,20.3,20.32,105430,105430,-0.75,-3.56,20.8767,"Jul 20, 17",0.013466334164588508
2017-07-21,20.5,21,20.1913,20.72,89253,89253,0.4,1.969,20.5747,"Jul 21, 17",0.03341645885286774
2017-07-24,20.72,20.9923,20.67,20.85,25273,25273,0.13,0.627,20.821,"Jul 24, 17",0.03990024937655864
2017-07-25,20.91,21.17,20.38,20.54,65615,65615,-0.31,-1.487,20.703,"Jul 25, 17",0.024438902743142067
2017-07-26,20.4,20.8682,20.4,20.59,75859,75859,0.05,0.243,20.6316,"Jul 26, 17",0.026932668329177015
2017-07-27,20.51,20.77,20.51,20.52,27124,27124,-0.07,-0.34,20.6158,"Jul 27, 17",0.023441396508728122
2017-07-28,20.5,20.6,20.35,20.45,71114,71114,-0.07,-0.341,20.4747,"Jul 28, 17",0.019950124688279232
2017-07-31,20.5,20.5,20.16,20.16,38289,38289,-0.29,-1.418,20.2996,"Jul 31, 17",0.00548628428927678
2017-08-01,20.16,20.41,19.29,20.05,135044,135044,-0.11,-0.546,19.947,"Aug 1, 17",0
2017-08-02,19.93,20.95,19.695,20.73,49123,49123,0.68,3.392,20.3715,"Aug 2, 17",0.0339152119700748
2017-08-03,20.66,20.9,20.46,20.46,32689,32689,-0.27,-1.302,20.6079,"Aug 3, 17",0.02044887780548629
2017-08-04,20.5,21.42,20.39,21.13,42728,42728,0.67,3.275,20.9074,"Aug 4, 17",0.05386533665835403
2017-08-07,21.39,21.45,20.84,21,27824,27824,-0.13,-0.615,21.2307,"Aug 7, 17",0.047381546134663305
2017-08-08,20.87,20.875,20.21,20.52,35394,35394,-0.48,-2.286,20.7311,"Aug 8, 17",0.023441396508728122
2017-08-09,20.45,20.46,20.3,20.46,31434,31434,-0.06,-0.292,20.409,"Aug 9, 17",0.02044887780548629
2017-08-10,20.47,20.595,20.26,20.26,18012,18012,-0.2,-0.978,20.4043,"Aug 10, 17",0.010473815461346675
2017-08-11,20.27,20.85,20.25,20.32,12447,12447,0.06,0.296,20.4047,"Aug 11, 17",0.013466334164588508
2017-08-14,20.52,21.01,20.33,20.69,23697,23697,0.37,1.821,20.7137,"Aug 14, 17",0.03192019950124691
2017-08-15,20.58,21.1,20.27,20.78,54781,54781,0.09,0.435,20.699,"Aug 15, 17",0.036408977556109744
2017-08-16,20.91,21.3,20.77,21.15,46431,46431,0.37,1.781,21.0587,"Aug 16, 17",0.05486284289276797
2017-08-17,21.02,21.49,20.32,20.67,40062,40062,-0.48,-2.27,20.9173,"Aug 17, 17",0.030922693266832967
2017-08-18,20.67,20.815,20.27,20.74,26289,26289,0.07,0.339,20.5604,"Aug 18, 17",0.03441396508728168
2017-08-21,20.74,21.13,20.36,20.83,25370,25370,0.09,0.434,20.8785,"Aug 21, 17",0.038902743142144515
2017-08-22,20.87,21.02,20.5128,20.88,18938,18938,0.05,0.24,20.8878,"Aug 22, 17",0.04139650872817947
2017-08-23,20.92,20.92,20.27,20.47,44757,44757,-0.41,-1.964,20.5133,"Aug 23, 17",0.020947630922693174
2017-08-24,20.47,21.07,19.75,21.02,95968,95968,0.55,2.687,20.5801,"Aug 24, 17",0.04837905236907725
2017-08-25,21.07,21.07,20.44,21.01,39969,39969,-0.01,-0.048,20.8884,"Aug 25, 17",0.047880299251870366
2017-08-28,21.08,21.32,20.9,21.07,67581,67581,0.06,0.286,20.9931,"Aug 28, 17",0.0508728179551122
2017-08-29,20.98,21.15,20.85,20.89,39420,39420,-0.18,-0.854,20.9372,"Aug 29, 17",0.04189526184538653
2017-08-30,20.92,21.44,20.92,21.24,64519,64519,0.35,1.675,21.1006,"Aug 30, 17",0.05935162094763081
2017-08-31,21.17,21.44,21.02,21.13,65663,65663,-0.11,-0.518,21.1713,"Aug 31, 17",0.05386533665835403
2017-09-01,21.19,21.69,21.05,21.5,62478,62478,0.37,1.751,21.3823,"Sep 1, 17",0.07231920199501243
2017-09-05,21.45,21.45,21.125,21.19,77630,77630,-0.31,-1.442,21.2384,"Sep 5, 17",0.05685785536159604
2017-09-06,21.14,21.52,20.7221,21.12,80699,80699,-0.07,-0.33,21.2331,"Sep 6, 17",0.05336658354114714
2017-09-07,21.22,21.7,21,21.03,69047,69047,-0.09,-0.426,21.2781,"Sep 7, 17",0.04887780548628431
2017-09-08,21.13,21.3,21.02,21.25,49205,49205,0.22,1.046,21.2213,"Sep 8, 17",0.05985037406483787
2017-09-11,21.15,21.4,21.08,21.2,83228,83228,-0.05,-0.235,21.2905,"Sep 11, 17",0.05735660847880292
2017-09-12,21.35,21.7,20.96,21.57,57505,57505,0.37,1.745,21.4341,"Sep 12, 17",0.07581047381546133
2017-09-13,21.57,21.59,21.34,21.54,78793,78793,-0.03,-0.139,21.5425,"Sep 13, 17",0.07431421446384032
2017-09-14,21.26,21.45,20.98,21.05,66794,66794,-0.49,-2.275,21.1694,"Sep 14, 17",0.04987531172069825
2017-09-15,21.05,21.05,20.03,20.13,611226,611226,-0.92,-4.371,20.1909,"Sep 15, 17",0.003990024937655775
2017-09-18,20.09,20.65,19.78,20.38,104553,104553,0.25,1.242,20.1085,"Sep 18, 17",0.01645885286783034
2017-09-19,20.2615,20.94,20.2615,20.63,45007,45007,0.25,1.227,20.7004,"Sep 19, 17",0.028927680798004902
2017-09-20,20.8,21.24,20.64,21.04,57649,57649,0.41,1.987,21.0463,"Sep 20, 17",0.049376558603491195
2017-09-21,21.03,21.26,20.71,21.17,22867,22867,0.13,0.618,21.1098,"Sep 21, 17",0.055860349127182095
2017-09-22,21.28,21.28,20.75,20.91,30586,30586,-0.26,-1.228,20.9213,"Sep 22, 17",0.04289276807980047
2017-09-25,21.48,21.48,20.5901,21.4,45664,45664,0.49,2.343,21.1974,"Sep 25, 17",0.06733167082294253
2017-09-26,21.39,21.82,21.27,21.44,107634,107634,0.04,0.187,21.4549,"Sep 26, 17",0.0693266832917706
2017-09-27,21.54,21.7199,20.93,21.01,61933,61933,-0.43,-2.006,21.2208,"Sep 27, 17",0.047880299251870366
2017-09-28,20.96,21.1799,20.8,21.09,64670,64670,0.08,0.381,21.0581,"Sep 28, 17",0.05187032418952614
2017-09-29,21.09,21.4,21.05,21.26,41186,41186,0.17,0.806,21.2081,"Sep 29, 17",0.06034912718204493
2017-10-02,21.27,21.415,21.24,21.27,46795,46795,0.01,0.047,21.2852,"Oct 2, 17",0.06084788029925181
2017-10-03,21.25,21.365,20.66,20.75,105990,105990,-0.52,-2.445,21.0389,"Oct 3, 17",0.03491271820448874
2017-10-04,20.71,20.71,20.18,20.28,72551,72551,-0.47,-2.265,20.4619,"Oct 4, 17",0.011471321695760619
2017-10-05,20.31,20.75,20,20.32,98768,98768,0.04,0.197,20.3292,"Oct 5, 17",0.013466334164588508
2017-10-06,20.28,20.67,20.2501,20.39,32713,32713,0.07,0.344,20.4487,"Oct 6, 17",0.0169576059850374
2017-10-09,20.5,20.63,20.35,20.54,103429,103429,0.15,0.736,20.503,"Oct 9, 17",0.024438902743142067
2017-10-10,20.5,20.862,20.41,20.6,113437,113437,0.06,0.292,20.6122,"Oct 10, 17",0.027431421446384073
2017-10-11,20.51,20.7,20.4,20.69,47320,47320,0.09,0.437,20.5374,"Oct 11, 17",0.03192019950124691
2017-10-12,20.65,20.71,20.5,20.69,49975,49975,0,0,20.6585,"Oct 12, 17",0.03192019950124691
2017-10-13,20.58,20.74,20.52,20.58,12695,12695,-0.11,-0.532,20.6187,"Oct 13, 17",0.026433915211969954
2017-10-16,20.58,20.7384,20.47,20.6,43434,43434,0.02,0.097,20.5822,"Oct 16, 17",0.027431421446384073
2017-10-17,20.57,20.88,20.35,20.47,201341,201341,-0.13,-0.631,20.5706,"Oct 17, 17",0.020947630922693174
2017-10-18,20.474,20.67,20.391,20.49,104483,104483,0.02,0.098,20.4934,"Oct 18, 17",0.02194513715710712
2017-10-19,20.42,20.59,20.42,20.57,13821,13821,0.08,0.39,20.5321,"Oct 19, 17",0.02593516209476307
2017-10-20,20.79,20.79,20.45,20.67,105623,105623,0.1,0.486,20.5659,"Oct 20, 17",0.030922693266832967
2017-10-23,20.67,20.69,20.53,20.56,15400,15400,-0.11,-0.532,20.6119,"Oct 23, 17",0.02543640897755601
2017-10-24,20.56,20.68,20.56,20.6,10428,10428,0.04,0.195,20.6073,"Oct 24, 17",0.027431421446384073
2017-10-25,20.6,20.61,20.36,20.575,38965,38965,-0.025,-0.121,20.4919,"Oct 25, 17",0.02618453865336651
2017-10-26,20.63,20.7,20.54,20.67,25814,25814,0.095,0.462,20.6637,"Oct 26, 17",0.030922693266832967
2017-10-27,20.55,20.75,20,20.16,109292,109292,-0.51,-2.467,20.3572,"Oct 27, 17",0.00548628428927678
2017-10-30,20.07,20.11,19.91,19.92,143007,143007,-0.24,-1.19,19.9723,"Oct 30, 17",-0.006483790523690723
2017-10-31,20,20.225,19.99,20.05,68990,68990,0.13,0.653,20.0544,"Oct 31, 17",0
2017-11-01,20.05,20.22,19.72,19.93,85762,85762,-0.12,-0.599,19.9105,"Nov 1, 17",-0.00598503740648384
