date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,4.1669,4.1669,4.1669,4.1669,1000,1000,0.029207,0.706,4.1669,"Aug 5, 13",0
2013-08-06,4.2643,4.2643,4.2643,4.2643,100,100,0.097358,2.336,4.2643,"Aug 6, 13",0.02337469101730312
2013-08-12,4.0404,4.0404,4.0404,4.0404,500,500,-0.223923,-5.251,4.0404,"Aug 12, 13",-0.030358299935203642
2013-09-05,3.5828,3.5828,3.5828,3.5828,400,400,-0.457582,-11.325,3.5828,"Sep 5, 13",-0.14017615013559237
2013-09-06,3.5828,3.5828,3.5828,3.5828,100,100,0,0,3.5828,"Sep 6, 13",-0.14017615013559237
2013-09-09,3.6217,3.6217,3.5049,3.5049,1900,1900,-0.077887,-2.174,3.5295,"Sep 9, 13",-0.15887110321821976
2013-09-10,3.5049,3.5049,3.2128,3.2128,2200,2200,-0.292073,-8.333,3.4429,"Sep 10, 13",-0.2289711776140536
2013-09-11,3.8846,3.8846,3.8846,3.8846,1200,1200,0.671769,20.909,3.8846,"Sep 11, 13",-0.06774820610045842
2013-09-13,4.2545,4.2545,4.2545,4.2545,500,500,0.36996,9.524,4.2545,"Sep 13, 13",0.0210228227219276
2013-09-17,4.0209,4.313,4.0209,4.1377,5750,5750,-0.116829,-2.746,4.0945,"Sep 17, 13",-0.007007607573975938
2013-09-18,4.3422,4.3422,4.1864,4.2837,2600,2600,0.146037,3.529,4.2751,"Sep 18, 13",0.028030430295903325
2013-09-19,4.3908,4.3908,4.3811,4.3811,3000,3000,0.097358,2.273,4.3844,"Sep 19, 13",0.051405121313206445
2013-09-20,4.3616,4.3616,4.2837,4.2837,2000,2000,-0.097358,-2.222,4.3227,"Sep 20, 13",0.028030430295903325
2013-09-23,4.274,4.274,4.274,4.274,2000,2000,-0.009736,-0.227,4.274,"Sep 23, 13",0.025702560656603222
2013-09-24,4.6342,4.6342,4.3811,4.5758,1628,1628,0.301809,7.061,4.4792,"Sep 24, 13",0.09813050469173727
2013-09-25,4.5758,4.6245,4.533,4.6245,4400,4400,0.048679,1.064,4.6117,"Sep 25, 13",0.10981785020038883
2013-09-26,4.605,4.605,4.5953,4.5953,2300,2300,-0.029207,-0.632,4.6029,"Sep 26, 13",0.10281024262641289
2013-09-27,4.6148,4.6148,4.4298,4.605,10741,10741,0.009736,0.212,4.4881,"Sep 27, 13",0.10513811226571321
2013-09-30,4.8679,4.8971,4.8679,4.8971,2400,2400,0.292073,6.342,4.8788,"Sep 30, 13",0.17523818666154695
2013-10-01,5.8415,6.1433,5.5981,6.1433,45133,45133,1.2462,25.447,5.9688,"Oct 1, 13",0.4743094386714344
2013-10-02,6.7956,6.7956,6.5911,6.6398,29069,29069,0.496526,8.082,6.6757,"Oct 2, 13",0.5934627660850993
2013-10-03,6.3672,6.3964,6.0946,6.338,17475,17475,-0.30181,-4.545,6.2515,"Oct 3, 13",0.5210348220499652
2013-10-04,6.2991,6.4256,6.2991,6.3283,6562,6562,-0.009735,-0.154,6.3607,"Oct 4, 13",0.5187069524106649
2013-10-07,6.2406,6.4943,6.2406,6.2796,6004,6004,-0.048679,-0.769,6.3494,"Oct 7, 13",0.5070196069020135
2013-10-08,6.1433,6.1433,5.9291,5.9291,30226,30226,-0.350489,-5.581,5.9907,"Oct 8, 13",0.4229043173582279
2013-10-09,5.8902,5.8902,5.6954,5.7052,37320,37320,-0.223923,-3.777,5.8117,"Oct 9, 13",0.36917132640572115
2013-10-10,6.0362,6.0362,5.8512,6.0265,6300,6300,0.321281,5.631,6.0218,"Oct 10, 13",0.446279008375531
2013-10-11,6.0849,6.0849,6.0265,6.0751,8513,8513,0.048679,0.808,6.0822,"Oct 11, 13",0.4579423552281072
2013-10-14,6.0751,6.1043,5.8902,5.9096,5200,5200,-0.165508,-2.724,6.0637,"Oct 14, 13",0.4182245794235523
2013-10-15,6.0946,6.4256,6.0946,6.3283,8775,8775,0.418639,7.084,6.3869,"Oct 15, 13",0.5187069524106649
2013-10-16,6.3283,6.5425,6.2796,6.4743,8468,8468,0.146036,2.308,6.4418,"Oct 16, 13",0.5537449902805444
2013-10-17,6.523,6.6982,6.4743,6.669,18004,18004,0.194716,3.008,6.6269,"Oct 17, 13",0.600470373659075
2013-10-18,6.7469,6.8151,6.6106,6.7761,24960,24960,0.107094,1.606,6.7706,"Oct 18, 13",0.6261729343156782
2013-10-21,6.8151,6.8151,6.5911,6.5911,12818,12818,-0.18498,-2.73,6.7303,"Oct 21, 13",0.5817754205764477
2013-10-22,6.5035,6.7372,6.3088,6.7372,36878,36878,0.146037,2.216,6.5031,"Oct 22, 13",0.6168374571024021
2013-10-23,6.1335,6.2309,5.784,6.1628,137877,137877,-0.574412,-8.526,6.0063,"Oct 23, 13",0.47898917660611
2013-10-24,6.1335,6.1335,5.9388,6.0362,41616,41616,-0.126565,-2.054,6.0511,"Oct 24, 13",0.4486068780148312
2013-10-25,6.1141,6.192,6.0557,6.1238,117122,117122,0.087622,1.452,6.1181,"Oct 25, 13",0.46962970073675875
2013-10-28,6.0946,6.0946,5.8415,5.9096,84245,84245,-0.214187,-3.498,5.9308,"Oct 28, 13",0.4182245794235523
2013-10-29,5.8317,5.8317,5.7344,5.7344,32818,32818,-0.175245,-2.965,5.776,"Oct 29, 13",0.3761789339796971
2013-10-30,5.7636,5.7636,5.4131,5.4131,30100,30100,-0.321281,-5.603,5.5572,"Oct 30, 13",0.29907125200988743
2013-10-31,5.5689,5.7246,5.452,5.5299,35350,35350,0.11683,2.158,5.5455,"Oct 31, 13",0.3271016823057908
2013-11-01,5.4034,5.6176,5.4034,5.4326,6994,6994,-0.097358,-1.761,5.4935,"Nov 1, 13",0.30375098994456307
2013-11-04,5.7246,5.7246,5.6468,5.6468,7294,7294,0.214187,3.943,5.6701,"Nov 4, 13",0.3551561112577695
2013-11-05,5.7344,5.7831,5.7344,5.7831,7800,7800,0.136301,2.414,5.7625,"Nov 5, 13",0.3878662794883487
2013-11-06,5.8902,6.0654,5.8415,5.8512,21360,21360,0.068151,1.178,5.9448,"Nov 6, 13",0.40420936427560067
2013-11-07,5.8512,5.8512,5.7539,5.7539,1214,1214,-0.097358,-1.664,5.834,"Nov 7, 13",0.3808586719143727
2013-11-08,5.9096,5.9096,5.8415,5.8999,6520,6520,0.146037,2.538,5.8895,"Nov 8, 13",0.41589670978425197
2013-11-11,6.1725,6.2504,6.1043,6.2504,10667,10667,0.350488,5.941,6.1701,"Nov 11, 13",0.5000119993280376
2013-11-12,6.39,6.39,6.358,6.38,8275,8275,0.129623,2.074,6.3715,"Nov 12, 13",0.5311142576015743
2013-11-13,6.25,6.48,6.25,6.42,9800,9800,0.04,0.627,6.3991,"Nov 13, 13",0.5407137200316782
