date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,13.5346,13.7782,13.5346,13.6798,447580,111895,0.103317,0.761,13.7036,"Aug 5, 13",0
2013-08-06,13.5617,13.6699,13.5086,13.574,463008,115752,-0.105778,-0.773,13.5893,"Aug 6, 13",-0.0077340311992865635
2013-08-07,13.5026,13.5961,13.4244,13.5395,494412,123603,-0.034439,-0.254,13.531,"Aug 7, 13",-0.010255997894706053
2013-08-08,13.6281,13.6281,13.5174,13.5469,514004,128501,0.007381,0.055,13.56,"Aug 8, 13",-0.009715054313659509
2013-08-09,13.5002,13.6429,13.4237,13.5076,238324,59581,-0.03936,-0.291,13.5358,"Aug 9, 13",-0.012587903331920067
2013-08-12,13.4436,13.7782,13.4436,13.6896,201112,50278,0.182036,1.348,13.6845,"Aug 12, 13",0.0007163847424670136
2013-08-13,13.7142,13.879,13.5964,13.8421,596808,149202,0.152517,1.114,13.7539,"Aug 13, 13",0.01186420854106055
2013-08-14,13.8667,14.2431,13.7363,14.1201,1003268,250817,0.277974,2.008,14.0823,"Aug 14, 13",0.03218614307226718
2013-08-15,13.8987,14.0586,13.8249,13.8618,801656,200414,-0.258294,-1.829,13.9226,"Aug 15, 13",0.01330428807438708
2013-08-16,13.7855,13.9504,13.6724,13.7536,742556,185639,-0.108238,-0.781,13.807,"Aug 16, 13",0.005394815713680047
2013-08-19,13.7068,13.7828,13.4411,13.4559,363092,90773,-0.297654,-2.164,13.5548,"Aug 19, 13",-0.016367198350853113
2013-08-20,13.4461,13.7929,13.4092,13.7486,1008644,252161,0.292734,2.176,13.6456,"Aug 20, 13",0.005029313294053972
2013-08-21,13.6773,13.8987,13.5469,13.7314,665592,166398,-0.01722,-0.125,13.7278,"Aug 21, 13",0.003771984970540544
2013-08-22,13.8028,14.0635,13.8028,14.0192,663868,165967,0.287814,2.096,14.0047,"Aug 22, 13",0.024810304244214057
2013-08-23,14.0217,14.0881,13.9036,13.975,410232,102558,-0.04428,-0.316,13.9957,"Aug 23, 13",0.021579262854720057
2013-08-26,13.9725,14.1226,13.8987,13.975,424316,106079,0,0,14.0301,"Aug 26, 13",0.021579262854720057
2013-08-27,13.8077,13.847,13.4092,13.4215,558304,139576,-0.553486,-3.961,13.5209,"Aug 27, 13",-0.0188818549978801
2013-08-28,13.3895,13.8298,13.3182,13.7363,405844,101461,0.314873,2.346,13.7064,"Aug 28, 13",0.0041301773417739855
2013-08-29,13.7216,14.1447,13.6527,14.098,794296,198574,0.361611,2.633,14.0484,"Aug 29, 13",0.03057062237752018
2013-08-30,14.1176,14.1693,13.9873,14.0168,827672,206918,-0.081179,-0.576,14.0643,"Aug 30, 13",0.024634863082793588
2013-09-03,14.1988,14.3809,14.1447,14.2603,1149712,287428,0.243536,1.737,14.226,"Sep 3, 13",0.04243483091858073
2013-09-04,14.3194,15.1287,14.3194,14.676,1806220,451555,0.415732,2.915,14.7871,"Sep 4, 13",0.07282270208628781
2013-09-05,14.7006,14.7351,14.5038,14.6391,881792,220448,-0.0369,-0.251,14.6336,"Sep 5, 13",0.07012529422944772
2013-09-06,14.7695,14.9171,14.5949,14.8532,1483432,370858,0.214015,1.462,14.7943,"Sep 6, 13",0.08577610783783382
2013-09-09,14.8532,15.2197,14.7129,15.0918,981000,245250,0.238615,1.606,15.001,"Sep 9, 13",0.10321788330238739
2013-09-10,15.1533,15.8667,15.1459,15.8494,1526380,381595,0.757664,5.02,15.5426,"Sep 10, 13",0.15859880992412162
2013-09-11,15.7437,16.0389,15.4386,15.6453,2590316,647579,-0.204176,-1.288,15.6806,"Sep 11, 13",0.1436790011549877
2013-09-12,15.2197,15.5862,15.1754,15.2222,1255372,313843,-0.423111,-2.704,15.3664,"Sep 12, 13",0.11275018640623406
2013-09-13,15.2517,15.3673,15.0647,15.1656,1026184,256546,-0.056578,-0.372,15.1776,"Sep 13, 13",0.10861269901606743
2013-09-16,15.3156,15.3304,15.0327,15.0893,739904,184976,-0.076258,-0.503,15.1303,"Sep 16, 13",0.10303513209257442
2013-09-17,15.0893,15.5066,14.8187,15.3451,923538,461769,0.255834,1.695,15.2097,"Sep 17, 13",0.12173423588064154
2013-09-18,15.3353,15.7437,15.2074,15.7289,811200,405600,0.383751,2.501,15.5082,"Sep 18, 13",0.1497902016111346
2013-09-19,15.7486,15.8322,15.5026,15.6354,550518,275259,-0.093478,-0.594,15.639,"Sep 19, 13",0.14295530636412815
2013-09-20,15.6502,15.7486,15.3796,15.4288,1730054,865027,-0.206635,-1.322,15.4894,"Sep 20, 13",0.1278527463851811
2013-09-23,15.3894,15.8716,15.3894,15.7338,1024162,512081,0.305033,1.977,15.6873,"Sep 23, 13",0.15014839398236818
