date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,37.7073,38.2772,37.7073,38.2346,33489,33489,0.365758,0.966,38.0351,"Aug 5, 13",0
2013-08-06,38.2091,38.2091,37.6477,37.7413,22712,22712,-0.493351,-1.29,37.8531,"Aug 6, 13",-0.012901926527281516
2013-08-07,38.2176,38.2176,37.0525,37.6477,21793,21793,-0.093565,-0.248,37.5116,"Aug 7, 13",-0.015349970968703738
2013-08-08,37.9625,38.1921,37.6732,38.1326,25862,25862,0.484844,1.288,37.9781,"Aug 8, 13",-0.0026677407374473346
2013-08-09,37.9029,37.9539,37.4776,37.5797,15748,15748,-0.552892,-1.45,37.7529,"Aug 9, 13",-0.017128464793668505
2013-08-12,37.5201,38.2772,37.367,38.0305,16993,16993,0.450819,1.2,37.9128,"Aug 12, 13",-0.005338096906989921
2013-08-13,38.1496,38.2772,37.7498,38.022,14644,14644,-0.008503,-0.022,37.9641,"Aug 13, 13",-0.005560408635110656
2013-08-14,37.9454,38.7025,37.5201,37.9454,19415,19415,-0.076555,-0.201,38.047,"Aug 14, 13",-0.007563829620291594
2013-08-15,37.6307,38.0815,37.3755,37.6562,42474,42474,-0.289206,-0.762,37.6383,"Aug 15, 13",-0.015127659240583189
2013-08-16,37.3415,38.0135,37.2139,37.6222,28901,28901,-0.034026,-0.09,37.5909,"Aug 16, 13",-0.01601690615306557
2013-08-19,37.4861,37.8434,37.1714,37.2905,21325,21325,-0.331735,-0.882,37.4361,"Aug 19, 13",-0.0246922944139601
2013-08-20,37.2479,37.8519,37.0587,37.8264,15620,15620,0.535879,1.437,37.6535,"Aug 20, 13",-0.010676193813980028
2013-08-21,37.5116,38.2006,37.3925,37.6137,43869,43869,-0.21265,-0.562,37.8386,"Aug 21, 13",-0.01623921788118612
2013-08-22,37.8264,38.0645,37.3139,37.6818,28229,28229,0.068047,0.181,37.7757,"Aug 22, 13",-0.014458108624125733
2013-08-23,37.4776,37.7328,37.265,37.367,23706,23706,-0.314721,-0.835,37.449,"Aug 23, 13",-0.022691488860874784
2013-08-26,37.5116,37.6647,36.9758,37.0778,14054,14054,-0.289206,-0.774,37.2869,"Aug 26, 13",-0.030255318481166193
2013-08-27,36.5164,36.661,35.5042,35.6488,26316,26316,-1.429,-3.854,36.0388,"Aug 27, 13",-0.06762984312638289
2013-08-28,35.7594,36.0571,35.5808,35.7849,18575,18575,0.136098,0.382,35.8257,"Aug 28, 13",-0.06407024004435773
2013-08-29,35.6019,36.1337,35.5382,35.7339,17044,17044,-0.051038,-0.143,35.7925,"Aug 29, 13",-0.06540411041308139
2013-08-30,35.4787,35.6743,34.6281,34.7472,35417,35417,-0.986699,-2.761,34.9337,"Aug 30, 13",-0.09121057889974005
2013-09-03,35.4447,35.7254,34.0752,34.6961,11836,11836,-0.051035,-0.147,34.6459,"Sep 3, 13",-0.09254706470055915
2013-09-04,34.6366,34.9853,34.1688,34.3644,15395,15395,-0.331738,-0.956,34.4663,"Sep 4, 13",-0.10122245296145368
2013-09-05,34.5345,35.0704,34.4495,34.8067,14017,14017,0.442316,1.287,34.821,"Sep 5, 13",-0.08965439680289583
2013-09-06,34.8577,35.1555,34.4116,34.7642,22158,22158,-0.04253,-0.122,34.7447,"Sep 6, 13",-0.09076595544349876
2013-09-09,34.9258,35.215,34.6961,35.1555,13405,13405,0.391276,1.126,34.9969,"Sep 9, 13",-0.0805317696536644
2013-09-10,35.4106,35.4957,35.0449,35.4021,15155,15155,0.246675,0.702,35.2954,"Sep 10, 13",-0.07408211410607154
2013-09-11,35.3001,35.4447,35.215,35.3001,20932,20932,-0.102072,-0.288,35.2941,"Sep 11, 13",-0.07674985484351869
2013-09-12,35.4447,35.5552,35.2405,35.3511,12334,12334,0.051036,0.145,35.3935,"Sep 12, 13",-0.07541598447479503
2013-09-13,35.5297,35.5297,34.1313,35.4702,7097,7097,0.119083,0.337,35.3814,"Sep 13, 13",-0.07230100484901116
2013-09-16,35.7254,35.7934,35.181,35.5637,19477,19477,0.093567,0.264,35.4848,"Sep 16, 13",-0.06985557583968456
2013-09-17,35.5127,36.1932,35.0959,36.1422,28513,28513,0.578413,1.626,35.8362,"Sep 17, 13",-0.05472530116700575
2013-09-18,36.4058,36.9928,36.0316,36.2442,26374,26374,0.102071,0.282,36.3021,"Sep 18, 13",-0.05205756042955859
2013-09-19,36.2102,36.4824,35.8955,36.0656,20034,20034,-0.178625,-0.493,36.0586,"Sep 19, 13",-0.05672872215218668
2013-09-20,36.0741,36.9587,35.8274,36.8141,151938,151938,0.74853,2.075,36.6848,"Sep 20, 13",-0.03715221291709595
2013-09-23,36.6525,37.5031,35.9465,37.299,30782,30782,0.484844,1.317,36.9875,"Sep 23, 13",-0.02446998268583955
2013-09-24,37.4351,38.1071,36.9587,37.6818,23389,23389,0.38277,1.026,37.7074,"Sep 24, 13",-0.014458108624125733
2013-09-25,37.8349,37.8349,36.4144,37.0013,31628,31628,-0.680481,-1.806,37.0553,"Sep 25, 13",-0.032256124034251696
2013-09-26,37.0013,37.2394,36.3208,36.7376,14193,14193,-0.263688,-0.713,36.697,"Sep 26, 13",-0.039153018470181454
2013-09-27,36.4229,37.4095,36.1932,37.0098,8827,8827,0.272194,0.741,37.0218,"Sep 27, 13",-0.03203381230613114
2013-09-30,36.576,36.9758,36.4994,36.7801,66809,66809,-0.229661,-0.621,36.7549,"Sep 30, 13",-0.038041459829578524
2013-10-01,36.8822,37.9284,36.6865,37.6647,26114,26114,0.884627,2.405,37.474,"Oct 1, 13",-0.014905347512462454
2013-10-02,37.299,37.299,36.6951,36.8397,26332,26332,-0.825085,-2.191,36.8573,"Oct 2, 13",-0.03648266230063868
2013-10-03,36.7376,36.7376,35.4532,36.2187,42967,42967,-0.620943,-1.686,36.0787,"Oct 3, 13",-0.05272449561392043
2013-10-04,36.1337,36.3548,36.0911,36.1932,20190,20190,-0.025516,-0.07,36.2024,"Oct 4, 13",-0.05339143079828226
2013-10-07,35.9976,36.0741,35.6913,35.7594,18294,18294,-0.433811,-1.199,35.9011,"Oct 7, 13",-0.06473717522871957
2013-10-08,35.7254,35.8019,35.3596,35.6148,33095,33095,-0.144603,-0.404,35.6107,"Oct 8, 13",-0.06851909003886526
2013-10-09,35.6658,36.5326,35.6233,35.9125,24704,24704,0.297713,0.836,35.9332,"Oct 9, 13",-0.06073294869045312
2013-10-10,36.4274,37.1311,36.2815,37.1225,22075,22075,1.21,3.369,36.8566,"Oct 10, 13",-0.029086220334461406
2013-10-11,36.8736,38.3067,35.3805,38.3067,24195,24195,1.1842,3.19,37.5904,"Oct 11, 13",0.0018857265408817915
2013-10-14,38.0235,39.0018,38.0235,38.71,21975,21975,0.403319,1.053,38.7027,"Oct 14, 13",0.01243376418218055
2013-10-15,38.6843,39.182,38.2466,38.4783,23135,23135,-0.231691,-0.599,38.5381,"Oct 15, 13",0.0063738080168223785
2013-10-16,39.079,39.6538,37.9291,38.7186,26983,26983,0.240274,0.624,38.717,"Oct 16, 13",0.012658691342396724
2013-10-17,38.6757,39.1305,38.238,38.9331,42648,42648,0.214529,0.554,38.8537,"Oct 17, 13",0.018268793187322552
2013-10-18,39.4137,39.4222,38.7958,39.4051,35358,35358,0.471969,1.212,39.3197,"Oct 18, 13",0.030613632678254694
2013-10-21,39.3278,39.3278,38.6422,38.7872,31883,31883,-0.617847,-1.568,38.9148,"Oct 21, 13",0.014452877759934672
2013-10-22,38.8559,39.0447,38.607,38.8044,21393,21393,0.017161,0.044,38.8894,"Oct 22, 13",0.014902732080367017
2013-10-23,38.5212,39.4737,38.5212,39.2077,33474,33474,0.403317,1.039,39.1685,"Oct 23, 13",0.025450769721665777
2013-10-24,39.4737,40.0401,39.1476,39.9886,24850,24850,0.780895,1.992,39.7802,"Oct 24, 13",0.045874678955710214
2013-10-25,40.1087,40.3748,39.225,40.0315,32234,32234,0.042908,0.107,40.0122,"Oct 25, 13",0.046996699324695454
2013-10-28,39.9028,40.0744,39.7741,40.0744,43698,43698,0.042906,0.107,39.9863,"Oct 28, 13",0.048118719693680506
2013-10-29,40.1173,40.1516,39.5252,40.1431,18287,18287,0.068646,0.171,39.9047,"Oct 29, 13",0.04991552154331408
2013-10-30,40.0315,40.246,39.6368,39.98,19825,19825,-0.16304,-0.406,39.9781,"Oct 30, 13",0.04564975179549404
2013-10-31,39.9028,39.9028,39.0447,39.0447,36612,36612,-0.935355,-2.34,39.2781,"Oct 31, 13",0.021187615405941176
