date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,1.7344,1.7344,1.697,1.7032,54846,54846,-0.0312,-1.799,1.7151,"Aug 5, 13",0
2013-08-06,1.6908,1.7101,1.6596,1.7095,175313,175313,0.00624,0.366,1.6923,"Aug 6, 13",0.003698919680601205
2013-08-07,1.7095,1.7157,1.6914,1.7032,31789,31789,-0.00624,-0.365,1.7054,"Aug 7, 13",0
2013-08-08,1.6908,1.7157,1.6908,1.7032,29588,29588,0,0,1.7036,"Aug 8, 13",0
2013-08-09,1.6908,1.7095,1.6908,1.697,49332,49332,-0.006233,-0.366,1.6962,"Aug 9, 13",-0.0036402066697980174
2013-08-12,1.6783,1.7095,1.6783,1.7032,54295,54295,0.006233,0.367,1.6928,"Aug 12, 13",0
2013-08-13,1.7017,1.7142,1.6954,1.7142,49858,49858,0.010992,0.645,1.7055,"Aug 13, 13",0.006458431188351279
2013-08-14,1.7017,1.7142,1.6891,1.7017,69412,69412,-0.012561,-0.733,1.7024,"Aug 14, 13",-0.0008806951620479431
2013-08-15,1.6891,1.7017,1.6828,1.6828,63923,63923,-0.018834,-1.107,1.6889,"Aug 15, 13",-0.011977454203851557
2013-08-16,1.6766,1.6828,1.6703,1.6766,79871,79871,-0.00628,-0.373,1.6763,"Aug 16, 13",-0.015617660873649575
2013-08-19,1.6766,1.6828,1.6577,1.664,73236,73236,-0.012558,-0.749,1.6738,"Aug 19, 13",-0.023015500234852115
2013-08-20,1.6577,1.6828,1.6577,1.6766,41467,41467,0.012558,0.755,1.6754,"Aug 20, 13",-0.015617660873649575
2013-08-21,1.664,1.6703,1.6577,1.6703,70198,70198,-0.006282,-0.375,1.6665,"Aug 21, 13",-0.01931658055425091
2013-08-22,1.6703,1.6828,1.6643,1.6703,44595,44595,0,0,1.6723,"Aug 22, 13",-0.01931658055425091
2013-08-23,1.6766,1.6766,1.664,1.6703,21486,21486,0,0,1.6714,"Aug 23, 13",-0.01931658055425091
2013-08-26,1.6703,1.7268,1.664,1.708,215524,215524,0.037678,2.256,1.6961,"Aug 26, 13",0.0028182245185532618
2013-08-27,1.6954,1.7142,1.6828,1.6891,144384,144384,-0.018837,-1.103,1.7047,"Aug 27, 13",-0.008278534523250353
2013-08-28,1.6891,1.6954,1.6828,1.6891,45630,45630,0,0,1.6877,"Aug 28, 13",-0.008278534523250353
2013-08-29,1.6891,1.6891,1.6766,1.6891,38274,38274,0,0,1.6859,"Aug 29, 13",-0.008278534523250353
2013-08-30,1.708,1.708,1.6891,1.6954,23009,23009,0.006278,0.372,1.6947,"Aug 30, 13",-0.0045796148426491485
2013-09-03,1.7017,1.7111,1.6954,1.708,44737,44737,0.012559,0.741,1.7014,"Sep 3, 13",0.0028182245185532618
2013-09-04,1.7017,1.708,1.7017,1.7018,25912,25912,-0.006155,-0.36,1.7062,"Sep 4, 13",-0.0008219821512447556
2013-09-05,1.7017,1.7017,1.6954,1.6954,49580,49580,-0.006404,-0.376,1.6979,"Sep 5, 13",-0.0045796148426491485
2013-09-06,1.6954,1.7017,1.6954,1.6954,42372,42372,0,0,1.6979,"Sep 6, 13",-0.0045796148426491485
2013-09-09,1.7017,1.7206,1.6954,1.7143,96627,96627,0.018897,1.115,1.7095,"Sep 9, 13",0.006517144199154466
2013-09-10,1.7142,1.7331,1.7142,1.7331,108440,108440,0.018777,1.095,1.7254,"Sep 10, 13",0.017555190230155025
2013-09-11,1.7268,1.7268,1.7142,1.7205,79135,79135,-0.012558,-0.725,1.7186,"Sep 11, 13",0.010157350868952484
2013-09-12,1.708,1.7268,1.708,1.7268,77575,77575,0.006284,0.365,1.7191,"Sep 12, 13",0.01385627054955369
2013-09-13,1.7205,1.7331,1.7142,1.7268,65821,65821,0,0,1.7229,"Sep 13, 13",0.01385627054955369
2013-09-16,1.7268,1.7517,1.7268,1.7456,157599,157599,0.018835,1.091,1.7424,"Sep 16, 13",0.024894316580554247
2013-09-17,1.7377,1.7447,1.7377,1.7441,48368,48368,-0.001581,-0.091,1.7405,"Sep 17, 13",0.0240136214185063
2013-09-18,1.7441,1.7693,1.7377,1.7693,53587,53587,0.025279,1.449,1.7448,"Sep 18, 13",0.03880930014091125
2013-09-19,1.7693,1.7883,1.7693,1.7882,144013,144013,0.018892,1.068,1.7798,"Sep 19, 13",0.04990605918271487
2013-09-20,1.7756,1.782,1.763,1.763,45958,45958,-0.025214,-1.41,1.7737,"Sep 20, 13",0.03511038046030992
2013-09-23,1.7693,1.7756,1.763,1.7693,38488,38488,0.006322,0.359,1.7692,"Sep 23, 13",0.03880930014091125
2013-09-24,1.763,1.763,1.7504,1.7504,45441,45441,-0.018961,-1.072,1.7569,"Sep 24, 13",0.027712541099107507
2013-09-25,1.7504,1.7693,1.7504,1.763,42683,42683,0.012639,0.722,1.7617,"Sep 25, 13",0.03511038046030992
2013-09-26,1.7504,1.7693,1.7504,1.7693,29657,29657,0.006322,0.359,1.7611,"Sep 26, 13",0.03880930014091125
2013-09-27,1.7504,1.7756,1.7504,1.7693,36754,36754,0,0,1.7662,"Sep 27, 13",0.03880930014091125
2013-09-30,1.7567,1.7652,1.7504,1.7504,41188,41188,-0.018961,-1.072,1.7577,"Sep 30, 13",0.027712541099107507
2013-10-01,1.7441,1.763,1.7441,1.7567,90857,90857,0.006318,0.361,1.7545,"Oct 1, 13",0.03141146077970871
2013-10-02,1.7441,1.7693,1.7441,1.763,56165,56165,0.006321,0.36,1.756,"Oct 2, 13",0.03511038046030992
2013-10-03,1.7567,1.763,1.7504,1.7567,56207,56207,-0.006321,-0.359,1.7577,"Oct 3, 13",0.03141146077970871
2013-10-04,1.7504,1.7567,1.7441,1.7504,27329,27329,-0.006318,-0.36,1.7508,"Oct 4, 13",0.027712541099107507
2013-10-07,1.7567,1.7567,1.7441,1.7504,70856,70856,0,0,1.7498,"Oct 7, 13",0.027712541099107507
2013-10-08,1.7504,1.7566,1.7466,1.7516,24461,24461,0.001263,0.072,1.7516,"Oct 8, 13",0.02841709722874589
2013-10-09,1.7567,1.7567,1.7447,1.7567,32390,32390,0.005055,0.289,1.6764,"Oct 9, 13",0.03141146077970871
2013-10-10,1.7567,1.7756,1.7567,1.7693,47041,47041,0.012643,0.72,1.7693,"Oct 10, 13",0.03880930014091125
2013-10-11,1.7756,1.782,1.7567,1.763,21485,21485,-0.006322,-0.357,1.7714,"Oct 11, 13",0.03511038046030992
2013-10-14,1.7504,1.763,1.7504,1.763,63114,63114,0,0,1.7526,"Oct 14, 13",0.03511038046030992
2013-10-15,1.7547,1.7738,1.742,1.7611,98090,98090,-0.001906,-0.108,1.7552,"Oct 15, 13",0.03399483325504935
2013-10-16,1.7547,1.7675,1.7547,1.7675,63602,63602,0.006354,0.361,1.7597,"Oct 16, 13",0.03775246594645375
2013-10-17,1.7357,1.7872,1.7293,1.7802,160933,160933,0.012719,0.72,1.7568,"Oct 17, 13",0.045209018318459346
2013-10-18,1.7802,1.7802,1.7675,1.7802,89417,89417,0,0,1.7754,"Oct 18, 13",0.045209018318459346
2013-10-21,1.7802,1.7802,1.7675,1.7675,60566,60566,-0.012719,-0.714,1.7714,"Oct 21, 13",0.03775246594645375
2013-10-22,1.7802,1.7802,1.7611,1.7802,78823,78823,0.012719,0.72,1.7735,"Oct 22, 13",0.045209018318459346
2013-10-23,1.7802,1.7929,1.77,1.7929,25257,25257,0.012716,0.714,1.7829,"Oct 23, 13",0.052665570690464944
2013-10-24,1.7993,1.8056,1.7929,1.8056,33054,33054,0.012718,0.709,1.8016,"Oct 24, 13",0.06012212306247067
2013-10-25,1.8056,1.8247,1.8056,1.8183,34739,34739,0.012711,0.704,1.8167,"Oct 25, 13",0.06757867543447627
2013-10-28,1.812,1.8247,1.7732,1.7993,422251,422251,-0.01907,-1.049,1.7872,"Oct 28, 13",0.05642320338186933
2013-10-29,1.7993,1.8056,1.7993,1.7993,32934,32934,0,0,1.8007,"Oct 29, 13",0.05642320338186933
2013-10-30,1.8056,1.8056,1.7993,1.8056,26383,26383,0.006359,0.353,1.8012,"Oct 30, 13",0.06012212306247067
2013-10-31,1.812,1.812,1.7993,1.8005,36352,36352,-0.00509,-0.282,1.8064,"Oct 31, 13",0.05712775951150771
2013-11-01,1.812,1.812,1.8056,1.8056,22384,22384,0.00509,0.283,1.8104,"Nov 1, 13",0.06012212306247067
2013-11-04,1.8056,1.812,1.8056,1.812,46802,46802,0.006353,0.352,1.8085,"Nov 4, 13",0.06387975575387506
2013-11-05,1.7993,1.8056,1.7993,1.7993,85361,85361,-0.012712,-0.702,1.8037,"Nov 5, 13",0.05642320338186933
2013-11-06,1.8247,1.8247,1.8056,1.812,19455,19455,0.012712,0.707,1.818,"Nov 6, 13",0.06387975575387506
2013-11-07,1.8056,1.812,1.8056,1.812,32131,32131,0,0,1.8097,"Nov 7, 13",0.06387975575387506
2013-11-08,1.8056,1.8056,1.7929,1.8056,56788,56788,-0.006353,-0.351,1.802,"Nov 8, 13",0.06012212306247067
2013-11-11,1.8056,1.812,1.7929,1.8056,46688,46688,0,0,1.8064,"Nov 11, 13",0.06012212306247067
2013-11-12,1.8229,1.8229,1.8037,1.8101,14699,14699,0.004479,0.248,1.8106,"Nov 12, 13",0.06276420854861436
2013-11-13,1.7973,1.8101,1.7845,1.8101,40154,40154,0,0,1.7998,"Nov 13, 13",0.06276420854861436
2013-11-14,1.8037,1.8101,1.7781,1.8101,53202,53202,0,0,1.7937,"Nov 14, 13",0.06276420854861436
2013-11-15,1.7781,1.8101,1.7717,1.7941,118420,118420,-0.015998,-0.884,1.7866,"Nov 15, 13",0.05337012682010332
2013-11-18,1.8037,1.8037,1.7845,1.7909,45750,45750,-0.003199,-0.178,1.791,"Nov 18, 13",0.05149131047440106
2013-11-19,1.7909,1.7909,1.7717,1.7909,61947,61947,0,0,1.782,"Nov 19, 13",0.05149131047440106
2013-11-20,1.7909,1.7909,1.7781,1.7781,24299,24299,-0.012792,-0.714,1.7845,"Nov 20, 13",0.043976045091592274
2013-11-21,1.7781,1.7973,1.7781,1.7973,48945,48945,0.019191,1.079,1.7925,"Nov 21, 13",0.055248943165805454
