date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,28.4,28.52,28.3,28.48,792707,792707,-0.03,-0.105,28.455,"Aug 5, 13",0
2013-08-06,28.44,28.7,28.03,28.53,1082610,1082610,0.05,0.176,28.4844,"Aug 6, 13",0.0017556179775281148
2013-08-07,28.29,28.57,27.62,28.02,1097320,1097320,-0.51,-1.788,27.9879,"Aug 7, 13",-0.016151685393258456
2013-08-08,28.21,28.58,27.828,28.46,692427,692427,0.44,1.57,28.3849,"Aug 8, 13",-0.000702247191011221
2013-08-09,28.41,28.64,28.19,28.46,714108,714108,0,0,28.4678,"Aug 9, 13",-0.000702247191011221
2013-08-12,28.36,28.9,28.36,28.75,831737,831737,0.29,1.019,28.7315,"Aug 12, 13",0.00948033707865167
2013-08-13,28.73,28.91,28.36,28.68,678297,678297,-0.07,-0.243,28.6716,"Aug 13, 13",0.007022471910112334
2013-08-14,28.77,28.81,28.46,28.47,344888,344888,-0.21,-0.732,28.5517,"Aug 14, 13",-0.0003511235955056729
2013-08-15,28.1,28.145,27.81,28,822297,822297,-0.47,-1.651,28.0254,"Aug 15, 13",-0.016853932584269676
2013-08-16,27.99,28.26,27.75,27.75,804599,804599,-0.25,-0.893,27.9128,"Aug 16, 13",-0.025632022471910126
2013-08-19,27.71,27.85,27.285,27.3,823293,823293,-0.45,-1.622,27.5355,"Aug 19, 13",-0.04143258426966291
2013-08-20,27.24,27.65,27.21,27.29,873207,873207,-0.01,-0.037,27.425,"Aug 20, 13",-0.041783707865168586
2013-08-21,27.2,27.445,26.98,27.08,488528,488528,-0.21,-0.77,27.2026,"Aug 21, 13",-0.04915730337078659
2013-08-22,27.22,27.34,26.92,27.18,317030,317030,0.1,0.369,27.1656,"Aug 22, 13",-0.04564606741573036
2013-08-23,27.27,27.31,26.98,27.04,343556,343556,-0.14,-0.515,27.0632,"Aug 23, 13",-0.050561797752809036
2013-08-26,27.03,27.23,26.86,26.91,465838,465838,-0.13,-0.481,27.0573,"Aug 26, 13",-0.05512640449438203
2013-08-27,26.62,26.73,26.12,26.13,718175,718175,-0.78,-2.899,26.303,"Aug 27, 13",-0.08251404494382027
2013-08-28,26.14,26.38,26,26.01,433937,433937,-0.12,-0.459,26.0923,"Aug 28, 13",-0.0867275280898876
2013-08-29,25.95,26.15,25.91,26.01,715929,715929,0,0,26.01,"Aug 29, 13",-0.0867275280898876
2013-08-30,26.07,26.07,25.67,25.7,843947,843947,-0.31,-1.192,25.8095,"Aug 30, 13",-0.09761235955056184
2013-09-03,26.12,26.4,25.52,25.78,1296432,1296432,0.08,0.311,25.7333,"Sep 3, 13",-0.09480337078651682
2013-09-04,25.8,25.92,25.49,25.54,881384,881384,-0.24,-0.931,25.6585,"Sep 4, 13",-0.10323033707865173
2013-09-05,25.73,26.27,25.66,26.16,777048,777048,0.62,2.428,26.0833,"Sep 5, 13",-0.08146067415730338
2013-09-06,26.26,26.5,26.05,26.23,603251,603251,0.07,0.268,26.3451,"Sep 6, 13",-0.07900280898876405
2013-09-09,26.33,26.43,26.22,26.32,276942,276942,0.09,0.343,26.3487,"Sep 9, 13",-0.07584269662921349
2013-09-10,26.49,26.49,25.69,26.09,869420,869420,-0.23,-0.874,25.9744,"Sep 10, 13",-0.08391853932584271
2013-09-11,26.09,26.36,25.93,26.27,757116,757116,0.18,0.69,26.1935,"Sep 11, 13",-0.0775983146067416
2013-09-12,26.3,26.49,26.14,26.17,692305,692305,-0.1,-0.381,26.2769,"Sep 12, 13",-0.08110955056179771
2013-09-13,26.18,26.44,26.065,26.37,775517,775517,0.2,0.764,26.274,"Sep 13, 13",-0.07408707865168537
2013-09-16,26.74,27.05,26.6,26.85,809566,809566,0.48,1.82,26.9149,"Sep 16, 13",-0.0572331460674157
2013-09-17,26.88,26.95,26.58,26.68,919072,919072,-0.17,-0.633,26.6979,"Sep 17, 13",-0.06320224719101127
2013-09-18,26.71,27.46,26.66,27.46,812467,812467,0.78,2.924,27.0514,"Sep 18, 13",-0.03581460674157302
2013-09-19,27.5,28.42,27.5,28.15,1319412,1319412,0.69,2.513,28.0872,"Sep 19, 13",-0.011587078651685458
2013-09-20,28.05,28.21,27.48,27.52,1539667,1539667,-0.63,-2.238,27.6323,"Sep 20, 13",-0.03370786516853935
2013-09-23,27.44,27.46,26.73,26.89,676024,676024,-0.63,-2.289,26.9362,"Sep 23, 13",-0.055828651685393256
2013-09-24,26.81,27.21,26.62,26.72,750782,750782,-0.17,-0.632,26.8675,"Sep 24, 13",-0.06179775280898882
2013-09-25,26.8,26.8,26.49,26.55,742898,742898,-0.17,-0.636,26.6364,"Sep 25, 13",-0.06776685393258426
2013-09-26,26.57,27.16,26.55,26.85,631761,631761,0.3,1.13,26.9097,"Sep 26, 13",-0.0572331460674157
2013-09-27,26.69,26.93,26.47,26.88,676187,676187,0.03,0.112,26.7796,"Sep 27, 13",-0.05617977528089892
2013-09-30,26.58,27.13,26.486,27.05,891112,891112,0.17,0.632,26.898,"Sep 30, 13",-0.05021067415730336
2013-10-01,27.01,27.52,26.921,27.47,1083633,1083633,0.42,1.553,27.3912,"Oct 1, 13",-0.03546348314606747
2013-10-02,27.19,27.47,27.03,27.36,791665,791665,-0.11,-0.4,27.3023,"Oct 2, 13",-0.03932584269662925
2013-10-03,27.35,27.43,27.09,27.23,818165,818165,-0.13,-0.475,27.2288,"Oct 3, 13",-0.04389044943820224
2013-10-04,27.21,27.91,27.17,27.81,716008,716008,0.58,2.13,27.9117,"Oct 4, 13",-0.023525280898876465
2013-10-07,27.5,27.56,27.2,27.27,635870,635870,-0.54,-1.942,27.3078,"Oct 7, 13",-0.0424859550561798
2013-10-08,27.27,27.38,26.65,26.67,1022853,1022853,-0.6,-2.2,26.9016,"Oct 8, 13",-0.06355337078651681
2013-10-09,26.73,26.83,26.1,26.52,1368903,1368903,-0.15,-0.562,25.6617,"Oct 9, 13",-0.06882022471910115
2013-10-10,26.77,27.1,26.67,27.1,537469,537469,0.58,2.187,26.9644,"Oct 10, 13",-0.04845505617977525
2013-10-11,27,27.47,26.89,27.47,627284,627284,0.37,1.365,27.2597,"Oct 11, 13",-0.03546348314606747
2013-10-14,27.28,27.79,27.276,27.78,593139,593139,0.31,1.129,27.5868,"Oct 14, 13",-0.02457865168539323
2013-10-15,27.63,27.63,27.47,27.5,527178,527178,-0.28,-1.008,27.5224,"Oct 15, 13",-0.034410112359550576
2013-10-16,27.75,27.91,27.49,27.5,824571,824571,0,0,27.6299,"Oct 16, 13",-0.034410112359550576
2013-10-17,27.32,27.42,27.03,27.12,1295705,1295705,-0.38,-1.382,27.1199,"Oct 17, 13",-0.04775280898876402
2013-10-18,27.17,27.39,26.91,26.98,849007,849007,-0.14,-0.516,27.1025,"Oct 18, 13",-0.05266853932584269
2013-10-21,26.98,27.12,26.81,26.96,717344,717344,-0.02,-0.074,26.9484,"Oct 21, 13",-0.05337078651685392
2013-10-22,27.04,27.295,26.93,27.26,780787,780787,0.3,1.113,27.0971,"Oct 22, 13",-0.04283707865168535
2013-10-23,27.13,27.33,26.59,27,1292755,1292755,-0.26,-0.954,26.8175,"Oct 23, 13",-0.05196629213483148
2013-10-24,27.26,32.94,27.21,32.35,6427743,6427743,5.35,19.815,31.0912,"Oct 24, 13",0.13588483146067418
2013-10-25,32.35,32.5,31.56,32.11,1570439,1570439,-0.24,-0.742,32.0462,"Oct 25, 13",0.1274578651685393
2013-10-28,32.11,32.39,31.65,32,1274528,1274528,-0.11,-0.343,31.9419,"Oct 28, 13",0.12359550561797751
2013-10-29,32.2,33.235,31.97,33.21,1048722,1048722,1.21,3.781,32.7975,"Oct 29, 13",0.16608146067415733
2013-10-30,33.36,33.45,32.7,33.06,965408,965408,-0.15,-0.452,32.9849,"Oct 30, 13",0.1608146067415731
2013-10-31,32.97,33.63,32.82,33.27,1180744,1180744,0.21,0.635,33.3229,"Oct 31, 13",0.1681882022471911
2013-11-01,33.38,33.575,33,33.35,846081,846081,0.08,0.24,33.2319,"Nov 1, 13",0.17099719101123598
2013-11-04,33.43,34,33.17,33.76,870449,870449,0.41,1.229,33.6489,"Nov 4, 13",0.18539325842696622
2013-11-05,33.6,33.82,33.12,33.53,889484,889484,-0.23,-0.681,33.6007,"Nov 5, 13",0.1773174157303371
2013-11-06,33.6,33.84,32.92,33.2,1279760,1279760,-0.33,-0.984,33.2345,"Nov 6, 13",0.16573033707865176
2013-11-07,33.2,33.65,32.9,33.01,1360166,1360166,-0.19,-0.572,33.2092,"Nov 7, 13",0.15905898876404487
2013-11-08,32.99,34.26,32.99,34.26,1503845,1503845,1.25,3.787,34.0075,"Nov 8, 13",0.2029494382022471
2013-11-11,34.21,34.63,33.95,34.38,931948,931948,0.12,0.35,34.302,"Nov 11, 13",0.20716292134831468
2013-11-12,34.19,34.32,33.92,34.25,911993,911993,-0.13,-0.378,34.1674,"Nov 12, 13",0.20259831460674155
2013-11-13,34.04,34.98,33.92,34.92,1007557,1007557,0.67,1.956,34.5632,"Nov 13, 13",0.22612359550561803
2013-11-14,34.87,35.12,34.83,35.07,501961,501961,0.15,0.43,35.0151,"Nov 14, 13",0.23139044943820225
2013-11-15,35.03,35.11,34.77,35.08,403325,403325,0.01,0.029,34.9854,"Nov 15, 13",0.2317415730337078
2013-11-18,35.03,35.28,34.69,35.06,919548,919548,-0.02,-0.057,35.0441,"Nov 18, 13",0.23103932584269668
2013-11-19,34.98,35.33,34.615,34.66,728839,728839,-0.4,-1.141,34.9456,"Nov 19, 13",0.21699438202247176
2013-11-20,34.7,35.42,34.7,35.07,776404,776404,0.41,1.183,35.1625,"Nov 20, 13",0.23139044943820225
2013-11-21,35.31,35.56,34.9,34.93,671094,671094,-0.14,-0.399,35.1342,"Nov 21, 13",0.22647471910112357
2013-11-22,34.96,35.03,34.63,34.99,888386,888386,0.06,0.172,34.8814,"Nov 22, 13",0.22858146067415736
2013-11-25,35.11,35.29,35,35.24,637377,637377,0.25,0.714,35.2016,"Nov 25, 13",0.2373595505617978
2013-11-26,35.18,35.43,34.92,35.22,355823,355823,-0.02,-0.057,35.218,"Nov 26, 13",0.23665730337078647
2013-11-27,35.19,35.44,35.065,35.2,845564,845564,-0.02,-0.057,35.2485,"Nov 27, 13",0.23595505617977536
2013-11-29,35.29,35.468,34.45,35.23,168951,168951,0.03,0.085,35.2991,"Nov 29, 13",0.237008426966292
2013-12-02,35.3,35.6,35.12,35.16,626372,626372,-0.07,-0.199,35.3268,"Dec 2, 13",0.23455056179775266
