date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,48.955,49.18,48.53,48.755,2330004,1165002,-0.28,-0.571,48.8058,"Aug 5, 13",0
2013-08-06,49.05,49.22,47.57,48.515,2256150,1128075,-0.24,-0.492,48.1127,"Aug 6, 13",-0.004922572043892974
2013-08-07,48.605,49.027,47.945,48.275,3062972,1531486,-0.24,-0.495,48.3572,"Aug 7, 13",-0.009845144087785949
2013-08-08,48.25,48.965,46.11,47.75,5520782,2760391,-0.525,-1.088,47.4501,"Aug 8, 13",-0.020613270433801713
2013-08-09,48.2,48.205,47.47,47.885,2295520,1147760,0.135,0.283,47.8326,"Aug 9, 13",-0.01784432365911198
2013-08-12,47.645,47.975,47.185,47.285,2720238,1360119,-0.6,-1.253,47.4361,"Aug 12, 13",-0.03015075376884434
2013-08-13,47.25,47.25,45.86,46.13,3200264,1600132,-1.155,-2.443,46.2162,"Aug 13, 13",-0.05384063173007896
2013-08-14,45.81,46.182,45.585,45.88,2069154,1034577,-0.25,-0.542,45.8446,"Aug 14, 13",-0.05896831094246743
2013-08-15,45.42,46.22,45.055,45.79,1148580,574290,-0.09,-0.196,45.7863,"Aug 15, 13",-0.060814275458927355
2013-08-16,45.705,46.54,45.355,46.29,1437606,718803,0.5,1.092,46.1682,"Aug 16, 13",-0.050558917034150413
2013-08-19,46.39,46.785,46.02,46.11,1932760,966380,-0.18,-0.389,46.3422,"Aug 19, 13",-0.054250846067070105
2013-08-20,46,47.37,45.975,46.8,1629152,814576,0.69,1.496,46.9331,"Aug 20, 13",-0.040098451440877966
2013-08-21,47.1,47.1,45.64,45.74,1572010,786005,-1.06,-2.265,46.1264,"Aug 21, 13",-0.06183981130140499
2013-08-22,45.8,46.885,45.8,46.465,755178,377589,0.725,1.585,46.4925,"Aug 22, 13",-0.04696954158547839
2013-08-23,46.605,47.1495,46.155,46.94,857800,428900,0.475,1.022,46.8582,"Aug 23, 13",-0.037226951081940414
2013-08-26,46.975,47.255,46.87,47.05,969926,484963,0.11,0.234,47.0613,"Aug 26, 13",-0.034970772228489495
2013-08-27,46.785,47.375,46.46,46.64,1199066,599533,-0.41,-0.871,46.8723,"Aug 27, 13",-0.04338016613680652
