date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,74.1953,74.8661,74.0385,74.1953,885190,885190,-0.130671,-0.176,74.3764,"Aug 5, 13",0
2013-08-06,74.1778,74.7615,74.138,74.5612,937218,937218,0.36588,0.493,74.5523,"Aug 6, 13",0.004931579224020879
2013-08-07,74.143,75.1405,74.143,75.0229,1011696,1011696,0.461707,0.619,74.8727,"Aug 7, 13",0.011154345356107515
2013-08-08,75.4149,75.502,74.4915,75.2232,705975,705975,0.200363,0.267,74.9693,"Aug 8, 13",0.013853977273493098
2013-08-09,75.1013,75.1622,74.6134,74.9009,499710,499710,-0.322324,-0.428,74.8812,"Aug 9, 13",0.00951003635001125
2013-08-12,74.5089,75.0577,74.2911,75.0577,455848,455848,0.156805,0.209,74.7612,"Aug 12, 13",0.011623377761124947
2013-08-13,75.2668,75.4759,74.8661,75.2581,701285,701285,0.200362,0.267,75.2167,"Aug 13, 13",0.014324357472777867
2013-08-14,75.3975,75.4462,74.1517,74.4131,944805,944805,-0.845007,-1.123,74.5901,"Aug 14, 13",0.002935495914161637
2013-08-15,74.082,74.2388,73.2719,73.6116,968967,968967,-0.801451,-1.077,73.6407,"Aug 15, 13",-0.007867075138182708
2013-08-16,73.4635,73.6639,73.1455,73.2544,719469,719469,-0.357172,-0.485,73.3575,"Aug 16, 13",-0.012681396260949131
2013-08-19,73.0889,73.4766,72.8363,73.1499,559724,559724,-0.104537,-0.143,73.1626,"Aug 19, 13",-0.014089841270269151
2013-08-20,73.1499,73.8729,72.9931,73.5158,596392,596392,0.365883,0.5,73.5923,"Aug 20, 13",-0.009158262046248271
2013-08-21,73.1412,73.5245,72.568,72.8973,808977,808977,-0.618514,-0.841,73.008,"Aug 21, 13",-0.017494369589448413
2013-08-22,72.8886,73.2719,72.2352,73.0802,720361,720361,0.18294,0.251,72.8548,"Aug 22, 13",-0.015029253874571545
2013-08-23,73.0279,73.5707,72.8711,73.4287,491362,491362,0.348457,0.477,73.3424,"Aug 23, 13",-0.010332190853059383
2013-08-26,73.4374,73.5419,72.331,72.3746,889808,889808,-1.0541,-1.436,72.7136,"Aug 26, 13",-0.024539290224582986
2013-08-27,71.9913,72.2177,71.6602,72.0348,752107,752107,-0.339745,-0.469,71.9459,"Aug 27, 13",-0.029119095144840696
2013-08-28,71.9042,71.9477,71.1811,71.4076,750204,750204,-0.627224,-0.871,71.4637,"Aug 28, 13",-0.03757246078929529
2013-08-29,71.2247,72.0871,71.033,71.7909,559455,559455,0.383302,0.537,71.8212,"Aug 29, 13",-0.03240636536276569
2013-08-30,71.9564,72.2091,71.6515,72.0435,933818,933818,0.252633,0.352,71.9673,"Aug 30, 13",-0.029001837043586432
2013-09-03,72.5227,72.7056,71.878,72.061,917827,917827,0.017425,0.024,72.165,"Sep 3, 13",-0.028765973046810188
2013-09-04,71.9564,72.6272,71.7996,72.2788,738112,738112,0.217783,0.302,72.2705,"Sep 4, 13",-0.025830477132648553
2013-09-05,72.1307,72.3223,71.4076,71.7299,638677,638677,-0.54882,-0.759,71.7708,"Sep 5, 13",-0.033228519865813634
