date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,1.375,1.375,1.15,1.3,13213,33032,-0.072,-5.248,1.2447,"Aug 5, 13",0
2013-08-06,1.2748,1.4,1.2748,1.4,12110,30275,0.1,7.692,1.3173,"Aug 6, 13",0.07692307692307682
2013-08-07,1.2025,1.45,1.2025,1.4498,15560,38900,0.04975,3.554,1.4156,"Aug 7, 13",0.11523076923076918
2013-08-08,1.5,1.5248,1.4875,1.4875,1184,2960,0.03775,2.604,1.4989,"Aug 8, 13",0.14423076923076922
2013-08-09,1.2,1.4675,1.2,1.3525,2646,6615,-0.135,-9.076,1.3327,"Aug 9, 13",0.04038461538461537
2013-08-12,1.275,1.425,1.275,1.4138,3680,9200,0.06125,4.529,1.3452,"Aug 12, 13",0.08753846153846145
2013-08-13,1.4748,1.4748,1.2848,1.335,12040,30100,-0.07875,-5.57,1.3504,"Aug 13, 13",0.026923076923076862
2013-08-14,1.45,1.525,1.3275,1.4975,53262,133156,0.1625,12.172,1.462,"Aug 14, 13",0.15192307692307694
2013-08-15,1.375,1.625,1.25,1.4997,35111,87778,0.00225,0.15,1.5111,"Aug 15, 13",0.1536153846153846
2013-08-16,1.4,1.6125,1.39,1.432,7833,19582,-0.06775,-4.517,1.4947,"Aug 16, 13",0.10153846153846145
2013-08-19,1.3775,1.4748,1.225,1.225,13956,34891,-0.207,-14.455,1.2702,"Aug 19, 13",-0.057692307692307654
2013-08-20,1.3,1.375,1.25,1.25,7886,19716,0.025,2.041,1.2923,"Aug 20, 13",-0.03846153846153849
2013-08-21,1.325,2.125,1.325,1.55,279618,699044,0.3,24,1.7118,"Aug 21, 13",0.1923076923076923
2013-08-22,1.3825,1.75,1.3825,1.65,32073,80182,0.1,6.452,1.5989,"Aug 22, 13",0.2692307692307691
2013-08-23,1.773,1.8075,1.525,1.675,24717,61792,0.025,1.515,1.6425,"Aug 23, 13",0.28846153846153844
2013-08-26,1.725,1.725,1.6,1.625,18652,46630,-0.05,-2.985,1.6224,"Aug 26, 13",0.24999999999999994
2013-08-27,1.7,1.7,1.45,1.57,12488,31219,-0.055,-3.385,1.5495,"Aug 27, 13",0.2076923076923077
2013-08-28,1.6,1.6,1.425,1.425,14529,36323,-0.145,-9.236,1.4524,"Aug 28, 13",0.09615384615384615
2013-08-29,1.475,1.675,1.4498,1.675,6657,16643,0.25,17.544,1.4731,"Aug 29, 13",0.28846153846153844
