date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,13.452,13.5541,13.3964,13.5355,1227049,1227049,0.046386,0.344,13.5291,"Aug 5, 13",0
2013-08-06,13.5262,13.619,13.3592,13.3685,1075227,1075227,-0.16699,-1.234,13.4343,"Aug 6, 13",-0.012337926194082345
2013-08-07,13.35,13.3685,13.1737,13.3129,1019899,1019899,-0.055663,-0.416,13.2863,"Aug 7, 13",-0.01644564293893834
2013-08-08,13.4242,13.5077,13.2479,13.4984,1401248,1401248,0.185547,1.394,13.4259,"Aug 8, 13",-0.0027409404898231004
2013-08-09,13.4799,13.619,13.4335,13.5355,1358156,1358156,0.037106,0.275,13.5525,"Aug 9, 13",0
2013-08-12,13.4242,13.619,13.3685,13.5726,1179072,1179072,0.037109,0.274,13.5768,"Aug 12, 13",0.002740940489822969
2013-08-13,13.6376,13.7489,13.5058,13.7489,1957683,1957683,0.176269,1.299,13.6678,"Aug 13, 13",0.015765948801300285
2013-08-14,13.7582,13.8881,13.619,13.684,1771677,1771677,-0.064939,-0.472,13.7315,"Aug 14, 13",0.010971149939049057
2013-08-15,13.5262,13.5912,13.3964,13.4706,1091551,1091551,-0.213376,-1.559,13.4755,"Aug 15, 13",-0.004794798862251229
2013-08-16,13.3871,13.6097,13.3778,13.4799,1103486,1103486,0.009276,0.069,13.505,"Aug 16, 13",-0.0041077167448561255
2013-08-19,13.4984,13.5633,13.3407,13.3407,1513903,1513903,-0.13916,-1.032,13.4464,"Aug 19, 13",-0.014391784566510342
2013-08-20,13.3221,13.4056,13.1923,13.3129,1489260,1489260,-0.027832,-0.209,13.3103,"Aug 20, 13",-0.01644564293893834
2013-08-21,13.285,13.3871,13.0995,13.2386,1306055,1306055,-0.074218,-0.557,13.2363,"Aug 21, 13",-0.021934911898341458
2013-08-22,13.3036,13.5541,13.3036,13.4613,643400,643400,0.222654,1.682,13.472,"Aug 22, 13",-0.005481880979646201
2013-08-23,13.4984,13.5262,13.3082,13.4335,858902,858902,-0.027831,-0.207,13.3884,"Aug 23, 13",-0.007535739352074198
2013-08-26,13.4335,13.5448,13.3036,13.3314,1562449,1562449,-0.102051,-0.76,13.4373,"Aug 26, 13",-0.015078866683905314
2013-08-27,13.1644,13.1644,12.7933,12.849,1850851,1850851,-0.482416,-3.619,12.9036,"Aug 27, 13",-0.05071848103136201
2013-08-28,12.8119,13.0206,12.7933,12.8768,1099816,1099816,0.027833,0.217,12.9221,"Aug 28, 13",-0.048664622658934016
2013-08-29,12.8397,13.0253,12.8397,12.9418,1126953,1126953,0.064938,0.504,12.9557,"Aug 29, 13",-0.043862435816925865
2013-08-30,12.9232,12.951,12.5892,12.6078,1531292,1531292,-0.333982,-2.581,12.6635,"Aug 30, 13",-0.06853828820509043
2013-09-03,12.8212,13.0067,12.7469,12.8212,1309914,1309914,0.21338,1.692,12.8457,"Sep 3, 13",-0.05277233940379014
2013-09-04,12.849,13.3221,12.8304,13.2758,2174612,2174612,0.454588,3.546,13.2351,"Sep 4, 13",-0.01918658342876144
2013-09-05,13.3497,13.5264,13.3497,13.4892,1741791,1741791,0.213438,1.608,13.4856,"Sep 5, 13",-0.003420634627461154
2013-09-06,13.5171,13.61,13.2661,13.545,2861889,2861889,0.055778,0.414,13.5121,"Sep 6, 13",0.0007018580769088083
2013-09-09,13.5078,13.6937,13.5078,13.6565,2218699,2218699,0.111559,0.824,13.6231,"Sep 9, 13",0.008939455505891815
