date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-06-10,19.5,20.84,18.84,18.98,1573940,1573940,18.98,0,19.4709,"Jun 10, 16",0
2016-06-13,18.84,21.26,18.06,21.26,185071,185071,2.28,12.013,20.0206,"Jun 13, 16",0.12012644889357224
2016-06-14,20.88,21.8,20,21.75,175607,175607,0.49,2.305,20.6409,"Jun 14, 16",0.14594309799789248
2016-06-15,21.1,22.27,21.04,21.55,79208,79208,-0.2,-0.92,21.9063,"Jun 15, 16",0.13540569020021076
2016-06-16,21.05,21.34,20,20,94594,94594,-1.55,-7.193,20.7665,"Jun 16, 16",0.053740779768177004
2016-06-17,20.15,20.79,20.02,20.26,26383,26383,0.26,1.3,20.35,"Jun 17, 16",0.0674394099051634
2016-06-20,21.25,21.25,20.26,20.5,50720,50720,0.24,1.185,20.532,"Jun 20, 16",0.08008429926238143
2016-06-21,20.89,24.12,20.54,23.3,92462,92462,2.8,13.659,21.8476,"Jun 21, 16",0.22760800842992626
2016-06-22,23.5,24,22.59,23.12,101315,101315,-0.18,-0.773,23.453,"Jun 22, 16",0.21812434141201267
2016-06-23,23.45,23.8,22.5,22.84,68553,68553,-0.28,-1.211,22.9364,"Jun 23, 16",0.20337197049525813
2016-06-24,22.5,22.5,20.0001,20.92,87711,87711,-1.92,-8.406,21.0015,"Jun 24, 16",0.10221285563751324
2016-06-27,20.3,20.7507,19.32,19.48,67530,67530,-1.44,-6.883,19.659,"Jun 27, 16",0.026343519494204427
2016-06-28,20.05,20.46,19.5101,20.1,84676,84676,0.62,3.183,19.9422,"Jun 28, 16",0.05900948366701796
2016-06-29,19.98,20.24,19.25,19.9,37751,37751,-0.2,-0.995,19.84,"Jun 29, 16",0.048472075869336044
2016-06-30,19.96,20.06,19.62,19.83,15966,15966,-0.07,-0.352,19.9548,"Jun 30, 16",0.04478398314014741
2016-07-01,19.7,20.5185,19.7,20.34,10533,10533,0.51,2.572,20.1022,"Jul 1, 16",0.07165437302423601
2016-07-05,20.42,20.91,19.75,19.97,13014,13014,-0.37,-1.819,20.2101,"Jul 5, 16",0.05216016859852468
2016-07-06,20,20.2599,19.5201,19.75,25676,25676,-0.22,-1.102,19.7611,"Jul 6, 16",0.04056902002107479
2016-07-07,19.85,19.93,19.53,19.68,13126,13126,-0.07,-0.354,19.7228,"Jul 7, 16",0.036880927291886155
2016-07-08,19.7302,20,19.57,19.66,12701,12701,-0.02,-0.102,19.7393,"Jul 8, 16",0.035827186512118005
2016-07-11,19.97,20.742,19.82,20.045,22963,22963,0.385,1.958,20.2094,"Jul 11, 16",0.05611169652265549
2016-07-12,19.76,20.82,19.65,20.41,34892,34892,0.365,1.821,20.2153,"Jul 12, 16",0.07534246575342464
2016-07-13,20.3,20.4399,19.5,19.86,33405,33405,-0.55,-2.695,20.0611,"Jul 13, 16",0.046364594309799737
2016-07-14,19.86,20.2899,19.63,19.84,10337,10337,-0.02,-0.101,19.9376,"Jul 14, 16",0.04531085353003158
2016-07-15,19.7,20.25,19.66,20,18096,18096,0.16,0.806,19.873,"Jul 15, 16",0.053740779768177004
2016-07-18,19.97,20.299,19.69,19.7695,24156,24156,-0.2305,-1.153,19.8359,"Jul 18, 16",0.0415964172813488
