date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,1.62,1.66,1.45,1.59,2634644,2634644,-0.02,-1.242,1.5565,"Aug 5, 13",0
2013-08-06,1.6,1.6,1.45,1.47,1578130,1578130,-0.12,-7.547,1.5022,"Aug 6, 13",-0.07547169811320761
2013-08-07,1.46,1.46,1.28,1.35,2780865,2780865,-0.12,-8.163,1.3506,"Aug 7, 13",-0.1509433962264151
2013-08-08,1.39,1.39,1.27,1.294,1176788,1176788,-0.056,-4.148,1.321,"Aug 8, 13",-0.18616352201257863
2013-08-09,1.25,1.3,1.24,1.28,836430,836430,-0.014,-1.082,1.2699,"Aug 9, 13",-0.1949685534591195
2013-08-12,1.28,1.39,1.28,1.38,1942525,1942525,0.1,7.812,1.3457,"Aug 12, 13",-0.13207547169811332
2013-08-13,1.45,1.6,1.43,1.43,4810333,4810333,0.05,3.623,1.4999,"Aug 13, 13",-0.10062893081761015
2013-08-14,1.46,1.51,1.36,1.45,2272333,2272333,0.02,1.399,1.4253,"Aug 14, 13",-0.08805031446540888
2013-08-15,1.36,1.4,1.28,1.34,1344428,1344428,-0.11,-7.586,1.3357,"Aug 15, 13",-0.15723270440251572
2013-08-16,1.34,1.45,1.3,1.33,1332651,1332651,-0.01,-0.746,1.3598,"Aug 16, 13",-0.16352201257861634
2013-08-19,1.36,1.36,1.29,1.3,777743,777743,-0.03,-2.256,1.3023,"Aug 19, 13",-0.18238993710691825
2013-08-20,1.28,1.35,1.28,1.35,522854,522854,0.05,3.846,1.329,"Aug 20, 13",-0.1509433962264151
2013-08-21,1.32,1.369,1.3,1.31,421194,421194,-0.04,-2.963,1.3139,"Aug 21, 13",-0.17610062893081763
2013-08-22,1.33,1.33,1.25,1.28,1024447,1024447,-0.03,-2.29,1.2722,"Aug 22, 13",-0.1949685534591195
2013-08-23,1.27,1.32,1.22,1.27,638477,638477,-0.01,-0.781,1.2635,"Aug 23, 13",-0.20125786163522016
