date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,9.6457,9.9254,9.6457,9.9254,30273,30273,0.173621,1.78,9.8105,"Aug 5, 13",0
2013-08-06,9.9351,10.0219,9.8965,9.9929,59231,59231,0.067521,0.68,9.9587,"Aug 6, 13",0.006800733471698952
2013-08-07,9.9544,10.0508,9.8,9.9061,75570,75570,-0.08681,-0.869,9.8828,"Aug 7, 13",-0.0019445060148708796
2013-08-08,9.9736,10.0219,9.8965,9.9929,26738,26738,0.08681,0.876,9.9576,"Aug 8, 13",0.006800733471698952
2013-08-09,9.9254,9.9351,9.8338,9.8868,36750,36750,-0.106101,-1.062,9.8884,"Aug 9, 13",-0.0038890120297419384
2013-08-12,9.8097,9.9736,9.7325,9.8579,47847,47847,-0.028938,-0.293,9.8351,"Aug 12, 13",-0.006800733471698774
2013-08-13,9.8965,9.8965,9.6746,9.8,15446,15446,-0.057873,-0.587,9.7875,"Aug 13, 13",-0.012634251516311592
2013-08-14,9.8097,9.8386,9.7711,9.7807,20488,20488,-0.019294,-0.197,9.8015,"Aug 14, 13",-0.01457875753118265
2013-08-15,9.6553,9.7229,9.3949,9.4914,35290,35290,-0.28937,-2.959,9.5173,"Aug 15, 13",-0.04372619743284898
2013-08-16,9.4238,9.5299,9.3177,9.3756,34382,34382,-0.115747,-1.219,9.4159,"Aug 16, 13",-0.05539323352207462
2013-08-19,9.3563,9.3563,9.1055,9.1634,41525,41525,-0.212207,-2.263,9.1857,"Aug 19, 13",-0.07677272452495622
2013-08-20,9.1538,9.4046,9.1538,9.366,30808,30808,0.20256,2.211,9.3377,"Aug 20, 13",-0.05636044894916075
2013-08-21,9.3853,9.5975,9.1441,9.2888,37270,37270,-0.077166,-0.824,9.3013,"Aug 21, 13",-0.06413847300864445
2013-08-22,9.337,9.4046,9.067,9.3563,27762,27762,0.067519,0.727,9.3426,"Aug 22, 13",-0.057337739536945674
2013-08-23,9.366,9.4335,9.1248,9.2502,25559,25559,-0.106101,-1.134,9.2681,"Aug 23, 13",-0.06802748503838639
2013-08-26,9.2502,9.4238,9.0959,9.1152,26659,26659,-0.135042,-1.46,9.1929,"Aug 26, 13",-0.08162895198178412
2013-08-27,8.9994,9.1441,8.6618,8.7969,63749,63749,-0.318307,-3.492,8.8371,"Aug 27, 13",-0.11369818848610624
2013-08-28,8.7872,8.9705,8.6811,8.9609,45246,45246,0.163978,1.864,8.9143,"Aug 28, 13",-0.09717492494005273
2013-08-29,8.9319,9.0573,8.8644,8.8933,18171,18171,-0.067521,-0.754,8.928,"Aug 29, 13",-0.10398573357245046
2013-08-30,8.8547,8.8547,8.5557,8.8258,65870,65870,-0.06752,-0.759,8.7481,"Aug 30, 13",-0.11078646704414942
2013-09-03,8.9994,9.0284,8.7679,8.8355,38597,38597,0.009647,0.109,8.8506,"Sep 3, 13",-0.1098091764563645
2013-09-04,8.8258,9.1055,8.7776,9.0573,36384,36384,0.221848,2.511,8.9937,"Sep 4, 13",-0.08746247002639693
2013-09-05,9.0091,9.0091,8.8355,8.8644,13948,13948,-0.192914,-2.13,8.9157,"Sep 5, 13",-0.10689745501440748
2013-09-06,8.9416,9.2502,8.6908,8.9801,43887,43887,0.115753,1.306,8.9659,"Sep 6, 13",-0.09524049408588063
2013-09-09,9.0182,9.2402,9.0085,9.2209,45619,45619,0.240791,2.681,9.1211,"Sep 9, 13",-0.07097950712313857
2013-09-10,9.2789,9.6458,9.2692,9.5782,68508,68508,0.35725,3.874,9.5014,"Sep 10, 13",-0.03498095794627915
2013-09-11,9.5299,9.7134,9.3465,9.3465,103391,103391,-0.231732,-2.419,9.6046,"Sep 11, 13",-0.05832510528542921
2013-09-12,9.472,9.472,9.2692,9.2933,19628,19628,-0.053104,-0.568,9.3155,"Sep 12, 13",-0.06368509077719785
