date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,14.5,15.85,14.4701,15.75,5439277,5439277,1.64,11.623,15.3845,"Aug 5, 13",0
2013-08-06,16.09,16.4,15.02,15.37,3998401,3998401,-0.38,-2.413,15.4807,"Aug 6, 13",-0.024126984126984177
2013-08-07,14.84,15.1,13.81,14.31,4999109,4999109,-1.06,-6.897,14.3377,"Aug 7, 13",-0.0914285714285714
2013-08-08,13.7,14.21,13.14,13.17,5514537,5514537,-1.14,-7.966,13.4888,"Aug 8, 13",-0.16380952380952382
2013-08-09,13.13,13.65,13,13.23,2473544,2473544,0.06,0.456,13.2786,"Aug 9, 13",-0.15999999999999998
2013-08-12,13.15,13.43,12.8375,12.89,1894724,1894724,-0.34,-2.57,13.1059,"Aug 12, 13",-0.18158730158730155
2013-08-13,13,13.13,11.75,11.78,4372342,4372342,-1.11,-8.611,12.231,"Aug 13, 13",-0.2520634920634921
2013-08-14,11.84,12.42,11.73,12,2688873,2688873,0.22,1.868,12.0862,"Aug 14, 13",-0.23809523809523808
2013-08-15,11.75,11.82,10.5532,10.644,4475615,4475615,-1.356,-11.3,10.9868,"Aug 15, 13",-0.3241904761904762
2013-08-16,10.78,11.65,10.66,11.47,2643871,2643871,0.826,7.76,11.3432,"Aug 16, 13",-0.2717460317460317
2013-08-19,11.81,11.86,10.87,10.95,2652978,2652978,-0.52,-4.534,11.1926,"Aug 19, 13",-0.3047619047619048
2013-08-20,11.01,11.55,11.01,11.46,2009856,2009856,0.51,4.658,11.353,"Aug 20, 13",-0.27238095238095233
2013-08-21,11.5,12.87,11.32,12.51,4814519,4814519,1.05,9.162,12.3184,"Aug 21, 13",-0.20571428571428574
2013-08-22,12.76,12.97,12.28,12.66,2911114,2911114,0.15,1.199,12.6518,"Aug 22, 13",-0.1961904761904762
2013-08-23,13,13.19,12.7201,13.16,2756114,2756114,0.5,3.949,12.9904,"Aug 23, 13",-0.16444444444444445
2013-08-26,13.29,13.57,12.95,13.03,2586293,2586293,-0.13,-0.988,13.2611,"Aug 26, 13",-0.17269841269841274
2013-08-27,12.59,12.78,12.01,12.09,2658039,2658039,-0.94,-7.214,12.2124,"Aug 27, 13",-0.23238095238095238
2013-08-28,11.97,12.5,11.8801,12.32,1432016,1432016,0.23,1.902,12.2151,"Aug 28, 13",-0.21777777777777776
2013-08-29,12.2,12.8,12.04,12.09,2742170,2742170,-0.23,-1.867,12.3926,"Aug 29, 13",-0.23238095238095238
2013-08-30,12.35,12.78,12.17,12.51,2852070,2852070,0.42,3.474,12.4762,"Aug 30, 13",-0.20571428571428574
2013-09-03,12.75,13.25,12.7,13.22,2759714,2759714,0.71,5.675,13.0474,"Sep 3, 13",-0.1606349206349206
2013-09-04,13.12,13.85,12.96,13.47,2866098,2866098,0.25,1.891,13.5586,"Sep 4, 13",-0.14476190476190473
2013-09-05,13.59,14.41,13.57,14.06,3318812,3318812,0.59,4.38,14.1342,"Sep 5, 13",-0.10730158730158727
2013-09-06,14.38,14.38,13.6,13.77,2302993,2302993,-0.29,-2.063,13.896,"Sep 6, 13",-0.12571428571428575
2013-09-09,13.76,14.48,13.72,14.14,2626732,2626732,0.37,2.687,14.1755,"Sep 9, 13",-0.10222222222222219
2013-09-10,14.42,14.6,13.89,14.09,2506200,2506200,-0.05,-0.354,14.1913,"Sep 10, 13",-0.1053968253968254
2013-09-11,13.89,14.3,13.75,13.97,1508918,1508918,-0.12,-0.852,13.9952,"Sep 11, 13",-0.11301587301587297
2013-09-12,14.05,14.1886,13.65,13.68,1469169,1469169,-0.29,-2.076,13.8869,"Sep 12, 13",-0.13142857142857145
2013-09-13,13.65,14.0777,13.4,13.98,1684631,1684631,0.3,2.193,13.8447,"Sep 13, 13",-0.11238095238095236
2013-09-16,14.24,14.57,14,14.18,1925496,1925496,0.2,1.431,14.2883,"Sep 16, 13",-0.0996825396825397
2013-09-17,14.2,14.33,13.93,14.31,1171236,1171236,0.13,0.917,14.168,"Sep 17, 13",-0.0914285714285714
2013-09-18,14.35,14.88,14.12,14.61,2210904,2210904,0.3,2.096,14.572,"Sep 18, 13",-0.07238095238095242
2013-09-19,14.79,14.95,14.5,14.86,1650313,1650313,0.25,1.711,14.7804,"Sep 19, 13",-0.05650793650793654
2013-09-20,14.96,15.36,14.8,14.85,2157248,2157248,-0.01,-0.067,15.0498,"Sep 20, 13",-0.05714285714285717
2013-09-23,14.82,15.1,14.11,14.36,1947542,1947542,-0.49,-3.3,14.4337,"Sep 23, 13",-0.08825396825396829
2013-09-24,14.3,15,14.07,14.56,1867483,1867483,0.2,1.393,14.6208,"Sep 24, 13",-0.07555555555555553
2013-09-25,14.86,15.46,14.5601,15.2,3096244,3096244,0.64,4.396,15.1296,"Sep 25, 13",-0.03492063492063496
2013-09-26,15.36,15.77,15.05,15.27,2380038,2380038,0.07,0.461,15.3856,"Sep 26, 13",-0.030476190476190504
2013-09-27,15.43,16.8,15.21,16.72,4352714,4352714,1.45,9.496,16.2166,"Sep 27, 13",0.06158730158730152
2013-09-30,16.24,17.71,15.94,16.99,4836963,4836963,0.27,1.615,17.0901,"Sep 30, 13",0.07873015873015864
2013-10-01,17.24,18.19,17.22,18.18,3652664,3652664,1.19,7.004,17.7468,"Oct 1, 13",0.15428571428571428
2013-10-02,18.02,18.6927,17.88,18.56,3400897,3400897,0.38,2.09,18.3493,"Oct 2, 13",0.17841269841269833
2013-10-03,19.11,19.77,18.66,19.37,5146240,5146240,0.81,4.364,19.2811,"Oct 3, 13",0.2298412698412699
2013-10-04,19.65,19.7,18.75,19.59,3602400,3602400,0.22,1.136,19.385,"Oct 4, 13",0.2438095238095238
2013-10-07,19.16,19.9,19,19.13,2592758,2592758,-0.46,-2.348,19.3793,"Oct 7, 13",0.21460317460317455
2013-10-08,19.65,20.17,17.87,18.24,5221867,5221867,-0.89,-4.652,18.8612,"Oct 8, 13",0.15809523809523798
2013-10-09,18.45,18.5485,16.76,17.58,4194706,4194706,-0.66,-3.618,17.3842,"Oct 9, 13",0.11619047619047608
2013-10-10,18.12,19.2,18.11,19.18,3997134,3997134,1.6,9.101,18.8691,"Oct 10, 13",0.21777777777777776
2013-10-11,19.7,20.12,19.12,19.85,3884978,3884978,0.67,3.493,19.7336,"Oct 11, 13",0.2603174603174604
2013-10-14,19.48,20.65,19.33,20.57,3319783,3319783,0.72,3.627,20.1158,"Oct 14, 13",0.30603174603174604
2013-10-15,21.2,21.85,20.47,20.79,4555861,4555861,0.22,1.07,21.2282,"Oct 15, 13",0.31999999999999995
2013-10-16,21.09,22.1,21.09,22.02,3585197,3585197,1.23,5.916,21.5881,"Oct 16, 13",0.39809523809523806
2013-10-17,22.3,22.94,21.68,22.29,3940727,3940727,0.27,1.226,22.2144,"Oct 17, 13",0.4152380952380952
2013-10-18,22.69,23.48,22.32,23.13,4030845,4030845,0.84,3.769,22.9913,"Oct 18, 13",0.4685714285714285
2013-10-21,23.85,24.25,22.64,23.12,5445703,5445703,-0.01,-0.043,23.4607,"Oct 21, 13",0.467936507936508
2013-10-22,23.57,24.35,22.16,24.34,5522213,5522213,1.22,5.277,23.4408,"Oct 22, 13",0.5453968253968254
2013-10-23,24.5,24.87,23.91,24.65,5319098,5319098,0.31,1.274,24.5237,"Oct 23, 13",0.565079365079365
2013-10-24,25,25.56,24.55,24.73,3901929,3901929,0.08,0.325,25.1101,"Oct 24, 13",0.5701587301587302
2013-10-25,24.89,24.98,22.62,23.55,5902231,5902231,-1.18,-4.772,23.5743,"Oct 25, 13",0.4952380952380953
2013-10-28,23.84,24.5,21.8,22.84,6986711,6986711,-0.71,-3.015,23.0355,"Oct 28, 13",0.45015873015873015
2013-10-29,22.78,23.95,22.65,23.95,2769569,2769569,1.11,4.86,23.3272,"Oct 29, 13",0.5206349206349206
2013-10-30,24.28,24.79,23.1,23.31,3450744,3450744,-0.64,-2.672,23.7436,"Oct 30, 13",0.4799999999999999
2013-10-31,22.5,23.68,22.02,23,3157697,3157697,-0.31,-1.33,22.8992,"Oct 31, 13",0.4603174603174603
2013-11-01,23.95,25.56,23.92,25.56,5676783,5676783,2.56,11.13,25.0159,"Nov 1, 13",0.6228571428571428
2013-11-04,27.07,29,26.75,28.65,7309811,7309811,3.09,12.089,28.1111,"Nov 4, 13",0.8190476190476189
2013-11-05,28.66,29.2,27.3,28.19,4455707,4455707,-0.46,-1.606,28.1735,"Nov 5, 13",0.7898412698412699
2013-11-06,28.45,28.5,26.13,27.28,4824538,4824538,-0.91,-3.228,27.2138,"Nov 6, 13",0.7320634920634921
