date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,31.2643,31.5277,30.9622,31.1791,40251,36592,-0.178166,-0.568,31.1277,"Aug 5, 13",0
2013-08-06,31.1481,31.334,30.9219,31.0784,24750,22500,-0.100704,-0.323,31.0773,"Aug 6, 13",-0.0032297276059924693
2013-08-07,31.0784,31.1249,30.6291,30.6523,52023,47294,-0.426049,-1.371,30.7567,"Aug 7, 13",-0.01689593349391092
2013-08-08,30.8615,31.1016,30.6446,30.7608,51631,46937,0.108451,0.354,30.7579,"Aug 8, 13",-0.013416038307712493
2013-08-09,30.7608,30.7801,30.35,30.5826,39645,36041,-0.178167,-0.579,30.5628,"Aug 9, 13",-0.019131405332418156
2013-08-12,30.4199,31.0474,30.4199,30.8615,59553,54139,0.278868,0.912,30.8178,"Aug 12, 13",-0.010186310701720023
2013-08-13,30.9777,31.0087,30.5981,30.9389,42456,38596,0.077464,0.251,30.8783,"Aug 13, 13",-0.007703878559676128
2013-08-14,30.9854,31.1946,30.7298,30.908,38217,34743,-0.030985,-0.1,30.9725,"Aug 14, 13",-0.008694927050492062
2013-08-15,30.7066,30.9932,30.3192,30.4354,40669,36972,-0.472528,-1.529,30.6033,"Aug 15, 13",-0.023852516589638474
2013-08-16,30.296,30.6756,30.296,30.5516,81486,74078,0.116194,0.382,30.5429,"Aug 16, 13",-0.02012566109990339
2013-08-19,30.4432,30.4432,29.8699,29.9397,46650,42409,-0.611959,-2.003,30.0714,"Aug 19, 13",-0.039750987039394975
2013-08-20,30.0016,30.5129,29.9629,30.4897,24112,21920,0.54999,1.837,30.4195,"Aug 20, 13",-0.022110965358204667
2013-08-21,30.3425,30.6059,29.9784,30.2418,29512,26829,-0.247883,-0.813,30.2629,"Aug 21, 13",-0.030061804221417455
2013-08-22,30.389,30.7918,29.8235,30.7608,18278,16616,0.519006,1.716,30.6223,"Aug 22, 13",-0.013416038307712493
2013-08-23,30.6446,30.6988,30.3657,30.6213,27489,24990,-0.139435,-0.453,30.4272,"Aug 23, 13",-0.017890189261396152
