date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,58.0852,58.5383,57.9021,58.2046,1193947,1193947,-0.02389,-0.041,58.2659,"Aug 5, 13",0
2013-08-06,58.0215,58.2843,57.5357,57.8941,1468434,1468434,-0.310574,-0.534,57.853,"Aug 6, 13",-0.005334629908976225
2013-08-07,57.6074,58.0056,57.1535,57.3207,1108511,1108511,-0.573366,-0.99,57.3726,"Aug 7, 13",-0.015186084948612257
2013-08-08,57.687,58.2683,57.48,57.9817,1159416,1159416,0.660964,1.153,57.9949,"Aug 8, 13",-0.003829594224511512
2013-08-09,57.8542,58.2843,57.6074,58.1011,1110633,1110633,0.119451,0.206,58.0822,"Aug 9, 13",-0.0017782099696587008
2013-08-12,57.695,58.6108,57.6313,58.4037,1075751,1075751,0.30261,0.521,58.2839,"Aug 12, 13",0.003420691835353243
2013-08-13,58.6267,58.9771,57.8702,58.6665,977366,977366,0.262793,0.45,58.5632,"Aug 13, 13",0.007935798888747625
2013-08-14,58.7223,58.77,58.0294,58.571,1026940,1026940,-0.095561,-0.163,58.5164,"Aug 14, 13",0.00629503510031851
2013-08-15,57.7746,57.918,57.3844,57.7905,1758064,1758064,-0.780415,-1.332,57.6938,"Aug 15, 13",-0.007114557955900353
2013-08-16,57.7109,57.918,57.0101,57.0181,1265175,1265175,-0.772452,-1.337,57.3547,"Aug 16, 13",-0.020384986753624323
2013-08-19,57.1136,57.8144,56.827,56.9385,1928645,1928645,-0.079634,-0.14,57.1637,"Aug 19, 13",-0.02175257625685945
2013-08-20,56.9544,57.5039,56.6836,57.1296,1234398,1234398,0.191122,0.336,57.1607,"Aug 20, 13",-0.018469330602735794
2013-08-21,56.8747,57.4919,56.6765,57.0977,1527752,1527752,-0.031854,-0.056,57.0995,"Aug 21, 13",-0.019017397250389076
2013-08-22,57.2172,58.4037,57.1774,58.3161,882365,882365,1.2184,2.134,58.1322,"Aug 22, 13",0.001915656150888409
2013-08-23,57.9259,58.4873,57.7348,57.902,1417813,1417813,-0.414098,-0.71,58.0484,"Aug 23, 13",-0.005198901805011944
2013-08-26,58.4993,58.4993,57.2809,57.3366,1161036,1161036,-0.565403,-0.976,57.6607,"Aug 26, 13",-0.014912910663418391
2013-08-27,56.8747,56.9862,55.8793,56.0147,1137148,1137148,-1.3219,-2.306,56.2414,"Aug 27, 13",-0.0376241740343547
2013-08-28,56.1262,56.5801,55.9032,55.951,715462,715462,-0.063707,-0.114,56.1206,"Aug 28, 13",-0.03871858925239584
2013-08-29,55.9749,57.1853,55.6245,56.6836,775438,775438,0.732635,1.309,56.774,"Aug 29, 13",-0.02613195520628955
2013-08-30,56.9225,57.3525,56.1819,56.3571,1027086,1027086,-0.326501,-0.576,56.5859,"Aug 30, 13",-0.03174147747772507
2013-09-03,56.9862,57.6552,56.1501,56.6996,861681,861681,0.342427,0.608,56.8374,"Sep 3, 13",-0.025857062843830256
2013-09-04,56.6438,56.9526,56.1421,56.7792,852872,852872,0.079635,0.14,56.6863,"Sep 4, 13",-0.024489473340595008
2013-09-05,56.6518,57.0977,56.4288,56.596,721802,721802,-0.183159,-0.323,56.7009,"Sep 5, 13",-0.027636990890754387
2013-09-06,56.6199,57.2092,55.7519,56.8429,1042434,1042434,0.246866,0.436,56.7296,"Sep 6, 13",-0.02339505812255387
2013-09-09,57.0818,57.4481,56.7075,57.3048,756909,756909,0.461878,0.813,57.1775,"Sep 9, 13",-0.015459259233806246
2013-09-10,57.687,57.8304,56.8947,57.2251,1256723,1256723,-0.079634,-0.139,57.2097,"Sep 10, 13",-0.016828566814306802
2013-09-11,57.1375,58.0613,57.1375,57.7348,1113643,1113643,0.509659,0.891,57.7804,"Sep 11, 13",-0.008071526992711905
2013-09-12,58.0613,59.1762,57.898,58.7063,1672931,1672931,0.971537,1.683,58.7182,"Sep 12, 13",0.008619593640365188
2013-09-13,58.8178,58.8178,57.9888,58.7621,955180,955180,0.055744,0.095,58.5716,"Sep 13, 13",0.009578280754442045
2013-09-16,59.3354,59.4708,58.4834,58.6426,997138,997138,-0.119451,-0.203,58.8829,"Sep 16, 13",0.00752517842232405
2013-09-17,58.778,59.1443,58.4356,58.9293,1076085,1076085,0.286683,0.489,58.8983,"Sep 17, 13",0.012450905942142005
2013-09-18,58.9851,59.8212,58.7939,59.6858,870237,870237,0.756525,1.284,59.4548,"Sep 18, 13",0.02544816045467199
2013-09-19,60.1238,61.1033,59.9566,60.7848,1807634,1807634,1.099,1.841,60.5964,"Sep 19, 13",0.044329829601096785
2013-09-20,61.1033,61.4457,60.4742,60.5857,1488765,1488765,-0.199086,-0.328,60.8943,"Sep 20, 13",0.04090913776574366
2013-09-23,60.3707,60.514,59.2001,59.2319,1201777,1201777,-1.3538,-2.234,59.4834,"Sep 23, 13",0.01764980774715407
2013-09-24,58.563,58.6347,57.1057,57.5676,2797234,2797234,-1.6644,-2.81,57.7126,"Sep 24, 13",-0.010944152180411865
2013-09-25,57.7746,58.0852,57.0818,57.1375,1432890,1432890,-0.430024,-0.747,57.4076,"Sep 25, 13",-0.018333602498771515
2013-09-26,57.1694,57.8383,57.1694,57.3844,1513433,1513433,0.246866,0.432,57.5412,"Sep 26, 13",-0.01409166973057112
