date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,17.6391,17.6772,16.8191,16.8445,1033718,1033718,-0.673774,-3.846,17.1566,"Aug 5, 13",0
2013-08-06,16.9081,17.334,16.4632,17.2768,636135,636135,0.432237,2.566,16.8308,"Aug 6, 13",0.025664163376769952
2013-08-07,17.1687,17.3785,16.6156,16.8827,480068,480068,-0.3941,-2.281,16.839,"Aug 7, 13",0.002267802546825361
2013-08-08,16.9462,17.1179,16.603,16.8509,449032,449032,-0.031783,-0.188,16.8095,"Aug 8, 13",0.0003799459764314343
2013-08-09,16.8573,17.0035,16.6411,16.7619,423679,423679,-0.088988,-0.528,16.7608,"Aug 9, 13",-0.0049036777583187
2013-08-12,16.8763,17.0861,16.7873,16.8636,441601,441601,0.101702,0.607,16.8836,"Aug 12, 13",0.0011339012734127858
2013-08-13,16.889,16.889,16.6348,16.7492,381989,381989,-0.114416,-0.678,16.733,"Aug 13, 13",-0.0056576330553000515
2013-08-14,16.8064,16.8128,16.5649,16.7365,319750,319750,-0.012713,-0.076,16.7003,"Aug 14, 13",-0.006411588352281192
2013-08-15,16.6348,17.0035,16.6284,16.9018,410172,410172,0.165267,0.987,16.8352,"Aug 15, 13",0.0034017038202381468
2013-08-16,16.8445,17.2895,16.7873,16.978,432084,432084,0.076278,0.451,17.0521,"Aug 16, 13",0.007925435602125412
2013-08-19,16.978,16.9844,16.4187,16.4695,557997,557997,-0.508513,-2.995,16.6221,"Aug 19, 13",-0.022262459556531805
2013-08-20,16.4632,16.7238,16.2089,16.6475,387840,387840,0.177978,1.081,16.4429,"Aug 20, 13",-0.011695212087031327
2013-08-21,16.7238,17.2259,16.5331,17.1369,382920,382920,0.489445,2.94,16.8857,"Aug 21, 13",0.017358781798213107
2013-08-22,17.156,17.4103,16.9462,17.3785,293620,293620,0.241546,1.41,17.2371,"Aug 22, 13",0.031701742408501224
2013-08-23,17.3403,17.5755,17.2711,17.4738,243138,243138,0.095345,0.549,17.4469,"Aug 23, 13",0.037359375463801275
2013-08-26,17.5755,17.6391,17.2959,17.3467,263364,263364,-0.127129,-0.728,17.4887,"Aug 26, 13",0.0298138858381073
2013-08-27,17.1624,17.1941,16.7047,16.8191,518434,518434,-0.527584,-3.041,16.87,"Aug 27, 13",-0.0015079105939624921
2013-08-28,16.7492,17.2704,16.7492,16.8827,410225,410225,0.063565,0.378,16.9879,"Aug 28, 13",0.002267802546825361
2013-08-29,16.9208,17.5183,16.9208,17.4802,326824,326824,0.597507,3.539,17.3716,"Aug 29, 13",0.03773932144023271
2013-08-30,17.5374,17.6137,17.1687,17.3022,160129,160129,-0.177983,-1.018,17.387,"Aug 30, 13",0.027172073970732232
2013-09-03,17.531,17.7154,17.3213,17.4357,258389,258389,0.133487,0.772,17.5131,"Sep 3, 13",0.03509750957285765
2013-09-04,17.4357,17.5565,17.226,17.3976,242963,242963,-0.038138,-0.219,17.3994,"Sep 4, 13",0.032835643681914016
2013-09-05,17.3848,17.4802,17.3276,17.3658,119967,119967,-0.031783,-0.183,17.4243,"Sep 5, 13",0.030947787111520086
2013-09-06,17.4865,17.5882,17.2259,17.2323,201118,201118,-0.133486,-0.769,17.3827,"Sep 6, 13",0.023022351509394676
2013-09-09,17.2132,17.2831,16.781,16.8318,480335,480335,-0.400456,-2.324,16.9554,"Sep 9, 13",-0.0007539552969811406
2013-09-10,16.7174,16.9717,16.5712,16.5839,448679,448679,-0.2479,-1.473,16.7176,"Sep 10, 13",-0.015470925227819178
2013-09-11,16.5712,16.6856,16.3743,16.5458,435237,435237,-0.038139,-0.23,16.4999,"Sep 11, 13",-0.017732791118762813
2013-09-12,16.5521,16.6539,16.3678,16.406,299372,299372,-0.139841,-0.845,16.4551,"Sep 12, 13",-0.02603223604143793
2013-09-13,16.406,16.9907,16.406,16.9145,366482,366482,0.508515,3.1,16.756,"Sep 13, 13",0.004155659117219287
2013-09-16,17.0924,17.1687,16.8445,16.8954,268091,268091,-0.01907,-0.113,16.9452,"Sep 16, 13",0.0030217578438065016
2013-09-17,16.9971,16.9971,16.6602,16.6856,287786,287786,-0.209763,-1.242,16.807,"Sep 17, 13",-0.009433346196087693
2013-09-18,16.6793,16.6856,16.2788,16.3678,712206,712206,-0.317819,-1.905,16.4093,"Sep 18, 13",-0.028300038588263292
2013-09-19,16.2979,16.3996,15.7957,16.0881,785434,785434,-0.279684,-1.709,16.0864,"Sep 19, 13",-0.044904865089495045
2013-09-20,16.1072,16.1644,15.8911,15.8974,318174,318174,-0.190693,-1.185,15.9997,"Sep 20, 13",-0.05622606785597677
2013-09-23,15.7576,15.891,15.2872,15.4716,950848,950848,-0.425883,-2.679,15.4669,"Sep 23, 13",-0.08150434860043335
2013-09-24,15.5796,15.7322,15.2809,15.2999,626278,626278,-0.171622,-1.109,15.4087,"Sep 24, 13",-0.09169758674938412
2013-09-25,15.408,15.8339,15.319,15.8275,607031,607031,0.527584,3.448,15.526,"Sep 25, 13",-0.06037579031731422
2013-09-26,15.8466,16.3614,15.8402,16.2089,310702,310702,0.381385,2.41,16.1186,"Sep 26, 13",-0.03773338478435098
2013-09-27,16.2661,16.2661,15.8482,15.9546,241620,241620,-0.254257,-1.569,15.9606,"Sep 27, 13",-0.05283030069162046
2013-09-30,15.8148,15.9419,15.7322,15.8529,208822,208822,-0.101704,-0.637,15.8305,"Sep 30, 13",-0.058867879723351835
2013-10-01,15.8784,15.9524,15.6114,15.7322,308865,308865,-0.120771,-0.762,15.7599,"Oct 1, 13",-0.06603342337261417
2013-10-02,15.7004,15.9286,15.5478,15.6178,258280,258280,-0.114416,-0.727,15.7161,"Oct 2, 13",-0.0728249577013268
2013-10-03,15.5605,15.7252,15.1601,15.2427,800970,800970,-0.375029,-2.401,15.3016,"Oct 3, 13",-0.09509335391374044
2013-10-04,15.4461,15.5733,14.8041,14.9376,1187816,1187816,-0.305109,-2.002,15.0037,"Oct 4, 13",-0.11320609100893468
2013-10-07,14.9376,15.0965,14.5626,14.6261,786513,786513,-0.311466,-2.085,14.7253,"Oct 7, 13",-0.13169877408056047
