date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-01-28,1.395,1.395,1.395,1.395,1200,1200,1.395,0,1.395,"Jan 28, 15",0
2015-01-29,1.355,1.355,1.345,1.345,4000,4000,-0.05,-3.584,1.35,"Jan 29, 15",-0.03584229390681007
2015-02-11,1.455,1.455,1.455,1.455,100,100,0.11,8.178,1.455,"Feb 11, 15",0.04301075268817208
2015-02-25,1.443,1.443,1.443,1.443,1020,1020,-0.012,-0.825,1.443,"Feb 25, 15",0.03440860215053766
2015-02-27,1.403,1.403,1.393,1.393,6000,6000,-0.05,-3.465,1.3947,"Feb 27, 15",-0.0014336917562724027
2015-03-04,1.505,1.553,1.505,1.515,2200,2200,0.122,8.758,1.5314,"Mar 4, 15",0.086021505376344
2015-03-06,1.46,1.46,1.46,1.46,1750,1750,-0.055,-3.63,1.46,"Mar 6, 15",0.04659498207885301
2015-03-10,1.453,1.453,1.453,1.453,2100,2100,-0.007,-0.479,1.453,"Mar 10, 15",0.04157706093189968
2015-03-11,1.453,1.453,1.3257,1.453,2250,2250,0,0,1.354,"Mar 11, 15",0.04157706093189968
2015-03-19,1.307,1.307,1.307,1.307,2000,2000,-0.146,-10.048,1.307,"Mar 19, 15",-0.06308243727598571
2015-03-24,1.335,1.335,1.335,1.335,8400,8400,0.028,2.142,1.335,"Mar 24, 15",-0.04301075268817208
2015-04-06,1.293,1.293,1.293,1.293,1000,1000,-0.042,-3.146,1.293,"Apr 6, 15",-0.07311827956989253
2015-04-13,1.145,1.145,1.145,1.145,2000,2000,-0.148,-11.446,1.145,"Apr 13, 15",-0.17921146953405018
2015-04-20,1.079,1.079,1.079,1.079,10000,10000,-0.066,-5.764,1.079,"Apr 20, 15",-0.22652329749103947
2015-04-21,1.063,1.063,1.063,1.063,1000,1000,-0.016,-1.483,1.063,"Apr 21, 15",-0.2379928315412187
2015-05-19,0.975,0.975,0.975,0.975,1500,1500,-0.088,-8.278,0.975,"May 19, 15",-0.3010752688172043
2015-05-20,0.98,0.98,0.95,0.95,16000,16000,-0.025,-2.564,0.970156,"May 20, 15",-0.3189964157706094
2015-05-21,0.96,0.96,0.95,0.955,15500,15500,0.005,0.526,0.953161,"May 21, 15",-0.31541218637992835
2015-05-22,0.972,1,0.972,1,13000,13000,0.045,4.712,0.990462,"May 22, 15",-0.2831541218637993
2015-05-26,0.89,0.992,0.89,0.94,16000,16000,-0.06,-6,0.943063,"May 26, 15",-0.32616487455197135
2015-05-27,0.94,0.96,0.94,0.94,7320,7320,0,0,0.94224,"May 27, 15",-0.32616487455197135
2015-05-29,0.95,0.95,0.95,0.95,1000,1000,0.01,1.064,0.95,"May 29, 15",-0.3189964157706094
2015-06-01,1.15,1.15,0.935,0.935,12000,12000,-0.015,-1.579,1.0271,"Jun 1, 15",-0.3297491039426523
2015-06-03,0.895,0.895,0.895,0.895,1000,1000,-0.04,-4.278,0.895,"Jun 3, 15",-0.35842293906810035
2015-06-09,0.985,0.985,0.985,0.985,5000,5000,0.09,10.056,0.985,"Jun 9, 15",-0.2939068100358423
2015-06-10,0.935,0.935,0.935,0.935,5000,5000,-0.05,-5.076,0.935,"Jun 10, 15",-0.3297491039426523
2015-06-12,0.955,0.955,0.955,0.955,5000,5000,0.02,2.139,0.955,"Jun 12, 15",-0.31541218637992835
2015-06-15,0.944,0.944,0.944,0.944,1000,1000,-0.011,-1.152,0.944,"Jun 15, 15",-0.32329749103942657
