date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,6.04,6.04,5.94,6.01,25215,25215,-0.046,-0.76,6.0162,"Aug 5, 13",0
2013-08-06,6.02,6.03,5.95,5.975,14026,14026,-0.035,-0.582,6.0094,"Aug 6, 13",-0.005823627287853601
2013-08-07,6,6.03,5.96,6,7499,7499,0.025,0.418,5.9893,"Aug 7, 13",-0.0016638935108152725
2013-08-08,5.85,6.03,5.82,5.985,5915,5915,-0.015,-0.25,5.9026,"Aug 8, 13",-0.004159733777038181
2013-08-09,5.89,6.0164,5.87,6.0164,6187,6187,0.0314,0.525,5.9009,"Aug 9, 13",0.0010648918469218275
2013-08-12,5.75,6.02,5.67,5.8299,15337,15337,-0.1865,-3.1,5.7531,"Aug 12, 13",-0.02996672212978361
2013-08-13,5.76,5.86,5.46,5.8,11962,11962,-0.0299,-0.513,5.651,"Aug 13, 13",-0.03494176372712146
2013-08-14,5.7,5.8,5.6,5.61,5514,5514,-0.19,-3.276,5.6801,"Aug 14, 13",-0.06655574043261223
2013-08-15,5.64,5.819,5.5201,5.55,10203,10203,-0.06,-1.07,5.5954,"Aug 15, 13",-0.07653910149750416
2013-08-16,5.458,5.65,5.4,5.65,7200,7200,0.1,1.802,5.4942,"Aug 16, 13",-0.05990016638935099
2013-08-19,5.66,6,5.65,5.97,32090,32090,0.32,5.664,5.9289,"Aug 19, 13",-0.0066555740432612375
2013-08-20,5.99,6,5.88,5.9,6955,6955,-0.07,-1.173,5.9525,"Aug 20, 13",-0.018302828618968293
2013-08-21,5.9,5.9,5.65,5.75,8285,8285,-0.15,-2.542,5.798,"Aug 21, 13",-0.04326123128119797
2013-08-22,5.77,5.9,5.73,5.849,3999,3999,0.099,1.722,5.8382,"Aug 22, 13",-0.026788685524126388
2013-08-23,5.81,5.9599,5.8,5.87,8271,8271,0.021,0.359,5.854,"Aug 23, 13",-0.023294509151414258
2013-08-26,5.83,5.9398,5.73,5.79,5942,5942,-0.08,-1.363,5.8632,"Aug 26, 13",-0.03660565723793673
2013-08-27,5.66,5.8799,5.63,5.64,7804,7804,-0.15,-2.591,5.7018,"Aug 27, 13",-0.06156405990016641
2013-08-28,5.6221,5.94,5.6221,5.75,8552,8552,0.11,1.95,5.7916,"Aug 28, 13",-0.04326123128119797
2013-08-29,5.62,5.98,5.51,5.56,25126,25126,-0.19,-3.304,5.6421,"Aug 29, 13",-0.07487520798668888
2013-08-30,5.7,5.73,5.52,5.73,10400,10400,0.17,3.058,5.6202,"Aug 30, 13",-0.046589018302828515
2013-09-03,5.7,6,5.551,5.65,7498,7498,-0.08,-1.396,5.7242,"Sep 3, 13",-0.05990016638935099
2013-09-04,5.6,5.9099,5.54,5.58,41046,41046,-0.07,-1.239,5.719,"Sep 4, 13",-0.07154742096505819
2013-09-05,5.63,5.6628,5.58,5.6628,15223,15223,0.0828,1.484,5.6247,"Sep 5, 13",-0.05777038269550748
2013-09-06,5.62,5.63,5.4103,5.48,12395,12395,-0.1828,-3.228,5.5255,"Sep 6, 13",-0.08818635607321121
2013-09-09,5.45,5.549,5.32,5.35,6954,6954,-0.13,-2.372,5.4123,"Sep 9, 13",-0.10981697171381034
2013-09-10,5.36,5.53,5.351,5.38,22178,22178,0.03,0.561,5.4684,"Sep 10, 13",-0.10482529118136438
2013-09-11,5.38,5.68,5.38,5.5001,33254,33254,0.1201,2.232,5.5374,"Sep 11, 13",-0.08484193011647255
2013-09-12,5.6,5.679,5.6,5.65,4857,4857,0.1499,2.725,5.6122,"Sep 12, 13",-0.05990016638935099
2013-09-13,5.68,5.68,5.5,5.6,12437,12437,-0.05,-0.885,5.5943,"Sep 13, 13",-0.06821963394342764
2013-09-16,5.6,5.6758,5.6,5.61,1680,1680,0.01,0.179,5.6255,"Sep 16, 13",-0.06655574043261223
2013-09-17,5.6,5.669,5.6,5.6,1238,1238,-0.01,-0.178,5.614,"Sep 17, 13",-0.06821963394342764
2013-09-18,5.6001,5.67,5.421,5.472,22141,22141,-0.128,-2.286,5.5714,"Sep 18, 13",-0.08951747088186346
