date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-01-27,0.065,0.078,0.0451,0.05,8987545,8987545,0.05,0,0.055384,"Jan 27, 14",0
2014-01-28,0.051,0.065,0.05,0.052,32748625,32748625,0.002,4,0.059352,"Jan 28, 14",0.0399999999999999
2014-01-29,0.06,0.065,0.053,0.053,11395334,11395334,0.001,1.923,0.060384,"Jan 29, 14",0.059999999999999915
2014-01-30,0.055,0.062,0.041,0.041,13535338,13535338,-0.012,-22.642,0.053043,"Jan 30, 14",-0.18000000000000002
2014-01-31,0.0461,0.0531,0.04,0.04,12743486,12743486,-0.001,-2.439,0.04391,"Jan 31, 14",-0.20000000000000004
2014-02-03,0.0405,0.053,0.04,0.043,7837068,7837068,0.003,7.5,0.042861,"Feb 3, 14",-0.14000000000000012
2014-02-04,0.043,0.05,0.04,0.05,6841593,6841593,0.007,16.279,0.044823,"Feb 4, 14",0
2014-02-05,0.05,0.054,0.0425,0.045,5820579,5820579,-0.005,-10,0.048358,"Feb 5, 14",-0.10000000000000009
2014-02-06,0.0425,0.05,0.04,0.04,9856219,9856219,-0.005,-11.111,0.041417,"Feb 6, 14",-0.20000000000000004
2014-02-07,0.042,0.0467,0.04,0.04,1974810,1974810,0,0,0.041207,"Feb 7, 14",-0.20000000000000004
2014-02-10,0.042,0.047,0.041,0.041,2501426,2501426,0.001,2.5,0.043001,"Feb 10, 14",-0.18000000000000002
2014-02-11,0.044,0.0462,0.041,0.0435,4749292,4749292,0.0025,6.098,0.044549,"Feb 11, 14",-0.13000000000000012
2014-02-12,0.0413,0.05,0.0413,0.0445,4097766,4097766,0.001,2.299,0.047148,"Feb 12, 14",-0.1100000000000001
2014-02-13,0.0499,0.058,0.0435,0.05,1357383,1357383,0.0055,12.36,0.050088,"Feb 13, 14",0
2014-02-14,0.06,0.063,0.05,0.055,1563863,1563863,0.005,10,0.057442,"Feb 14, 14",0.09999999999999995
2014-02-18,0.06,0.06,0.0485,0.0519,3411877,3411877,-0.0031,-5.636,0.054544,"Feb 18, 14",0.03799999999999998
2014-02-19,0.0507,0.055,0.0467,0.05,937713,937713,-0.0019,-3.661,0.050518,"Feb 19, 14",0
2014-02-20,0.05,0.0525,0.0466,0.0472,1878573,1878573,-0.0028,-5.6,0.049273,"Feb 20, 14",-0.05600000000000008
2014-02-21,0.05,0.05,0.0423,0.048,4826172,4826172,0.0008,1.695,0.047058,"Feb 21, 14",-0.040000000000000036
2014-02-24,0.05,0.0511,0.0471,0.0471,3045119,3045119,-0.0009,-1.875,0.049126,"Feb 24, 14",-0.057999999999999996
2014-02-25,0.05,0.05,0.0472,0.0473,1176410,1176410,0.0002,0.425,0.049205,"Feb 25, 14",-0.05400000000000002
2014-02-26,0.0525,0.0525,0.043,0.043,582582,582582,-0.0043,-9.091,0.047041,"Feb 26, 14",-0.14000000000000012
2014-02-27,0.0473,0.05,0.044,0.0461,8641371,8641371,0.0031,7.209,0.047898,"Feb 27, 14",-0.07800000000000001
2014-02-28,0.0465,0.484,0.0465,0.052,24394524,24394524,0.0059,12.798,0.071704,"Feb 28, 14",0.0399999999999999
