date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-24,3.78,4.02,3.53,3.6,404812,404812,3.6,0,3.8206,"Feb 24, 14",0
2014-02-25,3.75,3.94,3.69,3.76,97734,97734,0.16,4.444,3.8414,"Feb 25, 14",0.04444444444444436
2014-02-26,3.9,3.9,3.81,3.87,51738,51738,0.11,2.926,3.8853,"Feb 26, 14",0.075
2014-02-27,3.8,3.89,3.77,3.79,31159,31159,-0.08,-2.067,3.8074,"Feb 27, 14",0.052777777777777764
2014-02-28,3.76,3.85,3.74,3.755,61046,61046,-0.035,-0.923,3.8008,"Feb 28, 14",0.0430555555555555
2014-03-03,3.77,3.85,3.7,3.82,49175,49175,0.065,1.731,3.8064,"Mar 3, 14",0.06111111111111104
2014-03-04,3.88,4.1,3.87,3.96,246818,246818,0.14,3.665,3.9498,"Mar 4, 14",0.09999999999999996
2014-03-05,3.94,3.95,3.26,3.41,538073,538073,-0.55,-13.889,3.5854,"Mar 5, 14",-0.052777777777777764
2014-03-06,3.54,3.7,3.51,3.63,283938,283938,0.22,6.452,3.5959,"Mar 6, 14",0.00833333333333328
2014-03-07,3.72,3.72,3.42,3.49,110599,110599,-0.14,-3.857,3.5016,"Mar 7, 14",-0.03055555555555552
2014-03-10,3.59,3.59,3.3001,3.38,88612,88612,-0.11,-3.152,3.3966,"Mar 10, 14",-0.061111111111111165
2014-03-11,3.36,3.45,3.3,3.45,164533,164533,0.07,2.071,3.3742,"Mar 11, 14",-0.041666666666666644
2014-03-12,3.45,3.98,3.4,3.84,608893,608893,0.39,11.304,3.7442,"Mar 12, 14",0.0666666666666666
2014-03-13,3.88,3.88,3.7,3.7,105565,105565,-0.14,-3.646,3.7438,"Mar 13, 14",0.0277777777777778
2014-03-14,3.8,3.84,3.59,3.66,98201,98201,-0.04,-1.081,3.665,"Mar 14, 14",0.01666666666666668
2014-03-17,3.7,3.74,3.64,3.64,48323,48323,-0.02,-0.546,3.6723,"Mar 17, 14",0.01111111111111112
2014-03-18,3.71,3.84,3.61,3.79,58816,58816,0.15,4.121,3.7011,"Mar 18, 14",0.052777777777777764
2014-03-19,3.82,3.9,3.74,3.81,105693,105693,0.02,0.528,3.777,"Mar 19, 14",0.05833333333333332
2014-03-20,3.73,3.849,3.73,3.79,29371,29371,-0.02,-0.525,3.7939,"Mar 20, 14",0.052777777777777764
2014-03-21,3.84,3.9,3.72,3.73,36307,36307,-0.06,-1.583,3.0915,"Mar 21, 14",0.03611111111111108
2014-03-24,3.72,3.79,3.51,3.68,121100,121100,-0.05,-1.34,3.6412,"Mar 24, 14",0.02222222222222224
2014-03-25,3.709,3.709,3.63,3.63,80867,80867,-0.05,-1.359,3.6781,"Mar 25, 14",0.00833333333333328
2014-03-26,3.639,3.67,3.51,3.51,32264,32264,-0.12,-3.306,3.5876,"Mar 26, 14",-0.025000000000000085
2014-03-27,3.51,3.7,3.51,3.57,70920,70920,0.06,1.709,3.595,"Mar 27, 14",-0.008333333333333403
2014-03-28,3.54,3.74,3.54,3.59,27552,27552,0.02,0.56,3.6379,"Mar 28, 14",-0.002777777777777842
2014-03-31,3.56,3.749,3.5,3.61,32239,32239,0.02,0.557,3.6066,"Mar 31, 14",0.0027777777777777185
2014-04-01,3.64,3.7,3.5784,3.64,28490,28490,0.03,0.831,3.6515,"Apr 1, 14",0.01111111111111112
2014-04-02,3.62,3.78,3.52,3.56,107850,107850,-0.08,-2.198,3.6656,"Apr 2, 14",-0.01111111111111112
2014-04-03,3.55,3.65,3.522,3.522,38053,38053,-0.038,-1.067,3.5745,"Apr 3, 14",-0.021666666666666747
2014-04-04,3.5001,3.64,3.5,3.5,24953,24953,-0.022,-0.625,3.5588,"Apr 4, 14",-0.0277777777777778
2014-04-07,3.46,3.48,3.33,3.34,50772,50772,-0.16,-4.571,3.3934,"Apr 7, 14",-0.07222222222222228
