date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,22.28,23.05,22.2,22.93,114720,114720,0.65,2.917,22.7506,"Aug 5, 13",0
2013-08-06,23.08,25.98,23.08,25.96,294228,294228,3.03,13.214,24.7078,"Aug 6, 13",0.13214129960750115
2013-08-07,25.47,27.34,25.143,26.93,202682,202682,0.97,3.737,26.6538,"Aug 7, 13",0.17444395987788924
2013-08-08,27,27.54,26.6,26.94,106701,106701,0.01,0.037,26.9563,"Aug 8, 13",0.17488006977758402
2013-08-09,26.82,27.3,26.48,26.59,66375,66375,-0.35,-1.299,26.9131,"Aug 9, 13",0.15961622328826866
2013-08-12,26.38,27.3,26.38,27.15,90749,90749,0.56,2.106,27.0535,"Aug 12, 13",0.1840383776711731
2013-08-13,27.25,28.32,26.778,27.94,101215,101215,0.79,2.91,27.6284,"Aug 13, 13",0.21849105974705632
2013-08-14,28.03,29.3735,27.44,27.51,175006,175006,-0.43,-1.539,28.3299,"Aug 14, 13",0.19973833406018324
2013-08-15,27.08,27.08,26.49,26.58,65493,65493,-0.93,-3.381,26.6964,"Aug 15, 13",0.15918011338857385
2013-08-16,26.42,26.62,26.165,26.57,64329,64329,-0.01,-0.038,26.4444,"Aug 16, 13",0.15874400348887924
2013-08-19,26.46,26.76,26.44,26.62,50101,50101,0.05,0.188,26.636,"Aug 19, 13",0.16092455298735286
2013-08-20,26.59,26.7899,26.51,26.55,57318,57318,-0.07,-0.263,26.6184,"Aug 20, 13",0.1578717836894898
2013-08-21,26.44,26.69,26.04,26.11,43204,43204,-0.44,-1.657,26.3536,"Aug 21, 13",0.13868294810292192
2013-08-22,26.07,26.78,26.07,26.73,32010,32010,0.62,2.375,26.4168,"Aug 22, 13",0.1657217618839948
2013-08-23,26.7,27.85,26.6,27.74,79670,79670,1.01,3.779,27.4849,"Aug 23, 13",0.20976886175316176
2013-08-26,27.82,28.21,27.55,27.99,69771,69771,0.25,0.901,27.8991,"Aug 26, 13",0.2206716092455298
2013-08-27,27.79,28.11,27.16,27.19,63011,63011,-0.8,-2.858,27.6073,"Aug 27, 13",0.1857828172699521
2013-08-28,27.13,27.55,27.13,27.16,35251,35251,-0.03,-0.11,27.3479,"Aug 28, 13",0.18447448757086787
2013-08-29,27.22,27.85,26.88,27.12,46199,46199,-0.04,-0.147,27.0992,"Aug 29, 13",0.18273004797208903
2013-08-30,27.11,27.31,25.91,26.15,66229,66229,-0.97,-3.577,26.2892,"Aug 30, 13",0.14042738770170077
2013-09-03,26.49,27,26.19,26.94,45603,45603,0.79,3.021,26.7388,"Sep 3, 13",0.17488006977758402
2013-09-04,26.94,27.22,26.8,27.01,36678,36678,0.07,0.26,27.0194,"Sep 4, 13",0.1779328390754471
2013-09-05,27.02,27.02,26.65,26.91,27485,27485,-0.1,-0.37,26.8834,"Sep 5, 13",0.1735717400784998
2013-09-06,27.03,27.08,26.27,26.89,29651,29651,-0.02,-0.074,26.7826,"Sep 6, 13",0.17269952027911037
2013-09-09,26.95,27.14,26.73,26.79,52842,52842,-0.1,-0.372,26.9267,"Sep 9, 13",0.1683384212821631
2013-09-10,26.95,28.1,26.9,28.09,85450,85450,1.3,4.853,27.6371,"Sep 10, 13",0.22503270824247712
2013-09-11,27.98,29.2,27.95,28.07,98273,98273,-0.02,-0.071,28.6418,"Sep 11, 13",0.2241604884430877
2013-09-12,28.21,28.83,28.21,28.55,65510,65510,0.48,1.71,28.4921,"Sep 12, 13",0.2450937636284344
2013-09-13,28.53,28.61,27.28,27.39,121601,121601,-1.16,-4.063,27.8605,"Sep 13, 13",0.19450501526384653
2013-09-16,27.56,27.6975,27.31,27.36,50400,50400,-0.03,-0.11,27.4484,"Sep 16, 13",0.1931966855647623
2013-09-17,27.33,27.71,27.2,27.48,59724,59724,0.12,0.439,27.4391,"Sep 17, 13",0.19843000436109903
