date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-09-28,20.05,20.53,16.11,17.65,5789212,5789212,17.65,0,17.9122,"Sep 28, 17",0
2017-09-29,18.5,19.95,17.66,18.99,901853,901853,1.34,7.592,18.6757,"Sep 29, 17",0.07592067988668555
2017-10-02,19.18,20.34,18.9107,19.73,587472,587472,0.74,3.897,19.7,"Oct 2, 17",0.11784702549575082
2017-10-03,19.52,19.9316,18.821,19.71,141979,141979,-0.02,-0.101,19.6673,"Oct 3, 17",0.11671388101983017
2017-10-04,19.67,20.87,19.231,20.25,183061,183061,0.54,2.74,20.0805,"Oct 4, 17",0.1473087818696885
2017-10-05,20.25,22.44,20.25,22.17,473165,473165,1.92,9.481,21.7173,"Oct 5, 17",0.25609065155807387
2017-10-06,22.05,22.97,21.8,22.91,158593,158593,0.74,3.338,22.437,"Oct 6, 17",0.2980169971671389
2017-10-09,23.45,24.2,22.65,23.31,250559,250559,0.4,1.746,23.4912,"Oct 9, 17",0.3206798866855524
2017-10-10,23.14,23.96,22.15,22.9,65479,65479,-0.41,-1.759,22.9692,"Oct 10, 17",0.2974504249291785
2017-10-11,22.97,23.81,22.06,22.38,147365,147365,-0.52,-2.271,22.7166,"Oct 11, 17",0.26798866855524084
2017-10-12,22.29,23,21.87,22.88,181933,181933,0.5,2.234,22.4825,"Oct 12, 17",0.29631728045325784
2017-10-13,22.72,24.3,22.56,24.2,340964,340964,1.32,5.769,23.6766,"Oct 13, 17",0.3711048158640227
2017-10-16,24.01,24.5,23.31,24,216317,216317,-0.2,-0.826,24.0314,"Oct 16, 17",0.359773371104816
2017-10-17,23.76,23.9,21.03,21.43,181842,181842,-2.57,-10.708,22.2711,"Oct 17, 17",0.2141643059490086
2017-10-18,21.38,22.4,19.29,19.96,141291,141291,-1.47,-6.86,20.455,"Oct 18, 17",0.13087818696883866
2017-10-19,19.93,20,18.8,19.84,102992,102992,-0.12,-0.601,19.3542,"Oct 19, 17",0.12407932011331453
2017-10-20,19.37,20.785,19.039,20.15,139397,139397,0.31,1.562,19.6943,"Oct 20, 17",0.141643059490085
2017-10-23,20.94,22.45,20.12,20.79,282570,282570,0.64,3.176,21.0818,"Oct 23, 17",0.1779036827195468
2017-10-24,20.97,21.3999,19.5,20.35,118718,118718,-0.44,-2.116,20.2527,"Oct 24, 17",0.15297450424929196
2017-10-25,20.4,20.4,18.57,19.32,118439,118439,-1.03,-5.061,19.276,"Oct 25, 17",0.09461756373937688
2017-10-26,19.53,19.72,18.95,19.4,133582,133582,0.08,0.414,19.3123,"Oct 26, 17",0.09915014164305949
2017-10-27,19.82,19.82,18.03,18.64,272087,272087,-0.76,-3.918,18.9913,"Oct 27, 17",0.05609065155807377
2017-10-30,18.65,19.59,18.6026,19.09,387910,387910,0.45,2.414,18.9943,"Oct 30, 17",0.08158640226628903
2017-10-31,18.94,19.43,18.835,19.19,94859,94859,0.1,0.524,19.1203,"Oct 31, 17",0.0872521246458925
2017-11-01,19.23,19.85,17.3636,19.08,141301,141301,-0.11,-0.573,19.1239,"Nov 1, 17",0.0810198300283286
2017-11-02,18.85,19.32,17.315,17.96,211450,211450,-1.12,-5.87,18.1738,"Nov 2, 17",0.01756373937677067
2017-11-03,17.88,19.22,17.51,19.01,118563,118563,1.05,5.846,18.3413,"Nov 3, 17",0.07705382436260641
2017-11-06,19.31,19.31,18.38,18.96,229747,229747,-0.05,-0.263,18.883,"Nov 6, 17",0.07422096317280467
2017-11-07,18.86,18.86,17.5,18.05,77538,77538,-0.91,-4.8,18.149,"Nov 7, 17",0.02266288951841372
2017-11-08,17.76,17.76,16.76,17,284016,284016,-1.05,-5.817,17.1248,"Nov 8, 17",-0.03682719546742202
2017-11-09,16.99,17,16.47,16.73,170151,170151,-0.27,-1.588,16.7286,"Nov 9, 17",-0.052124645892351176
2017-11-10,16.58,17.51,16.2,17.4,155892,155892,0.67,4.005,16.8498,"Nov 10, 17",-0.0141643059490085
2017-11-13,17.25,18.01,16.79,17.67,111702,111702,0.27,1.552,17.4305,"Nov 13, 17",0.0011331444759208572
2017-11-14,17.01,18.0499,16.93,17.51,131242,131242,-0.16,-0.905,17.5133,"Nov 14, 17",-0.007932011331444591
2017-11-15,17.5,18.35,16.89,17.85,129656,129656,0.34,1.942,17.6495,"Nov 15, 17",0.01133144475920696
2017-11-16,17.87,18.25,17.33,17.77,169922,169922,-0.08,-0.448,17.8138,"Nov 16, 17",0.0067988668555241365
2017-11-17,18.07,20.5135,17.99,19.6,154003,154003,1.83,10.298,19.1749,"Nov 17, 17",0.11048158640226646
2017-11-20,19.39,21.14,19.36,20.82,187421,187421,1.22,6.224,20.6815,"Nov 20, 17",0.17960339943342787
2017-11-21,21.01,21.82,20.72,21.07,161110,161110,0.25,1.201,21.2745,"Nov 21, 17",0.19376770538243637
2017-11-22,21.18,21.6173,20.0928,20.47,86362,86362,-0.6,-2.848,20.5705,"Nov 22, 17",0.1597733711048159
2017-11-24,20.37,20.81,20,20.09,21562,21562,-0.38,-1.856,20.188,"Nov 24, 17",0.13824362606232302
2017-11-27,20.04,20.5,19.7876,20.05,75337,75337,-0.04,-0.199,20.1462,"Nov 27, 17",0.1359773371104817
2017-11-28,20.66,20.9,19.81,20.36,42828,42828,0.31,1.546,20.4104,"Nov 28, 17",0.15354107648725218
2017-11-29,20.55,20.55,18.71,19.24,77291,77291,-1.12,-5.501,19.2233,"Nov 29, 17",0.09008498583569405
2017-11-30,19.12,20.59,18.51,19.86,87736,87736,0.62,3.222,19.9311,"Nov 30, 17",0.12521246458923518
2017-12-01,19.63,20.08,18.77,19.55,70966,70966,-0.31,-1.561,19.3393,"Dec 1, 17",0.10764872521246471
2017-12-04,19.7,19.7,17.63,17.77,121067,121067,-1.78,-9.105,18.258,"Dec 4, 17",0.0067988668555241365
2017-12-05,17.83,18.49,17.52,17.89,87240,87240,0.12,0.675,17.8886,"Dec 5, 17",0.013597733711048273
2017-12-06,18,18.28,17,17.07,107577,107577,-0.82,-4.584,17.4233,"Dec 6, 17",-0.03286118980169962
2017-12-07,16.98,18.23,16.98,17.88,152324,152324,0.81,4.745,17.5066,"Dec 7, 17",0.013031161473087844
2017-12-08,17.65,18.75,17.105,18.21,141014,141014,0.33,1.846,18.1774,"Dec 8, 17",0.03172804532577917
2017-12-11,18.2,19.36,16.75,16.83,203540,203540,-1.38,-7.578,17.7161,"Dec 11, 17",-0.04645892351274789
