date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,20.3856,20.8023,20.3856,20.5668,1510079,3020157,0.181205,0.889,20.5986,"Aug 5, 13",0
2013-08-06,20.5305,20.6936,20.3674,20.4037,1275696,2551392,-0.163086,-0.793,20.4941,"Aug 6, 13",-0.00793025652994146
2013-08-07,20.3131,20.4037,19.9688,19.9688,1353399,2706797,-0.434891,-2.131,20.1607,"Aug 7, 13",-0.029075986541416212
2013-08-08,18.4104,18.646,17.9574,18.4829,6634294,13268587,-1.4859,-7.441,18.3859,"Aug 8, 13",-0.10132349223019622
2013-08-09,18.3742,19.2077,18.2473,18.954,3798166,7596331,0.471132,2.549,18.6875,"Aug 9, 13",-0.07841764396989323
2013-08-12,18.646,19.3164,18.5373,19.2802,2662310,5324619,0.326169,1.721,18.9866,"Aug 12, 13",-0.0625571309100103
2013-08-13,19.3527,19.4433,19.099,19.1352,1628824,3257647,-0.144965,-0.752,19.2815,"Aug 13, 13",-0.06960732831553763
2013-08-14,19.1352,19.1352,18.5735,18.6097,1207037,2414074,-0.525495,-2.746,18.7684,"Aug 14, 13",-0.09515821615419028
2013-08-15,18.4829,18.4829,17.9755,18.0842,1930164,3860328,-0.525492,-2.824,18.1144,"Aug 15, 13",-0.1207091039928429
2013-08-16,18.0842,18.0842,17.7581,17.8124,1207661,2415321,-0.271807,-1.503,17.8727,"Aug 16, 13",-0.1339245774743762
2013-08-19,17.7762,17.8666,17.4319,17.5225,1260159,2520317,-0.289931,-1.628,17.6102,"Aug 19, 13",-0.14802011008032362
2013-08-20,17.6131,17.8487,17.5406,17.7581,2361656,4723312,0.235567,1.344,17.6973,"Aug 20, 13",-0.13656475484761857
2013-08-21,17.6856,17.9467,17.5698,17.7037,951436,1902872,-0.05436,-0.306,17.7573,"Aug 21, 13",-0.13920979442596804
